{'短评内容': '还不错，就是位置在高价边上', '短评打分': 4}
{'短评内容': '欧式大门比较豪华，看上去很雄伟，到上海虹桥机场和火车站都很方便。', '短评打分': 5}
{'短评内容': '酒店总体不错,客房设施,服务态度都挺好的. 推荐!', '短评打分': 5}
{'短评内容': '很好，性价比高，房间很宽敞，推荐！！！！！', '短评打分': 5}
{'短评内容': '还可以,离机场比较近.为乘机方便住此酒店很好.', '短评打分': 5}
{'短评内容': 'It is convenient to Hongqiao airport and train station', '短评打分': 5}
{'短评内容': '感觉硬件不错，软件--特别是中餐厅服务质量太差。早餐像三星的。有免费班车到虹桥，很方便', '短评打分': 5}
{'短评内容': '酒店很欧式，也很新，但是没有游泳池，很遗憾！！健身房也很小。\n酒店的早餐根本不像五星，像三星的。很少。酒店的中餐厅千万不要吃啊，里面的服务很差劲，我们14个人用餐，一个服务员忙的手忙脚乱，都不知道干什么了', '短评打分': 1}
{'短评内容': '性价比很高的酒店，估计是新开业的所以价格很便宜', '短评打分': 5}
{'短评内容': '只能说差, 房间居然还会多个床垫, 当仓库啊. 还没有被子, 只给我留个被套, 然后居然研究了近20分钟才给我送来一个, 牛了', '短评打分': 1}
{'短评内容': 'The gentleman at the front desk when I checked in and checked out (same person) needs some more training with smile and greetings.', '短评打分': 1}
{'短评内容': '硬件好，离开酒店去虹桥站不方便。!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '超值，到虹桥机场或京沪高铁虹桥站有中巴送。', '短评打分': 5}
{'短评内容': '五星级的享受，三星级的价格，不要太好，环境卫生早餐都好，就是位置在机场边上，周边不是很好玩，不过需要在机场旁边转机选择它是不错的。', '短评打分': 5}
{'短评内容': '特惠房的价格很超值，如果以后还有这样的房间，坚决再次入住', '短评打分': 5}
{'短评内容': ' 房间很干净 早餐也可以  如果预定时有促销品等赠送，记得要主动找前台要，否则他们不会主动给你。', '短评打分': 3}
{'短评内容': '特价房很实惠，酒店本身不错，餐饮质量较高，就是位置有点偏，打的不方便', '短评打分': 5}
{'短评内容': '住的298特价房，超好，早上还有班车送站。推荐', '短评打分': 3}
{'短评内容': '有班车比较好', '短评打分': 3}
{'短评内容': '促销价定了2间房， 其中一间进去后房间使用过还没有打扫。 打电话给服务台后给换了房间， 由于没有同级别房间了， 所以免费升级了。 谢谢！ 还有酒店的中餐做的不错， 赞一下。\n酒店是新酒店， 硬件设施很新， 据说也是按五星级酒店的标准建造的， 不过软件服务确实还需要改进， 特别是卫生这一块及待提高（因为毛巾浴巾看起来也脏）。\n总的来说在促销价下酒店还是很值得推荐的。', '短评打分': 5}
{'短评内容': '装修不错 有点偏 服务人员没培训 态度有点差', '短评打分': 3}
{'短评内容': '服务还是不错的，住这里只是因为这里离火车站和机场都比较近，但周边配套基本没有，很不方便。大堂还是不错的，但房间里的配置真的离五星差很多，免费班车送机场火车站还是比较方便的。但整体感觉还是达不到五星的，当然可能我住的是特惠房，其它房间不太清楚，但就特惠房来说，我不会推荐朋友去的。', '短评打分': 1}
{'短评内容': '酒店姓价比高,原来和宁波华侨豪生是一系,英文相同,哈', '短评打分': 3}
{'短评内容': '服务态度还不错，地理位置虽然偏了些，但是看在赶火车方便的份上，还有免费班车。', '短评打分': 5}
{'短评内容': '性价比高,环境，交通，卫生，还都好，价格也合适。值得再次入住。', '短评打分': 5}
{'短评内容': '已经来住好几次了，还是一句老话：周边缺商店。', '短评打分': 5}
{'短评内容': '酒店地理位置有点偏，但去上海办事交通还是比较方便，只休息了六个小时谈不上什么。这样的价格住五星应该还是比较值吧！\n给宾客的建议：如果你离开酒店乘地铁，建议您从北门出口更方便。', '短评打分': 5}
{'短评内容': '离虹桥机场很近，早上也有免费巴士送到机场。\n\n早餐比较简单，房间也很小，但是赶早班机，住在这里也算不错了', '短评打分': 5}
{'短评内容': '此次订的是特价房,因飞机晚点的关系到酒店已是晚上11点,酒店帮我升等到豪华房,房间很大乾净舒服,物超所值。', '短评打分': 3}
{'短评内容': '酒店很大气干净，被子很舒服，早餐味道再地道一些就更好了', '短评打分': 3}
{'短评内容': '酒店设施比较新，价位也合理，不过大堂及房间都没有无线网服务，餐饮费较高。', '短评打分': 5}
{'短评内容': '位置太偏，周围什么也没有，房间大小一般，只有在酒店就餐，服务不错，味道不好评价，见仁见智。', '短评打分': 1}
{'短评内容': ' 不算便宜，好处就是离机场还算近，给台湾同事订的，他还蛮满意的。', '短评打分': 5}
{'短评内容': '硬件有准五星，但人气太差，服务人员职业水准较低，态度冷淡，大堂吧居然说咖啡机坏了，有点哭笑不得。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' 除了周边少商业网店不足外，其它都还不错。', '短评打分': 5}
{'短评内容': 'It is a nice hotel and close to airport and tailway station.', '短评打分': 5}
{'短评内容': '帮领导预定的，离机场打车10-15分钟，服务还可以，只是入住当天网线不能用。', '短评打分': 5}
{'短评内容': '酒店还可以，物超所值', '短评打分': 3}
{'短评内容': '酒店具有浓郁的欧式风格，房间也很宽敞明亮，服务较好', '短评打分': 5}
{'短评内容': '交通是在不好找，唯一的好就是早上有班车去机场，如果赶早飞机可以去。', '短评打分': 1}
{'短评内容': '位置较偏，周边冷清，交通不便。设施尚好，价格公道，适合住一二天的旅客。', '短评打分': 5}
{'短评内容': ' 住的很好', '短评打分': 3}
{'短评内容': ',只有四星', '短评打分': 3}
{'短评内容': '很好下次到上海还住这。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '离机场非常近，环境也很不错，适合不进城的人', '短评打分': 5}
{'短评内容': '靠近铁路边有点吵闹，地块太偏僻了，吃行不方便，价格还合理。', '短评打分': 3}
{'短评内容': '不错，大堂很气派，有去机场的接送班车，比较方便', '短评打分': 5}
{'短评内容': '有特价房型398一夜性价比还是很高的，但是似乎刚刚开张，软件和服务差不少，人员素质也似乎还赶不上5星的标准。\n酒店的位置比较荒凉，只是离机场及同比较方便而已。', '短评打分': 1}
{'短评内容': '不含早餐，而且早餐特贵，单看房价还是比较实惠的。周边餐饮设施基本没有，机场接送倒还可以。', '短评打分': 5}
{'短评内容': '交通不是很方便，但是有酒店车往返酒店和2号航站楼。酒店地处铁路和高架桥之间，有点吵，但是服务还不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，距离2号航站楼较近，满意，下次还会考虑', '短评打分': 5}
{'短评内容': '非常不错，服务态度及房间设施都非常好，因我带小孩要求入住无烟房间，还帮我免费升级了房间，下次会再次入住。', '短评打分': 5}
{'短评内容': '交通非常方便，离徐家汇很近，酒店房间宽敞舒适，价格也不是很高。', '短评打分': 5}
{'短评内容': 'seems ok. but hard to find taxi', '短评打分': 5}
{'短评内容': '宾馆距离机场不远，在虹桥二号航站楼附近，有免费班车，10分钟车程。\n房间干净，比较安静。偶尔有车经过。特价房还能接受。第二次入住。下次会再次入住。', '短评打分': 5}
{'短评内容': '很好的入住经验，酒店安静方便，也很安静。在酒店用餐也很方便，价格也实惠。以后还会入住。', '短评打分': 5}
{'短评内容': '酒店真的很好，信价比很高。下次肯定还住那里', '短评打分': 5}
{'短评内容': '非常好,价钱比很高,房间舒适，环境幽雅，档次高', '短评打分': 5}
{'短评内容': '酒店房间内部达不到5星标准, 酒店旁空旷, 出行不方便. 进入酒店空调打了1个小时都没有热.  打了电话, 说来人看. 都没有人过来, 空调热的速度很慢很慢.   ', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店虽然很新，但看上去年代太久，特别是房间内显得很破旧，而且酒店前面是高架，后面是铁路，噪声可想而知！', '短评打分': 1}
{'短评内容': '酒店很漂亮，房间也干净， 酒店还有班车到机场和高铁， 就是周边有些荒凉，出租司机都不太容易找得到。', '短评打分': 5}
{'短评内容': '卫浴是科勒的，不错，就住了3个小时，装修风格我不喜欢，太欧式了，还是喜欢传统的，那个床软的我睡了几个小时就起来了，酒店的大巴开的太快了，我宁愿打车', '短评打分': 5}
{'短评内容': '不错，不愧五星级酒店，就是位置有点.....，不过价钱很便宜啊。', '短评打分': 5}
{'短评内容': '很超值', '短评打分': 3}
{'短评内容': '酒店性价比很高，环境也不错是新酒店，离虹桥机场和火车站很近，推荐', '短评打分': 5}
{'短评内容': '酒店服务好，住的很舒服', '短评打分': 3}
{'短评内容': '111111111111111111111111111', '短评打分': 5}
{'短评内容': '很不错，但是不能积分，非常让老外头疼，白金卡会员也不能享受额外的服务，酒店配套娱乐设施不足', '短评打分': 5}
{'短评内容': '还不错，离机场10分钟车程，因为是夜里12点入住的，睡醒了就赶火车回家了，也没太多印象，觉得楼挺气派，物超所值 \n', '短评打分': 5}
{'短评内容': '非常干净，价格超便宜才298元，酒店餐厅的鲥鱼才188元半条，比苏浙汇都便宜', '短评打分': 5}
{'短评内容': '位置方便，就是酒店的班车时间太长了，希望考虑', '短评打分': 5}
{'短评内容': '性价比很高的酒店，装修及服务都不错，但酒店后侧有铁路，不够安静。希望能够提高接送机的频率', '短评打分': 5}
{'短评内容': '有5星级的装修，没5星级的服务,价格偏高。', '短评打分': 5}
{'短评内容': '价格比世博时候降了很多，而且含早餐了，性价比一下子就上去了！现在不错！', '短评打分': 5}
{'短评内容': '还不错，离机场10分钟车程，因为是夜里12点入住的，睡醒了就赶火车回家了，也没太多印象，觉得楼挺气派，物超所值', '短评打分': 5}
{'短评内容': '交通不便', '短评打分': 3}
{'短评内容': '环境不错，就是路远，交通不方便。半夜服务员竟然开错门！让我很郁闷呢！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '室内装修豪华,当然价格不低,最大问题附近有铁路,火车常经过,有点影响休息', '短评打分': 3}
{'短评内容': '已入住 热水温度低 茶叶品种太少', '短评打分': 3}
{'短评内容': '空调有点冷,地点有点偏僻,定的特价房间,再三说要大床,可是给定的确是标准间,酒店工作人员给升级了大床房间,但价格贵270,还好酒店没要钱,免费升级,所以满意的,如果要是加钱入住,那么就不如定其他地方了,床很舒服,总之,398住个大床房间还可以合适', '短评打分': 5}
{'短评内容': '漂亮的酒店', '短评打分': 3}
{'短评内容': '直线距离虹桥站2公里但环线下来非常不方便，道路指示不清楚，价格太贵。', '短评打分': 3}
{'短评内容': '上海虹桥金古源大酒店位于虹桥机场新航站楼正对面，这句话真害死人，上当了。打车到机场有6公里之多，还正对面的说。周围什么都没有，晚上饿了想吃东西也没有，鸟不拉屎的地方要出门出租车永远也等不到，问客房服务要个指甲刀也被告知没有，这样的五星酒店真是第一次住。', '短评打分': 1}
{'短评内容': '酒店设施不错，装修豪华，但太吵，影响休息，提了意见也没用。交通太不方便，加上计程车的价钱，实在不合算。', '短评打分': 1}
{'短评内容': '酒店设施与服务都非常到位，装修很豪华，对得起这个价格。\n位于华翔路上，唯一的缺点是离虹桥2号航站楼并不是想象中的近，打车要14元。\n如果开车，不熟悉路的朋友会像我一样，在高架桥上转N个圈才能找到地方。\n但还是非常值得推荐的！！！', '短评打分': 5}
{'短评内容': '磨机，结账刷错了卡，不给好好解决，总之麻烦。', '短评打分': 1}
{'短评内容': '离市中心远，下次不会选择。不过设施和氛围还是很好的。', '短评打分': 1}
{'短评内容': '离市中心太远了，而且服务态度很不好，刷多了金额，还没法马上解决，还得等2周，而且一点道歉的意思都没有，希望改进啊，我是替公司人定的酒店，他们对酒店的评价太次了，一定要改进，不是设施好就可以的。下次是不可能替他们再定这个酒店。', '短评打分': 1}
{'短评内容': '给客户定的，客户反应还不错。不过，酒店到机场的班车是半点才有的，并不是随时都有的，到机场要15分钟左右。', '短评打分': 5}
{'短评内容': '怎么没有豪华套房', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '为了去虹桥火车站选择了离那里最近的酒店，但是发现其实这里的交通没有那么方便，打车从虹桥机场到酒店要30多，酒店到火车站也要27块。最麻烦的是，这里的司机不认识这个地方，去的时候，司机问了半天路，回来的时候司机更是绕了些弯路……\n\n说实在的，酒店里面的装修还是不错的，但是酒店和房地产一样，location, location, location!', '短评打分': 1}
{'短评内容': '服务周到，机场和火车站都有接送，房间干净。就是空调有点不太好使，房间较凉。下次还会去住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '离虹桥机场2号航站楼最近的高级酒店.设施和装修都很新且是欧式古典风格.', '短评打分': 5}
{'短评内容': '还行吧，这是客户自己点名住的，我想应该是不错的。', '短评打分': 5}
{'短评内容': '服务不错，有接送机场服务。早餐也不错。                             ', '短评打分': 5}
{'短评内容': '酒店硬件服务都不错，就是交通不便', '短评打分': 3}
{'短评内容': ' not bad! Good price and services', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '+房间很大，舒适。', '短评打分': 5}
{'短评内容': '这次入住，给我免费升级到到了一个豪华大床房，很好，很舒服。', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 3}
{'短评内容': '离虹桥机场很近，所以位置有点偏僻，周围没什么吃的，还好饭店的中餐在上海算是好的，不贵，还好吃。有车免费接送到虹桥机场。', '短评打分': 5}
{'短评内容': '外部很OK。\r\n位置很不好，出行不方便。\r\n房内霉味比较严重，估计使用率低，更换不勤。\r\n洗浴设施尖锐较多，容易碰伤。\r\n服务还是可以的。', '短评打分': 5}
{'短评内容': '晚上，附近有人施工，或者是高速列车通过，有点吵。其它的都很好，房间大，干净，服务态度很好，宾馆自有餐厅的菜也不错，宾馆周围没什么玩的。', '短评打分': 5}
{'短评内容': '烂透了', '短评打分': 3}
{'短评内容': '为证实点评真实性，特别注明入住资料以示负责，我于2010.4.26入住1738房，并于次日中午退房，当晚，屋外阴雨气温摄氏6度，屋内不开暖气，真的是冻死了，经联系沟通得到的回复是，入住率不高，所以决定不开以节约成本，但是酒店可以多提供一床被子御寒，天啊！这是五星级的品质吗？晕倒...', '短评打分': 3}
