{'短评内容': '酒店设施尚可 ，大堂不在一楼，服务还可以吧，交通方便', '短评打分': 5}
{'短评内容': '位置很好，只是前台服务的态度和意识很差，缺少人性化', '短评打分': 5}
{'短评内容': '地理位置不错 性价比很高的一所酒店 推荐一下啊', '短评打分': 3}
{'短评内容': '总体来说还是不错的，只是前台的服务缺少了点微笑，很严肃的表情看着不温馨！不过下次还会继续入住贵酒店的', '短评打分': 5}
{'短评内容': '酒店的游泳池和桑拿入住那天不能用，不知道是检修还是什么问题！', '短评打分': 3}
{'短评内容': '还有就是，高级房跟行政房的房价设置蛮有问题，高级房398元，不含早，不含网络费， 早餐要81元， 网费要50元（0.5元/分，100分钟自动跳转为全天），加起来就得529元一晚，但是行政房的房价才568元一晚，就差那么40块钱！', '短评打分': 5}
{'短评内容': '酒店大堂不再一楼，酒店淋浴喷头还是坏的', '短评打分': 1}
{'短评内容': '性价比很好，下次还会入住。希望不要涨价。', '短评打分': 5}
{'短评内容': '还是很不错的，如果经常保持高级房和豪华房特价的话，还是值得推荐的。就是出租车不好打。而且，五星级酒店竟然没有与出租车公司有协议，倒是提供叫车服务，可是每次叫车都等不到。\r\n酒店提供的叫餐服务，订餐单上却是漂亮有食欲。可是实际做出来的东西，着实让人不敢恭维。两个鸡蛋32元倒是没有什么。一个早点套餐60多元也没有什么，既然选择消费就能够、也愿意承担。但是，请问，总不能我花着高价钱却享受到街边店的味道和', '短评打分': 5}
{'短评内容': '淋浴水太小，修了也没效果，希望改进。', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高！', '短评打分': 3}
{'短评内容': 'GOOG!', '短评打分': 5}
{'短评内容': '位置好，在沈阳性价比很高的酒店了，每次都会来这家。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '性价比还是很高的，最近又降价了。位置不错，设施也比之前去过的酒店好很多。还会再去', '短评打分': 5}
{'短评内容': 'Good. 性价比高', '短评打分': 3}
{'短评内容': '性价比很高，位置也不错。', '短评打分': 5}
{'短评内容': '除了大堂稍显紧凑外其余尚好.还有乔麦枕可换.不错!', '短评打分': 5}
{'短评内容': '同事说不错', '短评打分': 3}
{'短评内容': '很少住到这样性价比高的酒店，餐厅消费应该降低。', '短评打分': 5}
{'短评内容': '总体来说是一家非常不错的酒店，但是房间偏小，性价比与华府莱星顿有差距。', '短评打分': 5}
{'短评内容': '房间是挺干净,设施和舒适度都还可以,酒店的位置还是挺好找的,服务态度还是挺不错的.性价比还行还是比较不错的.', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '靠近商业购物区，地理位置好。一楼感觉地方很小不够气派，不像星级酒店。登记大堂在6楼不方便但地方整洁，感觉还舒服。房间有点拥挤感但布置合适，肉眼看房内地毡不算脏但赤足走在地毡上有难受感觉。\r\n第2天晚上回到房间，感觉床上的整理很随意，没有第一天入住时好。\r\n最大问题是房间中有一门(可与隔邻房间互通)隔音太差。床头又刚靠近隔邻房间的电视，整夜难眠。\r\n商务中心服务态度很好但不够专业。', '短评打分': 1}
{'短评内容': '很不错的酒店,就是大堂不在一楼,房间小,其他都很好.', '短评打分': 5}
{'短评内容': '酒店设施很新，服务也不错，位置也很好。', '短评打分': 3}
{'短评内容': '房间的卫生和舒适度还行,位置也是挺好找的,服务态度还是挺不错的,性价比还行,感觉还是挺不错的酒店.', '短评打分': 3}
{'短评内容': '不错的酒店，性价比是比较高的了，服务非常好。下次还会住那里', '短评打分': 5}
{'短评内容': '干净，舒适，位置优越。', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,位置还是不错的,位于市中心,但就是当时下面在修地铁,出行不太方便了.', '短评打分': 3}
{'短评内容': '雅，静。传承大连富丽华风格。', '短评打分': 5}
{'短评内容': '很不错的酒店，唯一不足的就是空调声音太响，晚上影响睡眠。', '短评打分': 5}
{'短评内容': '整体来说卫生还可以，但是发现马桶坐便盖并未清洁干净，请客房清洁，的确带了瓶液体，但是擦洗直接直接就着马桶的出水擦，感觉很不好；擦完没有进行二次清洁，不知道酒店是否就是这样的标准。\r\n连通房隔音效果太差。\r\n其他还行。', '短评打分': 5}
{'短评内容': '酒店挺好的,各方面都不错,没什么不满意的,而且位置方便,价格合适.', '短评打分': 3}
{'短评内容': '我很喜欢这家酒店,地理位置非常好,位于市中心,出行都很方便,卫生服务方面也都不错,但就是房间的隔音效果不太好.', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '  性价比很高，值得推荐！', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常舒适！', '短评打分': 5}
{'短评内容': '早餐厅的门迎很礼貌，在其他酒店主动按电梯的接来送往的服务员经常见，像这里送宾客近90度鞠躬的不多；一楼的保洁员很有素养，入住时沈阳大雪，进酒店我的鞋上有雪，在等电梯时无意识在厅里逛，此保洁员默默跟在后面清扫，没有像其他东北酒店服务员那样很直白“先生那边刚扫过，麻烦你……”；美中不足的是酒店周边 步行五分钟里程内无像样的餐馆——除了个港式火锅店，另外很难打车，需拖行李步行到五十米外的一个十字路口拦车', '短评打分': 5}
{'短评内容': '第一次住这家酒店，位置不错，就是门前在修路，交通不是很方便。周边缺少一些实惠的早餐厅。房间很不错。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '还挺不错的，游泳馆很爽。康体中心也不错，晚餐挺好。', '短评打分': 3}
{'短评内容': '酒店比较新，设施有点少， 位置很好，只是最近酒店前在修地铁站门前有点乱， 楼下就有美美可以逛， 总之还是很推荐。', '短评打分': 5}
{'短评内容': '酒店环境不错，周边挺繁华， 价格合适，唯一不好的就是上网自费,好像没分钟5毛，50块封顶。 如果不需要上网的话还不错，上网的话就当房费贵上50', '短评打分': 5}
{'短评内容': '我订这家酒店是因为要参加一个会议，由于地理位置不熟悉，预定之前打电话问过，离东北育才外国语学校有多远，服务人员告诉我就是前后的距离，结果第二天我出去一看，什么啊，附近是东北育才学校，根本不是一回事，害得我们迟到了好几个小时，周边位置都搞不清楚，还开什么酒店啊。', '短评打分': 1}
{'短评内容': '交通还是挺便利的,附近也挺繁华的在商业区里面购物挺方便的,价格也比较适中.还是比较满意的酒店', '短评打分': 3}
{'短评内容': '酒店各方面的条件基本上都还可以吧,没有遇到什么问题,是否推荐也要看各人的需求了', '短评打分': 3}
{'短评内容': '房间挺好，就是和莱星顿一样老是涨价。虽说是5星标准但是房间挺小，离真实得5星还是有一定差距。又一次入住竟然没有热水说是水管坏了，不理解。还有400快的价格和洲际便宜的时候差不多（洲际便宜的时候500），但是档次差很多，最主要的没有浴缸。O(∩_∩)O哈哈哈~', '短评打分': 3}
{'短评内容': '大堂竟然在六楼，入住的时候竟然告诉没有网络，恐怖。不过卫生条件还不错，貌似开了没多长时间', '短评打分': 5}
{'短评内容': '相对而言，性价比较高。如果能在早餐的丰富程度和酒店网络收费情况有所改善将会更加完美', '短评打分': 5}
{'短评内容': '卫生和设施都挺不错.位置还挺好,价格也行.服务挺不错的.还可以', '短评打分': 3}
{'短评内容': '凭房卡免费桑拿，但没有浴池，只有淋浴及桑拿房', '短评打分': 5}
{'短评内容': '酒店硬件设施不算太好,大堂在楼上而不是在一楼.这点不太好,其它各方面都不错.', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都很不错，位置也还可以不是特别的方便，价格算是合理适中的整体来讲算是比较合适的酒店。', '短评打分': 3}
{'短评内容': '酒店总体感觉不错,就是唯一的不足就是周边有施工有点吵.已经不是第一次入住这家酒店了,可能第一次觉得酒店有点难找,不过这几次有经验了感觉还行.', '短评打分': 3}
{'短评内容': '酒店总体感觉价格还可以,入住酒店时附近有施工的地方比较吵.位置很好方便出行,其它各方面都不错', '短评打分': 3}
{'短评内容': '酒店比较新，交通十分便利，就是中华路联营旁边，去任何一个地方都比较方便，尤其选择去太原街购物。现在去，会赠送一张50元中餐现金卷，20元西餐卷和10元酒卷(不过没用上：))。床比较舒服的，睡得十分的好。不足就是屋子小了一些，淋浴和盆浴一体。总体是相当赞的', '短评打分': 5}
{'短评内容': '性价比超高!', '短评打分': 5}
{'短评内容': '酒店设施和地理环境不错。缺点是上网收费，早餐较贵。', '短评打分': 5}
{'短评内容': '酒店整体是不错的，有种住新家的感觉，地毯图案颜色非常喜欢。希望增加购物商店和休闲去处，另外增加连住优惠。最后希望酒店服务经理对客户在网站的每条反馈都做一些答复，谢谢。', '短评打分': 3}
{'短评内容': '酒店条件不错，地理位置也不错，周围好多购物广场。就是中华路是单行道，打车不是很方便。', '短评打分': 5}
{'短评内容': '新酒店，位于市中心。设施达到5星，很静。推荐6层大堂吧。不足：上网收费，早餐较贵。', '短评打分': 5}
{'短评内容': '距离机场大巴下车的位置特别近，位置好，逛街方便。房间的窗户可以打开，比一般的酒店空气好得多。后面是所学校，无遮挡，视野极好。', '短评打分': 5}
{'短评内容': '设施较新，床有点硬。还会住这里。', '短评打分': 5}
{'短评内容': '非常好的酒店！！每次去沈阳都住这里！！', '短评打分': 5}
{'短评内容': '9月7日入住2晚，给了朝北的房间，晚上室内温度18度，集中供热没有开，自然冷风关不掉，夜里没睡好，作为5星酒店，没有为客人预先想到换季时房间的温度是否舒适。\r\n第二天给总台打电话，还好同意加一床被子。而我在其他城市的5星酒店住时，遇到同样问题，马上想到给我换朝阳的房间。\r\n其他方面都规范，大门外施工，门童叫出租车很热心。', '短评打分': 5}
{'短评内容': 'very goog', '短评打分': 5}
{'短评内容': '整体感觉不错，就是酒店的大门好像是个硬伤，和酒店的档次不相符。', '短评打分': 5}
{'短评内容': '我们一行3人住了3间行政房3天，酒店很新，管理也不错，房间很大，装修很好，入住很舒适，早餐很丰盛，天窗泳池很大很不错。缺点是网速比较慢，并且要按流量收费，我入住行政楼层，网络免费待遇，最后结帐还误算了网费，经过我提醒，才减去。不过下次我还是会继续选择贵酒店入住，就是网络希望变快点。', '短评打分': 5}
{'短评内容': '挺不错的房间，稍微有点小，服务很热情。', '短评打分': 5}
{'短评内容': '酒店的软件和硬件都还不错，就是普通房间空间有点小，价格是很便利的', '短评打分': 5}
{'短评内容': '我最近住了几天，感觉真的很不错，又赶上打折价格我很喜欢。', '短评打分': 5}
{'短评内容': '酒店挺不错的,设施比较好,酒店比较新,地理位置非常好在沈阳的市中心.', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，酒店的性价比不错的', '短评打分': 5}
{'短评内容': '酒店非常不错，首先他的位置就很方便，去哪都好，其次他的条件非常不错，我觉得都很满意，可以给满分。', '短评打分': 5}
{'短评内容': '最近客人比较多 所以住了北朝向的客房，临街比较吵.还有就是游泳池水温很低.其他的都很满意，很超值', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都还可以的，酒店的位置以及交通都很方便的，酒店的价格还可以的。', '短评打分': 5}
{'短评内容': '酒店是新的，房间很新，虽然面积比较小，但布置很紧凑，还算不错！\r\n只是大堂在6楼，没有健身房！其它都很不错，位置也很方便', '短评打分': 5}
{'短评内容': '酒店不错,挺满意的,而且价格也能接受.下次去还住这.', '短评打分': 5}
{'短评内容': '习惯每次入住酒店时,都会注意酒店的大厅.很喜欢此酒店的设计风格.每次进入房间都会首先看看洗手间，呵呵。其次感觉一下床的舒适度。让我都很满意。总体来说，都很喜欢，所以下次有机会还会入住的！', '短评打分': 5}
{'短评内容': '位置在市中心,靠近南站,出行很方便,房间里面的设施和卫生都非常好,就是早餐品种有些少,性价比很高.下次去还会住这.', '短评打分': 5}
{'短评内容': '老哥临时陪客户去沈阳办事，让我帮他订的。没想过他特别满意，直夸我会办事呢。', '短评打分': 5}
{'短评内容': '这星级 这价为 还有什么可挑的~', '短评打分': 5}
{'短评内容': '酒店内部的环境很好，服务也不错，但酒店的位置不是很好，因为门前是单行线，所以出行很不方便', '短评打分': 5}
{'短评内容': '很好 就是隔音不好 下次还会去住', '短评打分': 5}
{'短评内容': '酒店总体感觉可以，新酒店设施条件蛮新的，位置也很便利', '短评打分': 5}
{'短评内容': 'checkin 时两位前台柜员冷脸如刀甚为震撼；早餐服务员用手抓拿摆放面包食品，桌面没有餐巾也没有纸巾，五月天了房间空调不制冷却仍提供厚厚棉被，无法入睡。总之，这个酒店好像没有高级管理人员一样，任凭年轻的训练无素的基层员工提供一些生硬缺乏训练的基本服务，其服务水准好似一个装修很高级但管理和培训水准甚低的单位内部招待所。。。。。离五星级酒店的服务水准相去甚远。', '短评打分': 1}
{'短评内容': '非常不错的新开的一家酒店，大连富丽华酒店在沈阳管理的第一家酒店，性价比非常高，估计以后这个价格（320元）不会经常预定到了，哈哈，以后还会去住的。特别适合坐飞机来沈阳的朋友，从沈阳桃仙机场下机后坐机场大巴到终点马路湾车站就到该酒店了，真的太方便了又省钱啊。同样，从酒店去机场也是非常非常方便的。', '短评打分': 5}
{'短评内容': '服务挺好的，设施挺新的，就是房间面积有点小，另外周边出行有公交站，打车也很方便，当时住的高级房297元，很便宜', '短评打分': 5}
{'短评内容': '门口是单行线，交通不是很便利，酒店的设施条件和服务都很不错，价格也适中', '短评打分': 5}
{'短评内容': '晚餐真的很一般！', '短评打分': 5}
{'短评内容': '距离中兴，百盛，新世界等商场很近， 走路5分钟，距离北站打车15元以内（我都是从北京往返沈阳，没做过飞机），门面不太容易找，但跟沈阳美美在一个楼，所以也容易找，新开业，干净，酒店的中餐厅很不错', '短评打分': 5}
{'短评内容': '房间面积小了点,卫生间里要再有个浴缸就更好了,其它方面还是很不错的.价格也不算贵.', '短评打分': 5}
{'短评内容': '床很舒服，其它的还行，以这个价钱来讲，房间有点小，很干净', '短评打分': 5}
{'短评内容': '一切都好，就是入口不方便，不太好找！', '短评打分': 5}
{'短评内容': '可能酒店开业不久，所以很多设施还不是很齐全，像网上说的酒店内配有游泳池，娱乐场所，但酒店都没有，不过酒店的服务环境还是不错的', '短评打分': 5}
{'短评内容': '不愧为富丽华，不错的一个酒店，还赶上现在这么便宜。\r\n如果酒店的入口设计的在气派点就更完美了。', '短评打分': 5}
{'短评内容': '酒店本身都不错，房间干净整洁，服务也很周到，唯一觉得不方便的是酒店门前的道路是单行线，自己开车过去的话有点不方便', '短评打分': 5}
{'短评内容': '住了两晚，感觉都还行吧，本来想感受一下36平米的房间，结果我住的房间能有26平米就不错了！很可能是沈阳富丽华只有这么一间小房子让我给住了。哈哈！！！看来我还挺有福气的！但以后我可能不会去住了！！谢谢对我的照顾！其他的什么都不说了！', '短评打分': 5}
{'短评内容': '酒店的位置挺好的出行交通都很方便,环境硬件设施也都还不错,价格也很适中,值得推荐入住的酒店.', '短评打分': 5}
{'短评内容': '大堂小。\r\n房间新，有味道。', '短评打分': 1}
{'短评内容': '一切全满意！十二个字：服务好，设施好，管理好，心情好！', '短评打分': 5}
{'短评内容': '位置不是太好找，门牌不明显。服务态度很好，还给我们升级房间，价格是非常优惠', '短评打分': 5}
{'短评内容': '由于刚开业，服务设施还没齐全。门面太小，出租车都很难调头。不过不愧是富丽华，服务态度非常好，寒冬里感到一种犹如回家的温馨。能享受一流服务，门面再小也无所谓。刚刚开业，房价很便宜，希望下次也能以这个价住进这家酒店。', '短评打分': 5}
