{'descr': '出差，离办事点超近，很方便。吃的边上也挺多的挺丰富的', 'star': 3}
{'descr': '位置不好找 在一个单行的胡同里，卫生还不错，床铺距离写字台太近，根本无法坐下使用电脑。有电脑专用不间断电源。空调很好用。酒店里的餐厅价格很贵，不值。服务态度不错，就是入住那天有个开什么会议的也住在这，很多南方人开着客房门，只穿着秋衣秋裤在楼道里来回走动，大声说话，喊人，极不礼貌，酒店也没人管理一下，感觉极差。', 'star': 5}
{'descr': '位置较好，性价比不错。', 'star': 5}
{'descr': '位置好，性价比高', 'star': 5}
{'descr': '位置还好，比较幽静，离二环路很近。', 'star': 5}
{'descr': '不错，挺干净。不够早餐总是一层不变，没什么新意', 'star': 3}
{'descr': '住了很多次，价格比较实惠，很安静，虽然交通不是很方便，太里面，但还可以接受的。不够这次感觉服务员管理差了点', 'star': 3}
{'descr': '这次感觉服务不是很好。酒店管理不好', 'star': 5}
{'descr': '住过很多次了，卫生、环境、服务、地理条件都不错，硬件设施一般，里面就有饭店，价格也适中。就是这次去发现酒店的局域网里有病毒，弄的我的电脑死机了开不出来，好像听隔壁房间的说也是一样，要注意哦。', 'star': 5}
{'descr': '安静 干净  性价比很好  ', 'star': 5}
{'descr': '不错，可以入住', 'star': 5}
{'descr': '不错不错，出了酒店往左走原来就是黄寺总政大院，然后就是中轴路，位置还是很不错的，服务也很好，值得推荐', 'star': 5}
{'descr': '地理位置方便,距离地铁,三环较近,方便出行', 'star': 5}
{'descr': '位置好，办事方便，房间卫生应在提高，餐厅饭菜较便宜，味道还行', 'star': 5}
{'descr': '非常不错，很干净，很温馨。性价比很高哦。就是打的时司机都不太找得到。所以入住酒店的人最好要认识周围的路哦。呵呵。', 'star': 5}
{'descr': '交通便利,卫生不错,比较舒适\r\n', 'star': 3}
{'descr': '服务不好  交通比较方便', 'star': 5}
{'descr': '餐厅性价比不错', 'star': 5}
{'descr': '位置挺好找的，离地铁也不远，周围吃饭的地方也不错，特别喜欢的就是服务员的态度特别好，让人心里很舒服', 'star': 5}
{'descr': '酒店服务很少前台有时候人手不够,态度还不错,房间很小设施比较齐全,位置很好交通方便.', 'star': 3}
{'descr': '设施实在太差！', 'star': 1}
{'descr': '太差，旁边的和家宾馆不错', 'star': 1}
{'descr': '可以入住', 'star': 3}
{'descr': '可以', 'star': 3}
{'descr': '里面的环境挺好的,房间也挺干净的,服务也还行,就是位置不是很好找,性价比还是不错的.', 'star': 3}
{'descr': '可以入住', 'star': 5}
{'descr': '比较干净 舒适 ', 'star': 5}
{'descr': '卫生很不错，感觉很舒适', 'star': 5}
{'descr': '隔音效果不太好，停车位太少，位置有些难找，其他方面都不错，性价比也很好~！', 'star': 5}
{'descr': '不错的，性价比高，但商店里东西太少，货不全，有时还得出去买。', 'star': 5}
{'descr': '就是有个服务员态度很一般，收拾房间的，三楼的', 'star': 5}
{'descr': '我对这家酒店很满意,位置很好,离我办事的地方很近,很方便,卫生服务上也都不错,唯一一点就是房间有点小.', 'star': 3}
{'descr': '该店位置较好，房屋略小，价格本区域很好。适合商务及自助。强烈推荐', 'star': 5}
{'descr': '地方开始不是很好找，但是熟悉周边地形后发现这个酒店真的很方便，离地铁站步行10分钟。公安局也离得近。安全！\r\n酒店自带的餐厅口味不错，尤其是烤肉和山西刀削面！', 'star': 3}
{'descr': '房间的卫生打扫的还是很干净,服务态度方面也是不错的,还有餐厅提供的饮食也都不错,就是酒店的位置偏了点,不太好找.', 'star': 3}
{'descr': '性价比不错，就 是 房间小了点，不过总体 来 说还是值得推荐', 'star': 5}
{'descr': '灯泡换乘节能灯就好了', 'star': 5}
{'descr': '酒店设施可以满足基本需要，虽然房间小点，但是一百多元的价格能住到这样的酒店在北京来说相当不错了', 'star': 5}
{'descr': '不错，可以住。', 'star': 3}
{'descr': '除了电视不清楚，性价比很高', 'star': 5}
{'descr': '不是第一次住了,挺好的,价格也实惠.值得推荐', 'star': 3}
{'descr': '性价比比较高 房间还算舒适 能上网 交通还算便利 出租地铁都挺好找的，最重要的是买火车票比较方便，旁边就有华油火车票预售代理点，想买票在每天12点和18点守候，也许能买到卧铺票，别去火车站买，根本都买不到了，全部被黄牛党买光了！！', 'star': 5}
{'descr': '环境不太好,而且洗手间的开关还不太好用,我住了几天,服务员打扫的都不即时,不太舒服,下次不会再住这家酒店了.', 'star': 3}
{'descr': '服务挺周到的,第一次去入住每个房间还赠送两瓶矿泉水,而且卫生也比较干净.上网的时候房间的网速比较快,就是房间比较小,不过酒店总体感觉还是非常好的.', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '性价比比较高 房间还算舒适 有的房间上不了网 酒店的人会给你换房的 交通还算便利 出租地铁都挺好找的 不错', 'star': 5}
{'descr': '酒店价格比较合适性价比比较高,位置很好很方便出行,卫生服务也是很满意的.', 'star': 3}
{'descr': '还行吧，在那里性价比不错的还是', 'star': 5}
{'descr': '酒店很安静舒适,比较干净,周边座公交不方便到地铁站要10分钟,服务不错,性价比比较好.', 'star': 5}
{'descr': '酒店的环境硬件设施都比较不错，位置出行交通方便。位置也很好，出行交通方便。整体来讲算是比较不错的连锁商务型酒店值得推荐入住。', 'star': 5}
{'descr': '酒店本身环境还不错，就是前台服务人员的业务知识不足，一开始找不到酒店在哪，给她们打电话，前台表达的很不清楚，本来很简单的路，结果绕了一个很大圈', 'star': 5}
{'descr': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置以及交通很方便的，性价比不错的酒店', 'star': 5}
{'descr': '电视信号有些问题，其它方面都还挺不错的。', 'star': 5}
{'descr': '酒店环境还可以，挺清净的，在一个小区里，公交车到那的不多，不太方便，价格还可以', 'star': 5}
{'descr': '一般般啊', 'star': 5}
{'descr': '酒店的位置不太好,其他方面都还差不多吧,房间面积也有点小,价格一般.', 'star': 1}
{'descr': '酒店的位置还不错，挺方便的，硬件条件，服务水平也都还不错，感觉还可以。', 'star': 5}
{'descr': '酒店的条件还是不错的，我感觉他们的硬件和服务环境还不错，交通特别方便，价格也适中。', 'star': 5}
{'descr': '酒店的位置交通出行都很方便，价格合理适中，服务卫生也很达标配置硬件设施齐全，各个方面都还不错。值得推荐入住的酒店。', 'star': 5}
{'descr': '房间比如家之类的快捷酒店略小，体现在价格上也会便宜几十块。服务还不错，比我住过的有些如家强。设施略显陈旧，床有些硬。值得一提的是网速极快，而且没有封迅雷BT等端口。总体来讲，性价比大概比如家莫泰等高一些。', 'star': 5}
{'descr': '酒店还是蛮不错的,性价比挺高的,值得推荐.', 'star': 5}
{'descr': '昨天住了一天,刚一进去感觉房间挺小的,往床上一躺感觉好硬,沐浴间也好小,不过一个人够用了.价位还算可以,在小区里面比较安静,就是隔音效果不是很理想,半夜晚归的客人回来,从屋里都能听的到声音.离地铁还可以吧,要10多分钟,一般情况13-15分钟吧.整体来说,还是能推荐.', 'star': 5}
{'descr': '昨天住了一天,刚一进去感觉房间挺小的,往床上一躺感觉好硬,沐浴间也好小,不过一个人够用了.价位还算可以,在小区里面比较安静,就是隔音效果不是很理想,半夜晚归的客人回来,从屋里都能听的到声音.离地铁还可以吧,要10多分钟,一般情况13-15分钟吧.整体来说,还是能推荐.', 'star': 3}
{'descr': '性价比还可以,值得推荐', 'star': 5}
{'descr': '优点：整体上性价比很不错，离地铁不是很远，交通比较方便；\r\n缺点：床单、毛巾不是很新，自助早餐种类太少。', 'star': 5}
{'descr': '酒店位置不错，邻近饭店和公交车站；房间舒适度还可以；但是服务人员态度散漫，特别是前台的服务员，办理手续不够细心，做事马虎。', 'star': 5}
{'descr': '酒店的整体感觉还可以的,酒店的位置非常好的,服务卫生以及酒店的设施都还可以的,\n\n\n\n\n', 'star': 5}
{'descr': '经济性酒店，设施、环境就不要以高级四星、五星的比了。但位置很好，周围超市、餐馆都很方便，往难走就是鼓楼，烧烤一条街，去后海也方便。', 'star': 5}
{'descr': '酒店的一般的房间空间都有点小，设施都可以，酒店位置有点偏周围没有公交车，打车还可以', 'star': 5}
{'descr': '很值得推荐，服务很周到，位置也不错，房间布置很温馨，很舒适，网速也很快哦~~', 'star': 5}
{'descr': '感觉还是很不错的  和想象种的一样 如果给老顾客再优惠点就更好了 地理位置不错离地铁站鼓楼大街挺近的，挺干净，服务业不错，隔音效果也很好， 强烈推荐推荐~！！！', 'star': 5}
{'descr': '房间不大，但隔音效果好，挺干净，酒店地理位置好，', 'star': 5}
{'descr': '我是顾客，洗澡时将项链放在了毛巾架上忘了取下，在火车发现后和该店联系，他们很热心的帮我把项链给寄了过来，而且包装的很好，很感激！', 'star': 5}
{'descr': '装潢看起来有点旧，别的还好', 'star': 5}
{'descr': '酒店基本上还可以，不过人员的服务态度比较冷淡，不过它的地理位置和价格都还是可以接受的，但还是建议多比较一下了', 'star': 5}
{'descr': '不错不错，ADSL改光纤了，上网速度很快。\r\n10块钱的早餐也不错，里面有饭店，菜的味道也不错，不贵。\r\n就是卫生间不太方便，淋浴间太小了。', 'star': 5}
{'descr': '酒店设施比较旧,交通挺方便,其它还不错', 'star': 5}
{'descr': '酒店设施比较旧,交通挺方便,其它还不错', 'star': 5}
{'descr': '交通比较便利，附近就有60路起点站，去后海\\鼓楼就可以坐，往外走到鼓楼大街也有公交站，离地铁2号线鼓楼大街站大概走路10来分钟吧，不算太远。环境设施的话只能算是比较简单，但是服务真的很好，我本身是比较挑的人，而且这次出去意外情况比较多，打电话过去寻求帮忙很快就能回复，真的很感动呢！如果喜欢安静的朋友住在那里很好，因为那个位置正好是在路的里面，所以晚上挺安静的。基本上来说，在北京那样的位置，性价比算', 'star': 5}
{'descr': '酒店位置还可以，不过房间隔音不太好，外边噪音很大，换了有一下房间觉得都一样，觉得不太理想', 'star': 1}
{'descr': '这家酒店的价格很优惠,上次我住了小半个月,位置出行方便,环境卫生也很不错.', 'star': 5}
{'descr': '如果短时间住这里还是不错的，物美价廉，房间也比较干净', 'star': 5}
{'descr': '酒店的位置不错,出行交通方便,环境硬件设施也很不错,价格也很优惠.', 'star': 5}
{'descr': '服务卫生还不错,价格也挺合适的.', 'star': 5}
{'descr': '酒店整体感觉挺不错的,环境很好,装修和设施方面也蛮新的,还不错', 'star': 5}
{'descr': '酒店的服务卫生都挺好的,价格也合适.位置挺好坐车挺方便的.', 'star': 5}
{'descr': '价格优惠，环境干净整洁，最主要位置对我很方便', 'star': 5}
{'descr': '酒店的服务卫生都非常好,也很干净很舒适我会经常入住这家酒店.', 'star': 5}
{'descr': '还不错，位置挺好，其他需要改进', 'star': 5}
{'descr': '服务不错，距鼓楼地铁站比较近，周边环境安静。', 'star': 5}
{'descr': '设施一般，服务不错，房间小了点，不过性价比来说还可以了', 'star': 5}
{'descr': '酒店位置不好，公交站和地铁都不近，但是酒店服务不错，环境设施也可以。', 'star': 5}
{'descr': '环境卫生不错，态度也不错', 'star': 5}
{'descr': '服务一般，交通还不错，主要离地铁比较近，附近吃饭的地方比较多 也都很实惠，楼下小笼包包子好，老板两口子也很热情，推荐大家去吃。电视信号非常差，床也非常硬，就一席梦思垫子铺上一床单，不过就这个价格来看，性价比还是不错了，卫生条件不错', 'star': 5}
{'descr': '我是国庆前入住的，酒店位置还可以，到市中心一部车就可以到，对于在吴中区办事的人来说很方便。就是酒店的房间小了点，设施旧了点，早餐内容少了点，做的也很一般，不过值得一提的是上网速度很快。但是相对于周边来说，我还是会选择这里，熟悉的品牌给人一点安全感。因为周围太多闲杂人员了。', 'star': 3}
{'descr': '我觉得挺不错的，卫生打扫很及时，服务也不错，离天安门景山北海什刹海都挺进的，出行方便。周围环境不错 ，挺安静的。楼下的杭州小笼包的确不错！下次去还住那。', 'star': 5}
{'descr': '看得出是在向目前国内比较知名便捷酒店标准看齐的用心。&lt;br /&gt;\n服务标准还需改进。床硬了些。&lt;br /&gt;\n不过总的感觉：性价比不错。&lt;br /&gt;\n随便提一句：门口的杭州小笼包不错。', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
