{'短评内容': '不错，每次从重庆走都住那，也比较方便', '短评打分': 5}
{'短评内容': '在这当今的社会里通讯时代酒店房间那没有电脑,很不方便,位置不太好,离机场有些距离,其它也都一般,像我门经常出差的不会在住这主要就是没有电脑.', '短评打分': 1}
{'短评内容': '酒店住着感觉还可以,不过就是早餐不是很丰富稍差了一些,环境也很不错的,交通位置也蛮理想的,离机场还是比较近的,价格稍微偏高了一点', '短评打分': 5}
{'短评内容': '酒店虽然离机场有点距离，不过还算可以，过去挺方便的，而且他们的硬件设施和人员的服务都很好，环境也挺干净的，不错。', '短评打分': 5}
{'短评内容': '酒店位置很不好，出行不方便，位置太偏了，酒店内部环境还可以接受', '短评打分': 1}
{'短评内容': '年后去住了趟，除了隔音其他的都还很不错哦！隔音待改善，那天一家带小孩的住我隔壁，宝贝哭到半夜可想那一夜我的睡眠质量。。。。。。', '短评打分': 5}
{'短评内容': '酒店交通不太方便,其它方面还是比较好', '短评打分': 3}
{'短评内容': '酒店的整个环境不好，房间给人的感觉很压抑，服务卫生一般，但性价比还可以，位置离机场挺近的', '短评打分': 1}
{'短评内容': '总的来说还算不错，离机场很近。很新，建议大家都去住住。特别是情侣呵呵', '短评打分': 5}
{'短评内容': '觉得酒店的硬件设施做的挺好的,有一点不足的地方就是,去吃早餐的时找不到汤匙,跟服务员说了,但是直到走也没有拿,但是酒店本身还是挺不错的,很舒适,交通很便利,价格也不贵', '短评打分': 5}
{'短评内容': '渝北区附近机场附近的酒店,据说可能是机场附近最好的酒店,但是很多司机师傅都不愿意拉,因为距离机场太近了', '短评打分': 5}
{'短评内容': '第一次入住此酒店，酒店还算干净,舒适.若下次在重庆坐飞机,还是选择此酒店.', '短评打分': 5}
{'短评内容': '酒店离机场比较近，算是在郊区，不过交通还是挺方便的，是个新酒店，价格稍微贵点，服务环境和硬件设施都不错，还有就是他们的早餐，如果去晚了就没什么东西了，拿完了的餐点不能及时添加。', '短评打分': 5}
{'短评内容': '本来对它印象很好，毕竟硬件摆在那，但就在离店的一刹那，所有美好的印象都被破坏了。我和老公要赶早上7点半的飞机，所以，7点不到，我们就办理了结帐手续，按照原先的约定，在结帐的时候，酒店叫了一位保安为我们拦了辆出租车，一切似乎都很顺利。\r\n可是，当我们把行李放上车后，那个保安轻轻地对我说，这里到机场要30元！我晕，我很清楚，酒店到机场不到5公里的路程，我们昨晚打的到酒店26公里也不过是38元，这摆明了', '短评打分': 1}
{'短评内容': '酒店的交通挺方便的，离机场比较近，环境卫生也都不错。', '短评打分': 5}
{'短评内容': '酒店的位置挺不错的，环境服务也还可以，价格当然是越便宜越好了。', '短评打分': 5}
{'短评内容': '酒店是新开业的,各方面都挺好的,非常舒适,价格很便宜', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是挺不错的，价格也可以挺实惠的，就是卫生间面积太小了。', '短评打分': 5}
{'短评内容': '酒店靠近机场设施服务都还不错主要是因为他是新开业的酒店设施各个方面都比较新,很干净很舒适.', '短评打分': 5}
