{'短评内容': '酒店就在文昌阁边上', '短评打分': 5}
{'短评内容': '我觉得这家酒店的环境一般了,设施方面有些陈旧了,价格方面也一般了,没有商务形式的好.', '短评打分': 3}
{'短评内容': '这家酒店还是比较值得推荐的,因为它的房间比较干净舒适,人员服务的也比较到位,价格又不贵,挺满意的.', '短评打分': 3}
{'短评内容': '酒店除了位置比较好,其它都很不好,房间里面的地板是阁楼是的踩上去会响,设施简陋.我住的5号楼可能1号楼好一些.', '短评打分': 3}
{'短评内容': '总体来说还不错。', '短评打分': 5}
{'短评内容': '卫生一般，设施感觉有些陈旧，地理位置交通方便，服务还可以热情周到，性价比不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '卫生间比较小，卫生还行，地板好像阁楼，总体一般，不过位置是不错交通便利.', '短评打分': 5}
{'短评内容': '还可以吧，距文昌阁很近，。房间不大，但卫生间较宽敞', '短评打分': 5}
{'短评内容': '设备旧了些', '短评打分': 5}
{'短评内容': '其他的都还可以，就是洗浴设施太差了。', '短评打分': 5}
{'短评内容': '不行，我住的2号楼客房简直是太差了，真的不行', '短评打分': 1}
{'短评内容': '除了位置好，其他真没啥好说的，房间小、床也小。', '短评打分': 1}
{'短评内容': '设施老化，位置较好', '短评打分': 5}
{'短评内容': '地段比较好,价格还是比较便宜的.其他方面做的都很满意.很不错.', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '1.地理位置不错。\r\n2.总台服务态度不怎么样。\r\n3.房间里蚊香都没有。', '短评打分': 5}
{'短评内容': '除位置优越有停车场外,其他一般般,与三星名不副实.设施陈旧,饭菜品种少且无味,服务态度淡漠,自来水象滴灌,2号楼有个房间地板软绵绵颤巍巍,象是木板临时搭的,很吓人的。网上答应提供的服务均为假,如延时至14:00\\开通国内长途等.', '短评打分': 1}
{'短评内容': '酒店的位置非常好，出行交通方便。价格合理适中。房间的配置硬件设施舒适度也很好，卫生服务也很不错，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店位置还可以,比较方便,其它比较一般,酒店整体和设施都比较老旧窗户一看就很破旧,住着很不舒服,不推荐的酒店.', '短评打分': 1}
{'短评内容': '房间面积比较小，价格比较偏高，位置很好酒店最大的优势，房间的配置也比较一般，不是值得主动推荐，当时附近的房间都有满房。', '短评打分': 1}
{'短评内容': '酒店的位置不错的,服务和卫生都还可以的,但是房间的设施陈旧了,价格一般了', '短评打分': 5}
{'短评内容': '当时主要注重的是位置,出去玩比较方便,其他方面也都还好.', '短评打分': 5}
{'短评内容': '感觉都挺好的，所处的位置出行很方便，唯一就觉得价位还是有点偏高，再便宜点就更好了', '短评打分': 5}
{'短评内容': '这家酒店各方面的服务都挺好的,很不错', '短评打分': 5}
{'短评内容': '酒店前台打折比会员预定价格便宜', '短评打分': 3}
{'短评内容': '没有感觉到三星的标准，房间较小，电视遥控器不灵。马桶冲水的按键是坏的。另外我朋友入住后，在浴缸边滑到，摔伤眉骨，缝合了3针。酒店居然说是我们全责。经过交涉，他们只承担了当天医药费的50%，还说是出于人道主义。很是不能理解。我下次肯定是不会去了。', '短评打分': 1}
{'短评内容': 'Quite a comfortable standard 3 star rated hotel.&lt;br /&gt;\n&lt;br /&gt;\nLocates in downtown, nearby is the famous jourist site:&lt;br /&gt;\nwen-chang-ge tower.&lt;br /&gt;\nThe room matchs relevant 3', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '补充：饭店位于市中心，交通便利，富春茶社、福满楼、怡园饭店、日月明茶社等等都在步行距离内。住的是商务标间，很安静，美中不足是房间较小。含双早，早饭比较丰盛。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '根本就达不到3星', '短评打分': 3}
{'短评内容': '里面的地毯太旧，房间小，勉强够三星标准。因为地处市中心186的价格还是蛮值的，要求不高者的首选。', '短评打分': 3}
{'短评内容': '房间还不错性价比不错在市中心', '短评打分': 3}
