{'descr': '酒店电话永远打不通！！！', 'star': 3}
{'descr': '酒店房间挺干净整洁的,服务也不错,但不是对于这种商务型的酒店来说,舒适度肯定不会有太大的要求了,不过酒店其他方面做得都挺好的', 'star': 5}
{'descr': '不错，除了地板比较滑。', 'star': 5}
{'descr': '酒店环境挺好的,很舒适,而且房间的卫生条件做也不错,价格也实惠,就是地理位置稍微有那么一点点偏,但还可以了', 'star': 5}
{'descr': '环境很好，舒适安静、主要价格也便宜', 'star': 5}
{'descr': '觉得酒店挺好的，干净卫生，服务人员待人也比较热情', 'star': 5}
{'descr': '餐厅差些.', 'star': 5}
{'descr': '服务卫生方面还可以了,价格也挺实惠的,位置也不错交通挺便利的.', 'star': 5}
{'descr': '服务卫生方面还可以了,价格也挺实惠的,位置也不错交通挺便利的.', 'star': 5}
{'descr': '服务卫生方面还可以了,价格也挺实惠的,位置也不错交通挺便利的.', 'star': 5}
{'descr': '酒店位置偏离闹市,很安静的酒店,我比较喜欢的酒店类型环境设施都很好,价格比较合适.', 'star': 5}
{'descr': '非常满意，环境舒适。', 'star': 3}
{'descr': '酒店面积有些偏小环境设施都很好价格也很合适.', 'star': 5}
{'descr': '整体都好，服务不错，主要价格实惠', 'star': 5}
{'descr': '酒店整体感觉还可以，干净舒适，服务也不错，交通也比较便利，设施一般', 'star': 5}
{'descr': '酒店各项服务都很满意', 'star': 5}
{'descr': '住宿非常不错,下次有机会出差还住这里', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
