{'短评内容': '离火车站不算远，挺安静，干净，房子宽敞', '短评打分': 5}
{'短评内容': '很安静，服务挺好。环境挺好。卫生间需要再干净一点', '短评打分': 5}
{'短评内容': '+房间满干净的，环境也不错，离南站很近，很方便～服务也很好', '短评打分': 5}
{'短评内容': '房间里有味道，网络一塌糊涂。。。。。。。。这家汉庭啊！！！唉', '短评打分': 1}
{'短评内容': '酒店服务还可以，环境还不错，就是地理位置不太好', '短评打分': 3}
{'短评内容': '卫生很好 价格合理', '短评打分': 5}
{'短评内容': '位置还算不错，设施有些差，服务人员很热情，空调好像经常不开，几乎很热，早餐一般。总体上性价比还不错', '短评打分': 5}
{'短评内容': '房间不错 服务很周到 但是酒店里面有些胡椒味', '短评打分': 5}
{'短评内容': '首先不推荐入住这家酒店。\r\n1.位置比较偏，很难找。\r\n2.我订的是大床房，房间带网线的，住进去的时候，网线是坏的，上不了网。打电话给前台，前台说让等工程部的来修。当时是早上7点，说工程部8点上班，我等到8点半工程部的人才来，修了半天也没修好。\r\n3.我说要求调换房间，前台推三阻四，说没房间了，又说别的房间价钱高了。\r\n4。因为房间网线最终没弄好，在我的强烈要求下，终于调换了一个房间，但又要我加钱', '短评打分': 1}
{'短评内容': '服务态度再好点。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '综合评价还是不错的，地理位置，环境，卫生条件，服务态度都不错！！！', '短评打分': 5}
{'短评内容': '酒店外观不好是错觉，近看发现酒店外墙的装饰材料远处看给人破旧的感觉', '短评打分': 3}
{'短评内容': '酒店外观一般，住进来后发现很卫生，条件在这个价格非常具有性价比，值得推荐，位置到太原街还算合适，不远不近。缺点，离公交车站稍微远点，带东西多最好打车过来，公交车下来有一段距离的。', '短评打分': 5}
{'短评内容': '位置和房间都不错，就是浴室太小了，而且一洗澡全是水，不过价格还不错，', '短评打分': 5}
{'短评内容': '第二次住了 位置不错 ', '短评打分': 5}
{'短评内容': '已经多次入住，总体来说各方面不错，如果入住早上可以有免费的早餐就更好了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务很好，态度很好，卫生很好！网速差！', '短评打分': 3}
{'短评内容': '卫生间有些小', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置确实很难找！卫生还是很不错！入住时没留意卫生间的门关不上。总体来说还不错！物美价廉！', '短评打分': 5}
{'短评内容': '我定的是周日百元房，非常的好，一张大床特别舒服。主要就是地点有点偏僻，虽说离太原街有15分钟路程，可是走起来好费劲的。下了火车，打车司机居然都没找到。晕倒了。好像南京街的那个就比较好找些.最郁闷的就是怎么又没有风筒呢。总之床特别舒服。', '短评打分': 5}
{'短评内容': '不错哦！！！~', '短评打分': 3}
{'短评内容': '性价比不错的酒店！！！', '短评打分': 5}
{'短评内容': 'henhao', '短评打分': 5}
{'短评内容': '网速太慢，其他不错', '短评打分': 5}
{'短评内容': '就是有IPTV这件事最好 还有冰箱 厕所太小 淋浴房没有门 马桶的地方太挤 离万达还是有段距离 不过还是不错 闹市区 设备有点旧 不过服务态度还不错', '短评打分': 5}
{'短评内容': '性价比还算不错，卫生间小了点，楼旧了点，服务态度蛮不错的，配套设施不是很新，插座已经掉下来了，卫生还可以吧', '短评打分': 5}
{'短评内容': '住过几次了，都还不错，就是当天的宽带有问题，没有办法上网', '短评打分': 3}
{'短评内容': '住过几次了，都还不错，就是当天的宽带有问题，没有办法上网', '短评打分': 3}
{'短评内容': '住过几次了，都还不错，就是当天的宽带有问题，没有办法上网', '短评打分': 5}
{'短评内容': '地理位置离太原街很近，走路十分钟，卫生条件还不错，电视还算大', '短评打分': 5}
{'短评内容': '环境不错，就是吃饭不太方便', '短评打分': 5}
{'短评内容': '不错的地方！\r\n位置非常方便', '短评打分': 3}
{'短评内容': '不错，服务和房间都不错，早餐更是很好', '短评打分': 3}
{'短评内容': '叫服务员半天没人到、', '短评打分': 1}
{'短评内容': '和想象的差好多 说能上网可结果到房间却上不了 给前台打电话 说没信号 里面的设置也太糟糕 和同样的如家快捷酒店比起来相差甚远', '短评打分': 3}
{'短评内容': '不错的宾馆，内部装修还比较新，晚上比较安静，交通方便', '短评打分': 5}
{'短评内容': '不是很好酒店，设置太老了，工作人员的服务也不怎么样，位置也不怎么车不是很好开到酒店。', '短评打分': 1}
{'短评内容': '没有想象中的好', '短评打分': 1}
{'短评内容': '很满意.', '短评打分': 3}
{'短评内容': '很满意.', '短评打分': 5}
{'短评内容': '服务不错，房间有异味！', '短评打分': 5}
{'短评内容': '总体来说不错，满意', '短评打分': 5}
{'短评内容': '在我退房后还提供了行李的寄存，我觉得不错。', '短评打分': 5}
{'短评内容': '我住的是特价房  没有独立的空调  屋里热&#183;&#183; 性价比可以  ', '短评打分': 5}
{'短评内容': '之前住过一次，这次还选汉庭。位置还算可以，旁边购物或是乘车还有吃饭都很方便，晚上也很安静。但是这回住的房间电源插座是坏的，只有一个能用，手机充电智能轮流充，希望酒店以后对此进行改进。总的来说，还是不错的，下回去沈阳还是要住汉庭。', '短评打分': 5}
{'短评内容': '一切都还不错，一贯的汉庭风格和服务。位置算是闹市中的偏僻地吧，出门打车或者坐车都要小走一段，不过总体不错吧', '短评打分': 5}
{'短评内容': '性价比不错的经济型酒店', '短评打分': 5}
{'短评内容': '入住期间网络不是很好（正在安装网络），只能使用无线连接。\r\n但性价比还是不错的。（有冰箱但不能工作，比较可惜）。\r\n位置还算可以，步行到太原街也没多远。', '短评打分': 5}
{'短评内容': '门口在施工，街道很脏。周围都是些货运物流之类的公司，环境不好。', '短评打分': 1}
{'短评内容': '还可以，交通方便', '短评打分': 3}
{'短评内容': '综合性价比不错', '短评打分': 3}
{'短评内容': '其他的都还好，就是位置有点偏', '短评打分': 3}
{'短评内容': '干净，交通方便', '短评打分': 5}
{'短评内容': '房间设施不错，价格也合理', '短评打分': 5}
{'短评内容': '很好，下次还来，不过住在顶楼晚上有点恐怖，透过排风口可以看到上边的各种管子，恐怖的啊', '短评打分': 3}
{'短评内容': '调料厂的味道太重了，受不了', '短评打分': 1}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '什么都很好，就是有一段路没有路灯，晚上过去挺黑的，呵呵', '短评打分': 5}
{'短评内容': '总体来说很好', '短评打分': 5}
{'短评内容': '非常不错，只是东西有些旧，不过性价比不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '性价比不错的酒店', '短评打分': 5}
{'短评内容': '比想象中的好 只是房间的插座坏了 害的手机都没有冲上电 第二天晚上到家里才充上。。。', '短评打分': 5}
{'短评内容': '不错，就是打车不是很方便的', '短评打分': 5}
{'短评内容': '酒店很优惠', '短评打分': 5}
{'短评内容': '性价比很高，但是位置很难找，。。。。', '短评打分': 3}
{'短评内容': '位置不好，别的还行', '短评打分': 3}
{'短评内容': '就是位置不太好，出来要走一段路才能有出租车，然后因为门口是酒类批发市场，所以白天会很吵，房间还可以', '短评打分': 5}
{'短评内容': '就是无线网路网速不是很快', '短评打分': 5}
{'短评内容': '快捷酒店就是快捷', '短评打分': 5}
{'短评内容': '刚开始订的房间有装修味道  但是很快的给我们调换了房间  很满意', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '总体感觉不错，性价比较高', '短评打分': 3}
{'短评内容': '下水道有点堵  位置相当不错，小街道里 但是去哪都很方便  性价比很高', '短评打分': 5}
{'短评内容': '酒店外白天有点乱', '短评打分': 3}
{'短评内容': '酒店位置大部分出租车司机都不知道，酒店环境还不错', '短评打分': 3}
{'短评内容': '还可以，做火车方便，离马路湾机场大巴处也不远。', '短评打分': 3}
{'短评内容': '离沈阳站和太原街近，周围还算方便，沃而玛和大润发都不远。就是酒店周围很乱、很脏。', '短评打分': 5}
{'短评内容': '服务热情周到，有到家的感觉', '短评打分': 5}
{'短评内容': '在批发市场边，到这几个批发市场办事的合适。但是因为在调料批发市场边，整个房间里都是调料味道。另外打车去火车北站的话很不方便，出租车司机都不愿意带（沈阳的出租车行业管理真的太差了!)', '短评打分': 5}
{'短评内容': '总体尚可，但走廊里比较大的调料味让人皱眉。大厅里的免费茶水和咖啡不知放了多少时间，都有明显的沉淀了。', '短评打分': 3}
{'短评内容': '离太原街挺近的，环境，价钱，设施都挺好的。', '短评打分': 5}
{'短评内容': '整体效果不错，前台服务人员太少。等待时间较长。房间隔音效果较差。', '短评打分': 5}
{'短评内容': '位置很好`', '短评打分': 3}
{'短评内容': '不过下次还会再去,性价比高', '短评打分': 3}
{'短评内容': '主要是网络,几分钟掉一次,几乎要把我整疯', '短评打分': 5}
{'短评内容': '干净，服务好。', '短评打分': 5}
{'短评内容': '我觉得&#183;这家店位置很方便', '短评打分': 5}
{'短评内容': '外围环境较乱', '短评打分': 5}
{'短评内容': '酒店的各项设施、服务都不错，唯一的就是酒店的位置不是很方便，早上出来的时候打车很不方便，得走出很远才能打到车', '短评打分': 5}
{'短评内容': '门口是批发市场，不太好。', '短评打分': 5}
{'短评内容': '特价房环境还不错，房间也很好，就是卫生间棚顶有点掉灰，估计是楼上卫生间防水没弄好吧', '短评打分': 5}
{'短评内容': '总体还可以，服务也好，就是位置偏了点', '短评打分': 5}
{'短评内容': '性价比很高，住的也不错，干净服务好！\r\n但是位置实在是太难找了，打车打了好几次才找到，竟然在胡同里。\r\n总体来说还不错。', '短评打分': 5}
{'短评内容': '位置太难找了 打车 死机都很难找到 白白浪费了好多钱打车 ', '短评打分': 5}
{'短评内容': '挺好的一个酒店，而且服务员的态度很好。下次到沈阳还会住这个店。', '短评打分': 3}
{'短评内容': '挺好的一个酒店，而且服务员的态度很好。下次到沈阳还会住这个店。', '短评打分': 5}
{'短评内容': '离商业中心很近&#183;环境很好', '短评打分': 5}
{'短评内容': '上网出现问题，位置不好找，环境还不错。', '短评打分': 3}
{'短评内容': '经济', '短评打分': 5}
{'短评内容': '性价比较高的快捷酒店', '短评打分': 5}
{'短评内容': '就是位置有点偏，晚上不太醒目，环境还不错，离闹市区有点太远，淋浴没有玻璃隔断，淋浴后，水都出来到洗手间门口了', '短评打分': 5}
{'短评内容': '不错，就是淋浴喷头是固定的不太好！', '短评打分': 5}
{'短评内容': '一直都住汉庭，感觉挺好的。遇到小小不愉快，网络故障，服务人员很不专业。。。不过最后还是解决啦。。', '短评打分': 5}
{'短评内容': '服务很好，特别是前台刘小姐，满意', '短评打分': 3}
{'短评内容': '卫生等各个方面都不错，性价比很好，但是床垫上直接铺一个床单没有褥子，给我后背个的 全是床垫弹簧的印。', '短评打分': 5}
{'短评内容': '特价房，和干净，性价比很高，', '短评打分': 3}
{'短评内容': '服务态度好，卫生也不错，性价比蛮高', '短评打分': 3}
{'短评内容': '服务态度好，卫生也不错，性价比蛮高', '短评打分': 5}
{'短评内容': '设施不错，只是没有台灯，整体灯光太暗，有点压抑，而且无线网络信号不好', '短评打分': 5}
{'短评内容': '服务很好，位置也不错--离太原街和沈阳站都很近。。。', '短评打分': 5}
{'短评内容': '应该说还可以,能上网', '短评打分': 5}
{'短评内容': '总体感觉很好', '短评打分': 5}
{'短评内容': '不错，就是偏僻，麻烦', '短评打分': 5}
{'短评内容': '住着很舒服', '短评打分': 5}
{'短评内容': '酒店的服务非常好，其他方面也不错，就是位置不太好找', '短评打分': 5}
{'短评内容': '房间没有茶，向总台要总台也没有，汉庭北行店都能在总台拿到茶，为什么太原街店就没有呢', '短评打分': 5}
{'短评内容': '酒店服务及设施都还行，就是位置不太好，门口是个批发市场，路面很脏，连出租司机都不愿意开过去，下次不会去住了。', '短评打分': 1}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '位置太偏僻，晚上出去吃饭都找不到合适的地方。卫生间设施陈旧，经常有漏水的地方，彩色电视机竟然只显示黑白的图像。', '短评打分': 1}
{'短评内容': '位置不是很好，不推荐入住', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '新春特价房性价比非常高。', '短评打分': 5}
{'短评内容': '空间比较大、比较舒适、我觉得比较好、但是就是位置有点偏僻&#183;&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '位置有点难找，环境还不错', '短评打分': 5}
{'短评内容': '这家酒店除了位置不太好外，其他都很好，房间设施都很新，住的很舒服', '短评打分': 5}
{'短评内容': '服务 装修都非常不错！位置也很好！就是周围环境是个小批发烟酒饮料的市场，感觉晚上有点乱！汽车三轮车一堆！还有就是酒店的宽带！他母亲的真卡！QQ都登陆不上去啊！....不说啥了', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '新开的环境挺好，稍微有一点偏僻，他家设施真的不错', '短评打分': 5}
{'短评内容': '位置不错，交通购物等很方便，床很舒适，卫生很好！！！', '短评打分': 5}
{'短评内容': '与介绍相符，不错，很满意', '短评打分': 5}
{'短评内容': '我住的是特价房，性价比比较高，只不过有点冷，其他方面都挺好的，服务态度特别好。', '短评打分': 5}
{'短评内容': '酒店环境都比较好，只是前台服务员态度不好！尤其女服务生', '短评打分': 1}
{'短评内容': '还不错了', '短评打分': 5}
{'短评内容': '总体来说不错', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '酒店非常干净,很安静,位置很好离沈阳南站很近,有机场大巴,服务很不错.唯一缺点,地板是新装修的但是有的地方可能使质量问题有些缺损.', '短评打分': 3}
{'短评内容': '酒店的位置稍有一些偏找起来比较麻烦.不过卫生和设施条件是非常不错的.服务也很好,住起来很舒适.综合水平不错', '短评打分': 3}
{'短评内容': '房间挺干净的,就是隔音效果不是太好晚上睡觉太吵了,服务挺好的,交通也不太方便,性价比也比较一般,总体感觉还是比较不错的.', '短评打分': 3}
{'短评内容': '中央空调声音大，没有暖气，开空调房间也感觉冷。预定的大床房，在吧台开房时不说明好，等到房间才发觉开的是标间。竟然说之前入住客人没有退房，所以没有大床房间。', '短评打分': 1}
{'短评内容': '服务和卫生条件都挺好,房间是有点小但是设施的摆放还是比较好的,地理位置也挺好的,价格还是有些贵了,总体还是很满意的.挺不错的酒店.', '短评打分': 3}
{'短评内容': '酒店的服务质量不错,距离火车站也是非常近.上次入住给我感觉非常好酒店人员服务态度也不错.', '短评打分': 3}
{'短评内容': '找的时候找了半天，在一条小路里面。房间不错的。', '短评打分': 5}
{'短评内容': '特别方便，沈阳站下车即是，晚上可以逛太原街夜市', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店还是很干净、舒适的，只是周边在建房，门前环境有点乱，停车位少。但是房间还是很安静的，不影响休息。', '短评打分': 5}
