{'短评内容': '经常住很方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店。装修很别致。舒服。如果在火车站附近的话强烈推荐。', '短评打分': 5}
{'短评内容': '不错，房间很干净，地理位置不错。第二次住了。', '短评打分': 3}
{'短评内容': '位置不错，房间很干净，只有外表太旧，让人没有信心。', '短评打分': 3}
{'短评内容': '位置不错，房间很干净，只有外表太旧，让人没有信心。', '短评打分': 5}
{'短评内容': '酒店设施好像不够三星级', '短评打分': 5}
{'短评内容': '离火车站很近，交通方便。住的2楼，房间不算大，但是卫生间不错。装修古香古色。窗户对着马路，窗户封闭性不好，晚上有点吵。', '短评打分': 5}
{'短评内容': '交通方便，火车站右拐就能看到，步行几分钟。酒店新装修设施都是新的。就是前台服务人员太少，要排队，效率比较低了', '短评打分': 5}
{'短评内容': '火车站近，后街可以餐饮宵夜。\r\n\r\n但是，商务中心订火车票一张票手续费20元有些土匪', '短评打分': 5}
{'短评内容': '房间里有点味道 不过蛮干净 服务很好 隔音不是很好 要不就是隔壁看电视的声音太大了', '短评打分': 5}
{'短评内容': '+山东宾馆房间干净设施较完备标间单人床很大!卫生间也很大就是没有香皂.房间门有缝隙所以不隔音.总体印象还可以毕竟交通方便价格也可以.', '短评打分': 5}
{'短评内容': '房间小、没有一次性拖鞋，房间味道很重。位置还不错，在火车站旁边', '短评打分': 1}
{'短评内容': '酒店很大，感觉很气派，性价比确实挺高的，但是，隔音效果不是那么的好，网速不是很快……不过，前台的服务相当的好……个人觉得挺适合入住的！！', '短评打分': 5}
{'短评内容': '上网不是很方便.网线总是断断续续的,位置方便,距离火车站比较近.出行还不错.综合来讲还可以.', '短评打分': 5}
{'短评内容': '房间小，不过想想就在火车站附近也值，还可以吧', '短评打分': 5}
{'短评内容': '房间小,硬件设施有些陈旧.不过位置不错挺方便我出行办事的,其它各方面也不错.', '短评打分': 5}
{'短评内容': '位置好方便出行,而且硬件和软件条件也比较到位,综合来讲性价比还是不错的.', '短评打分': 5}
{'短评内容': '酒店的性价比很高.硬件和软件条件在济南来讲都已经算是很好了.服务人员也挺周到热情的,总体感觉还可以.', '短评打分': 5}
{'短评内容': '酒店很方便，离火车站很近，在一个十字路口处，出门打车坐公交都方便。酒店的条件还不错，服务和卫生都不错的。', '短评打分': 5}
{'短评内容': '总体可以，房间面积有点小，能提供电脑，可以入住', '短评打分': 5}
{'短评内容': '环境很好.', '短评打分': 5}
{'短评内容': '位置很好，离火车站和长途汽车站都很近，但是就是热水不太方便。', '短评打分': 5}
{'短评内容': '酒店装修的好，就是太小了，没有椅子，也没有衣柜，自费早餐10元，非常不好，其他很不错，特别方便。', '短评打分': 5}
{'短评内容': '特方便，设施也不错。下次还住这里。', '短评打分': 5}
{'短评内容': '缺乏服务，态度很差，环境很差', '短评打分': 1}
{'短评内容': '房间挺小的卫生设施也不行厕所味道挺大，位置还行离火车站挺近的。', '短评打分': 1}
{'短评内容': '不错，很方便。', '短评打分': 5}
{'短评内容': '房间太小了一点,感觉有点拥挤.早餐应该免费提供给顾客.', '短评打分': 5}
{'短评内容': '对于外地来济南旅游的人来说，还是比较不错的选择。', '短评打分': 5}
{'短评内容': '价格还行，卫生设施一般不能说是特别好，位置还行，服务还好吧，和一般的快捷酒店都差不多。', '短评打分': 5}
{'短评内容': '卫生设施都还行，房间还不错，位置也好找。', '短评打分': 1}
