{'短评内容': '还行，附近小吃比较优惠，只是房价到周五周六都会涨价60元', '短评打分': 5}
{'短评内容': '综合来说不错，离断桥很近，就在宝石山下，当然路名也是宝石山下二弄有点奇怪，有停车场，还有送到火车站服务', '短评打分': 5}
{'短评内容': '一贯的如家风格，除了房间小了点，不过在断桥边上，能理解！', '短评打分': 5}
{'短评内容': '房间不大，设施齐全，也干净，距离西湖很近，早餐也不错，附近还有好几个饭馆，很方便，只是没有电梯。我对中国的宾馆有个建议，就是宾馆的每个房间都应配有电吹风，安装在卫生间干燥部位的墙上，这样也不会丢失，这是我在欧洲十几个国家旅游时见到的，非常方便顾客。在号称世界工厂的中国，电吹风的价格很便宜，作为基本配置应该不难实现，就像现在每个房间都配备电开水壶一样。', '短评打分': 5}
{'短评内容': '房间有点潮湿，其他设施都还可以，离西湖也近。', '短评打分': 5}
{'短评内容': ' 位置不错。。。其他一般。。。总的来说还可以的、、性价比也可以', '短评打分': 5}
{'短评内容': '安静，离西湖也近。里人民大会堂也近。下次还是住这里！', '短评打分': 3}
{'短评内容': '我们住的是209房，好小啊！除了床简直没有别的空间了！太小了！不过这家店距离西湖断桥的距离很近，步行也就几分钟，而且吃也很方便，门口就是好几家餐饮店！', '短评打分': 5}
{'短评内容': '这家酒店很满意，前台服务人员非常热情，西湖旁边限高，虽然酒店只有3层，没有电梯，但是前台有服务人员专门帮客人提行李！比在上海住的酒店强100倍！唯一遗憾的是：周日原本答应把我们送到机场大巴处，结果司机提前下班了，杭州打车真难！！！', '短评打分': 5}
{'短评内容': '很漂亮，离西湖断桥非常近，环境很好，装修也很好，非常满意，下次来杭州一定住这儿。', '短评打分': 3}
{'短评内容': '离西湖比较近，地方也比较安静。下次去西湖，还是会选择这里！', '短评打分': 5}
{'短评内容': '酒店非常非常好，很新。离西湖断桥很近，很喜欢，以后如果再来玩的话一定住这儿，这是我这几天出来玩住的最好的酒店了，哈哈哈哈', '短评打分': 5}
{'短评内容': '所在位置有点难找，费的好大劲才找到酒店，能否在马路边上挂个牌子，标注的酒店的具体位置，大堂有些服务太度不是很热情，如27日晚入住时的当班服务员热情度不够，但第二天中午退房时的女服务倒是很热情，提出表扬一下！', '短评打分': 5}
{'短评内容': '酒店非常干净也很安静服务也不错下次还会住如家赞一个', '短评打分': 5}
{'短评内容': '＋干净，安静', '短评打分': 5}
{'短评内容': '+如家断桥店应该是新加盟的,依山傍水,设施很新,缺点:无电梯', '短评打分': 5}
{'短评内容': '太潮了，，，，，，，，太潮了，，，，，，，除了这个别的都还好！', '短评打分': 1}
{'短评内容': '优点：\r\n   1、感觉干净。\r\n   2、感觉新。其实花了功夫的，离开的那天看见内部的一个员工在给门角补刷刮花的地方。\r\n   3、离系湖近。3分钟即到湖边断桥残雪。\r\n   4、食。很近，出门有几个小店，地方菜，便宜而不缺雅座。人不少。\r\n   5、依山而建，结构巧妙，感觉住在花园内。\r\n   6、服务好。特别是前台那姑娘人不漂亮，但很亲切，很甜，有亲和力。\r\n   缺点：\r\n   1、没有电', '短评打分': 5}
{'短评内容': '酒店在景区内,非常干净,由于是连锁店,所以服务员的服务都比较规范!', '短评打分': 3}
{'短评内容': '酒店在景区内,非常干净,由于是连锁店,所以服务比较规范!', '短评打分': 5}
{'短评内容': '很不错，卫生条件很干净，工作人员服务态度也很好~', '短评打分': 5}
{'短评内容': '地点很好，出门没多远就到西湖，但是房间太小，有些潮湿。', '短评打分': 5}
{'短评内容': '位置非常好，几分钟就走到断桥。出门有几家餐馆，挺方便的。', '短评打分': 5}
{'短评内容': '有些失望！', '短评打分': 1}
{'短评内容': '还行，靠西湖近，房间太小', '短评打分': 3}
{'短评内容': '位置很好，房间很小', '短评打分': 5}
{'短评内容': '屋子小 空调问题有点问题', '短评打分': 5}
{'短评内容': '不错的酒店，我喜欢。\r\n', '短评打分': 5}
{'短评内容': '位置很好 走出去就是西湖 旁边就是市中心 确实潮湿了点 房间好小 ', '短评打分': 5}
{'短评内容': '去西湖方便，或许正是这样房间有点潮湿，还不错。', '短评打分': 5}
{'短评内容': '位置很好，去西湖游很方便，5分钟的路程，吃饭很方便，离公交车站也不远。就是房间依山而建有点潮湿……', '短评打分': 5}
{'短评内容': '位置离西湖很近 就是有蚊子 呵呵 还行', '短评打分': 5}
{'短评内容': '地理位置非常好，到西湖步行仅5分钟，距离杭州多数景点也很方便，服务一流，非常适合自助游客入住。就是酒店指示不太清晰，找酒店入住时有时不大方便。其他都不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店很新，装修不错，就是房间有点小。', '短评打分': 5}
{'短评内容': '酒店离西湖很近，里面很干净，服务员很热情，不足之处就是房间有点小，窗户很小，出于安全考虑，只能开四分之一，不过还是值得推荐的。', '短评打分': 5}
{'短评内容': '   离断桥是不远，但是周边酒店很多，性价比不是很高，依山而建没电梯，累的。服务态度一般，说是接送但是没接也没送过，让打车自己过来。下次去不住这里了。', '短评打分': 1}
{'短评内容': '服务很好 ', '短评打分': 5}
{'短评内容': '住的开心，玩的开心，吃的开心。', '短评打分': 5}
{'短评内容': '房间很幽静，从窗户就能看到保俶塔，离西湖也很近，大概走个五、六分钟就到了，唯一郁闷的是没有电梯……', '短评打分': 5}
{'短评内容': '位置不好找，不过里面环境还是不错的，有点在家的感觉。特别是门口的保安师傅非常不错的人。但是房间隔音效果实在不怎么样。能听到隔壁说话声音。总体感觉还是一个不错的经济型酒店。', '短评打分': 5}
{'短评内容': '服务很好，也很干净。不过房间有点小\r\n只是位置很偏，的士司机找了好久才找到\r\n整体还是挺好的，当然价格要是便宜点就更好了', '短评打分': 5}
{'短评内容': '离西湖很近, 就是不太好找. ', '短评打分': 5}
{'短评内容': '真的很糟糕, 公开信息说好有接送。电话联系说好是老人家来，真要它送就百般推脱,差点耽误火车。另外就是实际销售房间价格比网上的价格便宜，但是偏要按照网络价格执行。向网站投诉了也没有用。房间最大的大床房也只有一米的走道，半扇窗户还被山体挡住，根本无法透气。希望大家别去住这种表里不一的黑店了。强烈要求退还房款！！！', '短评打分': 1}
{'短评内容': '服务人员热情周到，居住环境安全卫生', '短评打分': 5}
{'短评内容': '离西湖很近,服务好.', '短评打分': 5}
{'短评内容': '房间实在太小', '短评打分': 1}
{'短评内容': '酒店很新，很舒适。', '短评打分': 5}
{'短评内容': '酒店里的员工还给我推荐了一家面店，真是又好吃又便宜~', '短评打分': 5}
{'短评内容': '不错的店,离西湖近,就是刚装好有点味到,其他他好的', '短评打分': 5}
{'短评内容': '一样的如家干净、温馨，晚上很安静，酒店小花园晚上可以散散步，很像休闲山庄的味道，停车也很方便，性价比很高，值得推荐。', '短评打分': 5}
