{'短评内容': '一般！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '酒店价格合理，性价比高！想要实惠一点的可以选择，要求高的就要考虑一下了！', '短评打分': 3}
{'短评内容': '酒店很气派，价格很实惠！下次还会继续住！', '短评打分': 3}
{'短评内容': '还是不错的选择，入住的时候刚好搞特价，98元一晚。\r\n就是洗澡间的墙是玻璃的，有点儿不习惯。', '短评打分': 5}
{'短评内容': '酒店人性化不錯,因為參加注稅考試退房晚了些,總臺的服務態度仍很好;\r\n電視不能收鳳凰臺,電話報修開始說可以收,后來又說收不到也沒辦法,需要小改進,但不影響總體評價;\r\n', '短评打分': 5}
{'短评内容': '卫生条件还可以，价格也很合理！适合出差人士选择！我住的房间洗脸池的塞子坏掉了，弄的卫生间地面很多水', '短评打分': 5}
{'短评内容': '酒店标示很醒目很好找，房间很干净，服务态度好。就是卫生间是透明的玻璃隔断，标间两个人的话，洗澡时有点尴尬。', '短评打分': 3}
{'短评内容': '已经住了两次了 感觉很满意 这次住的房子下雨时 漏水了 晕 ', '短评打分': 5}
{'短评内容': '性价比较好，隔音效果有好，貌似是很多酒店的通病。', '短评打分': 3}
{'短评内容': '服务好，房间很干净，总体感觉不错。', '短评打分': 5}
{'短评内容': '非常好找,且容易停车,从酒吧街过去,5分钟', '短评打分': 5}
{'短评内容': '周围比较安静 每晚在南边广场上会有不少人跳舞，就是房间里有蚊子， 很烦人', '短评打分': 3}
{'短评内容': '性价比较高，比较干净，服务员也很勤快。', '短评打分': 3}
{'短评内容': '该装修了', '短评打分': 5}
{'短评内容': '就是位置偏了点。总体还是不错的!!!', '短评打分': 5}
{'短评内容': '对我来说还是比较方便的 比较干净 吃的还算方便 我是北方人 喜欢吃味道重的东西 在酒店南边广场有一家湖南木桶饭，价格适中，味道不错。下次出差我还住', '短评打分': 5}
{'短评内容': '酒店很好。就是位置不是很方便。不好打车', '短评打分': 5}
{'短评内容': '性价比很高，位置稍微有点偏，还好，卫生比较好，基本没跟服务人员打过交道，所以不好评价', '短评打分': 5}
{'短评内容': '卫生、服务、舒适度都很OK，性价比很高，就是没柜子放衣服，还有网速太慢', '短评打分': 5}
{'短评内容': '服务不错，性价比很高，推荐！', '短评打分': 3}
{'短评内容': '交通便利，房间大小适中，很干净、很安静，就是离店当天早上维修水管停止供应热水，有点遗憾！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '酒店外环境不错', '短评打分': 5}
{'短评内容': '不错啊&#183;&#183;&#183;&#183;很喜欢浴室', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '卫生还可以很干净，就是设施不完善，房间里没衣柜，衣服没地方挂，挺简陋的，位置不错很方便，服务也热情周到。性价比不错', '短评打分': 3}
{'短评内容': '房间居然没有打扫，还说我没交代，挺奇怪的。', '短评打分': 1}
{'短评内容': '这家酒店很漂亮，很舒服。住的是108块的大床房，性价比很高。', '短评打分': 5}
{'短评内容': '酒店的服务态度很不错，内部的硬件配备生活设施也都挺好的，也不贵，交通方便。', '短评打分': 3}
{'短评内容': '这家酒店感觉还不错,挺经济实惠的.值得推荐.', '短评打分': 3}
{'短评内容': '这家酒店感觉还不错,挺经济实惠的.值得推荐.', '短评打分': 3}
{'短评内容': '这边出行还是比较方便的，房间的卫生和设施还不错，服务也还好，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,服务也比较热情,但就是酒店的位置有点偏,不太好找.', '短评打分': 3}
{'短评内容': '位置还是不错的,离市中心很近,出行都很方便,房间的卫生和设施也不错,住着很舒适,就是前台服务人员有点少,办理比较慢.', '短评打分': 3}
{'短评内容': '在酒店所在位置，相当超值，且服务很好，值得推荐', '短评打分': 5}
{'短评内容': '108￥的大床房性价比高，但是不推荐入住，原因有下\r\n1.一楼的房间布局有误，住房和厨房仅是隔壁，隔音差，早上5,6点会被吵死\r\n2.服务非常糟糕，电视遥控没电池，亲自去柜台要，被告知回去等送过来，等到退房都没来\r\n3.插座用不了煮水壶，需要用工具撬开插座，谁去住酒店会带螺丝刀的？\r\n4.不卫生，床上有很多发屑之类的东西，你说为了省水不洗嘛我可以理解，但是起码得把床弄干净吧？\r\n5.一开门就有几只', '短评打分': 1}
{'短评内容': '总体来说还是不错啦，唯一一点就是有蚊子！晚上一夜都没有睡好，老是有蚊子的嗡嗡声，被它吵醒几次，没睡好！！！', '短评打分': 5}
{'短评内容': '不错的 酒店，性价比非常高，', '短评打分': 5}
{'短评内容': '性价比高,不错!', '短评打分': 5}
{'短评内容': '空间有点小  卫生还可以  ', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '卫生不错，价格合理。', '短评打分': 5}
