{'短评内容': '房间挺大，就是有异味，然后给我换房间了！！', '短评打分': 5}
{'短评内容': '位置还是不错的,位于火车站附近,出行都很方便,房间的卫生和设施方面也都不错,住着很舒适,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '这是第2次住格林豪泰，第1次是在天津。总体感觉格林豪泰比如家强的多（主要为房间家具，卫生间，电梯，走廊，前台服务等）', '短评打分': 5}
{'短评内容': '酒店位置很方便，旁边就是省立医院。\r\n对面有很好吃的济南糕点老店一大蛋糕。\r\n设施有点陈旧了，总体还不错。\r\n', '短评打分': 5}
{'短评内容': '浴室的地沾水后比较滑，房间隔音效果一般，关着门可以听到门口的谈话声', '短评打分': 5}
{'短评内容': '内部环境挺好的,比较舒适,而且离火车站也比较近,价格也很实惠,住着还是蛮满意的.', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店的位置不错，是挺方便的，服务很好，房间干净舒适，就是床不太舒服，也比较大，房间稍小点，感觉太局促，其实条件还是不错的。', '短评打分': 3}
{'短评内容': '酒店环境不好,设施简陋,不是很雅不温馨,卫生服务很一般,性价比不是很好.', '短评打分': 3}
{'短评内容': '房间有些老化了，墙皮还脱落，房间很小，太局促，可能是住的特价房的缘故吧，卫生还可以，离火车站还比较近，靠近西市场，早餐品种比较少', '短评打分': 1}
{'短评内容': '酒店的位置很好,靠近火车站到附近办事才选的,房间很小,设施很简陋,性价比很一般的酒店.', '短评打分': 3}
{'短评内容': '房间面积太小了，卫生服务都还不错，位置比较一般还算可以吧，价格也算是合理适中的，整体来讲算是比较达标的酒店值得推荐入住。', '短评打分': 3}
{'短评内容': '酒店比较好的地方就是房间的卫生环境挺好的,浴室用着也很好方便,不好的地方就是房间是没有窗户的,所以感觉会有些压抑,而且走廊和楼梯也不是很好,很窄小,安全性不是很高.', '短评打分': 3}
{'短评内容': '位置还是不错的,出行都很方便,卫生服务方面很一般,而且房间还没有窗户,不太舒适,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '整体还可以，但暖气没有，用空调不太舒服，温度不稳定。。。', '短评打分': 5}
{'短评内容': '晚上10点入住，到房间了想洗澡，被告知太晚了，热水没有了。早晨6点多起床洗澡还是没有热水，被告知太早了还没有热水。', '短评打分': 1}
{'短评内容': '整体还不错，说是距离火车站很近，还是有些距离的！', '短评打分': 5}
{'短评内容': '内部设备有点陈旧，酒店内地装饰也偏旧，该更新下了。卫生还可以，无异味，服务业不错。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '房间小，在火车站不好打车，服务较好。如果喜欢上网千万别住这，几乎上不了网。', '短评打分': 1}
{'短评内容': '房间窄了一些,位置有些偏不好找,设施比较全,就住一个晚上也没太多了解.', '短评打分': 3}
{'短评内容': '我住的第一家格林豪泰酒店，无论哪方面都感觉很好。这家酒店尽管距离济南的繁华商贸中心有些距离，但是离火车站很近，起步价就到了，走路估计也不会超过10分钟。下次来济南，还住这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间还算比较干净，卫生和设施还不错，位置还可以，出行还是很方便的，前台的服务也还好，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '感觉还不错，马马虎虎吧', '短评打分': 5}
{'短评内容': '离济南火车站稍有点远，从火车站经一路一直走到经二纬六，路程大约15-20分钟才到，坐1路车要方便些。\r\n酒店很干净，大床房感觉有点小，储物小篮设计的很好，有回到家的感觉，房间很舒适很不错，推荐了。', '短评打分': 5}
{'短评内容': '还不错\r\n', '短评打分': 5}
{'短评内容': '谈不上豪华吧！感觉空空的', '短评打分': 5}
{'短评内容': '酒店挺好，就是价格相对较高', '短评打分': 5}
{'短评内容': '酒店的位置还算不错，挺方便的，硬件设施和整体的环境我觉得都是很不错，虽然是经济型酒店，但是感觉挺不错的。', '短评打分': 3}
{'短评内容': '地段可以,交通方便,服务很好.室内清洁.价格适中.', '短评打分': 5}
{'短评内容': '酒店的环境挺好的，挺干净整洁的。性价比还是比较高的，交通方便。', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面还是可以的,设施方面也比较齐全比较新的,周边环境不是很好,靠近火车站太吵闹了,出行也是很方便的,价格方面感觉还可以了.', '短评打分': 3}
{'短评内容': '酒店服务人员比较热情，客人出入酒店都能问好，可是有点程序化和机械化', '短评打分': 3}
{'短评内容': '房间面积很小，一张大床就把房间填满了，要想活动非常苦难。酒店门前的经二路是单行线，不方便', '短评打分': 5}
{'短评内容': '这个酒店很方便，很适合出差商务，吃饭也不错。', '短评打分': 5}
{'短评内容': '房间干净，布置的不错，就是有两个问题，床实在太硬而且房间过小', '短评打分': 5}
{'短评内容': '酒店的位置很不错，交通方便，而且价格还特别合适，酒店干净设施方面也比较舒适，还是值得推荐的。', '短评打分': 3}
{'短评内容': '酒店的位置比较方便,环境也可以,在经济型酒店中感觉还不错,可以推荐', '短评打分': 3}
{'短评内容': '大床房，房间小了点。', '短评打分': 5}
{'短评内容': '虽然设备不是很新，总体来说性价比还是蛮高的，比较干净，房间也蛮大的', '短评打分': 5}
{'短评内容': '1)酒店性价比非常高，个人觉得在省会城市有这样的旅馆应该是很不错了\r\n2）房间非常干净，整洁，精致，入住感觉很温馨。\r\n3）酒店服务员态度非常好，热情，让人感觉住的很舒心\r\n4）不要以为位置稍微偏，其实济南打车很便宜，7.5元的起步价，比起住泉城广场附近的高价来说，划算多了', '短评打分': 5}
{'短评内容': '屋内设施整洁卫生，就是位置稍微远了一点。', '短评打分': 5}
{'短评内容': '方便，舒适，适合出差暂住。', '短评打分': 3}
{'短评内容': '交通方便，入住感觉也挺好。很适合出差到济南的马上又要继续出差到其他地方的商务人士。', '短评打分': 5}
{'短评内容': '酒店内饰很好，室内整洁，很干净，卫生间很好，房间干净舒适，100分！', '短评打分': 5}
{'短评内容': '交通便利，干净卫生', '短评打分': 5}
{'短评内容': '酒店整体环境条件还是很不错的,卫生服务都很达标；酒店位置不太方便；但还是可以推荐的', '短评打分': 3}
{'短评内容': '142的大床房实在是太小了，多余的空间一点都没有，连窗户都没有', '短评打分': 1}
{'短评内容': '酒店的各方面不错，价格便宜，位置靠近火车站，挺方便的', '短评打分': 5}
{'短评内容': '酒店很一般,设施比较全,房间没有窗户很闷,地理位置还不错.卫生和服务也还可以.', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮不错的,周边靠近火车站交通也蛮方便的,整体感觉还是不错的.', '短评打分': 5}
{'短评内容': '性价比一般，房间太小，交通也不是很方便', '短评打分': 5}
{'短评内容': '住的是商务大床间，临街的房间有点吵，外面机动车声音比较大。其他都比较满意，房间每天还提供2瓶纯净水。房间不算大，不过挺温馨。网速很快，上网很方便。', '短评打分': 5}
{'短评内容': '酒店的性价比还是比较高的；服务培训的也很到位,卫生也不错；交通也很方便；值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，位置出行交通方便，价格合理适中。房间的配置硬件设施舒适度也很好，我觉得很方便，也很干净，感觉比如家条件要好一些，可以考虑入住。', '短评打分': 5}
{'短评内容': '位置比较偏，去火车站需要打车，去机场也不是很方便，也比较远。房间的硬件设施舒适度算是比较达标的卫生服务也很好，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '设施比较一般，床有有点硬，房间挺干净的，不过通风有点不太好，位置还可以，服务也不错', '短评打分': 5}
{'短评内容': '愿意再次入住', '短评打分': 5}
{'短评内容': '酒店人员服务态度比较冷淡，其他方面都挺好的，蛮干净的，价格也挺便宜的。', '短评打分': 5}
{'短评内容': '酒店的环境服务都很好的,酒店的位置也不错的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '比较适合旅游商旅人士', '短评打分': 5}
{'短评内容': '酒店里面是没有用餐的地方,然后周边的餐饮服务晚上关门又比较早,所以吃饭比较麻烦,不过酒店离火车站挺近的,价格也挺便宜的', '短评打分': 5}
{'短评内容': '酒店设施比较新,服务还可以,位置和卫生都不错,我觉得在经济型的酒店里这家算是不错的,性价比很高.', '短评打分': 5}
{'短评内容': '酒店的房间一部分临街,比较吵,环境设施都还不错.位置出行很方便,距离火车站很近，就是早餐品种太少。', '短评打分': 5}
{'短评内容': '出差等入住还可以，比较方便。', '短评打分': 5}
{'短评内容': '除了位置不错，靠近火车站交通挺方便的,其它都很一般了.', '短评打分': 1}
{'短评内容': '服务卫生方面都挺不错的,价格也合适,位置不错交通挺方便的.', '短评打分': 5}
{'短评内容': '酒店的房间一部分临街,比较吵,环境设施都还不错.位置出行很方便,距离火车站很近.', '短评打分': 5}
{'短评内容': '我上次已经说过了', '短评打分': 5}
{'短评内容': '我个人推荐，下次去，我还会住。而其也向我的朋友和同事推荐。', '短评打分': 5}
{'短评内容': '干净整洁，交通方便，周边实施完善', '短评打分': 5}
{'短评内容': '不好！！！\r\n服务差死了！\r\n还那么贵！！！\r\n\r\n看见桌子上的恶心牌子了么？！！！\r\n“大哥~做保健不？”', '短评打分': 3}
{'短评内容': '就是位置太偏了，其他还可以', '短评打分': 5}
{'短评内容': '酒店交通不方便', '短评打分': 5}
{'短评内容': '酒店位置很难找,房间面积很小.原本要入住5天,对酒店很不满意就提前离店了.', '短评打分': 1}
{'短评内容': '山东一行,这个酒店最满意,环境不错,早餐可口,交通也比较方便.附件还有华联,买点特产带回家.', '短评打分': 5}
{'短评内容': '房间布置很温馨，但窗户是坏的，窗纱都破了。房间有点儿太小了，衣橱有，但小的，基本不能用。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我感觉如家快捷酒店很好,每次我出差都愿意入住这酒店,干净温馨,舒适价格也不是很贵,我是在外贸工作的,出差时所以选择这样的酒店又好又经济实蕙.', '短评打分': 5}
{'短评内容': '环保型的酒店,很喜欢绿色的自然感觉,入住舒适,性价比高', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Red&quot;&gt;之前和前台接待员和值班经理的对话，他们对我认真的承认错误，对话我全都录下来了！！！如果不信可以听！！！\u3000\u3000关于烂鸡蛋！！！照片我也发上来了！！！自己看！！！看看这个酒店！！！！到底是什么样子的！！！&lt;/font&gt;', '短评打分': 1}
{'短评内容': '&lt;font color=&quot;Red&quot;&gt;半个月前已经通过亿龙预定了一间商务大床房，说好最早6：30分到，今天坐了一夜的火车，疲惫地来到这家酒店，本想着赶紧好好地睡上一觉，但是他们竟然告诉我没有房间！！！天啊！！！没有房间！！！我半个月前预定了的，竟然告诉我没有房间！！！前台服务员一直跟我道歉，我把火压下去在前面等着。当时天还黑着呢，但是知道吗？我等到了天亮，等了两个小时', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&lt;font face=&quot;黑体&quot;&gt;Sample Text&lt;/font&gt;感觉比较温馨。服务态度也很好，就是大床房面积小了一点。还送了一个读卡器值了。&lt;br /&gt;\n外面横幅拉一个60元/4小时的横幅有点让人不舒服。觉得网上的价格还可以再优惠点。', '短评打分': 5}
