{'descr': '床非常干净，地面干净，服务人员态度很好我十分满意', 'star': 5}
{'descr': '没想到马路对面的胡同里走进去就是后海西沿,有很安静而舒服的咖啡厅,有湖边的茶座,还有不错的餐厅,比荷花市场那边感觉好很多.安静的多.', 'star': 5}
{'descr': '没想到马路对面的胡同里走进去就是后海西沿,有很安静而舒服的咖啡厅,有湖边的茶座,还有不错的餐厅,比荷花市场那边感觉好很多.安静的多.', 'star': 5}
{'descr': '酒店的条件还不错,就是房间面积小了点,不过蛮干净舒适的,价格也比较适中,还是可以值得推荐的了.', 'star': 5}
{'descr': '酒店的条件还不错,就是房间面积小了点,不过蛮干净舒适的,价格也比较适中,还是可以值得推荐的了.', 'star': 5}
{'descr': '他们酒店的硬件条件还是不错的，位置也挺好，比较方便，价格适中，就是我们去的时候，酒店好像在改造装修，所以我们还没退房酒店就让我们来回换房间，我觉得除了这点不好以外，其他都不错。', 'star': 5}
{'descr': '他们酒店的硬件条件还是不错的，位置也挺好，比较方便，价格适中，就是我们去的时候，酒店好像在改造装修，所以我们还没退房酒店就让我们来回换房间，我觉得除了这点不好以外，其他都不错。', 'star': 5}
{'descr': '酒店位置非常好,房间里面也很干净整洁,就是经常会有人向里塞小卡片,感觉不太好.', 'star': 5}
{'descr': '酒店位置非常好,房间里面也很干净整洁,就是经常会有人向里塞小卡片,感觉不太好.', 'star': 5}
{'descr': '酒店整体的条件还算可以，环境服务和设施都不错，就是离地铁站远了一点，不是很方便，办他们锦江之星的会员卡要100块，太贵了，其他的我觉得都还不错。', 'star': 5}
{'descr': '酒店整体的条件还算可以，环境服务和设施都不错，就是离地铁站远了一点，不是很方便，办他们锦江之星的会员卡要100块，太贵了，其他的我觉得都还不错。', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的,设施条件也比较不错的,价格也蛮合适的.', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的,设施条件也比较不错的,价格也蛮合适的.', 'star': 5}
{'descr': '酒店还成吧,挺好的,环境也很舒适,很安静,而且价格也不贵', 'star': 5}
{'descr': '酒店还成吧,挺好的,环境也很舒适,很安静,而且价格也不贵', 'star': 5}
{'descr': '经济实惠，设施条件也可以，唯一需要提高的就是我当时从机场打车出来问酒店怎么过去，他们也说不清楚路线，感觉服务欠缺', 'star': 5}
{'descr': '经济实惠，设施条件也可以，唯一需要提高的就是我当时从机场打车出来问酒店怎么过去，他们也说不清楚路线，感觉服务欠缺', 'star': 5}
{'descr': '都还可以', 'star': 5}
{'descr': '都还可以', 'star': 5}
{'descr': '服务非常好，周边环境很好，离地铁大概有6分钟左右，周边吃饭，游玩都很方便，值得推荐', 'star': 5}
{'descr': '服务非常好，周边环境很好，离地铁大概有6分钟左右，周边吃饭，游玩都很方便，值得推荐', 'star': 5}
{'descr': '酒店挺干净,设施比较好周边环境也不错,各方面都很满意', 'star': 5}
{'descr': '酒店挺干净,设施比较好周边环境也不错,各方面都很满意', 'star': 5}
{'descr': '服务态度很不错，卫生方面有待改进。不过还算不错的', 'star': 5}
{'descr': '服务态度很不错，卫生方面有待改进。不过还算不错的', 'star': 5}
{'descr': '酒店很干净，而且价格合适，离后海几步之遥。。。交通方便，到积水潭地铁站6、7分钟路程。接待小姐服务不错。。。吹风机不太方便借到，有点麻烦。', 'star': 5}
{'descr': '酒店很干净，而且价格合适，离后海几步之遥。。。交通方便，到积水潭地铁站6、7分钟路程。接待小姐服务不错。。。吹风机不太方便借到，有点麻烦。', 'star': 5}
{'descr': '服务方面都还好，就是吹风机不够用', 'star': 5}
{'descr': '服务方面都还好，就是吹风机不够用', 'star': 5}
{'descr': '酒店特别干净，位置也很好，交通便利，要是价格在低点就更好了', 'star': 5}
{'descr': '酒店特别干净，位置也很好，交通便利，要是价格在低点就更好了', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '酒店价格很便宜,位置也不错,离后海不是很远,外出旅游还是可以优先选择的', 'star': 5}
{'descr': '酒店价格很便宜,位置也不错,离后海不是很远,外出旅游还是可以优先选择的', 'star': 5}
{'descr': '李后海酒吧都好近，走路3分钟就可以游后海了，酒店态度还不错的，酒店旁边有家小餐馆的驴肉火烧很好吃', 'star': 5}
{'descr': '李后海酒吧都好近，走路3分钟就可以游后海了，酒店态度还不错的，酒店旁边有家小餐馆的驴肉火烧很好吃', 'star': 5}
