{'短评内容': '早餐还不错', '短评打分': 4}
{'短评内容': '应该是济宁市最好的酒店了。市中心地段，里面设施很好。环境很干净，早餐也很丰富。就是酒吧关闭时间较早', '短评打分': 5}
{'短评内容': '酒店设施一般，家具等档次较低，不符合四星标准，服务还好，价格偏高，在三线城市中300多的价格很难让人接受', '短评打分': 5}
{'短评内容': '总体上还可以', '短评打分': 5}
{'短评内容': '隔音差，不像四星酒店，服务一般。', '短评打分': 1}
{'短评内容': '酒店是新的，洗浴设施却很陈旧，二手货？马桶长流水，原来西南干旱的原因在这儿！城市很三线，房价确是一线。', '短评打分': 5}
{'短评内容': '主要是位置方便，挺喜欢这里的，设施也不错。', '短评打分': 3}
{'短评内容': '标准的4星酒店，地理位置也较方便，价位也可以，挺好的。', '短评打分': 5}
{'短评内容': '总体不错，卫生间洗澡设施一般。', '短评打分': 5}
{'短评内容': '性价比还可以 ，服务也好 。', '短评打分': 3}
{'短评内容': '挺好的 ，主要是地理位置优越。', '短评打分': 5}
{'短评内容': '该酒店总体来说还是可以的，相对于一个四星级的酒店，还是应该比较可以入住的。', '短评打分': 5}
{'短评内容': '每次都住这，这次房间太冷，空调还吹冷风', '短评打分': 5}
{'短评内容': '位置还不错，住了好几次了', '短评打分': 5}
{'短评内容': '酒店位置很好，离商业区很近，房间布置的很温馨，早餐的种类非常多', '短评打分': 5}
{'短评内容': '酒店服务很好，设施也可以，还有水果送，298元比较物有所值。', '短评打分': 5}
{'短评内容': '很好很强大，超强的性价比', '短评打分': 3}
{'短评内容': '不错的宾馆', '短评打分': 5}
{'短评内容': '酒店环境好，服务好，推荐其他网友前去。', '短评打分': 3}
{'短评内容': '房间大，干净，推荐入住', '短评打分': 5}
{'短评内容': '一般性酒店，不是太差，也没有太多特色', '短评打分': 5}
{'短评内容': '一般情况，感觉和四星有点差距', '短评打分': 3}
{'短评内容': ' 早餐需要改进啊，每天都一样', '短评打分': 3}
{'短评内容': '早餐还是有待改进，连住两天，早餐差不多。如果要住一周的话，估计我要吃吐了', '短评打分': 3}
{'短评内容': '酒店各方面都还行，就是出门吃饭的地方太少了点', '短评打分': 5}
{'短评内容': '酒店整体还不错 就是在济宁那里价位有点高 ', '短评打分': 3}
{'短评内容': '酒店隔音不好，晚上十一点左右，隔壁的叫床声音比较大，时间且长，闹心，不象普通良家的叫声', '短评打分': 5}
{'短评内容': '地理位置很好,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,我很满意.', '短评打分': 3}
{'短评内容': '该酒店地理位置非常的好，周围距美食街1公里，地处市中心稍偏北一点，卫生条件非常好。就是价位在二线城市稍有点高。', '短评打分': 5}
{'短评内容': '挺好的酒店，每次基本都住这', '短评打分': 3}
{'短评内容': '还可以，就是经常订不到', '短评打分': 3}
{'短评内容': '很不错的酒店，下次还去', '短评打分': 3}
{'短评内容': '酒店房间里的地毯有点脏,好像每次打扫都不打扫地毯,不过其他方面都还挺好的,环境也不错,整体性价还是比较理想的,在当来说还是不错的一家了.', '短评打分': 3}
{'短评内容': ' 酒店给我的总体感觉还是不错的 就是价格有点高 不过还可以接受 ', '短评打分': 5}
{'短评内容': '酒店干净，商务单间有电脑，上网速度快。早餐品种较多。', '短评打分': 5}
{'短评内容': '在济宁来说他的位置还可以，挺方便的，价格也比较合适，内部的硬件设施和服务都很不错，再去还可以住这。', '短评打分': 3}
{'短评内容': '二楼的酒吧，晚上还营业，在济宁比较少见，还有无线', '短评打分': 3}
{'短评内容': '酒店的暖气是集中供暖的，当时那边在下大雪非常冷。其它都还好，价格合理，位置也比较方便，还是可以考虑入住的酒店。', '短评打分': 3}
{'短评内容': '窗户的质量不是特别好，个别有密封不严的，马路上的汽车声音过大', '短评打分': 3}
{'短评内容': '硬件设施还可以舒适度也还不错,卫士比较一般地毯的局部卫生是比较差了一些,服务还是比较好的.位置也很好找,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '卫生服务方面做的都很不错,我很满意,但就是房间的隔音效果不太好,另外就是位置有点偏,交通不太方便.', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都很不错，位置出行交通方便，价格合理适中，房间的配置舒适度也比较达标，出行交通也很方便，值得推荐入住。', '短评打分': 3}
{'短评内容': '除了窗户不严，外面的车流动静大，都好', '短评打分': 5}
{'短评内容': '房间内的设施让客人感觉很细心周到，房间也很干净，被褥很新，暖气很足，还有免费的水和水果赠送，数字电视，总之一切我们都很满意！只是前台服务员感觉不是很专业！\r\n', '短评打分': 5}
{'短评内容': '位置一般，但是离博物馆比较近，可惜博物馆最近在装修而且何时搞好也不知道。前台态度一般，在济宁这个价位与这种态度不符合，有待提高。2楼的自助餐不错，建议中午去，性价比高！', '短评打分': 5}
{'短评内容': '   还不错吧', '短评打分': 5}
{'短评内容': '在济宁也就这样了，没什么可挑的的了', '短评打分': 5}
{'短评内容': 'Good hotel, good service', '短评打分': 5}
{'短评内容': '还是不错的酒店，在济宁算是不错的了', '短评打分': 5}
{'短评内容': '济宁来说就不错了', '短评打分': 5}
{'短评内容': '很好，还不错', '短评打分': 3}
{'短评内容': '住的不错，很好。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '干净,可以同时两台电脑上网', '短评打分': 1}
{'短评内容': '服务很好，早餐内容丰富。', '短评打分': 5}
{'短评内容': '属于济宁很好的酒店，设施很新，位置不错，价位稍高', '短评打分': 5}
{'短评内容': '可推荐', '短评打分': 5}
{'短评内容': '交通非常便利，附近有个小吃街，可以找到有特色的地方美食。低价位的地板房间性价比很高，感觉要比高价位的地毯房间干净整洁，酒店刚装修过，被褥，毛巾很新。\r\n\r\n', '短评打分': 5}
{'短评内容': '位置方便，卫生较干净，隔音效果欠佳。其他还可以。前台服务尚可。', '短评打分': 3}
{'短评内容': '交通非常便利，附近有个小吃街，可以找到有特色的地方美食。低价位的地板房间性价比很高，感觉要比高价位的地毯房间干净整洁，酒店刚装修过，被褥，毛巾很新。', '短评打分': 5}
{'短评内容': '整体来讲还不错,位置很好,交通比较方便,房间的设施也很齐全,下次来的话还会选择这家酒店.', '短评打分': 3}
{'短评内容': '酒店的服务人员的态度很差,一点都不热情,办事效率也慢.住宿条件一般了,周边交通还可以了,价格方面还算比较合适.', '短评打分': 3}
{'短评内容': '酒店的装修很好，房间大，很宽敞，就是隔音不好，两间好象是用隔断隔开的，隔壁开关门，或是拿钥匙都听的清清楚楚的，总感觉有人要开我的房们似的，给人不安全', '短评打分': 5}
{'短评内容': '整体马马虎虎，但我住的时候电梯坏了一个。而且电梯几乎每层楼都停。等个电梯可能要六七分钟。失望', '短评打分': 5}
{'短评内容': '舒适、干净、值得推荐！', '短评打分': 5}
{'短评内容': '没有会说英文的', '短评打分': 3}
{'短评内容': '没有会英文的', '短评打分': 5}
{'短评内容': '酒店整体入住感觉还是可以的,经济实惠,环境也很好,很舒适,干净；位置也不错', '短评打分': 5}
{'短评内容': '整体感觉不错，服务和卫生条件也不错，就是五一期间价格有点高', '短评打分': 5}
{'短评内容': '酒店的价格稍微有些偏高，硬件设施舒适度都还不错，位置出行交通方便，卫生服务也很不错，值得推荐入住的酒店类型，下了高速最近的一家酒店，很好找的。', '短评打分': 5}
{'短评内容': '前几天入住一天，早9点外出，晚上9：30 返回后发现，房间还未打扫干净，晚上网络也上不去，不解！此次将是我最后一次入住该店。', '短评打分': 1}
{'短评内容': '酒店各方面感觉都还可以，而且位于市中心区，交通很方便，而且价格也比较适中。', '短评打分': 5}
{'短评内容': '酒店的价格合适，选择这里离我办事地方很近，而且给我的感觉很舒服。', '短评打分': 5}
