{'短评内容': '京东酒店的服务还是蛮不错的，下单方便也便宜。', '短评打分': 5}
{'短评内容': '位置非常好，去机场、地铁还有旅游的几个重点位置交通都方便；性价比也不错，旁边都是4、5星级云集的地段，这个价格很适合自己出行；服务也不错，服务生素质都挺高的。希望以后还能有好的居住体验！就是房间略微显小了点，酒店大堂客位少，来人等待没有足够座位。', '短评打分': 5}
{'短评内容': '房间小些，靠美国使馆近，办理签证方便，商务中心简单。', '短评打分': 3}
{'短评内容': '离美国大使馆步行仅十分钟，非常方便。酒店工作人员态度很好。\r\n房间不是很大，卫生情况还比较好。但是感觉暖气不够大。', '短评打分': 5}
{'短评内容': '酒店服务很好，', '短评打分': 5}
{'短评内容': '房间太小。转不开身，比较适合一个人入住。办签证就比较近了。周围没有什么吃饭的地方。不过干净，也安静。', '短评打分': 5}
{'短评内容': '三个房间都有噪音而且还有一个房间的空调不暖和里面的卫生还行,性价比是很一般的.', '短评打分': 3}
{'短评内容': '位置很好\u3000\u3000里使馆很近', '短评打分': 3}
{'短评内容': '由于在公司旁边，所以才住在那里', '短评打分': 5}
{'短评内容': '环境很安静，交通也比较方便，值得推荐', '短评打分': 3}
{'短评内容': '垃圾的没法在垃圾了，，，，无烟房里都呛得看不见人，脏的要命，我投诉都不管用，', '短评打分': 1}
{'短评内容': '该酒店实在是服务周到，虽然房间不大，但是干净整洁，而且隔音效果特别好。 并且交通方便。\r\n以后每次来办事我都会选择该酒店！  ', '短评打分': 3}
{'短评内容': '赴京签证的最佳选择!', '短评打分': 5}
{'短评内容': '地理位置一般，只不过在我们公司旁边而已，说实话，设施不行！而且每天都很忙，服务员服务态度一般，尤其在餐厅吃饭，我们点了8个菜，吃了1个小时才全部上完菜', '短评打分': 3}
{'短评内容': '由于在公司旁边，所以才住在那里，但是酒店设施很破，朝北的房间有居民楼，晚上住时必须要拉窗帘', '短评打分': 5}
{'短评内容': '地点比较方便，在美国大使馆背面。\r\n房间很小，设施一般。卫生一般。不过价格也就不到300，所以可以忍受。\r\n', '短评打分': 1}
{'短评内容': '对面就是美国大使馆。近地铁站，就是只有难找哟。', '短评打分': 5}
{'短评内容': '位置还是比较好找的交通挺方便,酒店内部还是挺安静,消费券当时我也使用过8张了感觉还行,而且如家酒店也还是挺不错的,性价比也挺好的,总体还是比较满意的.', '短评打分': 3}
{'短评内容': '交通便利，入住非常方便。设施也可以，以后还会选择这家。', '短评打分': 3}
{'短评内容': '前台服务很好。就是夜间空调不好，被子太薄。', '短评打分': 5}
{'短评内容': '如家一贯的干净，总体感觉不错', '短评打分': 5}
{'短评内容': '浴巾和毛巾该换了\r\n', '短评打分': 5}
{'短评内容': '适合办理签证 很方便', '短评打分': 5}
{'短评内容': '地理位置非常好，交通便利。前台办理入住用时较长，需改进。', '短评打分': 5}
{'短评内容': '经济型的酒店也就这样了,没什么特色,就是比较经济实惠.', '短评打分': 3}
{'短评内容': '交通不错地段中心。有地铁可到达。房间不是很大。', '短评打分': 5}
{'短评内容': '这家感觉挺好的,很温馨,当时去那附近办事,觉得方便,如果要去北京玩,住这就有些偏了,而且这个价格有些偏贵.', '短评打分': 3}
{'短评内容': '位置好，设施有点差', '短评打分': 5}
{'短评内容': '去美国使馆签证，它将是您做好的选择，出门直走左转就到了。\r\n店如其名，有像家一般的感觉。\r\n不管是房内的设施，还是服务员的态度，都很满意\r\n但是白天人多了，前台就有点忙乱，建议改进一下', '短评打分': 5}
{'短评内容': '靠近美国使馆是它的最大优点 ', '短评打分': 5}
{'短评内容': '酒店的位置时非常好的,交通比较方便,设施也比较齐全,卫生服务方面也都比较好,还是一家很不错的酒店.', '短评打分': 3}
{'短评内容': '交通不是很方便，其他方面与价格相比还是成正比的。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，房间比较干净，位置也不错，外出方便，总的来说性价比还可以，值得推荐', '短评打分': 5}
{'短评内容': '前台服务态度一般，房间较小，价格也不便宜，但房间布置温馨，地理位置对于去美国使馆办签证很有利。', '短评打分': 5}
{'短评内容': '房间特别干净，服务也不错，价格有点贵', '短评打分': 5}
{'短评内容': '很不错的酒店,干净舒适,价格也很适中,交通也很方便；总体感觉性价比还是较高的,下次有机会过去,还会选择这家酒店；', '短评打分': 5}
{'短评内容': '房间里的浴室墙上有一个小窗户,没有什么帘啊的来遮挡的东西,而且对面又是高楼,所以洗澡的时候都不敢开灯,而且发现房间的墙有一面竟然是木头的,感觉安全性也不是很好,周围的交通也不是很方便,要走出使馆区才能坐车.', '短评打分': 1}
{'短评内容': '环境不太好，房间太小了，设施也不行，最大的优势就是位置好，离美国使馆比较近', '短评打分': 5}
{'短评内容': '酒店的性价比还是不错的，值得推荐', '短评打分': 5}
{'短评内容': '酒店的位置很好，我主要是去办签证，所以这个位置很方便，人员的服务也还不错，房间干净，我觉得还是不错的，只是如果不是特意来办事，可能不会选这个位置的酒店。', '短评打分': 5}
{'短评内容': '酒店还是挺不错的，硬件条件，人员服务，房间干净整洁，都很好，而且我觉得他离使馆区近，去办签证很方便，交通也算是挺便利的。', '短评打分': 5}
{'短评内容': '热！冷气细若游丝，感觉不到。工人来检查后称正常。蚊子很肥，一夜难眠。距美国使馆签证处3分钟步行，只为次日上午的面签，忍受一夜。', '短评打分': 5}
{'短评内容': '酒店的服务挺热情周到的,房间里卫生弄的挺干净的,设施也比较齐全,价格还可以了.', '短评打分': 5}
{'短评内容': '服务态度很一般，位置离大使馆近要是办签证的话很方便，价格在北京还是挺适中的', '短评打分': 5}
{'短评内容': '酒店的位置很好的,整体的环境设施都很好的,服务卫生不错的,', '短评打分': 5}
{'短评内容': '服务态度一般。对除如家会员以外的客人有歧视。客房对其会员以外的客人的延时要求不支持。', '短评打分': 1}
{'短评内容': '本来对其他如家分店的感觉很好,服务很到位,问候不断,很有礼貌,可是去了燕沙二店后对前台服务员彻底寒心了,态度冷淡,一脸的不耐烦,爱谁谁的样子,好像欠她钱一样,一个笑容都没有过,住的那几天没少给自己填堵.酒店的电脑有问题,不能打印东西,比较麻烦,前台也不管,比较气人,明明就是不忙的时候,就是不管你.可能是酒店太火,服务员太累, 可是开门做生意就应该保持如家的一贯作风才行啊. 不过其他的还是不错的,地', '短评打分': 5}
{'短评内容': '唯一感觉好的是它的地理位置,其它的没什么好的,大床房的床太差,席梦丝骨都露出来了,一坐几乎就到地板上了,太软了,睡得人不舒服.相对来讲贵了,下次不去了', '短评打分': 1}
{'短评内容': '去美国大使馆签证没有比如家更方便实惠的了。总体来说，如家住宿还是不错。但是还有些不尽如人意的地方。\r\n刚入住就发现床罩上有污渍，请客房人员来换，说其实没关系，就是没洗干净。不过还是重新换过。\r\n商务中心的电脑故障，无法上网，无法打印，确实不方便。\r\n房间的插座不匹配时，服务台仅有两个多功能插头，根本不够用。\r\n没有禁烟客房，房间里总有烟味。\r\n房间里的白毛巾都发黄或发黑，无法使用。\r\n此外，如家的', '短评打分': 5}
{'短评内容': '酒店的服务一般，不过还是挺舒服的，而且位置很好，交通很方便，价格适中。', '短评打分': 5}
{'短评内容': '地理位置不错，方便快捷整洁经济。', '短评打分': 5}
{'短评内容': '地理位置不错靠近大使馆,适合办签证的入住,交通挺方便的,服务卫生也可以. 价位稍微偏高些', '短评打分': 5}
{'短评内容': '地理位置不错靠近大使馆,适合办签证的入住,交通挺方便的,服务卫生也可以. 价位稍微偏高些', '短评打分': 5}
{'短评内容': '酒店的房间小了点，其他都还不错，性价比也很好', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我们是大年初一到达的&amp;quot;如家&amp;quot;燕莎二店，店面虽说不大，但是总体的感觉很好，真的有种“家”的感觉。我们要的是大床间，房间不大，但是干净、温馨，让人感觉很舒适。个人觉得房间的色调比较适合女人。另外酒店的网速也很快，下次出门还到“如家！^_^&lt;br /&gt;\n惟一的缺点就是所在的位置太隐蔽,让我们实实在在的找的半天.不过,酒店有专门的停车场,停车还是很安全的.', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;看到大家对该酒店的评价不错，上周去签证时也选择的该酒店。房间布置很温馨，卫生间也很干净。但是环境没想象中那么安静，晚上睡觉经常被外面的声音吵醒。而且蚊子特别多，虽然屋内有驱蚊的，但是没什么效果。但总体来讲还是很好的，位置也不错，到德国使馆十分钟车程就到了，以后可能还会选择该酒店的。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '不错，很方便，也很安静。', '短评打分': 3}
{'短评内容': '确实不错。早餐10元自助很丰盛。附近中信大厦就有到机场的大巴。', '短评打分': 5}
{'短评内容': '我是5月1号--6号在这里住的，住的是大床房，房间很干净，电脑上网也很快很方便，虽然在希尔顿后面，但是出租车很多的，打车很方便，下次去还住这里。', '短评打分': 5}
