{'短评内容': '锦江是我爱我家，我会长来了，推荐朋友住，点赞', '短评打分': 5}
{'短评内容': '明明订的是高级房,结果给了经济房却说是高级房,还说没有房间不能换了.位置很嘈,天花板剥落,空调根本不制冷,洗浴间没有门,早餐没有选择,却需要近200元.周边任何一间酒店或者100元以上的宾馆都要比这里好.', '短评打分': 1}
{'短评内容': '+清晖店位置很方便服务很好', '短评打分': 5}
{'短评内容': '位置很好, 近步行街, 係清暉園後面, 但附近食店唔多, 要大約10分鍾路程', '短评打分': 5}
{'短评内容': '每次去顺德大良都住这间酒店，已经是第三次了。总体是不错的！价格在南方顺德这样的城市不算贵，服务业可以。希望其他朋友去大良选择者间酒店、、、、、', '短评打分': 5}
{'短评内容': '地理位置非常好，服务业很好，错过了自助早餐……，房间对着公共厕所……', '短评打分': 5}
{'短评内容': '很方便在老街中间，买东西吃饭都不错。旁边清晖园。', '短评打分': 5}
{'短评内容': '位置不错，周围很热闹的，算是性价比还好的吧～～', '短评打分': 5}
{'短评内容': '位置很好，在大良步行街的中间。酒店环境也很好，很舒适，价钱又便宜，不错', '短评打分': 5}
{'短评内容': '+酒店地段方便逛街，但吃饭不方便。酒店设施可以，服务也不错。早餐比中山石歧店差一些，总体还不错。', '短评打分': 5}
{'短评内容': '房间很小，但是卫生还可以。在步行街上，位置还可以。', '短评打分': 5}
{'短评内容': '去佛山玩，在步行街上，周边环境不错，挺好的。', '短评打分': 5}
{'短评内容': '酒店生意很好，当晚到的时候，已经是最后两间房了，前台还在不断打电话取消预订。\r\n我的房间很好，朋友的房间小很多，虽然是一样标准的。\r\n因为窗外是座小山，所以建议选择较高楼层，视野会比较好，但低一点就很无奈了。\r\n位于顺德的步行街，步行街很有老西关风味儿，不错。', '短评打分': 5}
{'短评内容': '+迷你房床小點，其實1米8也可以，摳了點，不過地理位置挺好，在步行街，樓下有馳名民信雙皮奶，還有附近一家中藥店涼茶非常地道', '短评打分': 3}
{'短评内容': '迷你房床小點，其實1米8也可以，摳了點，不過地理位置挺好，在步行街，樓下有馳名民信雙皮奶，還有附近一家中藥店涼茶非常地道', '短评打分': 5}
{'短评内容': '老根据地了，本次入住遇到一个少年武术表演赛，人多，小孩子也很调皮，可能因为这个把，服务不是很好，脸上不再有笑容，可惜', '短评打分': 5}
{'短评内容': '本次入住酒店时，厕所周边有点污迹，没有擦干净，其他都很满意', '短评打分': 5}
{'短评内容': '房間空調冷度不足，下午時間会很焗！！', '短评打分': 5}
{'短评内容': '没啥好说的！！！\r\n反正要是再去佛山的话，它是我的不二选择！！！', '短评打分': 5}
{'短评内容': '环境还好，就是大小跟网上说的不符。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '帮我弟弟预定的，弟弟住了以后觉得非常不错。装饰比较现代简洁，卫生也不错。', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '环境干净，价钱合理！', '短评打分': 5}
{'短评内容': '2010-5-14入住豪华双人房，记得是518房，非常满意，房间很宽敞，两张床都很大，整体很漂亮，非常安静，窗外一片绿意盎然，早上起来可以听到鸟叫声，出门就是步行街，我们是去探友加逛街的，住行都非常理想。', '短评打分': 5}
{'短评内容': '我定的是迷你房，真的很迷啊！不过还是比较安静的！', '短评打分': 3}
{'短评内容': '身处闹市区，距离顺德的繁华地段很近，交通便利，不错！', '短评打分': 5}
{'短评内容': '位置很好，卫生等都不错', '短评打分': 5}
{'短评内容': '不错的酒店，位置很好', '短评打分': 5}
{'短评内容': '靠近步行街，位置好。', '短评打分': 5}
{'短评内容': '环境不错，就是早餐太差\r\n', '短评打分': 5}
{'短评内容': '303房间的空调哒哒响影响休息，修一下吧。酒店双人间只放一套用具，提出要才加多一套，我们是两个人住呀。第一天就算了，后续三天还是提出要才送来。主动点嘛。', '短评打分': 5}
{'短评内容': '安静,干净,到大良出差的首选,很满意,下次还会入住!', '短评打分': 5}
{'短评内容': '1.靠街道的房间太吵；\r\n2.没能洗上热水澡。\r\n3.早餐的品种太少，只有烤肠，没有其它的肉类食物。', '短评打分': 1}
{'短评内容': '酒店位置好 安静 不错', '短评打分': 5}
{'短评内容': '在经济型酒店中叶算得上比较满意的了', '短评打分': 5}
{'短评内容': '最喜欢哪里的位置', '短评打分': 5}
{'短评内容': '地段很好！很方便！但是淋浴设施不太行，热水温度不定，时冷时热。', '短评打分': 5}
{'短评内容': '每次来顺德都来这家城市客栈，因为它就在顺德步行街，可以吃那边的双皮奶，呵呵', '短评打分': 5}
{'短评内容': '酒店门口就是步行街，方便购物。城市咖啡的菜很好吃。推荐！', '短评打分': 5}
{'短评内容': '1.在網上我是想預訂迷你房的,親自打去酒店咨詢得知這種方型有16方,想想還可以吧.價格還不便宜呢.誰知去到.一看....連轉身的位置都沒有.結果換了218元的房型才免強住上了.這種房型也是很很很小的.\r\n\r\n2.酒店的餐廳很&quot;黑&quot;真的很會賺錢,早餐我不吃他送的免費餐.親自在餐廳打包自己提上房間吃,還要收我10%的服務費.天啊!!!!!而且便宜的東西都沒有,貴的就有了,一個粥.一', '短评打分': 1}
{'短评内容': '交通便利，出门到旅游景点、购物都方便。', '短评打分': 5}
{'短评内容': '可惜安静的房间被叫做豪华房，就是窗户靠山，不吵', '短评打分': 5}
{'短评内容': '在顺德旅游两天，住清晖店。总体感觉城市客栈不错，但是作为“客栈”，为何不在普通的双人房墙壁上面挂些艺术品，进入房间感觉墙壁空空。。。给旅游留下一段空白的时间。', '短评打分': 5}
{'短评内容': '酒店楼道空气有股很大的霉味，空气不好。另外，窗户的锁是坏的，由于关不紧，晚上噪音非常大，很难入睡，而且对旅客的安全也是一个隐患。其他方面还行。', '短评打分': 5}
{'短评内容': '我觉得房间比较大，环境还可以，虽然酒店在比较中心的位置，但是标志不太明显，有点不太好找，当地出租车司机有好多都不知道', '短评打分': 3}
{'短评内容': '位置挺好的,靠近步行街,而且酒店环境也很不错,住着比较舒适,物有所值,很值得推荐.', '短评打分': 3}
{'短评内容': '沒風筒.沒保險櫃.沒冰箱.床太小.198不太值喔--.', '短评打分': 1}
{'短评内容': '酒店位置不错，出入挺方便，只是单人间房间太小，配置不够', '短评打分': 5}
{'短评内容': '这次去顺德就这间酒店最让人满意。酒店楼下那条华盖路真的很差，去到让人目瞪口呆的。都是那些很CHEAP的衣服，吃东西打的去东乐路那边吃就行，挺好吃的。打的不贵，最多不过10块。至于酒店的环境就挺干净的，单人房和双人房虽然是一样价格，但是双人房明显大很多，厕所也漂亮很多，单人房显得很窄。还有，酒店里是没有风筒的。', '短评打分': 5}
{'短评内容': '房间很小有点压抑,但是很干净一般连锁酒店都这样,位置很好周边吃饭很方便.', '短评打分': 3}
{'短评内容': '酒店环境和条件挺差的，别的方面也很一般', '短评打分': 3}
{'短评内容': '酒店整体感觉性价比一般，地毯有股发霉味道，服务还不错', '短评打分': 1}
{'短评内容': '酒店卫生方面不错，地理位置也挺好的，交通很方便', '短评打分': 5}
{'短评内容': '位置很好,很方便,房间看起来也比较整洁,服务也还好,就是感觉通风不是很好,洗涤用品比较旧,尤其是毛巾.', '短评打分': 5}
{'短评内容': '168的小迷你房，不明白什么东东都只备一套，包括牙刷、拖鞋什么的，想不通', '短评打分': 5}
{'短评内容': '酒店的位置很好，距清晖园仅几百米，而且地处中心街，购物很方便。酒店房间很干净、宽敞，只是晚上略有一些吵。早上的自助餐很一般。从性价比来讲，这是一间很不错的酒店。', '短评打分': 5}
{'短评内容': '服务周到，环境设施也不错，酒店的位置挺好的，价格也很便宜', '短评打分': 5}
{'短评内容': '这家酒店位置很好,硬件舒适度还不错,值得入住的酒店.', '短评打分': 5}
{'短评内容': '这次住了个迷你房，果然很迷你，实在是小。除了这点不足，其他都很不错，尤其下面的餐厅很实惠，味道也不错。', '短评打分': 5}
{'短评内容': '酒店性价比蛮高的,很干净,服务也很热情,只是空调没有暖风,有些冷', '短评打分': 5}
{'短评内容': '不错的酒店,值得推荐', '短评打分': 5}
{'短评内容': '位置很好,十分方便', '短评打分': 5}
{'短评内容': '酒店的位置不是很好找,附近交通不是很好,设施环境还比较不错.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '毗邻“广东四大名园”之一的清晖园、气势宏伟的宝林寺、千年古刹的西庙、湖光山色的顺峰山公园等著名旅游景点，旅游住宿不错，这里的茶点小食很好。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我在网上订的，不过到那里却没有我订的信息，可能是哪个环节出了问题，希望以后不要出现这种情况。', '短评打分': 5}
{'短评内容': '酒店地处繁华的华盖步行街,让你一出酒店就可以满足衣吃住行的乐趣!酒店内环境优雅,酒店房间的设施齐备,让你有在家的舒适感觉!可以真真正正的睡一个好觉!', '短评打分': 3}
