{'短评内容': '房间床头靠背脏，房间小 脏就不说 隔音效果之差！唉……', '短评打分': 4}
{'短评内容': '如果是在机场工作的话可以考虑住在这个酒店，离机场很近，而且很方便，如果要去市区的话，可能就有点远。', '短评打分': 5}
{'短评内容': '性价比还是不错的，离机场还是很方便的\r\n', '短评打分': 5}
{'短评内容': '酒店房间设施还可以，卫生、环境也不错，总体还行。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': ' 房外是个广场有点吵 早餐一般 考虑到一百多的房价 也算相符', '短评打分': 5}
{'短评内容': '酒店就在机场1公里多的地方  我是在这里准备第二天接人的  非常方便  卫生条件尚可 服务也还行', '短评打分': 5}
{'短评内容': '酒店确实离机场很近，不过从机场出来出租车都不愿意拉这么近的客人，只有坐摩托车过去，我们是讲价到十块钱两个人，跑了两趟，几分钟的路。酒店质量还是不错的。', '短评打分': 5}
{'短评内容': '还可以，基本属于比较好的服务，房间还算比较干净，而且根据个人情况，距离机场的距离很近，去机场很方便。', '短评打分': 5}
{'短评内容': '酒店不错，环境很好！就是停车的环境不是很好！早餐种类有点少！', '短评打分': 3}
{'短评内容': '环境比较好，酒店订车去机场是20元，太贵，只有5分钟的路，也就10元钱，希望叫车价格能降低', '短评打分': 3}
{'短评内容': '希望酒店能提供机场接送服务，按照出租车价格', '短评打分': 3}
{'短评内容': '淋浴下水缓慢，居然会淹没脚板！前台checkin,check out 一片混乱；不过态度还不错', '短评打分': 1}
{'短评内容': '不错，各方面都还较满意，不过入住的时候检查一下消费的东西免得帮别人买单。', '短评打分': 5}
{'短评内容': ' 酒店硬件、服务都很好，要是酒店有自备机场客车就更好了。', '短评打分': 5}
{'短评内容': '不错，以后我还会住这，如果能加开到机场的班车就更好了，即使少量收费也是合理的。', '短评打分': 5}
{'短评内容': '离机场较近，但是附近比较冷清，作为临时落脚点还不错，性价比可以', '短评打分': 5}
{'短评内容': '早餐时间较晚  选择这家酒店的目的 就是因离机场近\r\n早上赶飞机时间较早  建议早餐时间提前  方便顾客。\r\n其它都很好！', '短评打分': 5}
{'短评内容': '酒店附近在修路，不好打车，不过酒店有车，只是比的士要贵，其它的都还不错。', '短评打分': 1}
{'短评内容': '就是房间的空间小了一点，不过相对来说，价格也合适了', '短评打分': 5}
{'短评内容': '环境不错，离机场也近，服务也还不错！要是酒店有免费车在机场接送就更好了！推荐入住！', '短评打分': 5}
{'短评内容': '挺不错的。离机场很近，方便。', '短评打分': 5}
{'短评内容': '隔音不好，其他都一般', '短评打分': 5}
{'短评内容': '不错，也挺干净的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '经济型的价格，四星级的享受，酒店确实是挂牌四星的档次，房间面积、卫浴设施都够标准，大床非常舒服，房间很干净，位置也很不错，离机场比较近，同时又靠近商业区，购物、吃饭、赶飞机都非常方便，前台的MM服务也非常好，还可以提供接送机服务，性价比相当不错，强烈推荐。', '短评打分': 5}
{'短评内容': '新建设施，还是不错的，房间也比较舒适。只是可惜晚上餐厅就不营业了，也没有夜宵服务，晚上飞机到达后没有晚饭吃，只能到外面去自己解决', '短评打分': 5}
{'短评内容': '除了叫车不方便,房间隔音有点问题,其他都还满意,性价比较高.', '短评打分': 5}
{'短评内容': '整体感觉酒店环境挺好，服务还不错，就是早餐时间稍晚了点，赶早班飞机基本上就吃不了早餐了！离机场很近打的起步价，的士师傅不太情愿做这么近的生意，酒店要是提供车辆接送就完美了！', '短评打分': 5}
{'短评内容': '里面比较新，的士居然不知道路因为是晚上到达机场的，所以司机带我白兜了几圈后还是自己走路过去的，去市区也比较难坐车，总的来说还是不错的，要是有车接就更好了。', '短评打分': 5}
{'短评内容': '总体还蛮不错的，旁边有个比较大的超市，如果想买点什么东西，还蛮方便。房间也不错，就是不知道为什么，在床上发现了几只蚂蚁', '短评打分': 5}
{'短评内容': '按4星级设置，入住非常舒服，性价比非常高，如果有机会，还会入住的', '短评打分': 5}
{'短评内容': '去宾馆的路不太好走，没有指示牌。宾馆内服务一般', '短评打分': 1}
{'短评内容': '整体感觉酒店环境不错！以后有机会还会去，就是车不能直接到达宾馆门口，感觉不是很方便！', '短评打分': 5}
{'短评内容': '这个酒店是新开的，很不错。旅游来这是明智选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '如能提供送机场旅客服务就好了', '短评打分': 5}
{'短评内容': '服务态度挺好的', '短评打分': 5}
{'短评内容': '离机场近。\r\n可能是新装修，房间里还残留着味道。其他都很好！', '短评打分': 5}
{'短评内容': '服务设施和态度特别好！下次还会来住！', '短评打分': 5}
{'短评内容': '离机场还是比较近！感觉还好！很不错！下次还去！！', '短评打分': 5}
{'短评内容': '188的酒店算不错了，卫生、服务都还可以，早餐虽简单不过也对得起价格了，因为离机场近，想价格不高又舒适，戴根酒店是不错的选择！', '短评打分': 5}
{'短评内容': '酒店服务还不错，就是早餐时间稍晚了点，赶早班飞机基本上就吃不了早餐了', '短评打分': 5}
{'短评内容': '酒店位置不太好找，虽然是旧楼房，装修还是不错的，如果在江北机场附近临时过夜，不错的选择。', '短评打分': 5}
{'短评内容': '挺好 性价比高 干净舒适', '短评打分': 5}
{'短评内容': '四星标准的房间硬件，但是位置有点偏', '短评打分': 5}
{'短评内容': '离重庆江北机场很近,如果酒店派车来接的话要30元,如果叫出租车的话最多20元,当然我们是自己走过去的,大概花了20分钟.\r\n设施装修比较好,挂四星标准吧,我们订的房可惜没有窗户,只有一扇透气窗,看上去装修比较新,而且还包双早,品种虽然不是很多,但味道还可以,总的来说,性价比高!值得推荐!\r\n如果下次到重庆坐飞机,我想我还会选择这家,位置离机场近,设施完善,虽然唯一的缺点是没有窗户,但是床单呀卫生间', '短评打分': 5}
{'短评内容': '下次还会去', '短评打分': 5}
{'短评内容': '信价比还是比较高的\r\n如果满分是100分\r\n可以给它打90了\r\n唯一不足的就是  不是太好找', '短评打分': 3}
{'短评内容': '房间的舒适度 以及时尚度还是比较高的\r\n不用担心房间的空间问题\r\n其装修  有点欧式风味\r\n比较适合年轻人居住\r\n临走是别忘记拍几张照片留念哦', '短评打分': 5}
{'短评内容': '各方面  都不错的    就是位置 不是很好找    隔音效果不是很好', '短评打分': 5}
{'短评内容': '都很好。我住的特价房。特别舒服。就是早上去机场的送机服务要20元。太贵了。其实可以试试给住客拼车，一车20，也不错。。', '短评打分': 5}
{'短评内容': '旅店对面是民宅，要找东西吃实在很方便，价格又很便宜。\r\n', '短评打分': 5}
{'短评内容': '靠近机场蛮方便的，性价比较高，下次还会住的。', '短评打分': 5}
{'短评内容': '性价比很不错的酒店，下次还会入住的。', '短评打分': 5}
{'短评内容': '应为接机又去住了一次，这一次同样感觉不错。', '短评打分': 5}
{'短评内容': '硬件设施不错，离机场近，可是服务很不人性化。', '短评打分': 5}
{'短评内容': '转机的非常合适', '短评打分': 5}
{'短评内容': '酒店位置不够醒目.门脸比较小.停车比较方便有地下停车场还不错.硬件和软件设施都不错.', '短评打分': 5}
{'短评内容': '卫生条件还不错，新装修不过室内有些味道.其它各方面也还可以.整体来讲还是不错的.', '短评打分': 5}
{'短评内容': '设施很好，外围环境差了点。', '短评打分': 5}
{'短评内容': '位于江北机场附近，如果是要转机的话，强烈推荐这家酒店，价格是机场附近的酒店算是很便宜的，但里面的装修很好，起码很对我的口味，而且也很舒服。酒店门口打的，10分钟不到就到达机场，10块钱以内～', '短评打分': 5}
{'短评内容': '性价比还可以，位置有些偏，房间很干净，配套设施也比较完善，很不错的酒店，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比还可以，位置有些偏，房间很干净，配套设施也比较完善，很不错的酒店，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比蛮好，房间很干净，设施很新的，服务周到热情，价格也不高，下次还会去入住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间干净，设施完善，下次还会去住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，靠近重新机场，很方便，房间里很干净，服务也很到位，性价比蛮高，下次还会入住。', '短评打分': 5}
{'短评内容': '设施很新，性价比好，尚无POS机，据前台说近期会安装。\r\n酒店离机场5分钟车程，所以从机场到酒店出租车很不愿意拉。走路则太远了。建议酒店搞一辆往返机场的班车，免费提供给入住客人，不然很不方便。', '短评打分': 5}
{'短评内容': '这里离机场很近，5分钟车程就到机场，里面卫生还不错，服务员态度也很好\r\n！但是就是送机服务要收取20元，打的也不需要20元啊！希望有所改进。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间很干净，感觉档次很高，设施很新，下次还会入住。', '短评打分': 5}
{'短评内容': '在家酒店是新开的，到机场很近，卫生很好。', '短评打分': 5}
{'短评内容': '靠近机场，很方便，刚装修完，房间里有些味道，价格偏高，其他都很不错。', '短评打分': 5}
{'短评内容': '靠近机场，非常好的酒店，物超所值，就是早餐品种太单一，其他都特别的好，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店门比较小，不明显也不太好找，其他都还可以，靠近机场，新开业的酒店，设施狠新，服务也很到位，下次还会入住。', '短评打分': 5}
{'短评内容': '当时是为了转机所以预定了这家酒店，靠近机场挺方便的，可能刚开业的缘故，房间里装修的味道很浓，其他都还好。', '短评打分': 5}
{'短评内容': '隔音效果不好，卫生挺干净，服务也蛮周到热情的，性价比较高的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店的硬件设施还不错，不过周边的环境有些乱.距离机场比较近大概10分钟就可以过去', '短评打分': 5}
{'短评内容': '新装修，超舒适，价格也适中\r\n唯一不足是：酒店距机场就一公里路程，\r\n而酒店提供的送机场服务车辆要20元人民币，\r\n同行几个客人都说有点黑，希望改正为\r\n每辆车20元或每客5元为宜', '短评打分': 5}
{'短评内容': ' 还可以喔.', '短评打分': 5}
{'短评内容': '很不错的酒店，离机场5分钟的路程，前台服务小姐态度非常好，很热情，房间设施不错，还有电脑上网，设施很新很干净，强烈推荐！', '短评打分': 5}
{'短评内容': '机场旁性价比较高的酒店', '短评打分': 5}
{'短评内容': '酒店的位置很不好找，我估计很多的士都不一定找得到，如果不是坐早班的飞机不会去住得。', '短评打分': 1}
{'短评内容': '性价比超值，装修豪华。早餐去晚就没了。推荐！', '短评打分': 5}
{'短评内容': '就是没有刷卡机还。出来打车一般不是很方便。不过离机场近，转机住很好。', '短评打分': 5}
