{'descr': '酒店位置很好就在清河坊，比较安静，公交打车都很方便', 'star': 5}
{'descr': '第二次入住，地理位置好，游玩很方便，下次还会入住。', 'star': 3}
{'descr': '第二次入住了，价格比去年涨了不少。\r\n服务态度很好，交通还算便利，游玩很方便，值得推荐。', 'star': 5}
{'descr': '地点位置不错，逛清河坊很方便，清晨推开窗，呼吸新鲜空气，景色也不错', 'star': 5}
{'descr': '酒店地址不错，服务也好，插座不够，反映后立刻添加了一个。房间的隔音功能很差，夜里被隔壁的晚回的住客吵醒，他们说话听得清清楚楚，快疯了。', 'star': 3}
{'descr': '清河酒店很干净，位置也很好，满意！', 'star': 5}
{'descr': '位置是清河酒店得天独厚的优势，其他方面嘛算是中规中矩，房间不大，但是比较干净，设施也比较齐全，我住的是个无窗房间，刚进去有点闷，不过开了空调之后就好多了。酒店比较隐蔽，但只要稍微留意一下倒是不难找到，因为那家面包店很显眼。\r\nps：一二楼楼道里有一股很重的中药味儿，求解释。。。', 'star': 5}
{'descr': '地理位置很好，去西湖和火车站、汽车南站很近，服务人员也很热情，总之很满意，下次去杭州还会选择这里', 'star': 3}
{'descr': '房间很满意，整洁干净，外边购当地特产很方便，位置也很好，下次来还回选择这里住', 'star': 3}
{'descr': '值得称赞的是前台服务员热情好客，介绍我们去了附近一家性价比超高的酒家吃饭，很棒！房间卫生总体上不错，就是使用地毯不好，显脏，易生螨虫。订的标准房很大。酒店位置比较隐蔽，但是按照网上其他住客提示的标志物寻找也不难找。', 'star': 5}
{'descr': '房间很满意，整洁干净，外边购当地特产很方便，位置也很好', 'star': 5}
{'descr': '地点不错就是有点难找，其他服务都不错就是隔音效果有点差，被雨声吵醒了。。。\n', 'star': 3}
{'descr': '就在清河坊的小巷里面，在房里也可以看到清河坊，而且离西湖不远，吴山广场也在附近，可以租自行车，骑车过去只要几分钟就到了。酒店的卫生还可以，但就厕所是透明玻璃不太好。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '前台很热情', 'star': 5}
{'descr': '酒店不错，位置也挺好的，赞一个！', 'star': 5}
{'descr': '地理位置很好，下来就是河坊街，就是隔音不太好。卫生条件也不错。', 'star': 5}
{'descr': '卫生间是透明玻璃，不方便，其他还好，离西湖比较近，旁边就是小吃街', 'star': 1}
{'descr': '地段确实非常好，而且以这样的价格有这样的房间住已经是超值了。老板娘服务态度很好，因为雷击，酒店座机坏了，老板娘还准备给我打电话的，感觉比较窝心。', 'star': 5}
{'descr': '酒店位置还好，服务态度也好。只是房间的床的舒适度和观感不够满意。', 'star': 5}
{'descr': '酒店就在河坊街上，闹中取静，离杭州主要景点都很近，步行街上小玩意儿好多，到景点去玩累了，可以回到酒店休息会，又可以下来到街上逛逛，很不错。由于在步行街上，所以走到公交站觉得有一点远。', 'star': 5}
{'descr': '前台服务员非常热情，位置不错，性价比很好。', 'star': 3}
{'descr': '前台服务员态度很好，位置很好。性价比很好。', 'star': 5}
{'descr': '很好 拍了很多照片为了给朋友推荐 古色古香', 'star': 3}
{'descr': '拍了很多房间的照片就是想给朋友推荐的  很古香古色 赞', 'star': 5}
{'descr': '+地理位置不错，河坊街的夜景很好玩', 'star': 5}
{'descr': '住在这家酒店最好玩啦,就在河仿街里面,每天出门或玩回来都很热闹,步行街区很安全!我们散步去西湖大约走了20到25分钟(因为带小孩子所以走得慢一些),但在街上5分钟的路程有很多租自行车的租车点,在7:30-17:30办理租车手续,很方便!在杭州玩一定要租自行车骑,太爽啦,玩起来很休闲!出来旅游住杭州的,我认为这家真的是首选,很棒!', 'star': 3}
{'descr': '住在这家酒店最好玩啦,就在河仿街里面,每天出门或玩回来都很热闹,步行街区很安全!我们散步去西湖大约走了20到25分钟(因为带小孩子所以走得慢一些),但在街上5分钟的路程有很多租自行车的租车点,在7:30-17:30办理租车手续,很方便!在杭州玩一定要租自行车骑,太爽啦,玩起来很休闲!出来旅游住杭州的,我认为这家真的是首选,很棒!', 'star': 5}
{'descr': '强烈推荐！房间干净，地点也很好，就是没有电梯！', 'star': 3}
{'descr': '非常满意', 'star': 5}
{'descr': '局促了些，希望保持整洁。出租有时开不进去啦。', 'star': 3}
{'descr': '酒店不错,位置很好,就在最热闹的河坊街上.酒店里也比较干净,就是床稍微小了点,另浴室门口加个帘子会更好些,或者改成磨砂玻璃的.还有,希望总台的小姐对一日游的行程能了解的更好些,因为总台说的和实际旅行路线不同,因为要赶车,所以我放弃了后面主要的景点.总的来说,酒店不错,下次还会来的,谢谢!', 'star': 3}
{'descr': '+酒店不错', 'star': 5}
{'descr': '还行，就是没电梯，在河坊街内交通挺不方便的，价格太贵。', 'star': 3}
{'descr': '古色古香是它的特色，但就是房间小，没有电梯，价钱太贵了。', 'star': 1}
{'descr': '一家不错旅馆，住的很舒适~就是卫生间的门是玻璃透明的', 'star': 5}
{'descr': '下次来一定还住这里。酒店很干净舒适，地点也很好，在热闹的河纺街。唯一不足的就是没有电梯，还有马桶的水量不够大，老觉得冲不干净。', 'star': 5}
{'descr': '周围环境还行，位置有点偏。房间有点小，有机会下次再去。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '总体来说还是很不错的，位置很好，离西湖很近，而且一出旅馆就是步行街；酒店里的设施还不错，卫生条件很好，值得推荐~~~', 'star': 5}
{'descr': '\r\n很舒服 很不错  交通很方便  下次去一定接着住你家\r\n但是希望下次去的时候，房间地毯卫生方面要在努努力尽量打扫的更干净些！', 'star': 5}
{'descr': '确实不错 环境好  周边交通便利 \r\n房间很适合 两人住', 'star': 3}
{'descr': '地理位置很好，其他性价比好不错，白天就是有些吵，其他都不错。', 'star': 5}
{'descr': '2满意谢谢！', 'star': 5}
{'descr': '地理位置真的很好，周围要买什么都有，现在貌似 门市价 300左右了都 \r\n真的很好很实惠  强烈推荐 呵呵 ', 'star': 5}
{'descr': '昨天入住的，房间小了点，不过看起来挺不错的，隔音算还OK，隔壁的电视声、走廊的说话声在房间里能听到一点。酒店的位置非常好，就在河坊街里，出门就是河坊步行街，河坊街前就是吴山广场，经过吴山广场就能到达西湖，交通非常方便。', 'star': 5}
{'descr': '很好，一定会向朋友再次推荐入住的。交通方便，位置地段一流。距离火车站或西湖景区都不远，门口就是河坊街，每天晚上都可在街上逛逛，很开心。', 'star': 5}
{'descr': '不错，感觉，很方便，也是蛮安静的', 'star': 3}
{'descr': '不错的酒店， 位置特别好，一出门就是步行街，但是里面却不吵。  房间和干静，性价比很高。 我们一大家5口人，订了两件房， 老少都很满意。  就是他家的浴室和房间是用玻璃隔开的， 虽然有帘子， 但穿衣的地方还是一揽无遗， 如果是同事什么的，就有些尴尬。', 'star': 5}
{'descr': '    清河对于来杭州旅游的人来说是一个挺不错的下榻宾馆，地理位置那就不用说了，白天热闹有的逛，晚上十点后安静可以睡个好觉，周围玩的、吃的、买的都很方便，宾馆服务人员也很热情，态度亲切，总之值得推荐大家入住。当然，还有一些小建议也提请大家注意：一、酒店离吴山广场很近，但周围公交车线路却不多，尤其是去杭州各大景点几乎都要转车，如大家想在杭州靠公交出行，那就得多准备零钱了；二、周围水果摊很少，至少我就', 'star': 5}
{'descr': '地理位置非常好，位于河坊步行街，去火车站和西湖走着就可以了，楼下有很多卖纪念品的地方，还有很多饭店，里面有很多特色菜，周边还有大型的购物商场和诸多的便利店 不过隔音查了点，房间也比较小，卫生间还是用透明玻璃围起来的，有些不方便，总体来说性价比还是很高的', 'star': 5}
{'descr': '酒店价位经济，距离西湖比较近，就是隔音很差。', 'star': 5}
{'descr': '还不错 我喜欢淡淡中药味 一开窗就是古街也很好感觉', 'star': 5}
{'descr': '房间较小，卧具不太干净。可能没有更换的原因。', 'star': 1}
{'descr': '还是蛮安静的，喜欢那里的感觉', 'star': 5}
{'descr': '很不错的酒店，离西湖挺近，楼下吃的玩的也很多，下次还住。', 'star': 3}
{'descr': '很满意，楼下买东西或是逛逛打发时间都很方便，面包坊的咖啡也不错。清晨早点起来还可以散步到西湖边。价格也挺合理，下次还回来住的。', 'star': 5}
{'descr': '该酒店地理位置优越，无论去西湖、灵隐寺、六和塔都比较近。虽地处闹市，但动中取静。与河坊街一街之隔云集了众多餐饮商铺，可饱尝杭州美食。', 'star': 5}
{'descr': '位置不错，就在河坊街上，晚上逛累了可以快速地返回。酒店没有电梯，台阶很陡,对于老人和带大行李的客人来讲有些困难。房间很小，隔音效果不好，因为隔壁就是中药店，所以会有很重的中药味。', 'star': 3}
{'descr': '位置非常好 可以走着去西湖 但是没有电梯 总体还不错', 'star': 5}
{'descr': '不错。值得入住。', 'star': 3}
{'descr': '我和妹妹都还很喜欢这家酒店的风格。感觉旅行有这样的房间就不错了。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '挺有风格的酒店，出行方便。内部结构比较紧凑。', 'star': 3}
{'descr': '外观建筑古色古香的特色，但内部结构卫生间比较小，也就一般小住住吧！典型的经济型酒店', 'star': 5}
{'descr': '地理位置很好,在吴江广场步行街上,方便打发鸡肋时间.', 'star': 5}
{'descr': '印象很不错，服务比较热情 只要是位置非常好。', 'star': 5}
{'descr': '位置实在不错，去哪里都很方便，也没有很吵，服务很好，就是在一楼订的散团苏州一日游很不好，有着随团游的通病，就是到哪里都很着急，还没把曾格格经典看完就催着去下个地方，根本玩不好，只有带着买东西时怎么买都行就是不赶时间，还有就是晚上也不把我们送回酒店而是停在了相当远的武林广场，也不告诉怎么搭公车回酒店，打电话问导游，竟然告知你们自己打车，实在不知道这笔不算小也不大的打车费用从何而来，张嘴真容易，不负责', 'star': 5}
{'descr': '以杭州的酒店价位而言178的性价比还是不错的。\r\n如果预算只有这么点的话推荐。', 'star': 5}
{'descr': '只有位置好，其他的免谈了。跟大学时候边上的小旅馆差不多。下次怎么也不去了', 'star': 1}
{'descr': '位置很好，旅游吃饭都很方便，晚上也很安静，睡得很好，隔音效果有点差，性价比算是很高了，下次还会入住的', 'star': 5}
{'descr': '位置不好找，房间不太大，有蚊子\r\n临步行街街，服务态度好\r\n建议增设一个指示牌 避免旅客走冤枉路', 'star': 5}
{'descr': '地理位置超好，就在河坊街里面，楼下有好多特色小店，很有逛头，离西湖柳浪闻莺景点也很近\r\n酒店条件还不错，我们是一家人去的，家人也很满意，但就是有一点，厕所都是玻璃的，这个有点儿不太方便，不过标间的厕所有不透明的窗帘，大床房只有一个纱帘，太OPEN了点儿\r\n总体性价比还蛮高的，下次去杭州还住这儿~', 'star': 5}
{'descr': '位置非常好出行交通方便，周围环境也很好，价格合理适中，整体条件都很不错，值得推荐入住', 'star': 5}
{'descr': '最热闹的一条街，里面有好多小吃，非常方便吧', 'star': 5}
{'descr': '地理位置非常好。旅游的人很适合在这住。住一晚就好了。不要连着住二晚，不然有点不舒服。房间太小，隔音太差，一大早就被楼下不知道哪里人说话吵醒，不过吵醒还好，早一点出门外面的杭州才漂亮。', 'star': 5}
{'descr': '位置非常好，就在河坊街，周围也很繁华\r\n白天很热闹，到了晚上十点以后却很安静！！', 'star': 5}
{'descr': '位置还不错\r\n交通便利\r\n周围比较乱\r\n房间一般', 'star': 1}
{'descr': '地理位置非常好，就在热闹的河坊步行街上，除了空调略显不足之外其他方面都不错，性价比很高', 'star': 5}
{'descr': '优点地段好,容易找.不足无电梯,接待地方小.', 'star': 3}
{'descr': '不足1、没有说明入住当天才可用信用卡结帐，服务员坚持现金付款。2、没有电梯，接待大堂太小，约25平方米。优点就清河坊步行街内。', 'star': 1}
{'descr': '地点非常好,购物很方便', 'star': 5}
{'descr': '经济适用，适合游客', 'star': 5}
{'descr': '地理位置很不错，环境和服务业不错，性价比高', 'star': 5}
{'descr': '酒店挺好，逛街方便，挺干净', 'star': 3}
{'descr': '地方很好，就在河坊街步行街上，逛逛很方便，也挺干净', 'star': 5}
{'descr': '我是早上到的杭州，接待员很客气，看到有空房就让我们提前入住了，酒店在步行街上，出去玩很方便，而且附近就是吴山广场车站，交通还满便利；房间不大但是布置的很有格调；卫生间很干净，不过门是玻璃的，可以看到里面；窗户外面是一家美食城，晚上有点吵，不过过了9点就好了。总体来说很满意啦', 'star': 5}
{'descr': '房间还可以 下面是清河坊老街 还行 不算太吵 开车的话就停在胡庆余堂的箱内 巷子比较窄 但服务还可以 找不到的时候打了电话 总台有人到清河坊巷口带我们进去', 'star': 5}
{'descr': '酒店客房还是不错的，就是外面吵了点~最好要不临街的房间。', 'star': 5}
{'descr': '旅馆一般一般真的很一般，除了在河坊街上，不过河坊街也就是中药一条街，楼下倒是有王星记的扇子，很好。。。', 'star': 3}
{'descr': '位置还好，在河坊街上，离吴山很近，直走就到柳岸闻莺，也不是特别近！楼下就是武大郎烧饼的摊位！价格有点贵，就它的设施来说，还不如住南宋御街上的连锁酒店，两条街就是互相垂直的,离的也不远。', 'star': 5}
{'descr': '这个价格这个地理位置我觉得性价比还是不错的，\r\n装潢古典气息，与周围环境相映衬，而且河坊街也我也蛮喜欢的，逛完这条街，一直直走一小段就到西湖的柳岸闻莺这个景点，周边还有公共自行车租借点，不错的', 'star': 5}
{'descr': '每次去杭州都会去清河，位于很热闹的南宋古街清河坊中间，楼下的武大郎惟妙惟肖，哈哈，真的很像，以前跟朋友一起去，后来她每次去也都是我帮定的房间，我们都很很喜欢，舒适，干净！', 'star': 5}
{'descr': '这个酒店环境很一般，但是服务还不错。服务员挺热情的。房间超级小。不过卫生条件不错，挺干净的。周围的环境就像住在王府井步行街里。不过周围不愁吃饭的地方。出了酒店就可以走到金银街（好像东直门簋街一样的饭馆一条街）。离西湖不算太近。不过交通比较方便。提醒各位最关键的是从火车站出来很多出租车会拒载！！！大家最好选乘公交车到吴山广场站下车。', 'star': 5}
{'descr': '位置真的很方便，就在步行街内。但步行到西湖却需要三十分钟，广告说十分钟是不可能。\n房间精致；但地毯很脏、隔声非常差。', 'star': 5}
{'descr': '这家酒店地理位置真的不错，方便。卫生条件也还可以，就是不让用信用卡很郁闷！', 'star': 5}
{'descr': '该酒店在河坊街，离西湖近，吃饭、游玩、购物都很方便，更难得的是酒店设施条件尚可，价格实惠，装修要有河坊街的特色就更好了。', 'star': 5}
{'descr': '房间小了点（大床间最多12平米），卫生差了点（房间地毯脏的连上面的头发杂物都看不出来啦），隔音不大好点（隔壁只要有声音，就能听得一清二楚，窗户不隔音，中间好大条缝，听得到空调风机声音好大）。最近旁边造房子，有天水管被工程车压破，到晚上11点才有水洗澡，还是黄泥水哦。除了上述的不足，其他还是不错的，位置也蛮好的。', 'star': 1}
{'descr': '位置不错，交通便利，晚上逛逛古街挺不错的，就是房间太小了', 'star': 5}
{'descr': '位置确实不错，就在河坊街里，不过第一次去确实不太好找。门脸儿非常小。而且到柳浪闻莺也没有那么近，溜溜达达起码要半个小时左右。服务还可以，前台可以借吹风机，就是对地形不太熟悉，打听去一些景点儿怎么走，都不是很清楚。晚上的河坊街很安静。隔音确实不怎么好，但是要取决于你隔壁住了些什么人。不过每天暴走，躺下就睡着。对我影响不大。总体来说还不错，值得推荐。对了对了，很怀念那里的超大喷头，每天回来洗个热水澡，', 'star': 5}
{'descr': '性价比可以。推荐入住。', 'star': 5}
{'descr': '该酒店在河坊街，离西湖也很近，吃饭、游玩、购物都很方便，更难得的是酒店设施条件不错，价格也实惠。酒店是闹中取静，本以为在河坊街上会很吵，但昨晚睡得很好。', 'star': 5}
{'descr': '位置好是公认的，房间是小了点，隔音效果不好，隔壁房间的打呼声听的很清卫生间的帘子太透了。总体还是很不错的，值的推荐！', 'star': 5}
{'descr': '设施太简单了点，最不能接受的是自己提个重重的行李爬3层楼梯。其他还好。', 'star': 1}
{'descr': '已入住N次，位置非常不错，在杭州著名的河坊街（步行街）中间，步行到西湖5~8分钟，比较适合旅游居住。酒店不算大也谈不上什么星级标准，但挺干净，服务也还行。特别是有停车场，很适合自驾游，每次我都是开车去很方便。但设施一般，在经济型酒店中算是比较好的，咱又不是大老板，住这样的酒店就可以啦。', 'star': 5}
{'descr': '房间有点小', 'star': 5}
{'descr': '一进去第一感觉确实挺干净的 还不错。但是桌子上的烟灰缸里居然还有个烟头，所以有点怀疑有没有搞过卫生', 'star': 5}
{'descr': '房间有点小有的房间没有窗户不过里面的设施和卫生还可以舒适度也挺好的,酒店的位置还是挺好找的,而且价格也还行挺合适的,里面的服务态度都还是挺不错的,我感觉还是挺好的酒店下次也是值得推荐的.', 'star': 3}
{'descr': '卫生干净，房间有点小，不过布局挺合理，不过我认为价钱应该再便宜些', 'star': 5}
{'descr': '酒店离西湖很近，位置不错，出门就是清河坊步行街，就是房间太小，卫生还可以。', 'star': 5}
{'descr': '酒店位置还挺好的,在古街里面,环境很理想,不过就是做车不是很方便,价格挺便宜的.', 'star': 3}
{'descr': '就是位置好，在景区里', 'star': 5}
{'descr': '我在网上搜了好久才订了这家店，去之前心里还惴惴不安的，怕位于景区的宾馆会“黑”，没想到住了我和老公都非常满意呢。酒店位置好的没话说，就在河坊街上，我们下了火车拿着地图一路步行过去的，15分钟。从酒店步行10分钟能到西湖大道和南山路，那里有到灵隐寺，岳庙等景点的公交车，所以出行很方便。河坊街小吃和饭馆很多，吃饭很方便，晚上还可以在街上散散步再回去休息，不用赶公交赶时间，很舒服。房间的面积不算太大，建', 'star': 5}
{'descr': '浴室的下水道有问题，下水非常慢，洗澡洗到后来水都漫出来，流到浴室外面去了，搞得卫生间一地的水。', 'star': 5}
{'descr': '地理位置不错，出门就是南宋老街，也算是一个旅游景点，紧靠吴山广场。但是还有很多的问题：1.酒店房间面积太小（感觉很局促）；2.床垫硬得像木板床（睡得骨头都疼）；3.不主动换床单（如果你不提出要换，基本上不管你住多少天，他们都不会给你换床单的）；4.楼层很高，没有电梯（腿脚不好的话，要注意了）；5.隔音很差，墙壁都是木板做的（没有私密性）；6.隔壁就是中药店，24小时的中药味道（希望有人喜欢）。', 'star': 1}
{'descr': '酒店位置不错，交通方便，不过门面较小，差一点错过。硬件设施一般吧，隔音效果不好，卫生一般。没有电梯，腿脚不方便的人可能不大适合。服务倒是蛮好的，入住时房源紧张，被安排进一间无窗大床房。老板考虑到我们要住多日，赶上第二天刚好有人退房，于是换进有窗的房间。当然，临街的窗会吵一些。半夜似乎有工程车辆在附近通过，影响睡眠。房间铺地砖的部分非常之滑，N次差点摔倒，遍体鳞伤。建议改进！', 'star': 5}
{'descr': '古色古香的旅社，干净，有一点点难找，但是离景区很近，逛夜市方便，建议不要用毛地毯，有小螨虫，被咬了两个疱。总之性价比还不错。', 'star': 5}
{'descr': '酒店的硬件设施很不好墙壁是隔板隔的很吵.而且他整晚都在装修声音很大很吵非常不满意.', 'star': 3}
{'descr': '家庭旅馆。面积很小。地段可以的。', 'star': 5}
{'descr': '酒店的卫生条件不错.但是洗漱用品不太好,像牙膏什么的都不太好.不过酒店位置还是比较方便出行的.', 'star': 3}
{'descr': '此酒店的性价比还是比较高的，住这也很舒服，推荐一下！', 'star': 3}
{'descr': '酒店的设施稍微简单了一点，不过还是比较干净的，位置也算是挺方便的，总的来说还是可以推荐的。', 'star': 3}
{'descr': '我觉得酒店的面积小了点,但布置的挺优雅,周边的交通还是蛮方便的,价格方面一般了,整体感觉还可以了.', 'star': 3}
{'descr': '入住这家酒店总体感觉非常不错,包括酒店的卫生.设施及舒适度都是令我非常满意.他的位置很好,很利于出行.总体感觉不错很温馨', 'star': 3}
{'descr': '酒店的地理位置不错，购物吃饭旅游都很方便。就是房间比较小，而且因为是十一黄金周，价格涨了很多。', 'star': 5}
{'descr': '国庆前一周住的大床房，价格还行180，如果因为节日什么的涨价就没性价比可言了，房间比较小，但还算干净整洁，外面在装修，否则的话住副楼的我们应该很安静的，建议1-2个月后去，半夜就不会有民工搬砖头，凿地砖的声音了，下次可能还会住吧，门口好吃的饭店太多了', 'star': 5}
{'descr': '这个酒店网上评价不错，所以当时就定的这里了。白天没什么问题，晚上问题就大了，墙壁是隔板的，毫无隔音效果，走廊里的人跑来跑去，服务员一大清早撤开嗓门大叫：***这间可以打扫了！也不管是否会吵醒其他房间的客人，真是气愤！最气愤的是：这次家里4位老人一起过来玩的，住的两个房间，隔窗而对的不知道什么人家在装修，白天装修一直持续到凌晨4点半，半夜两三点还机器割瓷砖，一晚上装了5个空调，敢问，这有谁能受得了~', 'star': 1}
{'descr': '位置好，出门就是河坊街，房间还算干净，就是大床房的床小，房间不是很大。', 'star': 5}
{'descr': '和几个朋友去住的，真的性价比很不错，只是门面小了些,刚去时找了半天才找到，呵呵！', 'star': 5}
{'descr': '位置超好！第二次入住了，没话说，下次去还住！！！', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度都还不错，位置出行交通方便位于市中心的位置。价格合理适中，房间的配置设施也比较不错，整体来讲都很达标可以推荐入.', 'star': 5}
{'descr': '酒店环境不太好，因为临街，隔音又不好，晚上比较吵，房间也太小了，酒店位置也不是十分方便，因为在步行街上，要是打车坐车都要走出步行街，价格也有点高，整体感觉性价比不高', 'star': 1}
{'descr': '酒店的地段不错的，价格很合适的，房间比较不新的，卫生很好的，性价比不错的酒店', 'star': 5}
{'descr': '地理位置好，服务态度也好，下次去杭州玩还会住那里。', 'star': 5}
{'descr': '很喜欢酒店风格，像家的感觉，下次会继续入住..', 'star': 5}
{'descr': '离西湖走走15分钟吧,在吴山广场旁边,出去就是河仿街,吃的老字号很多,也很热闹!酒店标房都有窗的,卫生间是全透明玻璃的,还好里面有窗帘,可以拉起来!电视接收不太好,基本上以这个价格住在这个地理位置算可以的!', 'star': 5}
{'descr': '浴室是透明的,感觉不方便,价格有可能是五一期间住很贵.其他方面还可以', 'star': 1}
{'descr': '酒店就是房间太小了,其他方面都还可以,位置还可以,交通挺方便的.', 'star': 5}
{'descr': '酒店的环境硬件设施都还不错，位置非常好出行交通方便，周围环境也很好，价格合理适中，整体条件都很不错，值得推荐入住。', 'star': 5}
{'descr': '酒店地理位置不错，就在河坊街上。出门就很热闹。走到西湖边（南山路）几分钟。房间面积不大，因为新开的装修比较新，也比较干净。有牙刷拖鞋。厕纸质量较差。网速较慢。其他都还不错。服务态度很好，很耐心。性价比较高，适合旅游随便住住。', 'star': 5}
{'descr': '房间面积比较小也没有窗子，因为那天太累了，就没有在找其它的酒店，环境硬件设施包括卫生情况都还不错，服务也算是达标，位置出行也比较方便，所以觉得有窗子的房间可以推荐入住。', 'star': 5}
{'descr': '地段好.价格好.环境也不错.', 'star': 5}
{'descr': '酒店是新开业的酒店,房间的设施非常好,服务卫生条件不错的酒店,性价比也不错的,房间住起来很舒服的', 'star': 5}
{'descr': '除了没窗的房间感觉很闷，很压抑外，其他一切都好，性价比很高！', 'star': 3}
{'descr': ' 位置极佳，性价比较高，唯一一个遗憾就是没有窗户的大床房间显得比较闷，感觉很不舒服！', 'star': 5}
{'descr': '酒店坐落在热闹的河坊街，晚上逛逛还是很不错的，楼下就有85度C，步行5分钟内还有DQ、知味观，地理位置是相当不错的。缺点是酒店很小，而且我订的房间居然没有窗，房间也很小，网上事先也没有说明房间会没窗，没窗的房间感觉空气总是有点闷闷的，不大舒服，不过整体感觉还算比较干净，也就将就了。另外要找小井巷是很难找的，记得找河坊街173号就对了。', 'star': 5}
