{'短评内容': '老牌子，还可以！', '短评打分': 5}
{'短评内容': '因为地理位置的关系定了这个酒店，但是到前台办理入住时被告知没有预订记录。由于到店时间比较晚的缘故，就直接用酒店的优惠价格入住了。和ELONG是一样的价格。第二天问ELONG原因，竟然是一通责怪，为什么我没有在酒店时当场就联系他们。唉，看来ELONG的服务还是有相当需要提高的余地啊。不过最后还是做出了解释并给予道歉，就算了吧。', '短评打分': 5}
{'短评内容': '宽带上网收费不妥，若能免费，以后会继续考虑或推荐他人入住。', '短评打分': 5}
{'短评内容': '设施相对陈旧，不像五星的水平。早餐令人非常失望，品种非常少，五星的价格，二星的标准都不如。', '短评打分': 1}
{'短评内容': '酒店服务差了一些,硬件设施还不错,地理位置很好要是服务能提高就更好了.', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都很好的，价格偏高的。', '短评打分': 5}
{'短评内容': '宽带上网收费太贵了。。。', '短评打分': 5}
{'短评内容': '酒店没什么问题,房间的卫生条件还可以,服务也蛮周到的,就要是价格能再便宜点就更好的', '短评打分': 5}
{'短评内容': '因为到店较早，订的标间没有打扫出来，直接给升级去了豪华商务间。。。不错！！', '短评打分': 5}
{'短评内容': '宽带上网还要收费不妥，现在大多数酒店都是免费宽带上网的，若能改善，以后会继续考虑入住。', '短评打分': 5}
{'短评内容': '环境和硬件设施还不错，就是前台服务员的态度不热情。', '短评打分': 5}
{'短评内容': '酒店各项服务都还满意,算中上程度', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '总体感觉不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '2004年7月22日至24日入住该酒店，总体印象不错，环境幽雅、安静，特别适合劳累了一天的商务人士入住。若能在房间提供免费宽带上网或无线上网则更好。下次去北京还会继续选择这间酒店，谢谢！', '短评打分': 5}
{'短评内容': '过分啊', '短评打分': 3}
{'短评内容': '但我想说，这只是按照五星级的标准来要求，如果是四星，我就什么话都不说了……', '短评打分': 3}
{'短评内容': '我是周围大学的学生，经常去一楼的花蝶吃日本料理，从来没有注意过酒店的星级问题，前段时间，我和朋友决定住这里，才知道这里原来是挂牌的5星级，当时我就傻眼了！这样的地方也能算是5星？？？门童的长相就让人觉得像是见了鬼，服务员以为自己很了不起似的，办理入住的整个过程从没抬过眼睛。入住当天大堂里有一股很浓重的洗手间的味道（平时去的时候没发现的）。想开启房门都是体力活。房间没有丝毫温馨的感觉。很有烟熏熏的气', '短评打分': 3}
{'短评内容': '好笑&lt;br /&gt;\n早餐只值五元&lt;br /&gt;\n冰箱是很燙的小心傷到手&lt;br /&gt;\n一樓的日本料理還可以&lt;br /&gt;\n大樓外觀有派頭房間一般般', '短评打分': 3}
{'短评内容': '他们的商务间还不错，其他的我就不知道了', '短评打分': 3}
{'短评内容': '套间里的电源插卡盒一插就调了，也是五星？', '短评打分': 3}
{'短评内容': '酒店很一般，酒店介绍每个房间都可专线上网是个谎言。我在那里是拨号上网，很贵，而且一上网电话就不能用了。服务生硬，冰冷，不象5星的。后来我住的兆龙饭店就非常好，推荐给大家。', '短评打分': 3}
{'短评内容': '住过两个晚上，就这样啦！！', '短评打分': 3}
{'短评内容': '挂五星有点免为其难。&lt;br /&gt;\n住过一次，服务人员象大爷，我倒象孙子', '短评打分': 3}
{'短评内容': '服务不是太好，尤其是餐厅。&lt;br /&gt;\n早餐一般', '短评打分': 3}
{'短评内容': '酒店位置很好，商务之余去周围景点游玩一下也是很方便的。服务不错，尤其是前台接待的小姐。', '短评打分': 3}
