{'短评内容': '相对来说比较合适的低价选择！', '短评打分': 5}
{'短评内容': '离拱北很近，走路大概5分钟左右，外观看上去不太豪华，大堂也不大，有三部电梯，都比较小，估计同时有3、4个人就满了。房间面积不大，但还算可以，跟大陆的3星差不多，有两瓶矿泉水赠送。交通还算方便，出门口就有2、3个巴士站，大概有10多条线路吧，有到新普京的、有到澳门机场的等等，总体感觉还可以，值得推荐。 ', '短评打分': 5}
{'短评内容': '不错的选择，离拱北关很近，酒店卫生也不错，还有免费WIFI，值得推荐。', '短评打分': 5}
{'短评内容': '离拱北关口倒是很近，不过综合来说，性价比还可以。', '短评打分': 5}
{'短评内容': '系澳门对于那经济型价钱来说还是不错的，有免费WIFI，需问前台取密码。交通也算方便。系我还没中五百万前，下次去都会优先考虑。', '短评打分': 3}
{'短评内容': '最近在装修，会有点吵，建议过段时间再去，酒店饮食偏贵', '短评打分': 5}
{'短评内容': '位于老街区,休闲去的,价格便宜.但是离葡京远.', '短评打分': 5}
{'短评内容': '还不错，房间有点小，其他都还不错~ 有大浴缸，\r\n卫生间也不错~ \r\n', '短评打分': 5}
{'短评内容': '地方整洁干净，服务可以。价格适合工薪阶层,可惜外出不大方便。', '短评打分': 3}
{'短评内容': '地方整洁干净，服务可以。价格适合工薪阶层。', '短评打分': 3}
{'短评内容': '+离关闸很近', '短评打分': 5}
{'短评内容': '+地方舒适干净适合大众', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，就是离新马路太远了，不过离拱北倒是挺近的，可以在那做免费车哈！', '短评打分': 3}
{'短评内容': '+酒店服务挺好的，就是空间太局促，网上预订价格似乎没优惠哦！', '短评打分': 5}
{'短评内容': '离关闸非常近~交通十分方便，有很多公车线路，周围也有很多小吃店之类的，就是比较旧。', '短评打分': 5}
{'短评内容': '离关闸很近，步行只要10分钟左右，打车不是很方便，性价比相对还行', '短评打分': 3}
{'短评内容': '常去住.周围很多品牌仓,周围用餐也很划算.', '短评打分': 5}
{'短评内容': '距关闸比较近，交通方便，房间设施还可以，性价比高', '短评打分': 5}
{'短评内容': '这次帮朋友定了维多利亚酒店,总体感觉还可以,就是离拱北关口不是很近,酒店很干净', '短评打分': 5}
{'短评内容': '位置在关闸附近，走路也就10分钟，比较满意，最好要提前预定', '短评打分': 5}
{'短评内容': '价格和服务都是很好的，以后一定会再去的，推荐大家去看看，挺好的', '短评打分': 5}
{'短评内容': '利用赌场的巴士到关闸再到酒店，交通还挺方便，但要晚上玩的迟了，十一二点就没什么免费巴士了，基本得打车了！\r\n\r\n房间还不错，挺干净！\r\n\r\n下次还会考虑！', '短评打分': 5}
{'短评内容': '帮别人订的 据说住的很不舒服   不推荐~', '短评打分': 1}
{'短评内容': '性价比高~不过比起一两千的酒店肯定没得比~~最重要离关闸近~', '短评打分': 3}
{'短评内容': '+房间可以！性价比高！交通方便，去哪都到关闸搭赌场巴士！', '短评打分': 5}
{'短评内容': '澳门貌似低于1000的酒店设施都比较旧。维多利亚相对离赌场和景点比较远，价格相对是便宜，但绝对不能算实惠，400多澳币。地段原因，打车很成问题。设施很老旧，空调声音让人晚上无法安睡。服务态度还成，管理上一般，晚上隔壁某个房的客人很吵，也没人管下。除非只看重价格，否则下次我是不会再去住这里了。。。', '短评打分': 1}
{'短评内容': '适合经济旅游的宾馆，价格比较合适.交通还是比较方便的。', '短评打分': 5}
{'短评内容': '设施新，价格适中。', '短评打分': 5}
{'短评内容': '一个比较一般的酒店，价格还是不错的，对游客还是可以的', '短评打分': 5}
{'短评内容': '隔音效果不是很好，晚上睡觉的时候隔壁还很吵，所以睡得不是很好。其他方面还是OK。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '这家酒店除了离拱北口岸比较近，其他条件很一般。', '短评打分': 1}
{'短评内容': '虽然我定的是豪华间，但是真看不出哪里豪华了。酒店大厅较小，电梯更是迷你型的，好象2个人带着行李进去就很挤了。房间还算干净，但是墙面都花了，象是很久没装修了的样子，关键是房间里几乎都是类似床头灯的照明设备，所以光线不是很好。窗户正对着居民楼，距离很近，所以必须拉窗帘。可能是我从香港的悦来酒店到了这家酒店，一时之间还没适应，就是强烈的感觉差距很大！不过还有一点值得称道，就是离关闸近，性价比很高啊！', '短评打分': 1}
{'短评内容': '房间比较陈旧，但是里拱北口岸很近，走路10分钟。', '短评打分': 5}
{'短评内容': '位置很好，但酒店设施很差，相当于国内的招待所', '短评打分': 1}
{'短评内容': '服务很好。 ', '短评打分': 5}
{'短评内容': '地方离关口近，酒店太老。一般没特色', '短评打分': 3}
{'短评内容': '推荐入住，性价比不错', '短评打分': 5}
{'短评内容': '位置离罗湖口岸非常近，设施齐全，就是房间小了点，总体讲性价比还可以了', '短评打分': 5}
{'短评内容': '房間有點小, 壁紙有點變色, 但性價比不錯, 交通也方便', '短评打分': 5}
{'短评内容': '位置太偏了，出行很不方便，酒店本身还是可以的，卫生不错，服务还好，设施相对也比较完善。', '短评打分': 1}
{'短评内容': '地方比较难找，不过打个的士很快就到了，门口不能停车。房间不会很小，总体不错！', '短评打分': 5}
{'短评内容': '酒店位置就在关闸旁边...方便坐赌场免费巴士.标准房的 床 够大.有1.1觅...未住之前以为床可能90CM...', '短评打分': 5}
{'短评内容': '地理位置很方便,离珠海关口很近很近,而且房间也很大,环境不错的 呵呵~~ 推荐哟', '短评打分': 5}
{'短评内容': '酒店靠近珠海关口，如果要在市区里游玩，可以选择这就酒店，如果是从深圳或者香港过来，建议不要选择，从深圳或者香港到这家酒店没有码头的，只能做巴士或者打的，而且酒店离澳门各个赌场都很远，也要考虑的时间和费用的问题。', '短评打分': 5}
{'短评内容': '还可以的，比香港的酒店是好很多了，房间还蛮大的，价格也ok的。。就是前台有个小姐妹有点死样怪气。。呵呵呵', '短评打分': 5}
{'短评内容': '很满意的一家店，每次过来，都会住这家。', '短评打分': 3}
{'短评内容': '订的豪华双人间 很是不错\r\n环境设施很新 卫生也不错\r\n', '短评打分': 5}
{'短评内容': '非假日的價格算是便宜的,在澳門來說房間也不算小間的.', '短评打分': 5}
{'短评内容': '位置很好找，酒店也还不错卫生设施都挺好的，价格也很适中，感觉还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '位置一般离景区都很远，价格的话都还能接受，卫生设施都很一般，设施也很陈旧，服务也就那样，估计澳门的酒店都差不多。', '短评打分': 1}
{'短评内容': '不好打车，而且当时入住时正在装修，休息不好，其他都一般。', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，地理位置很好，交通方便，房间很干净，设施也比较完善，下次还会入住。', '短评打分': 5}
{'短评内容': '正在装修，墙面都剥落不少，由于不开窗，通风也不好，刚到时还有烟味之类', '短评打分': 5}
{'短评内容': '价格有些高，房间卫生还可以比较干净，设施完善，服务也不错，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '酒店的性价比很高在澳门这个价位的就弹能住到这样的酒店算是比较不错的了，位置很好找出行都很方便，酒店内部装修的也很不错，虽然房间是小了一些但是算比较豪华的住的也很舒适，服务态度也不错，我真的挺满意这家酒店的而且下次去的话我肯定还会选择这家的。', '短评打分': 5}
{'短评内容': '酒店的硬件设施不错，综合水平比较高，比国内酒店要好很好.而且周边出行购物都很方便.', '短评打分': 5}
{'短评内容': '过了关步行几分钟就到的一个正规酒店，性价比OK。', '短评打分': 5}
{'短评内容': '方便，性价比高。', '短评打分': 5}
{'短评内容': '离关口近.方便', '短评打分': 5}
{'短评内容': '对酒店很满意..比想象中好好多...\r\n位置方便易找,出关口直走就到了....', '短评打分': 5}
