{'短评内容': '6137  6061服务很好', '短评打分': 5}
{'短评内容': '地理位置在市中心，离濠河很近（步行10分钟即可到达）。房间设施很新，可惜还略带些许甲醛气味。酒店工作人员的服务比较周到，可以达到四星酒店标准。除游泳池外酒店其他服务设施（桑拿等）是需要收费的。在南通市区他的性价比还是比较高的，还是可以值得考虑光顾的。', '短评打分': 5}
{'短评内容': '酒店的环境还可以，卫生设施还行，价格还是有些偏高，服务没什么。', '短评打分': 5}
{'短评内容': '飯店非常清潔感覺很棒\r\n下次到南通一定還要住', '短评打分': 5}
{'短评内容': '确实还行', '短评打分': 5}
{'短评内容': '朋友原在五星酒店工作的，评价是：设施还得，早餐也不错，就是价格偏高了点。', '短评打分': 5}
{'短评内容': '住过之后感觉还行，没留下特别的映像。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，就是服务质量还有待提高。', '短评打分': 5}
{'短评内容': '新开张酒店环境舒适，设施不错，早餐一般希望改进', '短评打分': 5}
{'短评内容': '服务很出到服务人员很热情.并且地理位置十分好，出行很方便.整体水平比较高.', '短评打分': 5}
{'短评内容': '房间大小，环境都很舒服，这个价位在南通算是很值得的。推荐。', '短评打分': 5}
{'短评内容': '房间新装修,明显有异味,虽然酒店刻意放置了芦荟,但甲醛依旧严重,整晚流泪不止.不建议入住.', '短评打分': 1}
{'短评内容': '不错，环境挺好的', '短评打分': 5}
{'短评内容': '服务周到', '短评打分': 5}
{'短评内容': '房间很干净，设施完善，性价比蛮好，服务不错，下次还会入住。', '短评打分': 5}
{'短评内容': '這是家新酒店\r\n地理位置在南通市中心\r\n交通 飲食 都很方便\r\n房間設施很新  \r\n上網需要房間密碼 網速也不見的快到哪裏 很奇怪 何必多此一舉\r\n但是以同樣價格 在南通應該算是不錯的酒店了', '短评打分': 5}
{'短评内容': '住住还行吧，服务还是需要多培训，设施的细节也很重要，', '短评打分': 5}
