{'descr': '很干净的地方', 'star': 5}
{'descr': '方便、实惠，我不喜欢烟味，东北的房间冬天不常通风，会空气不好，该酒店设专门的无烟房，我满意。', 'star': 5}
{'descr': '位置不错，从火车站步行到酒店大概10分钟，房间的卫生和设施也还行，服务也不错，我觉得这家酒店性价比还是比较高的 ', 'star': 3}
{'descr': '住了3天，总体不错，是中规中矩的如家风格。其中有如下几点不够满意：1.冬天房间暖气不足，开空调的话声音又很大，晚上影响休息；2. 旁边是一所中学，一大早就有嘈杂声；3. 餐厅太贵，与长春其他饭店的物价水平及不相配；4.电视机频道太少，连凤凰卫视都没有。其他的总体满意，发言完毕！', 'star': 5}
{'descr': '酒店房间里没有暖气,空调制暖又比较慢,所以感觉比较冷,其他方面都挺好的,而且价格也比较适中.', 'star': 3}
{'descr': 'good hotel as this location!!\r\nservice and bacfrast is not bad.\r\nKC', 'star': 3}
{'descr': '很好了', 'star': 5}
{'descr': '别的都很好，就是晚上睡觉冷了点，幸好那天天气不太冷！', 'star': 5}
{'descr': 'It is a good hotel in this pricing.', 'star': 5}
{'descr': '酒店还不错，就是隔音效果差些，但是大多数的酒店都这样，也就习惯了。', 'star': 5}
{'descr': '不错~值得一住\n\n总体不错，拐角处的房间的洗手间的位置设计的比较别扭，可能是布局的缘故吧 服务很好 不过明明在房门上挂了请勿打扰还是有服务员把房间打扫了……还有一个比较汗的，去的时候不太知道长春的地理位置，附近有医院，出门都是卖寿衣的 感觉很别扭……', 'star': 1}
{'descr': '酒店的位置是不错，环境设施也都挺好的，而且我在北京也住过如家，觉得挺不错的，就是有个建议，希望他们可以把酒店的地址写的详细一点，因为分店太多，找的时候光有门牌号，我们不好找，出租司机也不好找，最后可以写上在什么附近。', 'star': 3}
{'descr': '经济型酒店来说，他的条件算是可以的，而且房间清洁的很干净，服务不错，位置是非常方便的。', 'star': 3}
{'descr': '酒店比较干净卫生, 同时离商业区很近,走路也就10分钟. 价格比较适中,适合商务旅行和度假.', 'star': 5}
{'descr': '条件还不错，较为干净。满意！', 'star': 5}
{'descr': '订的特惠大床房，便宜是便宜，就是小了点，边上有个学校，很早就上课了，有点小吵，早点很难吃，其他还算好吧，服务态度不太好，下次换到机场大巴那个店去', 'star': 1}
{'descr': '挺好的，交通方便', 'star': 5}
{'descr': '住进去门口就在修路，晚上也是很吵。淋浴间下水不好。简餐很不错。态度很好。', 'star': 5}
{'descr': '现在门口修路，很是不便，请注意！', 'star': 5}
{'descr': '条件还不错', 'star': 5}
{'descr': '这个如家的价格稍微高了一点，环境服务比较一般，不过设施配备还可以，位置也还不错，总的来说也算是可以推荐的。', 'star': 3}
{'descr': '酒店的卫生条件还算可以，服务很不过，里面的条件也比较不错，交通很方便。', 'star': 5}
{'descr': '经济型酒店，价格比较便宜，服务环境也不错，而且这家酒店以前就住过几次，总体来说还不错', 'star': 5}
{'descr': '酒店的性价比高，服务也不错，环境也很好，设备也很齐全，过两天可能还会去', 'star': 5}
{'descr': '跟其它经济型的酒店没什么区别.简单方便.价格也实惠.', 'star': 5}
{'descr': '酒店整体感觉还可以,服务和卫生也不错,价格一般,交通位置也蛮方便的', 'star': 5}
{'descr': '酒店总体感觉都挺好的,性价比很高,房间很干净,很舒适', 'star': 5}
