{'descr': '住过好几次 真的适合小情侣哈哈哈', 'star': 5}
{'descr': '很舒适。。。服务很好！装修很有特点。。。卫生间是透明的，感觉不是很好。。不方便。。。', 'star': 5}
{'descr': '房间有点小 但装修还不错 离地铁比较近 服务员比较亲切', 'star': 5}
{'descr': '整体还不错，就是住的地方卫生间有点异味，希望改进啦！\n还有就是那些碟片可以分类的，不花什么时间！', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '挺好的，很温馨，服务也热情。离地铁站挺近的。环境卫生都不错，顶一个！', 'star': 5}
{'descr': '很干净 预定的是圆床 挺有意思的。。。服务态度超级热情。。。房间虽然不是很大 设计还可以 很适合情侣住', 'star': 5}
{'descr': '酒店布置的很温馨 离地铁也不远 服务态度非常好', 'star': 5}
{'descr': '很温馨，很有情调。红色的色调，温馨的小物件。很有感觉。', 'star': 5}
{'descr': ' 服务人员很细致周到，还提示把窗帘搭在窗台上，这样暖气可以更散热。预定的圆床配合红色纱帘温馨浪漫，很喜欢！', 'star': 3}
{'descr': '环境不错，距离地铁口很近，很方便', 'star': 3}
{'descr': '不错，很浪漫，床也很舒适，下次还会去住......', 'star': 5}
{'descr': '相当不错 很有情调 和女朋友去了 感觉很好 服务态度很好 总之很好  就是房间有点小', 'star': 5}
{'descr': '还可以~总体感觉还不错，距离地铁站非常的近~楼下吃饭也比较方便！', 'star': 5}
{'descr': '隔音效果不好,整理房间不及时。其他都不错,很浪漫温馨。', 'star': 3}
{'descr': '非常不愉快~我是香港人~完全不知道內賓的意思~去到酒店不能住~令我無助~也令我女朋友失望~晚上還要到處找酒店~訂房的199元就這樣泡湯~很失望', 'star': 1}
{'descr': 'haohaohaohaohaohaohao', 'star': 5}
{'descr': '很浪漫，适合情侣，但不能刷信用卡不太方便。', 'star': 3}
{'descr': '干净，舒适，很浪漫，女朋友很喜欢，还有免费提供的硬碟', 'star': 5}
{'descr': '位置还可以，交通比较便利，离光熙门地铁站近。房间装修比较温馨，双床房的床有点小，或许是因为房间小？吊床房的圆床上方是镜子……呵呵……但是床是固定的。可以上网，有免费的电影光碟借阅，服务人员态度和蔼。总的来说还行', 'star': 5}
{'descr': '服务态度很好，老板人不错。酒店非常有情调。。。哈哈', 'star': 5}
{'descr': '超有感觉的酒店，很特别。我和媳妇都很喜欢。离地铁站100米交通也很便利', 'star': 5}
{'descr': '还好 比较适合情侣 那个吊床不晃的呀 还想当秋千玩儿呢……哇唔 不过铁艺床还不错 嘻嘻', 'star': 5}
{'descr': '硬件设施还行  布局很不错  不能延迟退房   总的来说性价比还行    适合情侣   ', 'star': 3}
{'descr': '感觉很温馨~不像商务宾馆那么死板和单调\n喜欢酒店的格局,看起来就很浪漫~\n空间也比较大,不会有很挤的感觉~\n个人是比较喜欢啦~\n但是半夜的时候热水就不热了,冷死我了~', 'star': 5}
{'descr': '以为主题房会和其它的有比较大的差别，但是去了才发现基本没有差别，房间大小也差不多，有点失望……', 'star': 5}
{'descr': '酒店的浪漫感觉很不错，只是位置不太好找，最气愤的是我没有说要退房，结果有了新的客人，酒店就让我退掉了。会员卡也很不合理，必须离店办理，下次入住，那我要住10天半个月也不给优惠，人家住一天办个卡走了，再来就优惠，什么嘛！形式化，不讲人情！', 'star': 1}
{'descr': '服务很好 交通很方便 房间有特色也很干净和安静 下次还会去 ', 'star': 5}
{'descr': '老板很好，很健谈~很久前住的了，现在才评价，不好意思哦！比较喜欢它的圆床，房顶还有镜子，很有新意，而且房间内还是无线上网，步行即可到达地铁，就是房间太少了，经常想预订，但是已经满房！', 'star': 5}
{'descr': '房间不错，出门就是地铁站。不错。就是冷的很。哈哈\n吃饭不方便。', 'star': 5}
{'descr': '预定一样需要等待。。30-60分钟不等。。。。\n\n房间布置的很个性，去的都是年轻人。\n\n性价比还是很高的，希望等待时间减少就最好了！', 'star': 5}
{'descr': '很有特色，,,,,适合情侣住，服务也很热情.', 'star': 5}
{'descr': '非常經濟實惠的酒店，服務員的態度值得稱贊，以後去北京就住這了，很有特色，裝潢很有情調。。就算一個人住，也不會覺得冷清。。', 'star': 5}
{'descr': '不错的酒店，第二次入住了，服务态度很好。', 'star': 5}
{'descr': '酒店服务周到热情，房间温馨,周围吃饭也方便，交通也方便', 'star': 5}
{'descr': '非常失望，本以为设计感会很好，但无论从细节还是整体设计上都与成熟的设计酒店相距甚远。', 'star': 1}
{'descr': '酒店不错，很有特点，小而精', 'star': 3}
{'descr': '挺不错的，环境很好，圆床，床很大，有纱曼很浪漫。\n大床房还有一个长椅，水挺好洗澡的', 'star': 5}
{'descr': '条件还可以，服务也热情，只是价位稍高了点', 'star': 5}
{'descr': '名字很诱惑，其实连门面都看不到，进去才知道应该叫汽车酒店。晕。', 'star': 1}
{'descr': '很浪漫，很好，就是房间的隔音效果不是很好', 'star': 5}
{'descr': '店不是很好找 门脸挺小 房间不错 适合年轻人', 'star': 3}
{'descr': '不错，各房型都不一样。推荐挨个住着试试！不错，各房型都不一样。推荐挨个住着试试！', 'star': 5}
{'descr': '很不错的酒店哦~屋子设备很齐全，卫生很干净，离地铁也很近，想上网的话还可以在前台租笔记本，服务也很好！下次有机会还会去的！', 'star': 5}
{'descr': '很干净，很温馨，很浪漫，总之非常完美，这个价钱，很合理，喜欢哈', 'star': 5}
{'descr': '还可以，就是不能刷卡', 'star': 3}
{'descr': '房间设施不错，就是细节跟不上，毛巾浴巾那不是一般的破，看了有点反胃', 'star': 5}
{'descr': '很好很赞 服务和房间都没的说 就是毛巾旧了点儿 临街比较吵闹', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '很有味道的一个酒店，适合年轻人，有情趣。交通一般，下地铁要走一小段路。门口有不少吃的。', 'star': 5}
{'descr': '可以可以可以可以可以可以可以可以可以可以可以', 'star': 5}
{'descr': '房间什么的还不错，服务生的态度也不错。\n不过有些地方还有待改进：不能拉信用卡，我预订的唤醒服务没有实施。', 'star': 5}
{'descr': '挺好的 挺有意思 就是房间没有想象中的大  很有个性的房间设置', 'star': 5}
{'descr': '很温馨，各种盘很强大                    ', 'star': 5}
{'descr': '离地铁站很近，附近比较清静~！！！就是没有睡上圆床。', 'star': 5}
{'descr': '希望以后越办越好，以后还会在去的呢，呵呵呵呵呵呵', 'star': 5}
{'descr': '＋性价比不错，很有一番情趣，适合年轻情侣', 'star': 5}
{'descr': '客观的讲，总体来说不错，好的方面就不说了，大家已经有了很多点评。但是不太尽如人意的地方，还是要批评一下滴~~~~~~比如：一、房间的房门没有猫眼，房间外的情况看不到；二、房门没有安全链；三、房门缝隙较大，且房间之间的隔音效果不好；四、卫生间的浴巾挂在墙上，像没有洗过一样，而且不白，看着不卫生，浴巾太少；五、热水在凌晨的时候就没有了；六、房间内放置衣物的架子太少。先说这么多吧，虽然是细节，但是——细', 'star': 5}
{'descr': '屋子有点小 但布置很温馨~适合情侣去 服务态度很好哦', 'star': 5}
{'descr': '房间还行挺舒服，就是隔音太差了，都能听到马路上人路过说话的声音！！！', 'star': 5}
{'descr': '+非常舒适', 'star': 5}
{'descr': '+ 房间还不错，性价比高', 'star': 5}
{'descr': '档次确实不高，不过也算物有所值了，更适合情侣入住，隔音效果实在不好', 'star': 5}
{'descr': '不错，值得一赞！性价比高....适合情侣去', 'star': 5}
{'descr': '圆床很好。就是房间稍微小了些。位置比较偏僻，有点难找。', 'star': 5}
{'descr': '酒店很好很浪漫', 'star': 5}
{'descr': '酒店很小，但很干净，打扫卫生也很及时，我是十月初住的是靠边上的房间，感觉有点冷，还有点潮，可能是房间少吧，客人不多很安静。交通很方便，距离地铁13号线光熙门站走路大概不到5分钟，而且非常好找。酒店没有餐厅，但旁边就有吃饭的地方，还有小超市，隔壁就有卖水果的，很方便。房间设施一般，没有放衣服的地方，只在墙上有几个挂钩，整体感觉还行，但价格没有想象的便宜，我是十一期间入住的，价格上浮了吧，双床房平均每', 'star': 5}
{'descr': '很有特色，还会在一次去的.但是就是得说的特别的明白，要不订的不是你想要的那种的', 'star': 5}
{'descr': '房间很小，格调比较适合情侣，有点偏，不好找，不过靠近地铁站', 'star': 3}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', 'star': 5}
{'descr': '比较有特色 前台服务态度很好 位置坐地铁很方便 离光熙门站只有两三分钟步行路程 ', 'star': 5}
{'descr': '住的铁艺主题，还是觉得圆床的好些，窗边没有那个高高的小桌子，还是喜欢那个', 'star': 5}
{'descr': '这家酒店格调非常温馨浪漫,大爱.下次还会来这里的.强烈推荐.', 'star': 5}
{'descr': '还不错啦。挺喜欢那种格调的。推荐。很适合小情侣去的。嘿嘿', 'star': 5}
{'descr': '位置很好，房间挺温馨。', 'star': 5}
{'descr': '不错很有情趣', 'star': 5}
{'descr': '适合情侣住，室内布置比较舒适，颜色搭配也鲜艳，比较温馨，服务也还好。', 'star': 3}
{'descr': '位置很好啊,房间很温馨，很舒服                       ', 'star': 5}
{'descr': '位置有点难找。房间有点小，但很温馨。适合情侣呀。性价比高', 'star': 5}
{'descr': '位置有点难找。房间有点小，但很温馨。适合情侣呀。性价比高', 'star': 3}
{'descr': '位置有点难找。房间有点小，但很温馨。适合情侣呀。性价比高', 'star': 3}
{'descr': '离地铁13号线的光熙门很近，也就100米，环境好，干净，就是隔音不太好，平时的价格不高。', 'star': 3}
{'descr': '离地铁13号线的光熙门很近，也就100米，环境好，干净，就是隔音不太好，平时的价格不高。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '除了前台效率低了点   其他还都不错  出行较方便   ', 'star': 5}
{'descr': '酒店地理位置不错、酒店服务周到、酒店设施很好', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': ' 周边环境很好，离地铁很近！', 'star': 5}
{'descr': '不错,这个价位的酒店算是非常不错的了.比较温馨.算是有特色!也不比那些上星级的差那里去,服务还算不错的了.唯一点就是卫生间有点小小的味道,不过这丝毫不影响我对这个酒店的客观评价!', 'star': 5}
{'descr': '看起来，没有照片上的好，不过还是要推荐的！', 'star': 5}
{'descr': '网上订的..听别人介绍说不错的..而且很抢..\r\n订的是色彩浪漫房,挺好的,圆床,小方桌配上高脚椅,还有嵌入式橱柜\r\n电视是悬挂的,可以看dvd哦,前台有得借的..\r\n圆床周围还有纱幔..很浪漫的,大红色^_^\r\n厕所很大..\r\n脚垫是爱心形状的..总体还是满有爱的..\r\n前台很好啊,服务很周到,\r\n因为他们刷卡暂时有问题,允许我支付200哦..\r\n一去还给倒水..走的时候也很亲切..\r\n还办了张', 'star': 3}
{'descr': '适合情侣去，地点有点小偏，找了一会才找到。据说办了会员卡会比较便宜', 'star': 5}
{'descr': '很时尚的风格，卫生也好，交通便利，在地铁旁边，很适合情侣', 'star': 3}
{'descr': ' 房间很有特色,尤其是圆床很舒适. 交通离地铁近.旁边有个晋门香面馆很地道实在.就是周边不太热闹,看人喜好了.', 'star': 5}
{'descr': '总的来讲不错，很浪漫的装修，提供免费DVD，附近的小店也有的逛，环境不错。', 'star': 3}
{'descr': '同事们入住后反应很不好，还为此打电话投诉，明明订了很多房间，前台却说没有房型，郁闷......', 'star': 3}
{'descr': '同事们第一天去拿着预订单，前台说没有预订的房型，不知道是怎么回事，而且不能刷卡，太不方便了。', 'star': 3}
{'descr': '不适合商务人士，适合情侣，在小弄里，位置比较偏，而且不能刷卡，不太方便，离国际会展中心大约5公里。', 'star': 5}
{'descr': '预订很一般！预订的房没有！', 'star': 5}
{'descr': '位置不是很好，也许是那天下雨的原因，不过服务员的态度非常好，很有耐心！', 'star': 5}
{'descr': '还可以吧，有点不像酒店，有家的感觉，挺温馨的……', 'star': 5}
{'descr': '酒店位置不是很方便，门脸也比较小不好找，但是内部环境还是不错的，适合情侣入住。', 'star': 5}
{'descr': '小了点\r\n不要随时说你好\r\n房间小了点\r\n其他都还OK', 'star': 5}
{'descr': '很安静 坐地铁很方便 服务态度很好 挺干净的', 'star': 3}
{'descr': '很不错呢~~地方也很容易找~服务态度也很好~~', 'star': 3}
{'descr': '这家酒店看来只适合情侣入住，性价比不是很高！', 'star': 1}
{'descr': '值得推荐吧总体说，只是我预定时还特别打电话说要圆床，还是没给我留，交涉之后总算在转一天给换了房间。\r\n\r\n服务态度还是不错的', 'star': 5}
{'descr': '老王认为是不错的啊下次可以继续住啊不错的啊', 'star': 5}
{'descr': '＋这家酒店确实很适合年轻人，有点像家的感觉，很温馨。下次还会去', 'star': 5}
{'descr': '服务态度好!', 'star': 5}
{'descr': '适合年轻人居住，很有特色。服务员态度很好。很安静。\r\n不能信用卡结账，入住请带现金。', 'star': 5}
{'descr': '酒店挺好的。比较适合年轻人。晚上房间里暗暗地特别的浪漫。。。', 'star': 5}
{'descr': '优点交通方便，离光熙门地铁很近，装饰色彩艳丽，比较浪漫。缺点性价比不高，硬件设施一般，房间不大。', 'star': 5}
{'descr': '外面看着小店很小 装修一般 但是里面很不错 交通也比较方便 服务很好 如果店面再装修一下 大气点就更好了', 'star': 3}
{'descr': '酒店非常有特色。。很温馨。很浪漫。。哈哈', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '房间陈设与一般酒店不同，很新颖的感觉；床是圆形的，还有透明的帘子，上面还有镜子；卫生间是玻璃墙，连洗手盆都很精致。\r\n感觉真的不一样，应该去体验一下，而且下次还会去！', 'star': 5}
{'descr': '地方比较偏，绕路了。前台服务员态度很好，但是显得不够专业，到店了差不多一个小时候后才入住。房间卫生不错，设计不错', 'star': 3}
{'descr': '不失望，但是比预期差一点儿。前台有点儿啰嗦，周边环境优雅。', 'star': 5}
{'descr': '很有特色的酒店哦，整体风格还不错，如果房间能更干净些，那就跟完美了，总之很不错，以后还会考虑去的哦', 'star': 3}
{'descr': '推荐情侣去住，很适合情侣，呵呵，还不错，挺满意的', 'star': 3}
{'descr': '我的点评怎么不能生效呢，我住了两个，感觉打扫卫生的那个阿姨挺好的，条件还可以', 'star': 3}
{'descr': '挺不错的，很适合情侣居住，跟想象中的差不多，如果下次来北京的话应该还会住这里', 'star': 5}
{'descr': '这个酒店特别适合情侣，我住的是色彩浪漫房，房间算是比较大的，以红色为主题的房间，非常浪漫，卫生什么都比较好，干净。\r\n前台的服务也比较好，有一种到家的感觉，可以借DVD还可以借电脑，房间是无线上网的，就是这网速实在是慢的可以。\r\n酒店的位置偏了一点，虽然边上就是13号线光熙门，但是觉得去市中心还是不够方便，花的时间比较多，周围也比较荒。', 'star': 5}
{'descr': '入住时候介绍说全是宜家的，果然不错，睡起就是舒服，房内环境布置的就两个字，情调，还有免费杂志和碟子借阅，考虑很周到。', 'star': 5}
{'descr': '服务生的职业要求很严格，做什么事都要先告知顾客，让我觉得都有点儿过了，其他的都一般，酒店位置很差。', 'star': 5}
{'descr': '办理入住的效率很低很低，4点到店后等了一个多小时才入住。前台的服务态度很好，但是显得不够专业。屋内设计不错，淋浴蓬头不是很好。相对于同层次的经济酒店，性价比不是很高。', 'star': 1}
{'descr': '这个地方真是浪漫，出入这个酒店的全是一对一对的小情侣~常去的朋友们可以办个会员卡，主题房只需199呢，很是便宜~', 'star': 3}
{'descr': '这个地方真是浪漫，出入这个酒店的全是一对一对的小情侣~常去的朋友们可以办个会员卡，主题房只需199呢，很是便宜~', 'star': 3}
{'descr': '服务态度极差，总台叫我入住了，去了房间居然还没打扫过，屋内一片狼藉！吃了饭回来居然还没有打扫，等等等……地理位置非常偏，很不好找！', 'star': 1}
{'descr': ' 感觉跟一般酒店很不一样.整体装修风格也很喜欢.期待下次入住主题房能有更多惊喜噢.如果整体卫生能好些就更完美啦.总之不错的酒店噢', 'star': 5}
{'descr': '服务热情，管理规范严格，只是位置不太好找。', 'star': 5}
{'descr': '非常适合情侣入住的酒店，但是缺点是室内没有挂衣服的地方；\n\n墙壁的隔音效果很好，但室门就不太理想了，听到了小两口ML的声音。', 'star': 5}
{'descr': '好浪漫啊&#183;&#183;&#183;&#183;强烈推荐呢！电视有些小，躺下看电视好不爽', 'star': 5}
{'descr': '很不错的吊床房  很好很浪漫 不过全部灯光都是浪漫型 偶尔比较昏暗 总体评价很不错', 'star': 3}
{'descr': '如果说一对情侣去住，还是比较有情调的，只不过房间稀少，位置稍偏。卫生条件好不错，偶尔去体验一下还是不错的', 'star': 3}
{'descr': '挺有创意的情侣房间，灯光、设施不错，就是水压不够哦~~据说第二家紫色主题店要开业了，期待中', 'star': 5}
{'descr': '因为在网上看过别的网友的评论，所以有一定心理准备，但去了以后，才发现，比期望值高很多，服务超级好热情，房间也较干净，整洁，整体装修风格比较喜欢，只因时间短，要是住上3-5天，，估计更惬意！还会再来！', 'star': 5}
{'descr': '卫生间有点小  吊床房是不能晃的。。总体还是很浪漫的', 'star': 3}
{'descr': '卫生间有点小  吊床房是不能晃的。。总体还是很浪漫的', 'star': 5}
{'descr': '已入住酒店', 'star': 5}
{'descr': '酒店感觉很不错~~适合去北京旅游的情侣住.因为酒店在小区旁边.附近吃的东西比较多.交通也比较方便.离地铁口走路5分钟！', 'star': 5}
{'descr': '未开通港澳台居民居住，大老远走去住不了，很遗憾~~~', 'star': 5}
{'descr': '就是位置不太好找,在小巷里面.住宿来说还行.无限网络不信号不太好,办会员卡后折扣比较满意', 'star': 3}
{'descr': '就是位置不太好找,在小巷里面.住宿来说还行.办会员卡后折扣比较满意', 'star': 5}
{'descr': '酒店比较有特点，各方面都不错，不过只有无线网络、而且目前不能刷银行卡。', 'star': 5}
{'descr': '酒店很好，无线很爽。', 'star': 5}
{'descr': '正如大家所说 房间很浪漫 真的只适合情侣来 位置就个人认为还很好找的 隔音没感觉到不好 觉得还可以 很喜欢 下次还会入住的 另外我觉得前台那个大姐很让我郁闷 入住的时候把我们放在一边打电话一直在说房间门打不开的问题就算了有人去换零钱她都有功夫去理人家怎么就没时间理我们这些客人呢?', 'star': 5}
{'descr': '这是个适合情人约会的地方，带孩子的可不要定。嘻嘻', 'star': 3}
{'descr': '床小，会员卡应该在入住的时候提醒客人而不是退房的时候没玩没了的说。', 'star': 5}
{'descr': '还不错了，就是不能刷信用卡。', 'star': 5}
{'descr': '还行，适合情侣', 'star': 5}
{'descr': '酒店还可以，比较适合情侣！', 'star': 5}
{'descr': '还行', 'star': 1}
{'descr': '位置难找是一大缺点，但瑕不掩瑜整体还是都不错的，就是DVD的遥控器不能用了还要自己去摁不太方便。服务员态度很不错。', 'star': 5}
{'descr': '不错的酒店，很有特点，非常适合情侣去住！我和女朋友很喜欢！', 'star': 5}
{'descr': '环境很好啊~', 'star': 5}
{'descr': '地点有点不好找，不过一进门就觉得很舒服，非常“小资”情调，房间干净温馨，无线上网很方便不像有的酒店需要网线拉来拉去的。小细节体现人性化，一般要4星以上酒店才有吹风机，这里就有吹风机很方便长头发的我。大圆床~很暖昧。非常适合情侣~', 'star': 5}
{'descr': '酒店挺不错', 'star': 5}
{'descr': '房间小点，但位置不错，旁边吃的挺多，环境也不错哦', 'star': 5}
{'descr': '还不错，下次还会住！', 'star': 5}
{'descr': '服务态度相当好。', 'star': 5}
{'descr': '完全不适合商务旅行的人士住，仅情侣临时的点。', 'star': 3}
{'descr': '很好的地方，以后还会去', 'star': 5}
{'descr': '隔音还行，楼道里可以听见呻吟声，屋子里就听不到了，床单由于是红色的，所以会显得比较脏，不过感觉还算干净', 'star': 5}
{'descr': '新店,店员异常热情.建议情侣入住!', 'star': 5}
{'descr': '酒店没考虑双人房里的隐私，洗澡房是透明的，卫生间是没有门的，没有香皂洗衣服，可能酒店是仅对新青年情侣的专属房。\r\n住了一晚就赶紧撤了。', 'star': 1}
{'descr': '不能看门面,里面装修,设施和门面相差很远..还没下车的时候有想换酒店的冲动,抱着试试的心态进去了，居然没有让我失望..除了位置有点偏，其他真的是很可以，尤其是服务态度，好的没话说..值得继续光顾', 'star': 5}
{'descr': '房间布置不错，设施也很完善，就是周围吃饭的地方不多。但是服务很好。店长也很客气。\r\n', 'star': 5}
{'descr': '情侣主题酒店，感觉很浪漫，希望再多开些连锁店 呵呵', 'star': 5}
{'descr': '和女朋友去住的，房间其实没有拍出来的那么好看，房间有点小，位置有点偏，总体没有想象中的好', 'star': 5}
{'descr': '环境不错~卫生条件一般，有DVD还挺方便~电视很清楚就是台比较少！', 'star': 5}
{'descr': '房间很有特色,适合年轻情侣住.就是不容易找,附近就餐选择余地小,不太方便.', 'star': 3}
{'descr': '服务员态度相当好,卫生也不错,房间虽偏小很有特色,适合情侣住.设施较为简单,上网不太方便.另就是位置不容易找到(除非坐地铁),且附近吃东西不太方便,选择性不多.', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '很好，很浪漫。', 'star': 5}
{'descr': '希望今后酒店房间扩充些~', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '总体还是不错的，如果能下午2点退房和能过刷卡就更好了', 'star': 3}
{'descr': '卫生间的味道不怎么好！换气扇不怎么管用！总体地方还是不错的', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '感觉不错，就是感觉隔音不好，楼道里说话全听得见，服务很到位，从店长到保洁说话都很客气，让人没办法决绝再来，总体来说值得推荐', 'star': 5}
{'descr': '酒店还不错，不过位置确实不好找，只适合当地的情侣，出差人士不推荐。', 'star': 5}
{'descr': '酒店的特色很鲜明，每个主题的房间都很有情调。\r\n情侣在这种充满浪漫情调的房间中，很容易萌发爱的冲动。\r\n不过酒店的被褥清洗不太彻底，有不明物体的白色痕迹在红色的被子上很明显，让人顿然觉得有些担忧。\r\n其他的还算不错，总的来说可以尝试，如果在卫生方面再加以注意的话，我想会更好。', 'star': 5}
{'descr': '情调很好   隔音有点差', 'star': 5}
{'descr': '我老婆很喜欢大床房就是出行不方便在青年沟路里面', 'star': 5}
{'descr': '空调基本没用开了很久都不制冷门口没有车位服务到是很热情', 'star': 5}
{'descr': '这个点真的很不错，周围吃的也很多，只是第一次去地方不是很好找', 'star': 5}
{'descr': '很适合年轻情侣，服务非常好，就是酒店太迷你了', 'star': 3}
{'descr': 'Difficult to find, foreigner (including HK/Macau) not welcome.', 'star': 1}
{'descr': '真的很不错，尤其推荐圆形床，非常的有情趣，建议情侣一起去', 'star': 5}
{'descr': '位置不错，也算安静，适合情侣。不能刷卡', 'star': 3}
{'descr': '被单不能拆换，不能刷卡，情侣住宿太多，隔音太差。', 'star': 1}
{'descr': '比较适合情侣的酒店', 'star': 5}
{'descr': '第二次来这里了，位置不错主要是离地铁口近。。比较适合情侣的。。。', 'star': 5}
{'descr': '离地铁很近，毕竟方便。服务员态度不错，很热情。卫生间隔断门非常的透明，如果喜欢的朋友可以试试。', 'star': 5}
{'descr': '这个价钱。。不知道该不该满意呢。。', 'star': 1}
{'descr': '房间设置给人感觉挺不错的，就是那个bathroom太过透明了。全方位没有遮盖...服务员态度过于形式化。（太热情了反而感觉不是那么的真诚）不过整体感觉良好下次还会去的。地铁也挺方便的.', 'star': 5}
{'descr': '周边有很多小吃店，这点是很方便的。。而且走3分钟就有13号地铁站，只是初来的时候位置有些难找。。', 'star': 5}
{'descr': '怎么说。每个人对酒店的要求和期待都不一样，所以每个人的好坏评价也会不一样。。但是，如果看在199元能住到这样带窗的房间，在北京，真的不太容易。。之前也住过锦江之星什么的，特价房是很便宜，但是没有窗户这点让我很接受不了。。', 'star': 5}
{'descr': '酒店比较干净，简洁。周围交通比较便捷，小吃也比较丰富', 'star': 3}
{'descr': '先说酒店的优点：服务员态度很热情，卫生做的得也还不错，还有房间隔音效果并不像有的点评说的那么差，除了门隔音差些（走道里可以听到房间里的呻吟），房间里的隔音还是不错的。\r\n不推荐的理由：酒店只适合情侣约会（不过夜的那种），商务人士和到北京游玩的人千万不要定在那里。第一就是位置太偏，酒店是在北京远城区的一栋居民楼上，周围除了两间副食店没有看到任何商业机构，我和老婆是去北京旅游的，入住的第一晚和老婆在周', 'star': 1}
{'descr': '感觉还行，服务很热情，就是位置有点难找。情侣居住的话还是很推荐的。', 'star': 5}
{'descr': '确实很有情调，服务也很热情，去旁边的鱼酷吃的晚饭，烤鱼很好吃。性价比很高的酒店。学生情侣很多', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '一开始到的那天由于飞机晚点，凌晨3点才到酒店，特别小的一个门面，很多出租车司机都不认识这里。。如果按照酒店地址给的，估计很难找到，但是如果和司机说青年沟附近，或是地铁13号线光熙门站附近就很好找了。。在一个很安静的巷子里，感觉很不错。。而且出了酒店的门，左右两边也都是一些小吃店，生活也挺方便，酒店的环境很不错，让我觉得有些物超所值，毕竟在北京这城市，就算住快捷，200元以下的快捷房间都是那种特价房', 'star': 5}
{'descr': '服务不错，感觉很好！就是被褥什么的有点旧了！不过大致很喜欢', 'star': 5}
{'descr': '对于情侣来说还是比较不错的\r\n建议商务办公人士就不要去了\r\n\r\n酒店服务态度还不错\r\n就是说话忒快了点。。~\r\n房间比较温馨，相比其他快捷酒店多了几分家的味道~赞一个~', 'star': 5}
{'descr': '房间太差', 'star': 3}
{'descr': '我推荐的理由很可笑，因为这里实在是情侣幽会的绝佳地方，房间里面的摆设很浪漫，大堂可以提供碟片看也是一个特色，离地铁站才几步路也很方便，离机场快线也很近，不过有很多细节需要提高：\r\n1、房间隔音效果很差，隔壁隔壁。。。房间ML的女人叫床声音我都听的见。\r\n2、服务员非常健忘。登记后把我护照放复印机里面不给我，害我回去拿，差点误机。房间居然也可以忘了放拖鞋，奇怪。\r\n3、大堂的服务员大声的重复重复再重', 'star': 5}
{'descr': '环境不错，非常幽静。适合情侣居住。\r\n\r\n可惜房间太小了。', 'star': 5}
{'descr': '不太适合商务入住！', 'star': 1}
{'descr': '非常不错，适合情侣去住', 'star': 5}
{'descr': '一家有点特色的酒店, 前台服务很热心, 房间隔音不好.', 'star': 5}
{'descr': '很好很强大 就是不好订 人太多了', 'star': 3}
{'descr': '该酒店地理位置比较好找，交通比较方便，小吃也丰富。值得推荐', 'star': 3}
{'descr': '酒店位置离地铁站比较近，周围小吃也比较丰富。性价比较高', 'star': 5}
{'descr': '太差劲了！反正是无语', 'star': 3}
{'descr': '太差了！整个房间都不好！', 'star': 1}
{'descr': '很不错哦，挺浪漫的酒店', 'star': 3}
{'descr': '很不错，除了隔音不太好外，其他都不错，服务很好噢', 'star': 5}
{'descr': '房间太小', 'star': 5}
{'descr': '服务很热情，就是位置难找了点，很适合情侣', 'star': 5}
{'descr': '经济实惠, 服务热情, 虽然隔音不是很理想, 但房间还是很实用,性价比较好. 推荐短住的朋友试一试', 'star': 3}
{'descr': '经济实惠, 服务热情, 虽然隔音不是很理想, 但房间还是很实用,性价比较好. 推荐短住的朋友试一试', 'star': 5}
{'descr': '风格很好,很浪漫,离地铁站也很近.还可以免费看碟片.', 'star': 5}
{'descr': '太烂了，千万不要去', 'star': 1}
{'descr': '交通还行。就是装修不适合商务。', 'star': 3}
{'descr': '整体布置的很浪漫,但是楼下的DVD光碟有些是盗版的,各种听不懂的语言@@ 服务态度很好,嗯嗯', 'star': 5}
{'descr': '装修风格很不错，性价比很高。离地铁也近，交通还算方便。', 'star': 3}
{'descr': '开始看了别的点评还有些担心，不过去过了觉得还是非常不错的。离地铁站很近，装修风格很有特点，温馨浪漫。洗澡水温度合适，房间隔音也不错，只是门的隔音差一些，不过也算性价比很高了。服务员的态度很好，在解决其他顾客的问题时很耐心，只是语速稍快，建议以后语速放慢一些会更有亲和力。', 'star': 5}
{'descr': '很有特色的酒店～不错', 'star': 5}
{'descr': '酒店人性化还不错，有提供dvd和杂志，还能花三十元租电脑……但在软性方面不太好，房间隔音差，而且靠马路，声音比较烦……交通地铁还是很近的', 'star': 5}
{'descr': '很不错的一间酒店，性价比比较高，喜欢他家的房间的感觉挺浪漫的', 'star': 5}
{'descr': '创意不错，但房间内有台阶，温度偏低，入住还让我等了半个小时', 'star': 3}
{'descr': '很好 不错 服务号啊 下次还去啊', 'star': 3}
{'descr': '挺好的，值得推荐~', 'star': 5}
