{'短评内容': '黄村一家不错的酒店。。。普通房的价格 比商务酒店高点，', '短评打分': 4}
{'短评内容': '朋友来访，我两次预定该酒店，交通方便，离我住处比较近，但两次朋友都因房间卫生太差，而调换房间，酒店解释是因为入驻太早，未来得及打扫，既然有打扫好的空房间，为何非要给未经打扫的房间呢？不明白！！！不过，酒店人员的服务态度还是很好的，离家又很近，我还是会选择该酒店的。请在卫生方面改进就更好了！！！', '短评打分': 5}
{'短评内容': '大兴黄村最好的酒店，性价比相当高，四星的感觉，每次都住哪边，那个主题房应该是515吧，相当有情调，房间中间一个大圆床周围都是浪漫的感觉，强力推荐！~~', '短评打分': 5}
{'短评内容': '设施非常陈旧   旧到令人难以想象\r\n我住的欧陆迷情的主题间   简直倒胃口        好些灯饰都残破的\r\n房间远没介绍中说的大   哪有50平米！', '短评打分': 1}
{'短评内容': '硬件设施还好，服务态度也一般，但是客人结账时由于因为一个插座，不让客户离店，差几分钟就延误了客人的飞机。', '短评打分': 5}
{'短评内容': '好啊', '短评打分': 3}
{'短评内容': '没热水', '短评打分': 1}
{'短评内容': '服务真的很好', '短评打分': 1}
{'短评内容': '酒店房间环境还可以，服务也不错，就是淋浴不是24小时热水，价格有点贵', '短评打分': 3}
{'短评内容': '酒店非常不错，内部的硬件条件，人员的服务和房间感觉都很满意，价格也能接受，挺不错的。', '短评打分': 3}
{'短评内容': '酒店还是比较有特色的,而且内部环境也比较理想,价格倒是,就是离市区有些远.', '短评打分': 3}
{'短评内容': '整体来讲还说一家很不错的酒店,房间的卫生打扫的很干净,设施也比较齐全,呆着很舒适,就是位置感觉有点远.', '短评打分': 3}
{'短评内容': '比较吵，所在位置出租车少，出行很不方便，价格还比较场0合理', '短评打分': 3}
{'短评内容': '在大兴黄村是很好的；。', '短评打分': 5}
{'短评内容': '基本满足到大兴出差的住宿。', '短评打分': 3}
{'短评内容': '不太好打车，要酒店前台提前预约出租车。', '短评打分': 5}
{'短评内容': '是非常不错的主题酒店，感觉环境很好，设施很有个性化，就是有时候房间很紧张', '短评打分': 3}
{'短评内容': '酒店整体不错，环境挺好，位置很好，附近咖啡厅、卡拉OK、餐馆齐全，是比较喜欢入住的酒店之一。', '短评打分': 5}
{'短评内容': '酒店主题房间很漂亮，价格也不贵', '短评打分': 5}
{'短评内容': '单人房的隔音不是很好，床的舒适度也不好，其他的都还不错，价格偏高！', '短评打分': 5}
{'短评内容': '房间布置的挺不错，住了好几次了，不过这次在角落里发现个烟头~~有点郁闷~~还有好像隔音不是很好~', '短评打分': 5}
{'短评内容': '住的条件还可以，属于主题酒店，环境很不错，而且楼下有个KTV，设施也不错，而且价格还是挺合适的\n\n', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都很方便的，酒店的性价比不错的。', '短评打分': 3}
{'短评内容': '这家酒店是一家很不错的酒店,卫生服务方面都比较好,价格的话就很一般.', '短评打分': 3}
{'短评内容': '酒店的装修比较有特点的，卫生不是很好的，服务设施都很一般的，酒店的位置不错的，出行很方便的，酒店的价格有点高了。', '短评打分': 3}
{'短评内容': '楼下就是KTV，太吵了。。。', '短评打分': 5}
{'短评内容': '这家酒店还是比较满意的，房间比较干净，服务也不错，值得推荐', '短评打分': 3}
{'短评内容': '酒店的住宿条件不错的，酒店的位置不错的，出行很方便的。性价比不错的酒店', '短评打分': 5}
{'短评内容': '因为在大兴区黄村，所以价格比较低。基本设施都不错，主题房间有多种风格可以选择。楼下就是一家不错的ktv，旁边也有几家不同口味的餐厅，在黄村，这个地段算是很好的。房间里灯光偏暗，虽然很有情调，但是看不太出卫生状况，偶尔能发现房间里打扫的不够干净的地方，呵呵。总体来说，值得推荐，性价比也不错。', '短评打分': 5}
{'短评内容': '各个房间的装修非常有特色，充满异国浪漫情调，非常适合情侣一起去过一个浪漫而温馨的夜晚，卫生和设施也不错，隔壁还有ktv和餐厅，但我们没去尝试。推荐情侣前往，不足就是离市区比较远。', '短评打分': 5}
{'短评内容': '住的条件还可以，属于主题酒店，卫生感觉一般，需要提高，不过价格还是挺合适的', '短评打分': 5}
{'短评内容': '上个月去的，正好赶上装修，外边很乱，但是到了酒店里面就好很多了！\r\n酒店的人员很好，服务也不错\r\n房间很宽敞，适合情侣游玩回来歇息，总体来说不错了。', '短评打分': 3}
{'短评内容': '酒店的条件确实不错，无论是硬件条件，还是人员服务都很不错，价格也算适中，就是位置稍微偏了一点，不过如果在那附近办事的话，我绝的还是可以考虑的。', '短评打分': 5}
{'短评内容': '整体感觉还不错主题酒店，设施环境都还不错，原来也住多次，有一次是没有热水，这也是偶尔停水，不过还是挺满意的', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通方便，价格合理适中，卫生服务也很达标很干净的酒店，在大兴来讲还是很不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店环境不错,房间的面积也比较大,很宽敞,而且干净,服务也很好，价格在那个区域是比较贵的了，性价比一般', '短评打分': 5}
{'短评内容': '酒店环境不错,房间的面积也比较大,很宽敞,而且干净,天花板比较旧了,建议可以重装一下.', '短评打分': 5}
{'短评内容': '酒店环境很好,内部设施也很好,性价比还是比较高的.就是在三楼有个KTV有些吵,但是也不能怪酒店,人家KTV就开那了酒店也没办法呀!', '短评打分': 5}
{'短评内容': '环境挺好的，服务也特别周到，就是觉得价格有点贵了 ', '短评打分': 5}
{'短评内容': '上次去的时候正在装修，感觉大堂不太干净，服务还不错，位置也有点不偏，出租车不好叫，价格稍微有点高，不过总的来说还是可以的', '短评打分': 5}
{'短评内容': '我觉得这个酒店还是不错的，房间挺干净的，而且整体来说硬件设施和服务还都是不错的，交通也比较方便，总体来说还可以。', '短评打分': 5}
{'短评内容': '环境不错~就是洗澡的时候水流有些小！其他都很不错的', '短评打分': 5}
{'短评内容': '不错~', '短评打分': 5}
{'短评内容': '酒店的主题房间比较有特色很舒适，我住过其他酒店都没有主题房，环境很干净，唯一需要改进四淋浴的热水有的时间段不是很热', '短评打分': 5}
{'短评内容': '酒店还可以,服务态度挺好的,就是房间卫生差了点,不过酒店是在郊区,所以要去市里的客人不太适合', '短评打分': 5}
{'短评内容': '价格很优惠,环境硬件设设施都还不错,因为白天出去办事也没有对酒店的服务有什么体验,就是下次过去那边还是会考虑入住的酒店类型.', '短评打分': 5}
{'短评内容': '各方面都挺好，性价比可以，地理位置离我办事的地方也近挺方便的', '短评打分': 3}
{'短评内容': '感觉酒店挺好的，干净整洁，服务也很周到，值得推荐', '短评打分': 5}
{'短评内容': '酒店还不错，交通方便，价格可以接受，环境卫生，硬件服务都不错。', '短评打分': 5}
{'短评内容': '环境舒适，创意独特，价格实惠，很满意。稍微有一些不很完美的地方，就是设备设施不是很精致。', '短评打分': 5}
{'短评内容': '服务挺好的,地理位置挺好的交通挺方便的.价格也还算实惠,就是卫生方面需要改进一下了.', '短评打分': 5}
{'短评内容': '酒店环境比较安静，设施，服务也挺不错的，总体来说很舒服。', '短评打分': 5}
{'短评内容': '很不好的酒店！环境脏，是非常脏！！空调设备不好，出来的空气带着股刺鼻的味道！', '短评打分': 3}
{'短评内容': '酒店的设施比较陈旧，价格还算优惠', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '电梯破,满地痰迹.房间里的破空调比拖拉机还响.被子床单潮湿有霉味.早上送机场的车迟到', '短评打分': 1}
{'短评内容': '1，如果主题房的主题可以让客人自己选择，或者公示主题，则更佳\r\n2，房间内没有找到网线，不方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '实在不好！！！卫生间的门关不了;淋浴间洗澡的水太小（问过服务员;服务员说这间的水是最大的）。无奈，改用浴盆上的水龙头，下水又不畅（第二天早起浴盆的水还没流完）。面盆上的水龙头固定的不牢，松松垮垮。毛巾发着黑黄色。睡衣上一块一块的黄渍。地毯也不干净，中间一大块黑团。床上方的天花板有裂痕。床头的射灯处装修时的腻子还没清理。网速极慢，在网上斗地主老被骂。旁边卡拉ok的吼声直到凌晨。没有餐厅，还早餐也要在', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
