{'短评内容': '给亲戚订的，他们每次来都喜欢住这儿，应该还可以吧', '短评打分': 5}
{'短评内容': '很一般，电视还是老式的，下次再去不会住了。', '短评打分': 1}
{'短评内容': '地理位置很好，帮朋友订的，很多年前就住过，还是性价比很高的酒店。', '短评打分': 5}
{'短评内容': '地理位置极佳，房间陈设也不错，物有所值。\n早餐厅风格雅致，极具欧风。\n适合有品味的住客流连。', '短评打分': 5}
{'短评内容': '酒店给我升了房间。下次还选这家。环境好，闹中取静，有停车场。', '短评打分': 3}
{'短评内容': '哈哈感觉还不错.很传统的酒店.装修比较旧,但是服务不错.晚上又蚊子,记得睡觉前提前和前台拿蚊香.早餐不错.', '短评打分': 5}
{'短评内容': '  房间不错，很干净。', '短评打分': 3}
{'短评内容': '环境是非常好的,豪华大床间,hen很安静的', '短评打分': 5}
{'短评内容': '客人参加会议定的酒店，反映房间设施一般，早餐只有泡饭，没有粥', '短评打分': 1}
{'短评内容': '定的别墅楼，房间装修太陈旧了，墙纸发黄，设施也不怎么好', '短评打分': 1}
{'短评内容': '可以可以可以，认同认同认同，会会会，行行行', '短评打分': 5}
{'短评内容': '多次入住了 感觉不错。房间可以的，费用不高，信价比好', '短评打分': 5}
{'短评内容': '已经第二次入住，经理点名，虽然名字拗口，想必是秒错的。', '短评打分': 5}
{'短评内容': '酒店地段很好，闹中取静，298的房价性价比不错，餐厅的套餐味道不错', '短评打分': 5}
{'短评内容': '闹中取静，环境舒适。', '短评打分': 3}
{'短评内容': '还可以，设施有点旧', '短评打分': 3}
{'短评内容': '房间窗玻璃非中空玻璃,噪音大,应改进', '短评打分': 3}
{'短评内容': '酒店虽老旧，但位于市中心繁华商业区，交通方便，购物便利', '短评打分': 5}
{'短评内容': '在市中心的出行很方便，服务也很好。设施齐全的，就是床小点的。', '短评打分': 5}
{'短评内容': '地点不错  房间也还可以  服务也不错！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '性价比比较高，闹中取静，进出很方便，有机会还会再去。', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通方便；酒店虽老，但很干净。', '短评打分': 5}
{'短评内容': '  己入住,不错。服务很好。', '短评打分': 3}
{'短评内容': '满意，安全，舒适', '短评打分': 3}
{'短评内容': ',我已入住', '短评打分': 3}
{'短评内容': '选择住在这里主要是出行方便，性价比也比较高。', '短评打分': 5}
{'短评内容': '挺安静的，住在小二楼里；房间装修也不错，地理位置非常好', '短评打分': 5}
{'短评内容': '设施陈旧，房间有浓烈的霉味，隔音差，地理位置及服务尚可', '短评打分': 1}
{'短评内容': '酒店不错。除了房间不算便宜，但很干净，很舒适，很商务。', '短评打分': 5}
{'短评内容': '优点：房间干净，服务专业态度好，地理位置优越，有优惠门票。\n缺点：饭店较老，楼道有点味道。\n如果再来还会住。', '短评打分': 5}
{'短评内容': '帮父母订的，在市中心，位置很方便，可能因为齐眉居在老楼，房间不大，房间卫生还可以，每天还送水果和甜品，服务很周到。', '短评打分': 5}
{'短评内容': '我住的是主楼单人房，里面好多蚊子，晚上被咬了好多次，其他方面还可以，受不了蚊子的最好还是别住', '短评打分': 1}
{'短评内容': '象政府招待所，设施比较陈旧，服务水平一般，不如锦江之星、汉庭等经济型酒店。', '短评打分': 1}
{'短评内容': '我住的齐眉居，别的就不多补充了，凸面电视和蚊子让我很纠结', '短评打分': 1}
{'短评内容': '订了两间房，10/22 当天下着大雨，入住时前台的人员服务态很好，分配到二间房其中一间是重新装修很舒适，另一间在柜台的同一楼很脏，房间有霉味，毛巾地毯不干净，床头也很脏，到柜台要求换房间，一位长相清秀的女性服务员不相信且不允许，说可以退房，后来只住一间，一间退房！除了她其它的人员服务态度都很好！吹风机不好用，会烫手', '短评打分': 5}
{'短评内容': '基本还差不多吧,主要的内部的装修一般,地理位置比较好', '短评打分': 5}
{'短评内容': '酒店环境不错，离市中心很近；房间比较宽敞，也比较安静', '短评打分': 5}
{'短评内容': '位置好，环境好，出入方便，希望今后在硬件设施上能提高一下就更好了。', '短评打分': 5}
{'短评内容': '环境不错，就是不能住沿马路的客房，太吵。', '短评打分': 5}
{'短评内容': '满意!继续保持', '短评打分': 5}
{'短评内容': '隔音太差，地理位置不错！\r\n停车比较小，不太方便', '短评打分': 5}
{'短评内容': '+设备有些旧,但地理位置很好，服务态度也好.', '短评打分': 5}
{'短评内容': '环境不错，齐眉居还有不少好书', '短评打分': 5}
{'短评内容': '该酒店房间地面无地毯，太硬太光滑，容易滑倒。', '短评打分': 5}
{'短评内容': '非常好，去酒店的时候订的主楼单间没有了免费升级到别墅套间，环境好，档次高', '短评打分': 5}
{'短评内容': '条件还行 里面虽然设施有些旧了 但还算干净 主要是早餐很好啊 我感觉比鸿运的强 为了早餐下次还去', '短评打分': 5}
{'短评内容': '确实不错，地理位置很好，环境安静，值得推荐', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '酒店的位置很好..出行很方便.. 不知道为什么..房间里头总有一股烟味...但是总的来说还是值得推荐的...而且里头的别墅房很漂亮....', '短评打分': 5}
{'短评内容': '酒店可能年代久了点\r\n外楼很漂亮,里面就老了点...', '短评打分': 5}
{'短评内容': '最大的优点是交通方便，位于无锡市中心地段。购物也比较过马路就有两个大型百货商场，出门左转步行约五分钟便有无锡小食名店王兴记。到南禅寺，打出租车十分钟就到。最大的缺点，卫生条件一般，房间的霉味很重，床单、毛巾都很旧，像是用了十年。房间连吹风筒都没有，浴室设备很旧。', '短评打分': 5}
{'短评内容': '很一般的酒店。', '短评打分': 1}
{'短评内容': '还可以，就是隔音效果太差，隔壁衣柜取东西，听上去就像发生在自己的房间一样，太不好！', '短评打分': 5}
{'短评内容': '挺不错的酒店，在私家园林中，很别致。', '短评打分': 5}
{'短评内容': '附近地铁施工，很吵闹，最近无法住人哦', '短评打分': 1}
{'短评内容': '去无锡出差住过两次这家宾馆，还好，价位挺低的', '短评打分': 3}
{'短评内容': '交通方便，附近有王兴记', '短评打分': 3}
{'短评内容': '舒适度不错&#183;&#183;&#183;', '短评打分': 3}
{'短评内容': '有蚊子哦，，现在地铁施工不是很方便了。。', '短评打分': 5}
{'短评内容': '环境很好，值得推荐', '短评打分': 5}
{'短评内容': '各方面还可以', '短评打分': 5}
{'短评内容': '服务和环境很满意。叫了一碗老式面到房间，20元味道很好。唯一有点遗憾的就是由于绿化多所以蚊子也多，一晚上打死了3只。', '短评打分': 5}
{'短评内容': '交通很方便 ，离市中心近！', '短评打分': 5}
{'短评内容': '这家酒店的性价比非常高，这是我在无锡除了中国饭店之外的第二家让我满意的酒店。但是，那晚正好遇到了马楼下的市政施工，凌晨1点钟还有工程车在那里凿地，影响睡眠，幸好两、三点钟的时候停工了。', '短评打分': 5}
{'短评内容': '酒店地处闹市！周边购物和用餐都很方便！美中不足就是现在中山路上再进行市政施工！晚上很吵！目前不宜住靠马路的房间！', '短评打分': 5}
{'短评内容': '离出差目的地近在咫尺，所以选择了这家。总体来说还可以吧，就是这个水很不稳定。', '短评打分': 5}
{'短评内容': '位置极佳，地处市中心\r\n主楼高级房设施比较陈旧\r\n早餐还算不错，品种不多但价钱也不高', '短评打分': 5}
{'短评内容': '可以. 听说是无锡最老最有名气的酒店. 去晚了有客户服务送餐, 很快. 适合商旅.', '短评打分': 3}
{'短评内容': '非常好的酒店，地段、服务都非常让人满意，因为定的豪华房没有了，还免费帮我升级了套间。反正住的非常满意，下次肯定还住这家。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比较高，楼层低矮，外观古朴，不压抑。', '短评打分': 5}
{'短评内容': '不错的酒店，要是含早餐就更好了。', '短评打分': 5}
{'短评内容': '这是由名人旧居改造而成的宾馆，尽管我们住的7号楼设施有点旧，但是很干净，服务也很好。起先给我们安排的2楼房间，窗外正好是民居，有点乱。我们提出后，总台小姐不厌其烦地让我们选择其他房间，就这一点，就使我们觉得满意！今后来无锡，还准备住梁溪。可以选择更高级的房间。', '短评打分': 5}
{'短评内容': '很安静，附近是中山路，方便', '短评打分': 5}
{'短评内容': '酒店还不错，就是设施有一点旧。不过这个价位还是可以的', '短评打分': 5}
{'短评内容': '这个价位来说整体还不错，不过酒店设施略微有点旧了。', '短评打分': 5}
{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '还不错，推荐！', '短评打分': 5}
{'短评内容': '市中心交通便捷，前台小姐服务挺到位。订旅游景点门票挺优惠的。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '早餐很简单，不划算。', '短评打分': 1}
{'短评内容': '交通方便，停车方便，早餐性价比较好。', '短评打分': 5}
{'短评内容': '感觉酒店房间不太好,卫生条件和设施都挺差的,很陈旧,地理位置还可以,但整体的性价比比较差.', '短评打分': 3}
{'短评内容': '在市区的话算性价比还不错的了，打车也方便。。', '短评打分': 5}
{'短评内容': '相对于价钱就是一般', '短评打分': 1}
{'短评内容': '在市中心,交通方便,可能是老酒店,设施旧了些,早餐有无锡特色,很便宜,推荐入住.', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店,位置非常号,位于市中心,出行都很方便,而且卫生服务上也都很不错,住着很舒适,是一家很不错的酒店.', '短评打分': 3}
{'短评内容': '在市中心算性价比不错的了，吃饭打车都很方便，推荐入住', '短评打分': 5}
{'短评内容': '位置不错，就在市中心，出门非常方便。虽然不是新造的酒店，但是内部还是很温馨的，卫生也不错。不过价格还是有点高了。', '短评打分': 5}
{'短评内容': '酒店位置极佳，花园式的环境也不错。但房间设施一般，卫生设施也很一般。睡到半夜很饿，房间没有备用的食品。', '短评打分': 5}
{'短评内容': '环境很不错，地段也很好，装修情况也不错，就是房间小点', '短评打分': 5}
{'短评内容': '酒店本身比较小不是很大,设施还可以,位置也不错,卫生和服务这些比较一般,旅游来这边住一两天还可以.', '短评打分': 5}
{'短评内容': '卫生间玻璃门边角,装修以后没有做过处理,把脚滑破了,而且卫生搞的不是很好.', '短评打分': 5}
{'短评内容': '价格有点高，位置还挺方便的', '短评打分': 1}
{'短评内容': '此酒店性价比严重失调，我定的主楼高级房（318元/夜）。我在当天中午12点的时候问是否可以入住，答复是还没有房间打扫好，要等到14点，后在我反复说我13点要去开会想先把东西放置好后同意我12点多入住。办理手续后到4楼房间，楼层中间异味很大，到房间后发现房间很小，设施装修都很简陋，地毯很脏，而且也有很重的味道。发现这情况后到总台协商是否可以退房，也很客气的说是否我承担部分损失，他们同意和领导协商。5', '短评打分': 3}
