{'短评内容': '近近景近景近近景近景将就将就近近景近景', '短评打分': 5}
{'短评内容': '卫生还可以,设施也比较完善,地理位置有些偏,服务不好,订了两个晚上,就给我一个晚上房卡,楼上楼下的和他们前台要房卡,下次会在选择一下其他酒店', '短评打分': 3}
{'短评内容': '酒店位置在池塘巷里面，难找。下面是环北小商品市场，早上比较吵。附近有丝绸城，可以逛逛。\r\n周末价格比平台高40元，这一点只在杭州碰到。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务也很好，价格合理适中。位置还可以就是打车不是很方便，在小路上。其它都还好了。还是可以推荐入住的酒店。', '短评打分': 3}
{'短评内容': '位置一般。卫生不错。服务也蛮好。性价比蛮好哦。', '短评打分': 5}
{'短评内容': '性价比不错，比较的经济，也比较便捷', '短评打分': 3}
{'短评内容': '走了一圈，回到如家  真的有回家的感觉，服务态度也非常的好。谢谢工作人员，我的旅行很舒服。谢谢', '短评打分': 5}
{'短评内容': '房间太小，早上很吵，根本没法睡，早餐品种太少，价格还可以。', '短评打分': 1}
{'短评内容': '都很好，', '短评打分': 5}
{'短评内容': '总的来说还可以，就是地理位置不怎么样，晚上3，4点就很吵，下面好像是个批发市场。', '短评打分': 1}
{'短评内容': '在环北市场后面 凌晨2点到白天 都有很大搬运货物的声音 有点影响\r\n别的都是小问题', '短评打分': 1}
{'短评内容': '酒店本身环境不错，价格也可以接受，就是位置一般，它是在环比市场的后面，还要穿过市场才能看到，第一次去的时候的太难找', '短评打分': 3}
{'短评内容': '房间很小，但是令我非常满意的是房间很干净。位置也可以，走到西湖大概15分钟，交通也很方便。出门就是丝绸一条街，却哪儿都蛮方便的。', '短评打分': 5}
{'短评内容': '9月24日入住三楼大床房, 一进房间非常惊讶,比我在上海入住的如家好多了,洗手间也比较大.很干净整洁.\n我的房间窗户对这小商品城门口,本来以为早上很嘈,结果早上也听不到什么噪音.\n\n地点在小巷里,不靠近旅游区,附近没吃的,打的要走到附近大马路,靠近火车站. 对于初次来杭州旅游的不推荐,但第二次来,或者来商旅就无所谓,反正杭州也不大.这个地点也不算偏僻.', '短评打分': 5}
{'短评内容': '地理位置好偏僻啊  好难找', '短评打分': 5}
{'短评内容': '什么都挺好的。就是结账的时候速度有点慢。', '短评打分': 5}
{'短评内容': '干净卫生，服务一流', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺干净，位置也稍有不便，就是房间有点小', '短评打分': 5}
{'短评内容': '各方面感觉都不错，和第一天住的地方相比，好多了，不好之处的地方不是很好找。服务员态度不错。', '短评打分': 5}
{'短评内容': '酒店的硬件条件还算可以，卫生条件和服务态度也不错，在这个位置来说也算是方便的，不过我觉得杭州这边应该还会有更好的酒店。', '短评打分': 3}
{'短评内容': '酒店环境比较好,比较安静,设施很好就是空调调最高还是有些冷,位置在小区里面不好找.', '短评打分': 3}
{'短评内容': '酒店里的环境还不错,卫生打扫的蛮干净,设施方面也比较齐全,周边环境一般了,离市区有些远,价格方面整体感觉还可以了.', '短评打分': 3}
{'短评内容': '酒店还不错，房间挺干净，位置也比较方便，就是房间有点小', '短评打分': 5}
{'短评内容': '酒店基本上都可以,没有遇到什么太大的问题,就是当时办理入住时房间是需要提前预付的,觉得很不理解.', '短评打分': 5}
{'短评内容': '当时没找不到酒店,就打到酒店问,感觉值班的服务人员语气不太好.酒店整体环境很安静,休息的挺好的,价格也很实惠.', '短评打分': 5}
{'短评内容': '房间里没有叫外卖的服务；觉得不是很方便；酒店位置也很一般；其他方面条件还可以；环境也还不错的；如果在中河的话,还可以推荐的；', '短评打分': 5}
{'短评内容': '酒店的服务还可以,不过里面虫子比较多,人员打扫也不够及时,而且地理位置也有点偏.', '短评打分': 1}
{'短评内容': '酒店的内部设施很陈旧,房间也有点小,地理位置也不是很方便,比较绕,好的地方就是比较安静,服务态度也挺好的.', '短评打分': 5}
{'短评内容': '酒店的硬件条件还是不错的，简单精致，环境也还不错，位置离我办事地方比较近，交通还算方便，价格合适。', '短评打分': 5}
{'短评内容': '酒店的地段在闹市区，环境有点吵，到是离景点挺近，价格还是可以', '短评打分': 5}
{'短评内容': '很好 下次再来', '短评打分': 5}
{'短评内容': '酒店的房间的床单和被褥觉得不是很干净，有头发和污渍。酒店说是在外面洗的，宽带的接头也是坏的，我有又找他们换的，服务还是可以，所在的位置交通也便利', '短评打分': 5}
{'短评内容': '感觉价格还是可以的，设施条件也可以，唯一一点窗户隔音效果不好', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通还不错的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '地理位置不明显，不好找，打车出租车司机不知道，内部条件还是可以', '短评打分': 1}
{'短评内容': '就是房间空间小点，其他的都很好，服务呀、价格呀都很满意的', '短评打分': 5}
{'短评内容': '酒店的环境和服务都还算可以，离西湖也算是近，但是房间太小了，说是大床房，结果房间也小，床也小，根本不像大床。', '短评打分': 1}
{'短评内容': '感觉酒店还可以，房间比较干净，设施也不错，交通挺一般的', '短评打分': 5}
{'短评内容': '酒店的房间太小了,而且靠近市场太吵了,性价比不怎么,其他方面还可以.', '短评打分': 1}
{'短评内容': '我住的房间有点小,卫生舒适度还都很好的,地理位置不好,酒店的标识不清楚,不好找,其它服务也都不错的.', '短评打分': 5}
{'短评内容': '1、没有想象中的难找，因为酒店设置了不少路标。2、周围环境一般，靠近市场，感觉挺杂的，但晚上还是比较安静的。3、没有停车位，很不方便。', '短评打分': 5}
{'短评内容': '因为是新开业的,卫生设施都很不错,就是房间面积小一些.不过快捷酒店也差不多这样.价格还是很合适的.', '短评打分': 5}
{'短评内容': '酒店位置很好,离西湖很近,卫生和服务也还很好,房间比较小舒适度不够.', '短评打分': 5}
{'短评内容': '位置稍微偏僻了一点,但是酒店服务非常好!当时我的自行车丢了,让酒店延迟一点退房,酒店的服务态度很好!', '短评打分': 5}
{'短评内容': '还是非常不错的，除了第一次去不太好找以外。', '短评打分': 5}
{'短评内容': '当时住的时候酒店在抢房,还在收拾,结果住进去房间的被子还是臭味的,凑合这住了一夜,如果卫生提高一些还可以推荐,因为离西湖不算远,旁边还有个批发市场挺方便的', '短评打分': 1}
{'短评内容': '酒店的服务卫生方面还是不错的,位置也不错交通挺方便的,价格也蛮实惠的', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是挺好的,价格也蛮合适的.', '短评打分': 5}
{'短评内容': '酒店的服务很好，房间还有宽带，机顶电视都是免费的。但是房间实在太小了，而且离马路较远，附近吃饭的地方基本没有。而且叫车太麻烦。', '短评打分': 1}
{'短评内容': '位置太偏了，不好找，我开车找了好长时间，酒店的价格到是不贵，经济实惠，服务也不错', '短评打分': 5}
{'短评内容': '觉得都可以，就是房间有点小', '短评打分': 5}
{'短评内容': '交通太不方便了，酒店在一个小胡同里，两个方向都是单行，打车不方便，临走那天赶上下雨，狼狈透了，不会再去住了。', '短评打分': 1}
{'短评内容': '酒店还可以，服务特别好，房间也比较干净', '短评打分': 5}
{'短评内容': '酒店环境还不错，干净卫生，就是房间有点小，性价比还不错', '短评打分': 5}
{'短评内容': '服务挺好，房间也干净，就是位置有点偏，不过出来走几分钟就有车站，交通还算方便', '短评打分': 5}
{'短评内容': '酒店很干净,价格也比较实惠,服务态度也蛮热情,虽酒店位于市中心,但是位置不明显,很不好找,而且停车位很少', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺合适的.', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺合适的.', '短评打分': 5}
{'短评内容': '如家一如既往的定位和品质。在哪个城市都一样。实惠，清洁', '短评打分': 5}
{'短评内容': '酒店的环境服务倒是不错，不过房间太小，网站写24平米，房间里两张床一摆，连椅子都拉不出来了，而且很不好找，价格贵了。', '短评打分': 1}
{'短评内容': '服务卫生方面挺不错的,周边环境也挺好的,交通挺方便的.', '短评打分': 5}
{'短评内容': '酒店还可以,挺干净的,价格很便宜,就是房间面积有些小', '短评打分': 5}
