{'短评内容': '位置去哪里都是几分钟车程', '短评打分': 5}
{'短评内容': '价格和服务的差距太大,希望酒店可以认真分析受众群体,加以改进,进去的时候床上的枕套是脏的,叫了更换,电视没反应,整体更像标准客房,够不上三星的标准', '短评打分': 1}
{'短评内容': '整体还不错，服务、卫生条件也挺达标的，位置也比较的便利，希望价格方面能在优惠些', '短评打分': 5}
{'短评内容': '酒店的设施太陈旧了,环境硬件设施比较一般,位置还可以,价格比较优惠.', '短评打分': 1}
{'短评内容': '老婆孩子都比较满意 有三星级酒店的气势 而且热水供应真的不错 交通很方便 离外滩城隍庙淮海路都不远 坐公交也方便 边上的新亚早点也不错（我们去年12月和今年2月住了两次共三天）\r\n缺点是停车收费按次  价格偏高 20/次 我觉得住店客人的停车费可以不收 还有就是希望能提供给老客户更多的优惠\r\n以后去上海我还是会选择这家宾馆\r\n\r\n', '短评打分': 5}
{'短评内容': '总体上较好，高级景观房空间较大，光线度较好，阳光很充足。视野较开阔，是个理想的去处。不足的地方是加强服务态度，热情礼貌，比如遇见客人要打招呼。', '短评打分': 5}
{'短评内容': '宾馆不错,室内也可以.因为以前出差住过几次,也应该算是老客户了,自己开车到上海的话住到那里不错.以前好像不收停车费的,但现在过住宿收20元/天', '短评打分': 5}
{'短评内容': '水很脏，设施也陈旧，服务也不好', '短评打分': 1}
{'短评内容': '选择九龙主要是我办事的地方离这里很近，交通也很方便，总的来说这个酒店的服务环境卫生还算可以。', '短评打分': 5}
{'短评内容': '我个人觉得牙刷不太好，很硬。其他一切都还好。', '短评打分': 5}
{'短评内容': '酒店总体还不错，但是宽带上网收费价格很高，反映了上海人的小精明，在济南的三星级宾馆，上网都是免费的，有的还配备电脑。酒店位置离外滩直线距离比较近，但是走过去其实比较远。\r\n另外，附近有家兰州拉面馆比较正宗，味道不错！', '短评打分': 5}
{'短评内容': '在服务方面在人性化一点,真正做到顾客就是上帝!', '短评打分': 5}
{'短评内容': '楼下的象山渔港餐厅挺好的。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店卫生很好，但是网络特供房一般都是在酒店的最旁边的房间，窗户比较高，观景很不方便。酒店位置离外滩直线距离比较近，要是坐车还需要一点时间，但是价钱不是很贵，十几块钱就能到了，而且268元的标准间价格还是比较合理的，前台服务人员开始比较热情，退房的时候表现一般，好像不希望你下次再来这家酒店。总的来说还不错！', '短评打分': 5}
