{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '感觉不错！就是一开始打开房间门，发现里面很乱--提醒服务员是不是还未收拾房间--服务台安排服务员赶快收拾了房间-服务员也很快打理了房间，并表示了歉意。不错。温馨、装修很好，好像里面还有榻榻米。价格也合理。推荐！~', '短评打分': 5}
{'短评内容': '酒店的位置很好，紧邻闽江路美食街，距离海边步行需要20分钟，在青岛新城区的中心位置。\r\n酒店的设施比较一般，房间比较小，而且隔音的效果比较差，我入住的房间的浴室门估计是被撞碎了，地上还有玻璃的碎块。\r\n卫生、服务还算好，舒适度也还可以，作为商务酒店已经算是不错了。\r\n酒店包早餐，但是餐厅比较小，而且早餐说是到8：30分，可我们不到8点到了餐厅，却被告知早餐已经没有了。', '短评打分': 5}
{'短评内容': '还是不错的\r\n', '短评打分': 5}
{'短评内容': '我刚入住了这家酒店，强烈不推荐入住该酒店。详述如下：\r\n1.服务特差。属于典型的那种骗人入住后什么也不管的酒店，上网慢向他们反应，说是重新启动一下DODEM，其实什么也没做。\r\n2.房间设计挺有个性，但实用性太差。水流量极小，如果你想洗脸，请有耐心。\r\n3.早餐按5元计，实际是，永远不变的大米稀饭，一眼就可以看出是煮好后掺水的那种。另外是馒头随便吃有咸菜供应，你运气好了，有油条可以吃，一人一个鸡蛋', '短评打分': 1}
{'短评内容': '房间很漂亮，地理位置也很好，出差适合居住', '短评打分': 5}
{'短评内容': '我很喜欢他们家的房间，虽然没有窗户，但屋内的空气也还可以，而且很干净舒适，主要这家酒店交通很方便，我很喜欢', '短评打分': 3}
{'短评内容': '位置方便,酒店的环境也不错,装修风格比较好,就是房间面积有点小,如果价格能再实惠些就更好了', '短评打分': 3}
{'短评内容': '酒店就是房间面积有点小,洗手间的水流太小了,而且使用起来也很不方便,还有就是房间里的网速非常慢,不过酒店的地理位置相当不错,价格适中.', '短评打分': 3}
{'短评内容': '商务双人的房间还比较大，但是创意时尚房就有点太小了，感觉挤得慌，而且我们那间屋子空调漏水.\r\n房间基本都比较小，我们定的两间房都分上下层，感觉设计不是很合理..而且隔音效果真的不好，总是被吵醒..\r\n地理位置不错，紧邻闽江路美食街，周边有银行和一个大型商场...\r\n', '短评打分': 1}
{'短评内容': '房间里有网线，但是还是没办法上网，设施挺新的，装修的还是比较有特点的，可以住住', '短评打分': 3}
{'短评内容': '酒店的房间面积比较小，服务卫生都不错，网速比较慢，酒店的位置还可以的，出行很方便的，酒店的价格还可以接受', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错,环境挺好的,就是人员打扫的不够及时,不过性价比还是蛮好的.', '短评打分': 5}
{'短评内容': '酒店的各方面感觉很好，比较的干净整洁，地理位置也很方便', '短评打分': 5}
{'短评内容': '酒店内部环境挺好的,服务也比较周到,而且价格也蛮优惠的,就是早餐方面差了点,种品太少了.', '短评打分': 5}
{'短评内容': '房间太小，没有照片上那样好，网速太慢，基本上不了网，性价比高，有点贵了，房间也没有体现出什么创意来，房里的设备也不齐全，饮用水都没有，我觉得唯一优点就是位置不错。', '短评打分': 5}
{'短评内容': '住的地方还可以,就是服务态度不怎么样!网速有点慢.有早点吃也还可以.离车站很近,比较方便,步行20分钟还有个电影院,旁边就是闽江路,饭馆很多.离家乐福就2站地.总体来说还凑合!!比较合适了!', '短评打分': 5}
{'短评内容': '优点是干净整洁，液晶电视不错，早餐免费，但品种很少。~缺点是隔音太差了，没有窗户', '短评打分': 5}
