{'短评内容': '提前订的酒店很实惠', '短评打分': 5}
{'短评内容': '酒店的位置有点远，出门交通还行，房间的价格也挺优惠的', '短评打分': 5}
{'短评内容': '如果能包含早餐，就满分了，很安静', '短评打分': 5}
{'短评内容': '环境不错，还比较舒适，就是办理入住的地方离客房远', '短评打分': 5}
{'短评内容': '服务很不错 ,但是住在2楼,外面的环境相当的邋遢,希望改进!', '短评打分': 3}
{'短评内容': '卫生还算比较干净,但是酒店在一条小胡同里,不太好找。如家酒店的通病是隔音太差，电视频道太少。此酒店的大床房比较小。', '短评打分': 3}
{'短评内容': '比较干净,就是位置差了点,没什么风景', '短评打分': 3}
{'短评内容': '地方有点难找，但地理位置挺好的，离火车站挺近，步行大约五分钟左右。距离天一阁、天一广场、月湖、城隍庙都不远，坐车只要坐二站路，酒店对过就是车站，很方便。房间很大，很温馨，感觉不错。还要提一下的就是，服务员的态度都很好的。', '短评打分': 3}
{'短评内容': '还不错的酒店，性价比可以。', '短评打分': 5}
{'短评内容': '全国很多城市都有。虽然从外墙看不怎么样，但房间内部很温馨，价格合理，服务也很好。在宁波住过不少酒店，还是最喜欢这家。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;很不错,很喜欢里面的布置,下次我还会去住&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '总体看,酒店房内设施和清洁都还行,位置很好很方便.只是此价位却没早餐送,有点不符.&lt;br /&gt;\n另外就是房间的隔音差了点,隔避卫生间放水和打电话能清楚的听到,楼层服务员在外说话也很清晰听到,希望酒店在隔音和吸音方面能进行必要的改造.', '短评打分': 5}
{'短评内容': '距离火车站很近，出站沿马圆路走到第一个路口就能看见酒电的店名。附近的汽车南站有到各个景区的汽车，十分适合自主游。前台的服务非常热情，房间里的东西用着都很舒服，下次去宁波还住这里。', '短评打分': 5}
{'短评内容': '酒店位置较偏，和总台联系后，还是好找的。服务较好，我们二个大人和一个小孩入住后，及时增加了一双拖鞋，比较满意。我在不同城市都入住过了如家，感觉这家服务最好了。', '短评打分': 3}
