{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '他们房间里没有饮水机，连洗澡的拖鞋都没有，很不方便，不过他的位置还是不错的，价格也是可以的。', '短评打分': 5}
{'短评内容': '我20091月26号到的酒店，晚上10点，一个小姑娘在不停的接电话，一直在前台等了近10分钟。但她好像忽视我的存在，妈的，老子一堆行李，难道看不出来是来住店的。看着苦瓜表情的服务员办好了手续，拖着沉重的行李来到房间，cao，怎么有种潮湿的味道，而且空调暖风开了半个小时，房间里还是冰冷了，被子很薄，晚上还被冷醒了一次。我发誓，有生之年，再也不住这家破店。。。', '短评打分': 1}
{'短评内容': '酒店在硬件设施方面比较简单了点，不过总体的房间布局，和地理位置很不错，交通也方便，价格也算比较合适的。', '短评打分': 5}
{'短评内容': '房间的卫生间很大,这点比较喜欢,而且价格也很便宜,但地理位置不是很好,交通不是很方便', '短评打分': 5}
{'短评内容': '酒店位置非常好,交通便利,而且房间也蛮干净的', '短评打分': 5}
{'短评内容': '环境很好，干净卫生，服务也热情，住得很舒适', '短评打分': 5}
{'短评内容': '在装修，感觉有点乱，不过服务态度很好', '短评打分': 5}
{'短评内容': '此酒店都比较不错，很满意', '短评打分': 5}
{'短评内容': '整体的环境挺好的 价格与酒店的设施、设备也很相匹配 酒店的饮食也很不错，出行也很方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
