{'短评内容': '位置好，有车场', '短评打分': 5}
{'短评内容': '我对这家酒店挺满意的,环境硬件设施都很好,配套设施也很不错,位置出行交通非常方便,价格也很合适.下次去无锡还是会选择入住这一家酒店.', '短评打分': 5}
{'短评内容': '一家三口 （含小小孩） 入住双床高级房， 房间很小， 床很小。 君乐的硬件实在很一般， 尤其不适合家人出游使用， 但它的国际化感觉还是可以给公务的人安全感的。 餐厅的主管， concierge年龄都不小， 聊聊天还是很亲和的。 ', '短评打分': 1}
{'短评内容': '服务并没有感觉像别的客人说得那么好，保安不知道给客人开车门，\u3000拿行李，\u3000有些服务员也不知道问好．\u3000比之华侨，喜来登都不如，\u3000但地理位置不错，\u3000延时退房到下午四点确实很好很有用．总体来说推荐入住．酒店名字不好，\u3000出租车司机都不知道，\u3000得说原来的喜来登才行．\u3000\u3000', '短评打分': 5}
{'短评内容': '地理位置十分便利，早餐也物有所值。走廊明亮，房间宽敞，尤其是舒服的枕头，好像抱回家。名字为什么不叫喜来登呢，多有档次。管理不错，虽然在装修大门，但是指示很明显，安全提醒也明显，房价含早餐是很超值的，推荐居住。', '短评打分': 5}
{'短评内容': '设施稍旧，但服务较好，可以延迟退房大大方便了顾客，这点在洒店业内实在难得，就冲这个就愿意推荐给朋友。', '短评打分': 5}
{'短评内容': '还算比较实惠舒适的酒店 交通一般', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '上个星期住了两个晚上，无锡市内最好的酒店，标准五星级，标准喜来登的服务，只是装修显得旧了点，周末的价格比较合适。', '短评打分': 5}
{'短评内容': '有没搞错啊，涨价啦，杀人啦！', '短评打分': 3}
{'短评内容': '总的来说，还是物有所值的。但是房间内没有电脑、手机充电器等通用的插座，需要向总台申请，有些不便。此外，没有宽带，很不方便。拨号上网根本不灵！&lt;br /&gt;\n本来想在南京也订喜来登的，但豪华标间也不能保证有宽带，只好放弃了。', '短评打分': 3}
{'短评内容': '问一下499的与459的有什么差别？', '短评打分': 3}
{'短评内容': '问一下499的与459的有什么差别？', '短评打分': 3}
{'短评内容': '蛮好的', '短评打分': 3}
{'短评内容': '真的', '短评打分': 3}
{'短评内容': '已有雀巢的纯净水，酒店设施好，环境佳，服务很好，&lt;br /&gt;\n值得住。', '短评打分': 3}
{'短评内容': '这怎么没有雀巢的纯净水啊?要和别的宾馆跟进就要从基本的做起.喝国际品牌的水!', '短评打分': 3}
{'短评内容': '客房比较舒服，走廊内地毯、光线等比较舒服。&lt;br /&gt;\n但房间门口的装饰有个别脱落的现象，应及时更换；&lt;br /&gt;\n饭店的转门不是自动的，又很沉，应考虑改进。', '短评打分': 3}
{'短评内容': '房间比较明亮，看上去很舒服！服务生很有礼貌，客房部某个服务生的声音尤其的动听，呵呵~：）总的感觉服务质量还是可以的！不过房间里面应该多赠送些饮品（我是指纯净水）。', '短评打分': 3}
