{'短评内容': '火车站附近', '短评打分': 4}
{'短评内容': '&amp;lt;P&amp;gt;酒店的设施比较简单！不像是三星的啊~~ 我住的是20层的房间，电梯就像是坏的一样十分吓人！晚上的骚扰电话也多（全是按摩中心的）！！ 如果你是旅游的话，建议不要去~~~ 比较垃圾&amp;#183;！！！！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '半年前到南京，住在车站旁的白宫，印象不是很好，这次出差又住在白宫，感觉大不一样。房间新装修过，很人性化，很温馨，卫生、方便，特别是地面改用高档地砖，很清爽。浴缸改成了淋浴房，电话是直拨，床上用品是全新的，还有数字信号电视，有60多个频道（62频道还有美女看哦），宽带免费不限时也很爽。强力推荐住这家酒店。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;这是我有史以来住过的最差酒店..当天hiking后过南京中央门车站已很晚,所以看到他就住下了,没有想到房屋的条件如此不好,18层商务间--暖水壶(没有酒店还用这个东东了,而且水是凉的,我完全有理由想象这个是上次客人过后没有换过的水)&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;床单脏死了!我甚至在褥单上看到了没有洗', '短评打分': 3}
{'短评内容': '该酒店交通十分便利，地处南京火车站和长途汽车站之间。而且离东站也不是很远，房间也比较宽敞，我住的是标B，是朝北的房间，靠铁路，还好是双层玻璃，基本不影响休息；数字电视也不错，床单和被褥看上去是新的。缺点：一整天被服务小姐的电话吵了几次，其他的都还可以，总得来说，该酒店感觉还好，而且就在南京商厦旁边，还有KFC。所以很方便的地方', '短评打分': 5}
{'短评内容': '地处靠近火车站，很乱。酒店设施很旧，入住后，几乎无人来管。只有二楼美容中心经常来电骚扰，性价比极低。太垃圾了！如此还挂这3星级的牌子！房间里还用的是热水瓶！晕倒卫生间看上去就很脏是在是差到极点了！希望游客千万不要去这家酒店了！', '短评打分': 1}
{'短评内容': '地处靠近火车站，很乱。酒店设施很旧，入住后，几乎无人来管。只有二楼美容中心经常来电骚扰，性价比极低。', '短评打分': 3}
{'短评内容': '我是看了以上评论才决定去住的，确实性价比算高了，我住17楼`可以看到风景挺好！酒店其他都可以，就是要提醒我住的应该是朝北的房间```下面就是铁路常有火车鸣笛````怕吵的就住对面的房间，应该好些。还有隔音不好，隔壁房间电视开响点都听的一清二楚，晚上确实有小姐打扰```一听是女的把电话挂了`哈哈哈```总之`这个价格已经算不错了，下次有机会我还会住那（但是南京太差的。没想法再去了`呵呵）', '短评打分': 3}
{'短评内容': '该酒店交通十分便利，地处火车站和长途汽车站之间。房间比较宽敞，我住标B，是朝北的房间，靠铁路，还好是双层玻璃，基本不影响休息；电视能收不少频道（据说是数字电视），床单和被褥看上去是新的。缺点：晚上睡觉会被服务小姐的电话吵醒，不过我向总台反映后，做了免打扰，睡了一个好觉。总得来说，该酒店还行。', '短评打分': 5}
{'短评内容': '优点：交通便利，火车站 长途汽车站 中央门公共汽车站都在附件。附件也有大型的购物商场。饮食方面酒店附件有肯德鸡，麦当劳，必胜客等。房间比较大！&lt;br /&gt;\n缺点：晚上睡觉会被路过的火车吵醒，就算不被火车吵醒也会被为你服务的电话吵醒。由于地处汽车站和火车站附件，酒店外面广场周边治安比较混乱，有新疆小偷！晚上出门大家要小心一点，别被贼惦记上。再有就是房间的设施的确破旧了一点。', '短评打分': 3}
{'短评内容': '设施太落后,不过晚上的小姐倒是特别热情 !!&lt;br /&gt;\n哈哈哈哈!! 非搞得你想要才罢休 !!!&lt;br /&gt;\n不过好象长得丑了一点 !!', '短评打分': 3}
{'短评内容': '装修太落后了，，虽然用的是数字有线电视，但是只有CCTV系列的节目还可以，别的都是马赛克，基本不能看，空调似乎没有效果，搞的我和女朋友晚上睡的冻了，，NND，而且里面的性用品太多，害我。', '短评打分': 3}
{'短评内容': '前台服务很差~~', '短评打分': 3}
{'短评内容': '差啊!简直不配挂三星。晚上的骚扰电话不断，环境也不好，靠着铁道，很吵。', '短评打分': 1}
{'短评内容': '简直是垃圾！强烈推荐大家不要去住！我是因为没有顶到房间才去住了一次，受不了！', '短评打分': 3}
{'短评内容': '服务很不错，可是靠铁路太近，影响休息太严重了。电视效果太差，一共没有5个台', '短评打分': 3}
{'短评内容': '总台的服务态度很不好，没有笑容，对待客人不耐烦的样子，房间的卫生也不好，我看见了蟑螂，吓死我了，三星酒店怎么会有这东西啊，我再不会来这里了', '短评打分': 3}
{'短评内容': '我们刚刚住过一个三人间，各方面条件都不错。', '短评打分': 3}
{'短评内容': '刚住过，确实不错。硬件、软件都可以，虽然靠铁路近些，不影响休息。尤其是交通便利，卫生环境好。电视节目好。&lt;br /&gt;\n 不足之处就是部分电视台不太清楚，定票手续费太贵，占了票价的40％。', '短评打分': 3}
{'短评内容': '空调太差，卫生太差，反正就是很差，三星配它高了', '短评打分': 3}
{'短评内容': '呵呵，我喜欢的好地方&lt;br /&gt;\n参加学校招聘的时候在这里&lt;br /&gt;\n和老婆第一次也在这里&lt;br /&gt;\n我喜欢~~', '短评打分': 3}
{'短评内容': '房间一般,早餐较差,周围交通绝对便利.火车声是有点吵,但还可以忍受,基本上就是个睡觉的地方,别想其他就觉得一般!&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '离火车站真的是非常非常的近,况且宾馆下面就是有KFC快餐,稍微走点路还有PIZZA.离玄武湖咫尺相望.可是问题就出在离火车站忒近的事上!那个轰隆隆的火车声真的是不敢恭维,虽然宾馆也想尽办法的把窗户弄成2层的,但也无济于事.其他方面么,都还好.卫生间的水很大,我就在琢磨着是不是南京的水非常的便宜?呵呵,说实在的,洗澡真是好.如果哪位客官容易饿的话,我建议稍微带点面包之类的食品,因为在酒店提供的单子上', '短评打分': 3}
{'短评内容': '我前几日去住过，服务员的态度很好，房间也蛮宽敞的！就是晚上会有搔扰电话，也许是饭店也清楚，床头写好了：拨打总台电话讲明，就不会发生这样的事情了！我们就是这样做的！结果，睡安稳了！&lt;br /&gt;\n总的来说还是不错的！我下次还去住白宫！', '短评打分': 3}
