{'descr': '，挺好，就是正在装修，有点乱。', 'star': 3}
{'descr': '这个酒店分1店2店，但都在一起，在广渠门桥下东北角。1店条件好些，2店条件差些。主要体现在户型上。这家酒店所谓的暗房就是没窗户。我仔细询问了一下，整个酒店明房（有窗户的）大概只有5间左右，一般抢不到。暗房和明房我都参观过，设施完全一样，就差一个窗户而已。硬件设备还可以，也很干净。这家酒店只有软性做的不太好，整个酒店里，手机信号几乎没有。要打电话的话，要去楼道里（会有略微信号），房间里信号几乎为0。', 'star': 5}
{'descr': '这样酒店让人感觉挺简洁挺舒适的,价格方面也不贵.我觉得挺不错的,值得推荐.', 'star': 3}
{'descr': '位置还不错，服务态度也可以，但是酒店的隔音效果实在太差劲了，而且我住的第二天居然有装修工人在隔壁砸墙，实在太过分了，走的时候说是一个毛巾染色了，让赔十五块，真是。。。。那么白的毛巾，用一下能没有颜色吗。。。。', 'star': 3}
{'descr': '其实总的来说还不错，但是出了一点小意外，订的暗房，比较小，但是设施说的过去，洗手间比较不错，进去第一天，抽水马桶就坏了，也太不经造了吧。服务态度还不错，都是如家统一规格。问题是这个隔音，真的太不好了，还有最令人受不了的是，入住第二天，居然有人在对面施工敲墙，真是让人郁闷啊，我都被气死了。。。走的时候说我把毛巾弄脏了，要15，我走的急，也没计较，其实没什么的，就是刚染了头发，总会有点颜色的，再说了，', 'star': 5}
{'descr': '我很喜欢这家酒店,地理位置非常好,离市中心很近,出行很方便,房间的卫生和设施方面也都不错,是一家性价比很高的酒店.', 'star': 3}
{'descr': '由于前一晚未睡觉，早上入住该酒店补觉。结果发现隔音效果非常差，宾馆服务人员的对讲机声音特别大，听的很清楚，感觉就在我的房间外面。几个服务人员一直在外面聊来聊去。还有东西掉地上的声音。无奈之下打电话给前台投诉。晚上睡觉的时候，大概凌晨一点多，还能听到隔壁房间的两个人在聊公司的发展啥的，总之很无奈。', 'star': 1}
{'descr': '酒店隔音很差，能很清楚的听到楼道里的声音，隐约听见隔壁的声音。空调不好使，但是事先酒店已经告知。结账的时候说我把地巾弄脏了，让我赔20元，我说那就把地巾给我，我带走，前台说可以。之后清洁员拿来地巾，上头隐约有些黄渍，还说他们已经试着清洗，但洗不掉，而且地巾不能让我带走，因为20元只是清洁费。我不明白一条地巾为何如此昂贵，清洗都要20，再说本身放在地上的，是不是我弄脏的都不知道，也不知道他们会不会花', 'star': 1}
{'descr': '总体来说 还不错', 'star': 5}
{'descr': '洗手门的卫生做的不是很好，当时订的是暗房，通风不太好，其它都还不错，出行方便，价格还比较合理的', 'star': 3}
{'descr': '卫生还可以，很干净，服务热情周到，设施完善，地理位置交通方便，性价比不错的酒店，下次还会入住', 'star': 3}
{'descr': '我住的特价房间有点暗，不过预订的时候就知道的，环境挺安静的，卫生间也比较干净整洁，关键位置便利，二环，离我家也近', 'star': 3}
{'descr': '夜间到达的。屋子里面特别浓重的油漆的味道，熏得够呛。第二天早晨出去回来后发现少了一张桌子，味道也没有了。估计那桌子刚刷过油漆。不知酒店服务人员怎么想的，会把味道那么重的油漆放在房间里。', 'star': 1}
{'descr': '服务很好，行礼当时比较重，服务人员帮忙提进房间的，周边出行交通也便利，价格便宜，很不错', 'star': 3}
{'descr': '主要是地点不方便，另外已经改为如家了。', 'star': 5}
{'descr': '卫生很不错，服务也标准化。', 'star': 5}
{'descr': '为了便宜要了没有窗户的房间（151元）进去以后一种发潮发霉的味道没法忍受 开空调也除不掉 地毯很脏 在床上躺着就浑身发痒没法入睡 再也不会去 交通也不是很方便....', 'star': 1}
{'descr': '还可以，正赶上装修，味道不是特好。。。。。。。价格不是太高，所以也就接受吧~', 'star': 1}
{'descr': '还是可以的！但是这次去住的时候赶到装修，电视节目很模糊，看不清楚！大家以后注意了，这个酒店装修完就改成如家酒店了哦！', 'star': 5}
{'descr': '很不错的酒店；价格和位置都很符合我的要求；房间的卫生环境条件也很好；性价比还是比较高的', 'star': 3}
{'descr': '酒店的卫生间的面积比较小，服务卫生都不错的，酒店的位置还可以的，交通很方便的，酒店的价格还可以的', 'star': 5}
{'descr': '很一般的酒店,房间的通风和彩光效果都很差；酒店好像是旧厂房改造的；设施也比较陈旧；而且位置也方便；离地铁站还很远呢；性价比太低了；', 'star': 1}
{'descr': '酒店的服务不错的，卫生以及设施都很好的，酒店的位置以及周边交通很方便的，性价比不错的酒店', 'star': 5}
{'descr': '在二环的酒店这个价格就算可以了。外面看上去门脸很小，但是里面房间很多。隔壁就是如家，都在一栋楼上。不只是楼房的原因，还是隔板的原因，房间隔音相当不好，隔壁电视的声音和走廊路过的客人聊天的生意我都听得清清楚楚。房间设施还可以，好似装修的稍有点马虎。热水可以。床的舒适度还可以。卫生么。。。床单上有毛发。。。我希望是我的头发', 'star': 5}
{'descr': '房间挺干净的，设施也不错，服务一般，位置不太好，交通不方便，而且在酒店那停车也不方便，价格实惠', 'star': 5}
{'descr': '床太硬了不舒服，早上有噪音，不知是哪在装修，大概6点多的时候太吵没法睡觉。', 'star': 1}
{'descr': '酒店服务态度很好,性价比比较高.', 'star': 5}
{'descr': '性价比高，设施蛮舒适的，  位置也很方便，出行交通便利', 'star': 5}
{'descr': '酒店还是不错的,很干净,环境也挺好的,很符合我的要求；值得推荐的一家酒店；', 'star': 5}
{'descr': '网上预定的房间没有窗子，网上没有说明，感觉不是很好，环境为什都还不错，位置出行也很方便，价格挺便宜的还是可以做推荐的。', 'star': 5}
{'descr': '酒店位置挺好,交通挺方便就是太不卫生,看酒店图片挺干净,到那一看非常不好', 'star': 1}
{'descr': '很不错的酒店,挺干净的,价位也可以接受,交通也比较方便,很满意;', 'star': 5}
{'descr': '二环边 交通方便 房间隔音不太好 \r\n旅行方便落脚的地方 性价比还好\r\n', 'star': 3}
{'descr': '环境雅致，服务温馨\r\n适合商旅', 'star': 5}
