{'短评内容': '服务不错，干净卫生，性价比高。', '短评打分': 3}
{'短评内容': '我是不会再住了&#183;&#183;&#183;世博期间去的，很脏，肥皂上有毛&#183;&#183;&#183;枕头下都是脏东西&#183;&#183;&#183;第二天换的床单还放在房间里&#183;&#183;&#183;结账的时候还说把床单弄脏了 要交30块钱&#183;&#183;&#183;请问你们的床单不洗的吗？？？', '短评打分': 1}
{'短评内容': '卫生间和房间一体式，房间也很小', '短评打分': 1}
{'短评内容': '不错，下次还会来。', '短评打分': 5}
{'短评内容': '主要是看中它离世博8号线近，交通挺便利的，有点意见要提，里面的矿泉水好像很久的，不敢喝。交通确实很便利，还有周围的烧烤不错。洗澡的水很大，很舒服啊。我住的是大床房。床可以够3个人睡觉，真的很大。', '短评打分': 5}
{'短评内容': '挺好的，看世博方便，可以做地铁直达。就是房间小了点~！', '短评打分': 5}
{'短评内容': '是个看世博不错的选择', '短评打分': 5}
{'短评内容': '环境挺好 周边挺安静的', '短评打分': 5}
{'短评内容': '还不错，可以小住一下。', '短评打分': 5}
{'短评内容': '房间环境不错，走几步就有间城隍庙小吃店，旁边还有个市场，晚上也很安静，但是要坐地铁和坐车的话就要走十多分钟。', '短评打分': 5}
{'短评内容': '世博会期间在这儿住了4天。离地铁1号线8号线都不算远，楼下的那个小吃店也很实惠~周围买什么都方便。而且不闹。挺好挺舒服的~.唯一感觉不是太满意的就是房间有点潮潮的味道。', '短评打分': 5}
{'短评内容': '推荐去世博会的游客入住，距离8号线很近', '短评打分': 5}
{'短评内容': '整体还不错。就是房间小了点。', '短评打分': 5}
{'短评内容': '隔音效果非常差，不过晚上周围环境还算安静，有个导游挨盘问了几个房间她队里的人后（听得非常清楚），就还好了。位置还不错，走路到一个地铁站（好像是8号线）大概要10分钟。', '短评打分': 5}
{'短评内容': '虽然不大，挺温馨\r\n交通方便\r\n总体满意', '短评打分': 3}
{'短评内容': '世博会期间在这儿住了3天。离地铁1号线8号线都不算远，楼下的那个小吃店也很实惠~周围买什么都方便。而且不闹。挺好挺舒服的~攒~推荐想去世博会的来吖~~', '短评打分': 5}
{'短评内容': '地理位置很好，交通便利。楼下就有快餐、超市，小商场。房间有点小，卫生还可以。', '短评打分': 5}
{'短评内容': '    有点：位置较好，离地铁较近，酒店旁边就是一家卖城隍庙小吃的，里面的东西做的较好吃，品种很丰富，小吃炒菜都有，再旁边就是一家大菜场，水果和卤菜都有的卖，我们看世博时就在里面买了水果和卤菜带进去吃的。\r\n    缺点：卫生差，味道大，服务差，总台和服务员都是板着脸和你说话，房间里的东西坏了，找他们，他们还发脾气。', '短评打分': 1}
{'短评内容': '服务、环境都很一般，不推荐。', '短评打分': 1}
{'短评内容': '从火车站下车，到酒店3公里，坐公交的话，两站路，但要走比较远。结果，我拿着GPS导航，没找到公交车站，自己慢慢走过来了，大概用时20分钟。位置还不错，8分钟就有两个地铁站，交通比较方便。', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 3}
{'短评内容': '酒店比较干净，房间小点了。', '短评打分': 5}
{'短评内容': '房间太小，隔音太差！', '短评打分': 1}
{'短评内容': '很一般的酒店,硬件设施很差,服务也很一般,价格和位置还是比较不错,反正是很差的酒店,我下次都不会住这家酒店了.', '短评打分': 3}
{'短评内容': '服务态度很好,卫生很干净,设施齐全,性价比比较高,位置离火车站很近打车起步价之内.', '短评打分': 3}
{'短评内容': '不错，距离地铁一号线步行15分钟吧，装修风格比较喜欢，适合年轻人，下次去上海还会住这里的', '短评打分': 5}
{'短评内容': '淋雨装置有些问题~~漏水', '短评打分': 5}
{'短评内容': '按照价格来讲，这家酒店还是蛮经济实惠的，靠近火车站交通还是蛮方便的，整体感觉还可以了。', '短评打分': 5}
{'短评内容': '酒店位置有点偏,离车站有点远,设施还可以,服务和卫生还都可以,总体感觉一般,性价比差了一些', '短评打分': 1}
{'短评内容': '酒店就是房间比较小，环境和硬件条件都还算不错，交通很方便，位置好。', '短评打分': 5}
{'短评内容': '酒店当时找起很麻烦,交通不成,而且房间的隔音效果也比较差,其他方面都还可以,价格也比较适中.', '短评打分': 1}
{'短评内容': '房间环境和设施还不错，就是隔音不太好，有噪音，服务还比较周到，价格适中', '短评打分': 5}
{'短评内容': '酒店很小，有点陈旧，在一个小巷子里很不好找，从火车站打车要2公里左右，到不是很远', '短评打分': 1}
{'短评内容': '我预订房间没有窗户，所以通风不是很好，但是位置比较好，价格适中。', '短评打分': 5}
{'短评内容': '酒店非常干净，住的也非常舒服', '短评打分': 5}
{'短评内容': '十一出游在这家酒店住了三晚，总体印象不错。设计风格前卫时尚，比较适合年轻人居住。离火车站比较近。店员服务态度还好。按照性价比来说，的确是不错的选择。', '短评打分': 5}
{'短评内容': '离地铁1号站还是有点儿距离，大概要走10分钟的样子，房间挺安静，色调好，也挺大，就是白天卫生间的窗户光线照近房间太亮，只有一很单薄的帘子，完全不能挡光，不适合睡懒觉。就这点挺可惜的，不知道其他房间怎么样。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '之前在网上看到说很难找到，还好很快就找到酒店的大招牌，看着大招牌就是没找到门，建议在路边做个引导牌会比较好，住的房间空调貌似不是很好，开了半天温度也没降下来多少，建议多做些维护，整体感觉还是不错的', '短评打分': 5}
{'短评内容': '前台态度恶劣', '短评打分': 3}
{'短评内容': '星期六晚上住了一晚，感觉比较好，189的大床房比莫泰的大，舒服，房间的色调很好，隔音效果比较好，晚上能睡个好觉，离1号线也还算近的~走上5分钟就到了。 下次去上海了，还住这家', '短评打分': 5}
