{'短评内容': '空调是坏的第二天起来都感冒了，被子是夏天的', '短评打分': 1}
{'短评内容': '酒店的设计挺年轻化的，还不错，我订的是99元的房型，房间里没电视，没网络线，如果要上网可以跟前台借网络线，不过上网一天要20元，所以我们没上，空调温度不能自己调，我们住的时候天气还不是很热，早上起来感觉有点热。房间比较小，床铺也有点短，不过还行，反正价钱摆在那里嘛，只要干净，安全就行，走廊有饮水机，省的自己烧开水，这点还不错。', '短评打分': 5}
{'短评内容': '距离市区还有一段距离，就是要转公交。出行还算方便。但转车麻烦。\n酒店服务一般，前台手续太慢。环境一般。住宿条件一般。\n电脑房就是没电视的，不热闹。\n洗浴用品得自备。', '短评打分': 5}
{'短评内容': '主要是有朋友在那边上班，为了方便就住在这边了，如果是出来旅游的不建议住这边。这次住的竟然还是上次的房间，不知道是不是酒店这边有记录，特意的安排如果是，我觉得不错。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '房间干净，但半夜空调自动关闭，热的要死。', '短评打分': 3}
{'短评内容': '酒店的住宿环境也还行！就是我们订的房间没有电视，不过这个价格还算是很便宜的！会向便宜推荐...............', '短评打分': 5}
{'短评内容': '非常干净，非常好， 前台服务很好，下次还会来住。 推荐大家来住，比较不错， 坐K39路到城站火车站，很方便。', '短评打分': 5}
{'短评内容': '客栈交通便利，服务周到。特别是服务人员拾金不昧，能帮我及时找回丢失的铂金戒指，非常感谢', '短评打分': 3}
{'短评内容': '我的客栈地理位置是比较好的,出行坐公交相当方便.客栈外观靓丽,从火车站坐39路公交车4站就到,很容易找到.客栈服务还是不错的,洗澡水也蛮大的,就是房间有点小感觉有点挤,不过两人或单人住还是挺经济实惠的.唯一的缺点就是我儿住了几天腿上多了十几个疙瘩,服务员说床单很干净都是机洗的,可能过敏.希望下次不会有类似问题发生.', '短评打分': 5}
{'短评内容': '房间还算不错，挺干净的，挺规范的，服务员也很热情。交通也挺方便的~', '短评打分': 5}
{'短评内容': '不错。。房间很干净。。价格合适。。就是洗漱用品要自己采购。。', '短评打分': 5}
{'短评内容': '办入住和退房的手续太慢了，打印一大堆纸，不知道为什么要这么繁琐，还不环保。每次都因为漫长的等待，觉得前台不那么亲切。\n\n房间墙壁似乎是纸板，隔壁做运动动作大了点，我的床都跟着一起动。', '短评打分': 5}
{'短评内容': '房间太小，里面生活用品啥都没有\n唯一好处就是立汽车站近', '短评打分': 1}
{'短评内容': '推荐倒是会,但是,我希望卫生搞好点,我住得房间里居然有蟑螂,我从小最怕腿多的虫子,我这鸡皮疙瘩一身一身的起.不过,服务阿姨态度还算可以.', '短评打分': 5}
{'短评内容': '床小了点，其他都还不错，东西都没有的，网速QQ都有问题，不过这个价格不错了', '短评打分': 5}
{'短评内容': '觉得方便，去哪里都不远，喜欢房间的颜色，很可爱，干净的，就是有点小。', '短评打分': 5}
{'短评内容': '环境位置还可以，就是有点小，不提供生用品。活', '短评打分': 5}
{'短评内容': '想订其他的，但是只有这间酒店有空位了，所以我只能订这家。希望可以延迟到一点退房就好了。12点太早了。还没有洗漱用品。', '短评打分': 5}
{'短评内容': '我的客栈设施简单但是够用,虽然有些东西没提供,比如牙刷牙膏拖鞋之类,但是一点也没有影响,因为这些东西在其他酒店我也是不用的,因为质量问题.还有走廊方便的饮水机,不用自己烧开水了.6楼无电视房很好,适合晚上睡觉要求安静的客人.价格很有优势.唯一不足的是离西湖太远', '短评打分': 5}
{'短评内容': '就这个价钱来说很干净，就是床有点小，脚出去了，建议小个一点的去', '短评打分': 5}
{'短评内容': '店内环境很好，服务态度也不错，就是周边环境不怎么样，人明显感觉到稀少，而且附近吃的地方不多，车不好打！', '短评打分': 5}
{'短评内容': '装修也挺活泼的，就是房间不大，长得高一点，估计床都不够长', '短评打分': 5}
{'短评内容': '这是我第二次住了，第一次还行，这次电视房太小了。上次自己加钱改成电脑房，空间很大的，怎么会差别这么大啊。浴室也超mini的', '短评打分': 1}
{'短评内容': '总体来讲，这家不怎么样，牙涮毛巾啥都没有。唯一的好处就是地理位置不错，汽车南站对面，离火车站也只有四个公交站', '短评打分': 1}
{'短评内容': '基本就是毛坯，简单的刷了点油漆，空调效果不好，宗旨去了一次不想再去第二次。', '短评打分': 1}
{'短评内容': '还不错 设施比较普通 还算干净 可惜不提供洗漱用品 要自己买', '短评打分': 5}
{'短评内容': ' 房间床真的很小，但整体挺干净的，我一个人住感觉还行', '短评打分': 3}
{'短评内容': '从来没住过这么差的酒店，以后再也不会住了；前台办理入住超级缓慢，每个人20分钟，排队的人都到门口了，服务员还是优哉游哉的，一点儿不急，你提醒下让快点吧，人家就用微笑来抵挡，完了该咋还咋地，办个入住花了一个多小时；房间更差，什么都没有，除了一张床，超级小，天花板超级矮，隔音超级差，窗户外一片荒凉，农村的不能再农村了，实在无语，以后不会再贪便宜了，酒店做到这种程度也真够可以了，劝大家不要贪这点小便宜，', '短评打分': 1}
{'短评内容': '房间太小，什么都没有！差劲！', '短评打分': 3}
{'短评内容': '空调不凉，房间没有电视机等，这价不值', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '蛮不错的······地点也方便的··晚上还有烧烤···虽然个鸡翅都烤焦了···', '短评打分': 5}
{'短评内容': '房间很宽敞，住的电脑房，但是有一天前台服务员态度很差，好像是6月30日的。插头数量不够，不提供接线板', '短评打分': 5}
{'短评内容': '方便', '短评打分': 3}
{'短评内容': '好…\n', '短评打分': 3}
{'短评内容': '房间很宽敞，也比较安静。没有电热水壶，要去楼道很不方便', '短评打分': 5}
{'短评内容': '空调只供应到后半夜，白天没有，没有拖鞋，没有电话说明，电话上标签破损无法看清', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 3}
{'短评内容': '酒店空间还可以~！就是设施少了点，衣服都没位置放，还有那个床短了点~！！~脚都在外面啊~！呵呵~！不过总体来说 还可以~！比较安静~！', '短评打分': 5}
{'短评内容': '环境，卫生还不错的。跟汽车南站对面很方便。就是没电蚊香，晚上睡觉被蚊子咬死了！！！睡都睡不着。', '短评打分': 5}
{'短评内容': '99元的房间没有电视，也没有提前说明一下。别的性价比都还可以。', '短评打分': 5}
{'短评内容': '这家酒店离市区较近,交通便利,不足之处在于硬件设施不好,住宿条件差,如果旅游的话不值得推荐!', '短评打分': 5}
{'短评内容': '我订两间房。一个标间（两个单人床），一个大床房（PC Room）。标间房很小，行李放下后，就连走到床边都困难了。卫浴是小间的也是干净的，但洗澡时，水会流到门外去（房里去）。大床间（PC Room）9楼的，就是有电脑可免费上网但没电视。房间卫生又宽大。虽没什么设备，但感觉还蛮舒服的。整体来说，是满意的。', '短评打分': 5}
{'短评内容': '整体上是不错的，虽然房间小了点，但很干净，价格也能接受。就是晚上有蚊子。', '短评打分': 3}
{'短评内容': '酒店没电视，没有事先通知比较郁闷，但是环境还不错', '短评打分': 3}
{'短评内容': '交通方便，靠近汽车南站，内部环境干净简洁，房间空间较大。', '短评打分': 5}
{'短评内容': '房间小的可怜，洗个澡会满屋子都是水，空调没法自己开，搞一恒温，室内啥也没有，就两一次性杯子（估计刷牙用的）喝水必须去走廊，最基本的电视机都没有，楼层格局跟地下车库似得，很矮很压抑，我165，一伸手就能碰到天花板~不过价钱便宜，只能这样了', '短评打分': 1}
{'短评内容': '这家旅店还算便宜吧，就是没有拖鞋  没有一次性的洗漱用品，床有点短，我165躺平脚会露出床边一点。我住了3天，没有发现附近有大型的超市。地理位置跟客运南站对面，坐汽车去绍兴、苏州、上海、义乌都有车，去乌镇的话也可以从客运站坐转站车到九堡客运站，很方便。这里到西湖也很方便，坐59路公交车，还路过吴山广场。去钱塘江的话要走几条街，饭后散步还是挺不错的，晚上江边人很多。希望这些信息对您的选择有帮助。祝您', '短评打分': 5}
{'短评内容': '房间空间大，设施少，干净，算可以吧', '短评打分': 3}
{'短评内容': '99我的客栈别具一格的靓丽造型很令人耳目一新', '短评打分': 5}
{'短评内容': '房间太小与事实不符，床也太小了', '短评打分': 3}
{'短评内容': '有点小，其他还可以，因为是家人在住，所以具体要问家人了，不过感觉也不是很便宜，团购才88元的都有哦，本来可以省下82元的两间', '短评打分': 5}
{'短评内容': '谨慎地推荐。房间够大。但是设备过于简陋。即使是经济型的酒店，里面最起码也要有一个电热壶吧。衣架也只有两三个。另外，天热也不开空调（中央空调）。', '短评打分': 5}
{'短评内容': '酒店还算干净。但天热不开空调（中央空调）说不过去。', '短评打分': 5}
{'短评内容': '房间很大，但是设施简陋得可怕。。。。。不是普通的简陋啊。。。。159的房费真的只能住这样的房间吗', '短评打分': 1}
{'短评内容': '房间还可以,就是前台办理太慢了。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间整齐，就是有点小，总体不错', '短评打分': 3}
{'短评内容': '我原先是电视大床房，后来加了20改成电脑房，房间是大的，但是里面什么都没的很空旷，电脑网速很慢的，我觉得还不如电视房的。没有单独空调，是大堂控制的。总的这个价位还可以吧', '短评打分': 5}
{'短评内容': '酒店没开空调，热了点，其他还好', '短评打分': 3}
{'短评内容': '酒店位置不错，在杭州火车南站对面。房间挺大，但是很空荡。有电脑的房价没有电视，有电视 房间上网还要加20元钱。没有洗漱用品， 一次性拖鞋还得买。', '短评打分': 5}
{'短评内容': '房间不是特别大，但是比较干净，环境不错', '短评打分': 3}
{'短评内容': '酒店服务很好，楼下还有小卖部，很方便~对面就是汽车南站啦！房间青青绿绿的，看着就很舒服~住的是99元大床房，房间虽然小，可是床还是够大的~而且还有电脑！超神奇~不过要自带牙刷牙膏之类的，拖鞋也没有~对于我只是来这边住一晚的来说，真的是性价比超高~', '短评打分': 5}
{'短评内容': '环境还行\r\nBest Regards!\r\nAva~', '短评打分': 3}
{'短评内容': '不太喜欢，太空旷了，而且也不提供洗漱用品，反正不会再去了', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '住的13层，房间还好的，就是空调制冷效果不是很好', '短评打分': 5}
{'短评内容': '房间很小,干净整洁,房间色调感觉温馨,没有一次性用品,花洒是固定的,用起来感觉很不方便.', '短评打分': 5}
{'短评内容': '价格还行，房间也挺不错，服务态度也很好，推荐！！', '短评打分': 5}
{'短评内容': '在杭州能找到这种价格这种环境的酒店真的很不容易，总体来说房间很干净，很简洁。楼下还有超市，很方便。下次来还会入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间很干净，就是离西湖有点远', '短评打分': 3}
{'短评内容': '非常有情调，比较靠谱的。交通也方便，态度也不错，很有性格、很实惠的一家酒店。', '短评打分': 5}
{'短评内容': '房间太小，我住的是139元的房间都很小，很不值，不如加几十元住别的快捷酒店，卫生也一般！杭州今天30度了，没有空调！', '短评打分': 3}
{'短评内容': '＋蛮好的，就是没有一次性用品。', '短评打分': 3}
{'短评内容': '酒店整体风格很年轻化，房间的色调也很温馨。随开间面积很小，但也够用，很经济实惠。有一点建议：入住手续不只是操作系统设置的过于繁琐还是操作不当，总之很慢。下次还会入住并推荐给朋友。', '短评打分': 5}
{'短评内容': '空调是中央空调不一定开的！有点热！床不是很大，煮热水的没的！', '短评打分': 5}
{'短评内容': '东西不齐全，拖鞋牙刷什么都没的！\n干净还可以的！', '短评打分': 5}
{'短评内容': ' 房间跟旅馆一样 有中央空调但不开 只有99元房可以看在便宜的份上住  其他房间就算了吧 唯一优点就是离长途汽车南极近 就在马路对面', '短评打分': 3}
{'短评内容': '什么都没有，大床房还要119，比起我最近住的地方，觉得不划算，旁边有时尚布丁等等很多酒店。。。相当不隔音啊，旁边说话什么的都听得到，不爽', '短评打分': 1}
{'短评内容': '电视房很好，就是空调不好，建议空调方面改善一下！！！！！', '短评打分': 5}
{'短评内容': '房间小了点，卫生间不如大床房干净，凑合吧！', '短评打分': 3}
{'短评内容': '大厅挺好，房间，尤其是厕所比较小。不过对得起这个价格了，呵呵', '短评打分': 5}
{'短评内容': '地理位置是挺好的 环境也不错。。只是让我无语的是房间很大 可进去什么东西都没有的，比如拖鞋，烧水壶。。喝水要去门口的自动饮水机上倒，很麻烦，然后空调也坏了，这些方面希望能更好一点。', '短评打分': 1}
{'短评内容': '总体感觉很好！房间宽敞、干净！', '短评打分': 3}
{'短评内容': '屋子不错，挺干净。去西湖等景区的交通十分方便。', '短评打分': 5}
{'短评内容': '还行，床太小了。还有没有水啊。位置一般！希望改善下', '短评打分': 5}
{'短评内容': '性价比还是不错的，就是隔音稍有问题，隔壁说话都能听的很清楚，其他都不错。', '短评打分': 5}
{'短评内容': '空间宽敞，很大，但是网速太慢，键盘不好使，而且住房登记时比较麻烦', '短评打分': 5}
{'短评内容': '性价比挺高的,就是小了点,\n交通便利,吃饭也方便', '短评打分': 5}
{'短评内容': '已经第四五次住了，就是很好啊，就是电视房小了一点', '短评打分': 5}
{'短评内容': '酒店房间好、服务好、卫生也好，较值这个价钱；就是床有点短，才180cm的吧，睡觉脚都要露出去', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不怎么好，床太小', '短评打分': 3}
{'短评内容': '整体不错，交通方便，周边有外婆家，绿茶等著名餐馆', '短评打分': 5}
{'短评内容': '住住还是不错的。比较干净价格也比较合理。服务也还行最好的就是电梯那边可以灌水。', '短评打分': 5}
{'短评内容': '整体不错，就是隔音效果差了点。下次还会去这家旅店', '短评打分': 5}
{'短评内容': '不错。挺干净。不过一次性用品一定要自己带好。', '短评打分': 5}
{'短评内容': '挺好的，很划算，交通也比较便利，不过真的是什么都没有，只提供两个一次性杯子\n99的房间周末也不涨价，真是很划算了', '短评打分': 5}
{'短评内容': '服务态度好，房间很大诶，就是床的长度小的点，对身高高的睡起来不舒服', '短评打分': 5}
{'短评内容': '\n小得很啊～百来块钱不值得呢。装修材料不行，卫生间地板翘着么…但是在南站嘛，明天清早去横店，将就了。', '短评打分': 3}
{'短评内容': '啥都没有。。。暖气不开，冻死。然后我们多要一个被子的时候，说被子被要光了，因此他们决定开空调，结果依然没有感觉，还是冻死。。。', '短评打分': 1}
{'短评内容': '性价比高，舒适度也还可以，价钱实惠，对面就是南站交通便捷', '短评打分': 5}
{'短评内容': '交通方便，价格合理。只是服务人员说话时声音太大', '短评打分': 5}
{'短评内容': '空调白天没有，设施简单到极点。比较干净，房间面积还可以', '短评打分': 1}
{'短评内容': '房间挺温馨的，性价比比较高', '短评打分': 3}
{'短评内容': '酒店墙壁的颜色很喜欢，是淡绿色的，房子比较大，电脑网速可以，键盘有一点不好用！', '短评打分': 5}
{'短评内容': '就是中央空调温度还舒适，靠路边的房间隔音很差，靠大厦后的风景又很倒胃口，99的房间和低配双人间很差！', '短评打分': 1}
{'短评内容': '图片跟实物差不多，只是房间稍微小了点。还有就是服务的效率有待提升', '短评打分': 5}
{'短评内容': '优点：干净、房间大、性价比合适、员工训练有素；\n缺点：偌大的房间里搁放行李的台板非常小，二人房间里只有一把椅子，借用吹风机时被告知如还时不好使需赔偿（如果刚好到寿命坏在我手里咋办？）。', '短评打分': 5}
{'短评内容': '不错哦，符合这个价，我儿子很喜欢房间的色彩。只是房间真的好小～～', '短评打分': 5}
{'短评内容': '酒店不错，实惠，到杭州南站的朋友不妨去看看', '短评打分': 5}
{'短评内容': '刚进房间有股烟味，隔音效果差，浴室地板渗水，睡到半夜房间又有烟味，也不知道是从哪里传进来的', '短评打分': 1}
{'短评内容': '平时住住99元还蛮划算的，就是节假日涨价50太高了', '短评打分': 5}
{'短评内容': '价格合理，设施相对普通，而且稍微偏点，当然性价比还行。', '短评打分': 5}
{'短评内容': '性价比偏高，就在汽车南站对面；但是酒店设施不咋地，房间很小，洗手间漏水，基本房间没地方走路', '短评打分': 1}
{'短评内容': '要求高的朋友就不要考虑了\n总体来说对得起这个价格\n但是后半夜空调自己停了 然后我感冒了三天\n当时过年药店都不开门 让我硬挺了三天', '短评打分': 1}
{'短评内容': '就在汽车南站对面，门口还有多路公交，很方便。房间在经济酒店中算非常大的，就是东西太少，没有开水壶要到楼道打水', '短评打分': 3}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '位置离市中心有点远。房间什么设施都没有，99元性价比不好！下次不会住', '短评打分': 3}
{'短评内容': '酒店非常不错整洁,安静下次还会考虑入住服务态度也很好', '短评打分': 3}
{'短评内容': '房间不大，但是床够大的。自动的空调热让人受不了。总的来说还不错，下次还会再次选择《我的客栈》。', '短评打分': 3}
{'短评内容': '还不错,环境干净整洁.是个不错的选择.', '短评打分': 3}
{'短评内容': '很早住的...忘记评价了...价格很实在...服务还好...房间就有点...不过毕竟价格放在这里...', '短评打分': 5}
{'短评内容': '房间小,不隔音,条件差,卫生间小,掉墙皮,', '短评打分': 1}
{'短评内容': '\n住宿条件不错', '短评打分': 3}
{'短评内容': '酒店不错性价比高，空间很大，如果牙刷和拖鞋配齐就更不错了', '短评打分': 3}
{'短评内容': '房间不大，但是很干净，很温馨，水很热，房外有饮水机，交通也很方便', '短评打分': 5}
{'短评内容': '在马路边上，虽然很容易找到，交通也较方便，但是很吵，都是马路上车辆的喇叭声，睡不着啊', '短评打分': 1}
{'短评内容': '房间很大很宽敞,颜色也很温馨,就是预定的时候没注意酒店没有提供拖鞋之类的东西害得晚上不知道怎么洗脚,以后同志们要注意了哦', '短评打分': 3}
{'短评内容': '还行。就是那个电脑大床房 有点空旷。。而且 也没电视可看。。住的 还舒服的 还不错', '短评打分': 5}
{'短评内容': '还不错，经济实惠。', '短评打分': 3}
{'短评内容': '酒店很差，以后别推荐类似的了', '短评打分': 3}
{'短评内容': '这家店挺好的，房间虽然不大，但是听温馨的！但是服务员态度很一般！', '短评打分': 5}
{'短评内容': '交通方便，位置好，房间大。就是有点空荡。', '短评打分': 5}
{'短评内容': '感觉订的是99元的，给升到139的，卫生挺干净的，让人不舒服的就是床太小了，脚伸直就在床外了，', '短评打分': 3}
{'短评内容': '这个价位已经算可以了。\n只是卫生间比较简陋，淋浴不那么方便，最好能放一张干净点的防滑垫。', '短评打分': 5}
{'短评内容': '房间倒是挺大,但里面太空了,电脑没有主机,不实惠,下次一定自己带不住数码房', '短评打分': 5}
{'短评内容': '离城站有点远，房价虽大但很冷清，毛巾太脏！', '短评打分': 1}
{'短评内容': '交通方便，卫生条件也不错。只是，床不太好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '卫生状况有改进空间。其他的都还好。。。。', '短评打分': 1}
{'短评内容': '还不错的，只是个人还是比较喜欢电视大床房的，哈哈。', '短评打分': 5}
{'短评内容': '不错。感觉没有以前好了。。。。。但是还是可以接受的', '短评打分': 5}
{'短评内容': '还可以吧 住着不错了 不过这个空调形同虚设 桌子也没有', '短评打分': 5}
{'短评内容': '不错，交通方便，价格合理，如果不是很讲究舒适性的话，是不错的选择。', '短评打分': 5}
{'短评内容': '价格还是可以的,就是买的一次性用品比别的连锁酒店都要贵很多,房间稍矮,什么东西都要押金...网线10块,房卡20，吹风机200...', '短评打分': 5}
{'短评内容': '热水比较好。就是房间小', '短评打分': 3}
{'短评内容': '好。', '短评打分': 3}
{'短评内容': '房间比较小。灯光不足。位置比较方便出行。', '短评打分': 3}
{'短评内容': '经济酒店还算不错，房间也不小，就是有点吵', '短评打分': 5}
{'短评内容': '不错！！！整体条件和设施都非常舒服 简洁而有味道 还有大的落地窗 很实惠！', '短评打分': 5}
{'短评内容': '酒店交通很方便，服务也很好，下次还会来住。', '短评打分': 3}
{'短评内容': '酒店卫生干净，交通方便，很不错。以后还会过来。', '短评打分': 3}
{'短评内容': '简单，宽敞，大致来说还是不错的，简单的过分', '短评打分': 5}
{'短评内容': '不错，相当满意，下次还会住。在杭州算性价比很高的了。', '短评打分': 5}
{'短评内容': '不错，地理位置优越，价格便宜合理，就是空调晚上会停，因为是自动的，人不活动不开，所以还是有点遗憾。', '短评打分': 5}
{'短评内容': '建议增加餐饮服务，冬天室温有点低，入住手续费时费纸。', '短评打分': 5}
{'短评内容': ' 嗯，感觉不错，也干净，就是床好小的样子……\r\n', '短评打分': 3}
{'短评内容': '居住地理环境好，干净清洁，交通方便。去市中心只要20多分钟，下次还要居住。', '短评打分': 5}
{'短评内容': '酒店地处杭州汽车南站对面，交通比较方便，价格实惠。房间设置有点像船舱，内部装修以绿色为主，感觉比较干净清爽，没有一次性洗漱用具需自备。房间内没有饮用水，我住的那层走道设置的饮水机热水功能是坏的。总体性价比还可以。', '短评打分': 5}
{'短评内容': '如果是坐长途车到汽车南站或火车到杭州，会非常方便地到达这个酒店。不过房间实在是太小太小太小了，性价比不高……', '短评打分': 5}
{'短评内容': '价钱便宜，但是淋浴不好，电话太麻烦，空调不是独立的。', '短评打分': 5}
{'短评内容': '比苏州的好，就是房间有一点小，电视房要特地订才有，但是这个价位确实不贵的。出行旅游的大学生可以考虑', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '晕死这家店办理登记和退房手续很慢！赶时间的朋友退房时最好比预先设想时间再提前半个小时！！前台看着不错但是一出电梯看到走廊和房间你会想吐血！！！第一感觉很压抑！！！为什么这么说呢房间高度很低而且很小，小的可怜！！！如果可以希望各位还是少住为妙！！没一次性牙刷这类的就算了，但是也得给双塑料拖鞋吧！！！床很小、很小！！一个人还可以，但是想两个人挤一下就会想发疯了！！！我订的是双标房！！！给各位参考一下！', '短评打分': 1}
{'短评内容': '床挺大，但是房间小。没有洗蔌用品，不过一楼超市有卖。', '短评打分': 3}
{'短评内容': '很好很不错 房间虽然小但是东西都全的 很满意 交通也方便的', '短评打分': 5}
{'短评内容': '价格合理，不过牙刷自带麻烦~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '＋还可以拉，比较方便', '短评打分': 3}
{'短评内容': '房间挺大，没给空调，拖鞋也没有，我不得不又换了一家布丁挺好。', '短评打分': 1}
{'短评内容': '很冷,居然不开空调.没办法加了床棉被.住这里周围也没什么玩的,很无奈.明天换地方了.', '短评打分': 1}
{'短评内容': '看到评论中的差评以后差一点不敢住了。结果一到店才知道，其实挺不错的。干净整洁。就是床稍微小一些。其他都好', '短评打分': 5}
{'短评内容': '比较喜欢这类型的房间，很简单，很舒适，而且也比较的便宜，相对于出门办公的比较不错的', '短评打分': 5}
{'短评内容': ' 满干净的  要是有电视就完美了', '短评打分': 3}
{'短评内容': '房间挺宽敞的，很好，要是有拖鞋就更好了!', '短评打分': 5}
{'短评内容': '周围比较荒芜，没什么吃的，房间小的可怜，卫生间设计得也不好，像飞机上的厕所。', '短评打分': 1}
{'短评内容': '不错啊，经济实惠。就是大床小点儿，腿长的会出来啦', '短评打分': 5}
{'短评内容': '厕所有点差。。其他的都还好吧。。。但是99一间的价格算是很便宜的。', '短评打分': 5}
{'短评内容': '如果有机会再去杭州的话还住他家 干净卫生 交通方便', '短评打分': 5}
{'短评内容': '酒店的设施还是不错的，就是里面不提供鞋子牙刷什么的，这些还好，为了卫生考虑，可以理解，主要是没热水，热水要去房间外的饮水机倒，这个在冬天时很痛苦的。。。', '短评打分': 5}
{'短评内容': '不错，经济实惠，就是床有点儿短，180CM以上的同志注意。呵呵', '短评打分': 5}
{'短评内容': '还是非常不错的。。已经住过好几次了。。。环境比较清水。。。', '短评打分': 5}
{'短评内容': '很干净,就是床有点短.这次住的是6楼,房间好小哦.上次住的却好大,真不知道99块也分大小?', '短评打分': 5}
{'短评内容': '是我见过最垃圾的酒店 199的房间简直就想普通的旅馆一样 感觉像是在地下室里装饰一样 小的可怜  入住手续需要半个小时才能搞定 不能接受预授权 收取20块的网费还不给发票 简直是垃圾到极点 ', '短评打分': 1}
{'短评内容': '该店交通方便，卫生整洁。硬件条件的不足是卫生间太小了点，软件的不足是办理入住手续太麻烦，太费时。其它都满意。', '短评打分': 5}
{'短评内容': '在汽车南站对面，如果要在南站或火车城站坐车比较方便。。。', '短评打分': 5}
{'短评内容': '还不错  住过好几次了   性价比蛮高的 ', '短评打分': 5}
{'短评内容': '其他都还好，就是酒店始终不接受信用卡预授权，有点霸道，给客人造成不便', '短评打分': 5}
{'短评内容': '这家酒店是我出行10天住的最差的一家了，我想这就是为什么价格低的原因了。首先，房间特别的小，每个房间门特别的矮，给我感觉像监狱一样，房间内连个走路的地方都没有，下床只有一个方向，卫生间更是小的可怜，洗澡的单独隔断也没有，卫生间面积总共才1.5平吧。其次卫生很差，墙面很脏，让人看着很不舒服。最后，不提供任何一次性用具，包括拖鞋，牙具，都要到楼下超市购买，加热水壶也没有，喝水还要到走廊上去接，真的很麻', '短评打分': 1}
{'短评内容': '床太短，哥173的个子，根本伸不直腿......\n还有，前台的小子把身份证跟信用卡信息全输入电脑？啥意思？？', '短评打分': 1}
{'短评内容': '我在全国出差，住过的最差的宾馆，不仅卫生差，环境差，服务差。', '短评打分': 1}
{'短评内容': '酒店环保到家了\u3000省钱到家了\u3000不过住的还行\u3000值得推荐\u3000', '短评打分': 5}
{'短评内容': '小、赃、乱、差、服务差、服务效率低、设施非常不好。', '短评打分': 5}
{'短评内容': '呵呵，蛮好玩的，小小的很，不过这个价格划算啊', '短评打分': 5}
{'短评内容': '﹢房间很干净,是不错的快捷酒店。', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '相当糟糕的经历，去了只后告知空调是坏的，要我换房间，可是我网上压金已经付了，忍忍吧，房间很小很小，床也是小的，床的长170 我身高185，脚是在外面的，房间是隔断隔开的，房间内有蚊子，一个晚上就没睡着过。。。。。。。。。 ', '短评打分': 3}
{'短评内容': '酒店服务不错，只可惜没有餐厅，附近又没有什么像样的餐厅，这是一大缺憾！酒店卫生间有点挤，洗澡不是很方便，如果能提供地巾就更好了。', '短评打分': 5}
{'短评内容': '房间跟照片基本相同，但是，照片根本看不出房间那么小，床也是迷你版，我一米七六的身高，睡觉时只能睡对角线，不然脚会掉出去...。天花超矮，很压迫。厕所很潮，整间都是霉味，毛巾则是灰色的，我只敢拿它来当抹布。隔音部分...根本没有！！！隔壁间情侣下午乒乒乓乓在打架，女的又哭又吼；晚上他们打另一种架，换成男的啊啊叫。墙壁不知道用什么隔的，隔壁男女一打架，我的墙壁就会震动，偏偏床头连着墙，所以前半夜我的床', '短评打分': 1}
{'短评内容': '+环境还不错…就是灯光暗了些…', '短评打分': 3}
{'短评内容': '刚发现原来每层楼走道上有个饮水机，这点值得赞扬，可惜房间没给准备个杯子，还是太环保了点', '短评打分': 3}
{'短评内容': '159的电脑大床房，基本上除了个电脑，一部电话，一张床，床上用品，卫生间有两条毛巾，其他设施一无所有。环保我也支持，牙刷，牙膏，毛巾都自备了。忘了带拖鞋也还好。总不能让我们还带个电热水壶旅行吧。方便面也没得泡。水也没得喝。太环保了！', '短评打分': 1}
{'短评内容': '房间还可以，离汽车站近', '短评打分': 5}
{'短评内容': '6月的天气，却说空调坏了要我换好的房间，但是我的钱已经担保了，房间里有很多蚊子，更本没办法睡，房间好小好小，却要139，这样的房子只值99', '短评打分': 1}
{'短评内容': '酒店位置比较好，但卫生间设施不好，虽然有淋浴但由于安装位置不对不能正常使用，其他都还不错，窗户小了一些', '短评打分': 1}
{'短评内容': '原本看见评价还可以。就订了10天。结果当天晚上就出去找酒店了。忍受了一晚上第二天以大早就跑了。就是招待所。', '短评打分': 1}
{'短评内容': '不错，挺好。比经济型酒店还经济。性价比高，当然房间设施就比较简单了', '短评打分': 5}
{'短评内容': '酒店超级差,好象是停车场改建而成的.噪音又大!差差差!', '短评打分': 1}
{'短评内容': '蛮好的~我们到达那里后，服务不错，交通也还是蛮方便的，以后如果再去，可能还会选择，价格很合适', '短评打分': 5}
{'短评内容': ' 房间挺漂亮，电脑不错，但床不够长，卫生条件不好，房间有点异味，浴巾是灰色的。。。', '短评打分': 5}
{'短评内容': '简洁干净，服务较好', '短评打分': 5}
