{'短评内容': '一般。位置不错，但设施较陈旧。要求不高就尚可。', '短评打分': 5}
{'短评内容': '酒店比较旧，卫生条件一般，设施还可以，算是过得去，性价比还是高的，经济型。离天一广场走路15分钟，酒店旁边就是顺旺基，吃饭蛮方便的，离公交车站也近的。', '短评打分': 5}
{'短评内容': '酒店的性价比很高，很便宜，内部的服务和卫生条件也不错', '短评打分': 3}
{'短评内容': '酒店比较旧，洗澡的地方还堵水，卫生间的门关了就开不出来了，门旧旧的，毛巾也旧旧的。离天一广场走路15分钟，酒店旁边就是顺旺基，吃饭还是方便的。', '短评打分': 1}
{'短评内容': '酒店的卫生条件不是很理想,服务人员也很少,不是很周到,价格挺便宜的,不过服务跟不上.', '短评打分': 1}
{'短评内容': '酒店位置有点偏，交通还可以，房间特别干净，蛮整洁的，服务比较一般', '短评打分': 5}
{'短评内容': '房间地方小了点，房间内地毯不干净，其他方面还可以', '短评打分': 5}
{'短评内容': '感觉酒店还可以，房间比较干净，服务也挺好的，性价比还不错，值得推荐 ', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很好，服务卫生舒适度也很不错，价格合理适中。整体来讲还是比较达标的。还是可以推荐入住的酒店类型。', '短评打分': 5}
{'短评内容': '酒店整体来说还算可以的，从服务到内部环境清洁，硬件设施到整体的舒适度都还不错，交通也比较方便的算是，就是还可以吧。', '短评打分': 5}
{'短评内容': '酒店的服务和硬件设施都还可以，价格也比较适中，就是一点，他不太好找，其他还可以。', '短评打分': 5}
{'短评内容': '酒店的房间比较小，价格也稍贵，而且位置比较偏，不是特别方便，不过他们的服务环境还不错，硬件的配备也算可以。', '短评打分': 5}
{'短评内容': '酒店还是比较不错的，从他们的服务，到房间酒店的卫生，再到硬件配备都是挺好的，交通也比较方便。', '短评打分': 5}
{'短评内容': '酒店虽然外观规模比较小,但是内部的设施和配备方面还是挺齐全的,而且价格也很优惠', '短评打分': 5}
{'短评内容': '感觉挺不错的,价格也合适,就是设施陈旧些了.', '短评打分': 5}
{'短评内容': '感觉挺不错的,价格也合适,就是设施陈旧些了.', '短评打分': 5}
{'短评内容': '和同学夜骑市区的时候去过，地方虽然有点难找，但就在老外滩附近。可以去酒吧High过或者像我们一样带点啤酒或者在KFC里买个全家桶坐在江边吃喝。然后跑去睡觉再迟呼呼的骑车回学校。可以很惬意。说实话这里老板很负责。为什么呢，因为我订的时候是通过信用卡担保了，结果他们的小妹以为我们不来了，把房间卖了出去。老板没推卸责任，首先协商能不能将他们自己住的豪华大床房腾出来给我们，或者选择在附近的宾馆开同样等级（', '短评打分': 5}
{'短评内容': '酒店的环境设施都还不错.位置出行也很方便,价格也很好.', '短评打分': 5}
{'短评内容': '酒店的服务卫生都很好,位置也很方便.', '短评打分': 5}
{'短评内容': '酒店价格很便宜,而且地理也不错,交通挺便利扔', '短评打分': 5}
{'短评内容': '我是去旅游的，刚到这里酒店稍微有点不好找，不过酒店附近就有去普陀山的车站，对于旅行来说很方便的，而且服务卫生也都不错。', '短评打分': 5}
{'短评内容': '位置不错，靠近商业中心和外滩，服务一般，经济型的，没有餐厅，不过周围吃饭还比较方便。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
