{'短评内容': '环境不错，服务也很好。', '短评打分': 5}
{'短评内容': '不错的酒店，很对得起这个价格，550元含早餐还是不错的，房间比较大，而且还靠近鸟巢，但是唯一不好的就是晚上卡拉OK的声音比较大，好在本人对声音不是太敏感，否则晚上就不会休息好了。', '短评打分': 5}
{'短评内容': '离鸟巢和水立方很近，就在美食街，', '短评打分': 5}
{'短评内容': '在中国科技馆新馆旁边，离鸟巢水立方都很近，走着去10分钟左右。酒店设施还不错，比较新。服务还有待加强，前台的服务不够热情，早餐花样不多但是味道尚可。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一如既往，品牌至上', '短评打分': 5}
{'短评内容': '位置很有发展前途，但可能是周边与其竞争的同档次酒店较少，故性价比较差，我只是因为工作原因，才会选择这里。', '短评打分': 1}
{'短评内容': '性价比不合适，同样的价钱可以住的更好', '短评打分': 1}
{'短评内容': '酒店位置不错，周边吃饭的位置较多，早点希望可以更好一些。', '短评打分': 3}
{'短评内容': '不错的酒店，要是能加强门童服务就更好了，的士有点难打。', '短评打分': 5}
{'短评内容': '这个价格，还是挺值的', '短评打分': 3}
{'短评内容': '不错的酒店，下次还来住', '短评打分': 5}
{'短评内容': '冰箱声音有点大，影响睡眠。', '短评打分': 5}
{'短评内容': '通过 eLong.com 订房，快捷方便。酒店在奥运村附近 餐饮、购物、交通均方便。订的高级间到店时无房，前台临时给免费升级至豪华间。酒店值得推荐。小建议：酒店软服务可以更专业和热情。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间性价比高，周边有很多餐厅。', '短评打分': 3}
{'短评内容': '很棒的酒店，性价比高，离鸟巢很近~', '短评打分': 3}
{'短评内容': '外国同事盛赞此酒店，性价比很高，早餐棒！', '短评打分': 5}
{'短评内容': '400元之价格有点貴，雖然是Ramada管理，但看不出有什么國際化管理！要是价格在320以下才有性价比之优勢！', '短评打分': 1}
{'短评内容': '不错，就是价格有点高', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '新价比高~', '短评打分': 3}
{'短评内容': '帮同时定的，反应不错。', '短评打分': 5}
{'短评内容': '房间的卫生和设施还是比较不错的,但是感觉卫生间还是有些小了,服务态度还可以,位置还是挺好找的,性价比不错.', '短评打分': 3}
{'短评内容': '总体状况很好，周边服务设施齐备，只是\r\n酒店不应该出租给KTV，西面的客房太吵，这是最大的不足；还有，洗衣的价格和服务与酒店的整体相差太远。洗衣的价格太高，且服务不好，其它同类型，甚至级别高于的酒店，洗好后的衣物，都是熨烫好，折叠好（有的用纸板），用服装袋装好后，交给客人。可是这家酒店就用最普通的塑料购物袋（类似超市的手拎兜），一装了事。送到客房的衣物，都弄皱了，根本白熨。北京建国饭店等老牌酒店的', '短评打分': 5}
{'短评内容': '昨天入住竟然房间没有热水洗澡，暖气也不怎么热，很让人失望！', '短评打分': 1}
{'短评内容': '很好的酒店，就是有点小贵', '短评打分': 5}
{'短评内容': '还行。各方面都不错。出来吃饭也很方便的。', '短评打分': 5}
{'短评内容': '空调不好，楼下还有KTV，无法入睡。早餐还可以。', '短评打分': 3}
{'短评内容': '性价比很高，离科学技术馆和奥运场馆近。交通一般，超市和饭店很方便', '短评打分': 3}
{'短评内容': '这个是国际连锁酒店，酒店比较干净，服务业很好！就是离地铁比较远，步行要10到15分钟，离科学技术馆很近。附近有饭馆，超市。比较方便。', '短评打分': 5}
{'短评内容': '399的房间根本没法住，有一股很刺鼻的气味，另外房间因为没有窗户，没有通风，很热很热。428的大床房，很吵，从晚上10：00多楼下2楼唱歌很响，基本会被吵得得心脏病。428的无烟房还可以，只是空调不好，要盖两床被。以后再也不会入住了.', '短评打分': 1}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '同一酒店多个订单只能评价一次吗？', '短评打分': 3}
{'短评内容': '好几次入住了，很好', '短评打分': 5}
{'短评内容': '在鸟巢附近性价比很好的一家酒店，超干净超好！', '短评打分': 3}
{'短评内容': '非常好的酒店，离奥运场馆又近，价格合理，卫生良好，服务热情！', '短评打分': 3}
{'短评内容': '环境不错，不过离市中心较远，地铁需要乘换好几次才能到达。', '短评打分': 5}
{'短评内容': '设施不错，早餐也可以，就是房间有点小', '短评打分': 3}
{'短评内容': '卫生干净\n安静\n商务出差和居家旅游皆可', '短评打分': 5}
{'短评内容': '干净，位置好', '短评打分': 5}
{'短评内容': '位置就在奥运村美食一条街，吃饭娱乐都比较方便，房间环境不错，设施齐全，就是相比较同等级的有点小贵。', '短评打分': 5}
{'短评内容': '不错，离奥运场馆近，就是叫的士有点麻烦，当然和前台预先联系，还是可以的。', '短评打分': 3}
{'短评内容': '可能是由于最近装修了,房间味道比较刺鼻,不过总体上还是比较舒适的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很舒服', '短评打分': 5}
{'短评内容': '在北京算性价比很高的酒店了', '短评打分': 5}
{'短评内容': '整体感觉还不错，当时在周边办事，住这里很方便，价格方面呢觉得有点偏高', '短评打分': 3}
{'短评内容': '位置非常好，附近的吃饭的地方很好，离鸟巢很近。但是3楼用的清洁剂有异味。', '短评打分': 5}
{'短评内容': '服务还不错, 早高峰打车难, 最好预约', '短评打分': 3}
{'短评内容': '还行吧, 门童服务不积极. ', '短评打分': 3}
{'短评内容': '性价比不错, 打车难', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '总的来说,都还可以,除了有的时候,酒店的工作人员在遇到问题时的处理事情的态度不是很积极,其他方面都挺好的,环境也不错,性价还是蛮高的.', '短评打分': 5}
{'短评内容': '毕竟是个世界知名的品牌，还是不错的—房间较大，设施很新，住了比较舒服，旁边各式饭店也很多。缺点是位置还是比较偏，打车不是很容易，而且很多司机也不太认识这个酒店，因为听说这个酒店更名了好几次，让人有点晕，所以我的建议是：跟司机报完地址后，顺带说一句“金钱豹旁边”，八成司机就明白了。', '短评打分': 5}
{'短评内容': '非常不错的酒店,干净舒适；尤其是位置特别方便,价格也很合理；性价比还是比较高的；值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '除了KTV太吵之外，还有酒店房间隔音有点问题，其他还是值得推荐的！', '短评打分': 5}
{'短评内容': '酒店还是挺不错的,之前也是住过很多次了,各方面的住宿条件也都挺好的,价格也不贵,很值得推荐.', '短评打分': 5}
{'短评内容': '酒店楼下有个KTV特别是到了晚上特别吵,而且酒店网上图片介绍与实际不太相符,不过酒店还是挺不错的,很干净,价格也和交通位置也挺好的', '短评打分': 5}
{'短评内容': '服务很周到，位置不明显不好找，出租车司机都找不到，别的都不错，设施条件挺好的', '短评打分': 5}
{'短评内容': '我住的时候是冬天，房间里空调调节不起作用，感觉温度不够，另外酒店比较新，所以很干净，位置也还可以，就是打车不好打。', '短评打分': 5}
