{'短评内容': '房间不大，地理位置方便', '短评打分': 2}
{'短评内容': '早餐不错，位置可以，睡觉时偶尔感觉楼在晃，睡眠不好的人建议考虑清楚', '短评打分': 5}
{'短评内容': '已经第二次预定了，朋友很满意！', '短评打分': 3}
{'短评内容': '   还可以，干净是关键，早餐很满意…', '短评打分': 3}
{'短评内容': '还可以，性价比不错,早餐比较好，下次会考虑', '短评打分': 5}
{'短评内容': '这家酒店值得入住，性价比很高，但如果喜欢面积大的洗手间的人就要考虑一下，另外床是一米五的', '短评打分': 5}
{'短评内容': '早餐很丰盛，在它旁边的四星酒店用早餐，电视有点旧。', '短评打分': 5}
{'短评内容': '单人间为主总感觉房间在震动，睡眠不好的人须考虑一下', '短评打分': 5}
{'短评内容': '单人间住宿不错，自助的早餐非常好，就是欣赏这个', '短评打分': 5}
{'短评内容': '优点;早晨非常丰富是四星级酒店的标准.[在顺生大酒店内用餐].服务员态度较好.缺点;该酒店是顺生大酒店的附楼所以设施等都比较陈旧.比如空调声音很大.内部装潢等都比较陈旧.', '短评打分': 5}
{'短评内容': '各方面都很一般，我住的房间空调好像是兰博基尼牌子的，开起来声音真是洪亮，后来关起来了，房间内的顾客意愿表酒店没有收过去。顺便吃了一下顺生晚上的自助餐，原价108，用房卡优惠了10块，东西还算丰富，但不太适合我个人的口味，但水果很赞，小芒果我吃了七八个，西瓜也很甜，听大家都说早餐很棒，尝试了一下，对于这个房价，早餐是很给力的。总体感觉还不错，性价比很高，酒店前台的小姑娘给我感觉很好，不算漂亮但很可爱', '短评打分': 5}
{'短评内容': '这次的住宿条件远不如上次的好。希望以后能改善。', '短评打分': 5}
{'短评内容': '酒店的早餐非常好，酒店的硬件也不错，必竟是四星级酒店下属酒店。但单人房有两个小缺点：一是房间稍小一点，另一点就是洗手间没有干湿分区。但综合来讲，在温州也是性价比很高的酒店。卫生极好，请各位好好吃酒店的免费早点吧', '短评打分': 5}
{'短评内容': '早餐非常不错... 一切都不错,,,只是,,在路边,夜里车来车往有点吵...  其他方面真的都不错...', '短评打分': 5}
{'短评内容': '1234567890 还行吧，就是传单多了点，早餐还行吧。总之一般般吧。就这样了。', '短评打分': 5}
{'短评内容': '房间比较宽敞，就是设施有些陈旧，舒适度很好，早餐丰盛，值得推荐', '短评打分': 5}
{'短评内容': '一个人住很是舒服，下次还要入住，值得推荐', '短评打分': 5}
{'短评内容': '早餐很好，很丰盛，就是临近马路，晚上吵，睡不踏实', '短评打分': 5}
{'短评内容': '房间比较舒适安逸，就是外面深夜有些吵闹，但对我影响不大', '短评打分': 5}
{'短评内容': '不错，在温州花这个钱住的应该是可以的了，特别推崇这里的早餐。', '短评打分': 5}
{'短评内容': '早餐非常不错，品种很多！值得入住......', '短评打分': 5}
{'短评内容': '地理位置方便，酒店设施较好，房间比较安静，总的来说还不错！', '短评打分': 5}
{'短评内容': '是溫州最佳經濟型酒店 我经常选择的酒店！认为是一家值得推荐给大家的酒店！', '短评打分': 5}
{'短评内容': '酒店是 顺心大酒店的副楼，就是设施老旧了些，其他还可以。\n如果要上网，连上后，输入：http://192.168.1.1  用户名：房间号 密码：身份证后四位\n送的早餐时大酒店的，很好吃。', '短评打分': 5}
{'短评内容': '酒店服务不错，早餐也很好。地理位置也很不错，去哪里都很方便，公交很多。以后还会来住的。。。', '短评打分': 5}
{'短评内容': '地理位置优越，房间环境不错，早餐丰盛，性价比高。', '短评打分': 5}
{'短评内容': '酒店不错，交通较方便，靠五马街商业区，是旅游购物的首先', '短评打分': 5}
{'短评内容': '相当不错\n住的满意\n连住了2个晚上\n下次过来还会选择他的\n', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '早餐丰盛！位置优越，设备较陈旧，整体感觉还不错！', '短评打分': 5}
{'短评内容': '性价比比较高  早餐很好', '短评打分': 3}
{'短评内容': '酒店还不错，只是前台服务差一些，希望改进。', '短评打分': 5}
{'短评内容': '房间小，早餐不错，下次值得再次入住。反反复反复反复反复反复 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '：该旅店免费供应四星标准的早餐还是不错的。', '短评打分': 3}
{'短评内容': '比想像中好~电视频道也蛮多的~还能收到凤凰台~缺点就是浴室没有浴帘~莲蓬头是固定的~总的来说还是比较值的~明天早上去吃吃传说中的四星级早餐~哈哈哈~', '短评打分': 5}
{'短评内容': '非常实惠的酒店,性价比很好,小房间非常温馨.', '短评打分': 5}
{'短评内容': '房间比较旧，不过还可以接受。但是被子太薄了，后来要求客房服务送来的额外被子很脏，实在是让人无语。早餐很不错，能有20～30元的水准.', '短评打分': 5}
{'短评内容': '总体来说,还是不错的,房间,服务,早餐都还可以的.', '短评打分': 5}
{'短评内容': '早餐不错,很丰盛,地理位置不错,就是停车要交钱.', '短评打分': 5}
{'短评内容': '去温州出差必须去的酒店，酒店早餐很好很有特色，其他都还不错，超值！', '短评打分': 5}
{'短评内容': '没有其他优点，送的早餐是超赞的，就这一条就可以了。', '短评打分': 5}
{'短评内容': '酒店虽然旧了一些 ，但是早餐很丰富哦，吃得很开心。', '短评打分': 5}
{'短评内容': '这是第二次入住了，总体感觉性价比还是蛮高，就是后面的房间楼下是个什么商店早上六七点开始就是很吵，隔音效果不好。', '短评打分': 5}
{'短评内容': '房间有点小             其他还好', '短评打分': 5}
{'短评内容': '服务不错。一开始网上不去，后来解决了。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错，早餐很好，只是宾馆卫生条件差一些，前台有的服务人员态度不好，希望改进。', '短评打分': 5}
{'短评内容': '在温州消费水平高的地方，这种价位性价比很高。', '短评打分': 5}
{'短评内容': '房间较小但靠近马路  有小吵  早餐不错', '短评打分': 3}
{'短评内容': '性价比高在早餐是顺生大酒店的自助餐,品种口味都算不错,如果餐厅有适合价位的套餐供选择的话就更加好了.房间不大,浴室没有浴帘.', '短评打分': 5}
{'短评内容': '该酒店不错，性价比也可以，早餐也不错，服务也好。', '短评打分': 5}
{'短评内容': '酒店挺温馨，要是顺生也这个价位就爽了！哈', '短评打分': 3}
{'短评内容': '很好的，离江心屿很近的。环境也还可以挺干净。早餐很丰盛。', '短评打分': 5}
{'短评内容': '还算满意，挺干净的，就是空间没想的宽敞，总体还可以。', '短评打分': 5}
{'短评内容': '房间干净，早餐很好，酒店服务也不错。隔音稍差，床头没有电源插座。', '短评打分': 5}
{'短评内容': '交通方便，房间比较干净，早餐不错。房间隔音效果稍差。', '短评打分': 5}
{'短评内容': '酒店内部比较干净，交通方便，周围环境一般，尤其是朝东的房间，后面的房子看起来比较老旧。', '短评打分': 5}
{'短评内容': '总体老说一般，性价比不是很高，周围环境比较乱', '短评打分': 5}
{'短评内容': '酒店房间比较陈旧空间比较小，床比较小，被单太薄，早餐还可以，交通比较便利，性价比还可以。', '短评打分': 5}
{'短评内容': '这是我在这家酒店第七天，总体讲不错，可以打80分以上，交通方便，附近有古玩市场、花木市场，服装市场，小商品市场。但房间隔音太差！', '短评打分': 5}
{'短评内容': '按温州的物价还可以的，就是离市中心比较远', '短评打分': 5}
{'短评内容': '这是我在这家酒店的第四天，总体不错，但房间隔音确实不好，前台服务的接待水平也有待进一步提高，具体的说，就是对客人提出的要求，不要轻易说“不行”，只要不违反酒店规定，合理的，要尽力解决，特别是举手之劳的一灯事情！', '短评打分': 5}
{'短评内容': '这是我在这酒店第三天，总体感觉不错，早餐是顺生大酒店四星的标准，特别有优势！', '短评打分': 5}
{'短评内容': '酒店地处温州西部商业区，总体不错！但房间比较小，隔音也不好，服务员在过道工作的声音很清楚！', '短评打分': 5}
{'短评内容': '酒店不错，特别是早餐，跟同楼的四星级酒店同等标准。', '短评打分': 5}
{'短评内容': '在温州的性价比还是很高，温州的消费还是比较的高的', '短评打分': 5}
{'短评内容': '对于这个价格来说已经很好了~周边环境好，在闹市区~', '短评打分': 5}
{'短评内容': '房间不是一般的差，房间很旧，地上很脏，床单也很脏，最垃圾的是厕所 和那些几十元的旅馆的厕所差不多 ，厕所太小了！大家说的早餐 还行吧 就是吃的 东西多了点 东西没有什么好东西 和以前学校食堂差不多，东西款式多 ，味道一般，好东西也没有！', '短评打分': 1}
{'短评内容': '交通便利，性价比较高，靠近马路的房间有点吵，早餐很好。', '短评打分': 5}
{'短评内容': '交通便利，性价比较高，靠近马路的房间有点吵，早餐很好。', '短评打分': 5}
{'短评内容': '顺生之星酒店早餐很丰盛,房间挺大但装修有点久了,卫生间水不够大,价格不算高,总体感觉还不错的。', '短评打分': 3}
{'短评内容': '价格实惠，\n传说中的早餐不错\n房间尚可\n周围环境较乱', '短评打分': 5}
{'短评内容': '比想象的好，总体来说算值的，早餐是绝对值回票价的，是个亮点，能选择的食物比较多。总体来说性价比比较高，房间比较干净', '短评打分': 5}
{'短评内容': '总体感觉还行，服务态度蛮不错的，房间不新但很干净整洁，要是酒店里有银联取款机就更好了', '短评打分': 5}
{'短评内容': '性价比高，早餐是亮点。反正我每次去温州都住顺生', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '早餐确实不错，晚餐也吃了房卡可以抵值10元，很便宜，收拾卫生的会来问，用不用收拾，哪里收拾一下。', '短评打分': 5}
{'短评内容': '大厅雖然不豪華 但房間卫生环境都很不错 早餐可以', '短评打分': 5}
{'短评内容': '还不错吧，是帮朋友订的，据他说还可以，下次还来住 ', '短评打分': 5}
{'短评内容': '除了早餐还不错之外，其他的只能说一般般，特别是淋浴的设施，水温时冷时热', '短评打分': 1}
{'短评内容': '  电视机屏幕小了点且陈旧点，靠马路房间窗隔音差，卫生不错干净，', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '一直住的这个酒店，来温州这边的首选，早餐不错', '短评打分': 5}
{'短评内容': '房间干净，舒适，房间较大，服务员态度亲切，环境不错，基本设施都有，离江心屿、五马街都不远。最重要的是在顺生大酒店里面吃早餐，早餐内容很丰盛，住的非常满意。', '短评打分': 3}
{'短评内容': '非常好,每次来温州都住这里,早餐很好,位置也不错.', '短评打分': 5}
{'短评内容': '这次去的感觉明显不如上次，房间很脏的样子，还有好多蚊子和蟑螂。给总台反馈，派了服务员过来，服务态度也不好，说要拿蟑螂药和杀虫剂来，这能解决根本问题吧。早餐也明显不如以前好吃啊。', '短评打分': 1}
{'短评内容': '原计划住一晚，实际住了两天，总体感觉很好。卫生、服务都不错，酒店位置很好，公交站就在酒店门口，路线很多，我和老伴去江心屿、楠溪江都是在门口乘车，比参加一日游又休闲、又省钱。就是因为门口是鞋业批发，噪音大了一些。', '短评打分': 3}
{'短评内容': '卫生整洁，早餐很好，性价比高，只是电视机尺寸小一点，靠马路房间隔音差，晚上影响睡眠。', '短评打分': 3}
{'短评内容': '门口公交车很多，出行很方便，离市区最热闹的商业街一公里。去温州最美的景区泽雅也有一部车直达。免费早餐是到隔壁顺生大酒店（四星级）吃的。当然没的说。', '短评打分': 5}
{'短评内容': '酒店位置很好，离五马街很近，三轮车7元就可以到。酒店设施一般，隔音不好，楼下是个鞋批发市场，早上五点多就吵醒了，而且我的房间在电梯边，走廊上的人说话听得清清楚楚，很吵。早餐很丰富，在主楼吃，总体觉得性价比较高。', '短评打分': 5}
{'短评内容': '交通便利，离火车站很近，早餐很好，房屋内部有点陈旧', '短评打分': 3}
{'短评内容': '单论酒店各方面设施都很不错，浴室很干净。尤其是赠送的自助早餐真的很超值，种类丰富，味道也很好。~\r\n就是睡眠质量差的人一定要求住非临街的房间，因为临近闹市，不远处就是大十字路口，旁边又是批发市场，又是医院的，真的太吵了，半夜也没得安静。强烈要求酒店安装中空玻璃！', '短评打分': 5}
{'短评内容': '虽然是顺生大酒店的副楼，但是非常的干净，虽然靠路边有点汽车声，但是晚上车也少了，不是很有感觉的。晚上在外面回来后，因为车太多停不了，警卫态度也很好，按规定给我们登记车钥匙，后来将车停好，第二天拿钥匙速度也非常快。我看了下，警卫一班就有5个多，服务人员多了，服务才能做的好。早餐是在主楼吃的，确实很丰盛。我也是看了别人评论才选择这家的，确实不错', '短评打分': 5}
{'短评内容': '非常不错的经济型酒店  早餐丰盛  服务态度好  值得入住', '短评打分': 3}
{'短评内容': '不错哦  服务好  早餐丰盛  值得住  90分', '短评打分': 3}
{'短评内容': '2010年10月5日住了一天，3人房。房间挺大，卫生尚可。这个地方到温州各处都很方便。早餐是这个酒店招揽客人的重要法码，否则它的价格在温州是高的。值得推荐。', '短评打分': 5}
{'短评内容': '很干净的哦.打扫很及时.离江心屿很近.', '短评打分': 5}
{'短评内容': '干净整洁，只是陈旧点，靠街边隔音差，路上噪声扰眠。', '短评打分': 5}
{'短评内容': '不错  性价比不错，早餐很丰盛，服务也不错', '短评打分': 5}
{'短评内容': ' 还好，南面房间有点吵，换中空双层玻璃会好多。', '短评打分': 5}
{'短评内容': '这次住的不是很开心，房门坏的还让客人住，不过早餐不错 其他凑合', '短评打分': 5}
{'短评内容': '，酒店位置还可以，服务不错，早餐丰盛，只是在马路边，晚上不太安静', '短评打分': 3}
{'短评内容': '酒店所处位置不错，设施也比较新，早餐更是丰盛，有一点不好的就是在路边，晚上不太安静', '短评打分': 3}
{'短评内容': '顺生之星价格还行，酒店设施还行，服务生态度也不错，唯一感到不足的就是隔音效果太差点，早餐是自助的，还不错。', '短评打分': 5}
{'短评内容': '+迷妳单人间环境还算可以,床单破旧…有失礼节', '短评打分': 5}
{'短评内容': '地理位置好，自助早餐很好，就是停车要收费，觉得不爽．', '短评打分': 5}
{'短评内容': '感觉服务 态度很好，位置也不错，出去挺方便的，总体 不错', '短评打分': 5}
{'短评内容': '酒店设施不是很好，但服务态度还不错，就在汽车站旁边，还可以', '短评打分': 5}
{'短评内容': '挺好的，尤其是早餐~~很超值！！就是房间靠近大街，会比较吵一点', '短评打分': 3}
{'短评内容': '那个床出奇的硬硬硬硬硬～隔音差～～看到很多网友说早餐是个亮点-_-# 有很好吗？？？ 什么荞头啦，咸菜啦。。。连咖啡都没有哇～不过服务还是挺好的，位置也还好。', '短评打分': 1}
{'短评内容': '还是推荐这家酒店,性价比不错,而且第二天过来进行打扫服务也非常专业', '短评打分': 3}
{'短评内容': '顺生之星酒店感觉在温州来说性价比最高了,比他对面什么锐思特这类不知道好多少', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '临街的房间太吵了，隔音效果太差，建议选择靠近主楼的房间', '短评打分': 5}
{'短评内容': '临马路的二楼房间太吵，一夜的汽车声。早餐是自助餐不错。', '短评打分': 3}
{'短评内容': '这个酒店还可以啊，各方面都还差不多，性价比高', '短评打分': 5}
{'短评内容': '靠近马路边，喇叭声挺吵的~可能太累了，所以感觉睡眠还好。早餐是亮点', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '住的还舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服~~', '短评打分': 5}
{'短评内容': '性价比感觉这家酒店应该来说是非常高的.无论是酒店硬件还是软件上都是非常不错的,特别是早餐在如此价位可以享受到这么高的,可以说在温州好像再无其他家了', '短评打分': 5}
{'短评内容': '酒店挺不错的，服务态度和质量都不错，绝对推荐，性价比高', '短评打分': 3}
{'短评内容': '总体来说，性价比很高，值得一住，设施也较全', '短评打分': 5}
{'短评内容': '服务态度，早餐是我印象中最好。我住了一个星期了。', '短评打分': 3}
{'短评内容': '服务态度，早餐是我印象中最好。我住了一个星期了。', '短评打分': 3}
{'短评内容': '服务态度，早餐是我的印象中最好！下次机会，会住的。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '+酒店一般，早餐不错。', '短评打分': 5}
{'短评内容': '在顺生之星住了大概7天吧,对这家还算是满意的,服务员态度也不错,环境也还可以,缺陷就是在住期间突然出现空调漏水,后来换了一个房间后那个空间有些吵闹,其实应该把这些设施再完善一些,如此才能做的更好了', '短评打分': 3}
{'短评内容': '距离人民路市中心 五马街都不远 早餐非常好吃的欧式自助餐 我想这个加分非常大 前台服务就一般了 毕竟文化不高可以体谅 住房千万不要选择靠近马路的 会很吵 其它的确实就没得说了 单房158 标间188 这个价值得推荐 在温州应该没有比这个性价比再高的经济型酒店了。', '短评打分': 5}
{'短评内容': '性价比很不错                             ', '短评打分': 5}
{'短评内容': '性价比不错！挺舒服，早餐是一个亮点。下次继续入住。', '短评打分': 5}
{'短评内容': '总台服务不到位，受到保安威胁', '短评打分': 5}
{'短评内容': '住的二楼临马路房间，夜间太吵。早餐（自助餐）不错，订的双人间送双早，两大人带一小孩需另付一份早餐费30元。', '短评打分': 1}
{'短评内容': '酒店的硬件设施上由于受到四星级的影响,所以还是非常好的.各种设施还算是齐全,就是房间有效小些,不过这样价位已经不错了,特别是早餐由于是去它主楼,所以享受到的是四星级标准的早餐,非常丰富.缺点就是房门的隔音有些差,走廊上如果有人大声说话基本都可以听到,还有出去周围的环境有些脏,车辆关系灰尘很大,不过下次估计还是住这家,因为住过这种价位也算蛮多,然而基本没有和它一般好的', '短评打分': 5}
{'短评内容': '酒店设施虽然差了些，不过性价比很好，而且提供的早餐不错，就是要早起去吃。。。', '短评打分': 5}
{'短评内容': '传说中的早餐确实不错，四星级的；但住的只值个百来块钱，在温州来说应该算便宜的吧。', '短评打分': 5}
{'短评内容': '属于顺生酒店的副楼，早餐还不错。楼后有条河，景观不错。性价比很高', '短评打分': 5}
{'短评内容': '总台的线路指引太差，建议开车的使用车租车引路。早餐很好，超值。', '短评打分': 5}
{'短评内容': '以后是再次入住了，卫生好，停车方便，价格非常实惠，下次还会选择', '短评打分': 5}
{'短评内容': '位置很好，卫生过的去，设备有些旧，但是如果对酒店住宿舒适度要求不高的话，性价比真的很好，你对在外住宿的基本要求都可以满足。性价比体现在第二天早上的自主早餐。早餐在主楼的二楼，内容非常丰富，服务也好，真的很超值，超强推荐！', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '很实惠，早餐很好', '短评打分': 3}
{'短评内容': '很实惠，早餐非常好，周六再住', '短评打分': 5}
{'短评内容': '挺有人情味的酒店！下次还来住！', '短评打分': 5}
{'短评内容': '可能是在装修的原因吧，过道里墙纸都掉下来了，很难看。还有就是床很硬。其他的还行。', '短评打分': 5}
{'短评内容': '早餐在主楼的四星级顺生酒店，确实非常好。\r\n顺生之星酒店就在主楼前面，价比较合适，房间大小适中，也干净，平常入住还是经济实惠的。\r\n如果喜欢很安静的话，记得不要住靠马路的房间，车流大，有点炒，窗子是单层的，隔音一般，\r\n其他都是不错的', '短评打分': 5}
{'短评内容': '房间里居然没地毯，跟99旅管差不多。但总台服务员服务很好', '短评打分': 5}
{'短评内容': '挺好的不错', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '酒店环境还可以，最近在装修，以后可能会更好，房间不算大，但自助早餐相当丰富，四星级的，不错，强烈推荐！！！', '短评打分': 5}
{'短评内容': '条件不错，性价比很高', '短评打分': 3}
{'短评内容': '送的早餐很棒，其他的都一般般', '短评打分': 5}
{'短评内容': '性价比不错的酒店，交通也比较方便', '短评打分': 5}
{'短评内容': '挺实惠的酒店', '短评打分': 5}
{'短评内容': '住在五楼的标间 晚上不会吵 卫生条件还不错 关键是晚上回酒店都会有保安坐在一楼大厅核对每一位客人的身份 想来安全应该很有保障\r\n酒店出门到五马街走了20分钟 到客运中心或者码头都有公交汽车直接到\r\n一直为大家所称道的早餐确实不错~不知道是不是真的是四星级标准 至少选择很多 味道也不错 可以吃得超级饱', '短评打分': 5}
{'短评内容': '這裡位置蠻好的, 附近吃的逛的地方都有, 不過酒店的收發傳真1張要5元, 真是貴的嚇人, 傳個2, 30張就跟自己房價差不多了, 商務型的旅客住在這裡有點划不來.', '短评打分': 5}
{'短评内容': '比较简陋，只是看在价格上还算OK，性价比一般，个人认为应该再装修一下了', '短评打分': 1}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '每次去出差都住顺生，感觉温馨舒服，早餐丰盛，赞一个！', '短评打分': 5}
{'短评内容': '很好，每次去温州都住这家，经济实惠', '短评打分': 3}
{'短评内容': '位置、价格都很不错，特别是早餐很好，不足之处是房间陈旧些', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '总的来说，在温州消费这么高的城市中，能找到这样一个酒店住还是很满意的，性价比比较高，尤其是早餐很好吃', '短评打分': 5}
{'短评内容': '很不错的酒店,自助餐还行.bd88@vip.qq.com', '短评打分': 5}
{'短评内容': '挺好的真的不错下次还住', '短评打分': 3}
{'短评内容': '挺好的，真的不错下次还住', '短评打分': 5}
{'短评内容': '价格合理，环境也算可以，下次还会再来', '短评打分': 3}
{'短评内容': '早餐不错4星标准的。住宿条件也不错，下次去温州还住这', '短评打分': 5}
{'短评内容': '酒店的早餐不错。其他部分一般。门口塞小卡片。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生环境都还不错，房间也挺大的。', '短评打分': 5}
{'短评内容': '早餐尤其的好,值得一住', '短评打分': 5}
{'短评内容': '总体来说不错 很舒服 早餐比较有优势 呵呵 下次还会光临', '短评打分': 5}
{'短评内容': '酒店的床很硬，而且很小！不过提供了早餐！', '短评打分': 1}
{'短评内容': '实在太烂了，完全不能住的\r\n还不如一般的小旅馆呢，房间的灯都是坏的！', '短评打分': 1}
{'短评内容': '交通便利，卫生也不错，关键是早餐吃的好~赞一个。去温州还住那~', '短评打分': 3}
{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '性价比极高的一个经济型酒店。早上可以去主楼四星级酒店吃早点，东西非常丰富。单间有点小，但还是挺整洁的。地理位置方便，公车很多，价格也比较实惠。下次去温州应该还会继续入住的。', '短评打分': 5}
{'短评内容': '在顺生之星住了两周，总体来说很满意意，工作人员服务很好很热心，早餐很丰富，房间也不象有些人说的很吵，总之很推荐入住，下次再到温州一定还会住这里', '短评打分': 3}
{'短评内容': '房间的设施格局还算可以了，早餐确实是这里的一个亮点，四星的酒店早餐确实很丰盛', '短评打分': 5}
{'短评内容': '总体感觉还不错，房间大，床很舒适（我连住两晚没想到服务员都给我换一次床单，真的很意外又惊喜，一般酒店连住的话不会更换床单，只是整理一下），赠送的自助早餐非常棒！是我住过的经济型酒店中最好的自助早餐！美中不足的是，地板过于陈旧又脏！淋浴龙头也老化了，出水不顺畅！但看在这份赠送的早餐份上，性价比很高！', '短评打分': 5}
{'短评内容': '离江心屿和五马街很近，房间设施和卫生很好，非常干净，夏天还有电蚊香，空调很舒适，电视频道很多，中外电台都比较丰富，看世界杯挺爽。早餐很丰盛，因为是在其隔壁三星级酒店顺生大酒店用餐，选择性较多。但附近只有小超市没有大超市，商品类别不多。', '短评打分': 5}
{'短评内容': '位置不错,早餐很棒!', '短评打分': 5}
{'短评内容': '不错，停车场的保安服务很好！房间卫生服务在经济型酒店里算是比较好的。早餐不错，同类型等级的酒店算是很好了。', '短评打分': 5}
{'短评内容': '酒店交通方便，但房间一般，很简单，卫生间太小，楼下有鞋业批发市场，临晨被包装带的撕拉声吵醒。环境不好。', '短评打分': 3}
{'短评内容': '优点：地段方便，早饭好，但房间靠马路，早上太吵，床铺太硬，卫生间小，瓷砖不防滑，赤脚进去，摔了一跤，起身才发现里面墙上有一块牌子写着“注意防滑”。晚了，摔也已经摔了。以后不去住。', '短评打分': 1}
{'短评内容': '性价比超级高，早餐很棒，交通很方便，下次来温州一定还会入住这里', '短评打分': 5}
{'短评内容': '估计下次不会再住了~', '短评打分': 3}
{'短评内容': '第二次入住了 前一次住的是5楼 还好不是太吵 这次住的是4楼 窗户对着对面鞋市场 半夜三点不到就被吵醒 就再也睡不着了 半夜还有人敲门 从门缝里塞乱七八糟的东西卡片进来 没把人吓死 房间是一次比一次小了 如果纯粹是为了早餐去住 我个人觉得没什么意思 因为实在是吵 睡不好 下次去不会再住了', '短评打分': 1}
{'短评内容': '住了好多次，总是觉得乏善可陈，除了早餐以外，性价比可以一提。二楼是KTV出入比较复杂，酒店很旧很破的感觉，真觉得该把走道地毯换一换，实在味道太重了。', '短评打分': 1}
{'短评内容': '这里很多酒店不含早，他们家的四星级标准早餐算很超值了，就是老担心睡过头没得吃了。。\r\n床相对也没其他家那么硬', '短评打分': 3}
{'短评内容': '靠近马路的房间相当吵，建议在预定时就预定不靠窗的房间，这样性价比就较高了。', '短评打分': 5}
{'短评内容': '不错的酒店，价格适中，地段也好，还有自助餐尝尝。推荐', '短评打分': 3}
{'短评内容': '我入住应该不低于五次了，明天还会去住那边。交通还算方便，就是吃饭找不到好地方，我是喜欢湘菜的，楼下快餐店的实在不行。早上的自助餐还不错，不过现在差了一点了，也还过得去。百多元嘛，也过得去了。推荐。', '短评打分': 5}
{'短评内容': '浴室居然没有可移动的喷头？！马桶有一点坏掉\r\n最大的亮点是早餐，四星的标准，终于吃了顿像样的早餐~\r\n可惜没有我最爱吃的甜品和蛋糕', '短评打分': 5}
{'短评内容': '地段还不错，离步行街不远，服务还不错，前台服务员蛮有礼貌的。当初看中的是有含四星的自助早餐，但说实话早餐一般，早餐品种不够多，味道一般般。。 \r\n晚上有点吵，可能是我房间是靠街的那一面吧，朋友的一间不靠街还蛮安静的。楼下貌似还有KTV很多不良社会青年晃来晃去，酒喝醉了在大厅门外嚷嚷。。', '短评打分': 3}
{'短评内容': '地段还不错，离步行街不远，服务还不错，前台服务员蛮有礼貌的。当初看中的是有含四星的自助早餐，但说实话早餐一般，早餐品种不够多，味道一般般。。', '短评打分': 5}
{'短评内容': '出差到温州性价比最高的选择，早餐很超值，和顺生大酒店一样待遇。', '短评打分': 5}
{'短评内容': '总体来说，在温州属于性价比非常高的，虽然房间小，有点吵，但是床不错，价钱又很低，早饭本人不吃的，但就这样都感觉不错', '短评打分': 5}
{'短评内容': '隔音很差 半夜很吵 楼下貌似还有KTV 乱七八糟的人走来晃去 早餐是在顺生吃的 不是太好 看了之前的评价说早餐好吃才去住的 但有点失望 无所谓好不好吃 就是花样还算多 设施有点老旧 电梯也慢的要死~房间也不是很大 洗手间很小 总体来说是经济型的吧 100多块钱一天 能有早餐吃 也算不错了', '短评打分': 5}
{'短评内容': '还算可以  性价比高', '短评打分': 5}
{'短评内容': '但设施的确比较陈旧了，床也比较硬。缺点就是有点吵。对于这个价格，算性价比高了。早餐在四星的顺生吃的，较丰盛，味道不错。\r\n', '短评打分': 5}
{'短评内容': '早餐一级棒，位置也还好，下次去的首选之地！', '短评打分': 3}
{'短评内容': '目前我所居住过的性价比，舒适度，最高的酒店，尤其早餐，N种食品任你选择，下次去肯定还会住在那里！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '非常不错，一直去温州都是去那里落脚的', '短评打分': 5}
{'短评内容': '到点时间不提醒，害我白付了半天房费', '短评打分': 5}
{'短评内容': '不错!早餐非常好!', '短评打分': 5}
{'短评内容': '三人间房间真的很大，但设施的确比较陈旧了，床也比较硬。最致命的缺点就是很吵，尤其半夜和清早，有很多送货的车在楼下装卸，对睡眠影响非常大的。对于这个价格，已经算性价比很高了。早餐是在四星的顺生吃的，比较丰盛，味道也好。', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比很高，早餐果然如其它网友所说的那样。\r\n\r\n床太硬，卫生间里淋浴用的浴帘不匹配，洗澡后外面都是水了。。\r\n\r\n前台服务人员介绍的几家餐厅都很棒。\r\n\r\n下次还回去，当然，更有可能住他后面的顺生大酒店。', '短评打分': 5}
{'短评内容': '感觉性价比非常高。非常不错的酒店。卫生，服务各个方面都很好。附近公交、吃饭、购物都很方便。', '短评打分': 5}
{'短评内容': '地板滑,还摔了一交', '短评打分': 1}
{'短评内容': 'good breakfast', '短评打分': 3}
{'短评内容': '经常在这里看到开服装展览会，入住率也一直很高。不过还是早餐最值得以赞～', '短评打分': 5}
