{'短评内容': '暗房', '短评打分': 4}
{'短评内容': '床太小，房子太小，装修和床单还可以', '短评打分': 3}
{'短评内容': '特色房間非常小.而且房間沒有衣架.牆上沒有挂钩.衣服和物品沒地方放置.', '短评打分': 5}
{'短评内容': '酒店房间面积小，而且和网上图片看到的不一样，根本没有图片好，内部的设施也不怎么样，不值这个价格，位置也不好，反正我不会再去了。', '短评打分': 3}
{'短评内容': '酒店的环境很不好,大堂很小,只有4层是酒店房间很潮湿,服务还可以,整个楼层很阴暗,位置很好在华强北这边很繁华的地段.', '短评打分': 3}
{'短评内容': '感觉一般', '短评打分': 5}
{'短评内容': '总的来说还是不错单', '短评打分': 5}
{'短评内容': '位置也挺好找出行很方便,就是房间里面的网速很慢,卫生和设施还是比较不错,挺满意的', '短评打分': 3}
{'短评内容': '环境卫生一般，隔音效果不好。晚上睡觉能听到隔壁的声音，房间有点潮，不是很好，睡觉不舒服。交通倒挺方便，下面什么商店，小吃都有。', '短评打分': 1}
{'短评内容': ' 酒店位置很好，出行很方便，附近吃的也很多，还行，就是房间小了点。', '短评打分': 5}
{'短评内容': '位置很好，出行很方便 就是房间比较小，', '短评打分': 5}
{'短评内容': '其实住着位置还是比较好的，比较热闹，但主要是屋里太潮湿，没有窗户很不好，觉得不舒服，服务员是有的比较好，有的很不好，我住下了看位置挺好离我要到得地方也方便想在续一晚，非说没房间，结果我在网上订还有很多间的', '短评打分': 5}
{'短评内容': '位置相当好，市中心，离地铁不远，吃饭购物都很方便', '短评打分': 5}
{'短评内容': '一般的酒店,通风不大好,但149元的特价房能满足基本的需求(跟208元的房间没什么区别),在华强北附近低于200元的房间估计找不到这样的.....经济实惠!', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,就位于市中心,出行都很方便,房间的卫生打扫也很干净,设施也比较齐全,呆着很舒适,很符合酒店的价位.', '短评打分': 3}
{'短评内容': '相比之前住的經濟型酒店算很不錯，廁所有安裝風筒很方便。住的位置去華強北逛街很近，周邊也有很多食店，下次還會再選擇這家。', '短评打分': 5}
{'短评内容': '去的时候定的标准圆床房没有了，前台当场帮我换成了豪华圆床房，感激一下。到了房间看看床和图片不一样么，不是红色的，只是个白色的圆床，还可以吧。有点不足的就是房间只有内窗，开了也没用，然后早上8、9点样子好吵，感觉房间周围都是对讲机的声音，吵的受不了，可能给我换的房间位置不好吧，不但靠近休息厅，隔壁还是宾馆人员的工作间，实在是没办法睡懒觉的。', '短评打分': 5}
{'短评内容': '我上次订的是特色房，没有窗户，房间特别潮湿，还有发霉的味道，卫生一般，下次应该不会住这了，住的一点也不舒服', '短评打分': 3}
{'短评内容': '酒店下面有个超市还是比较方便的，价格也很优惠。卫生服务也很不错，价格合理适中。整体来讲是值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '酒店的地理位置还可以，在华强北来说是很方便，但是非常遗憾，房间的卫生状况实在令人堪忧。我入住的当晚房间的被套竟然没有换，实在忍受不了前面客人再被套上留下的口水味于是打电话叫服务中心来换了一套新的，真不知道酒店接到客人这样的投诉和要求会作何感想。酒店房间的卫生很不好，地毯很脏，整个房间着潮湿的异味，房间只有向走廊的一个小窗，通风透气很不好。不过对于这样价格的酒店在深圳尤其在华强北的确比较少见，但是建', '短评打分': 1}
{'短评内容': '不错的地方。方便。是一个非常好的地方。', '短评打分': 5}
{'短评内容': '酒店位置，房间设施的性价比都不错，就是房间的网线位置不太好，桌子上放不了电脑，坐床上的话，网线又不够，而且如果电脑的网线借口在左侧的话，基本上用不了了！', '短评打分': 5}
{'短评内容': '大多房间没有窗户，郁闷', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '房間比較小，拖鞋也不好。', '短评打分': 5}
{'短评内容': '是我住过性价比最高的酒店，非常好', '短评打分': 5}
{'短评内容': '性价比真的很高', '短评打分': 5}
{'短评内容': '老好了！！！非常好。。。环境什么的各种好！！！网速再快点就完美了！！！！', '短评打分': 5}
{'短评内容': '环境不错 安静 网速也很快', '短评打分': 3}
{'短评内容': '性价比非常高，位置也很好，以后有再去的话，应该是不二入住酒店之选了', '短评打分': 5}
{'短评内容': '房间没有窗户 ', '短评打分': 5}
{'短评内容': '性价比高 安静 就是退房慢了点', '短评打分': 5}
{'短评内容': '舒服/浪漫,不错', '短评打分': 5}
{'短评内容': '空气不是很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '位置很好，房里设施很齐全，圆床很舒服，但很潮湿，地毯有很重异味。。。', '短评打分': 5}
{'短评内容': '酒店位置还行，但是房间没有窗户 阴冷潮湿 没法住人', '短评打分': 1}
{'短评内容': '酒店的餐厅服务很好，但房间有潮湿，不是太舒适', '短评打分': 1}
{'短评内容': '酒店好像是改造的,位置也不好,装修很简单,窗户还是朝里的,还不如维也纳好,价格还贵.', '短评打分': 1}
{'短评内容': '酒店整体感觉不错的，服务卫生以及设施都不错啊，酒店的位置以及交通都很方便的，酒店的价格还可以的。', '短评打分': 5}
{'短评内容': '酒店大多房间是没有窗户的，当时我住的也是，感觉光线不太好，别的都还不错，价格不是太贵', '短评打分': 5}
{'短评内容': '酒店环境服务都比较一般，位置是最大的优势是位置不错，外出方便', '短评打分': 5}
{'短评内容': '酒店床单脏了吧唧的,酒店很旧很老,设施也很差,各方面都是那种非常差的酒店,唯一一点就是它的位置还算不错.', '短评打分': 1}
{'短评内容': '酒店的服务、设施条件各方面感觉都很一般，而且停车也不方便', '短评打分': 1}
{'短评内容': '总的来说还不错，就是房间有点小，服务一般，酒店位置不错，离华强北路近，购物也方便 ', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及房间的设施都很好的,酒店的位置不错的出行很方便的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '酒店的硬件设施，环境等等的条件都比较一般，就是位置比较合适，挺方便的也，如果到这个附近办事的话，我觉得还是可以考虑的。', '短评打分': 5}
{'短评内容': '缺點是標準單人房的面積較小，房內無窗，淋浴的水壓不夠，前台服務水平一般；\r\n優點是地理位置很好，价格適中，樓層的通道與衛生不錯。', '短评打分': 5}
{'短评内容': '第一酒店位置十分不好找.\r\n第二酒店隔音很差.\r\n第三我订的是圆床房,房间好小,有一股很难闻的味道.卫生条件太差.\r\n第四洗手间有一股大便味道.', '短评打分': 1}
{'短评内容': '酒店的环境设施地理位置都还可以，价格也可以接受，但是感觉就是不是很安全，反正感觉不好。', '短评打分': 1}
{'短评内容': '酒店位置不明显不好找，当时去的时候找了好一会才找到，别的我很满意，设施呀、服务呀都还不错', '短评打分': 5}
{'短评内容': '服务態度談不上，楼道里黑漆漆，訂的是豪华圆床房，房间比想象中的小了点(偏小)，下次还是入住友誼酒店好些呢。', '短评打分': 1}
{'短评内容': '在他这个价格来说，他们的服务和硬件设施算是还可以的，也比较一般，但是位置很好，很方便，价格又不贵，还算可以的。', '短评打分': 5}
{'短评内容': '酒店是新开业的,所以蛮干净舒适的,设施也比较齐全,其他方面也都挺好的,还是比较值得推荐的', '短评打分': 5}
{'短评内容': '酒店的位置挺不错的，方便，价格也比较适中，服务环境就比较一般，配备的硬件算是可以了。', '短评打分': 5}
{'短评内容': '酒店的卫生挺好的，性价比高，服务也不错，就是位置偏了点，出行不太方便', '短评打分': 5}
{'短评内容': '酒店大多数房间都是没有窗户的,不过舒适度方面还是可以的,而且酒店也比较有特色,当时住的是豪华圆床房,蛮舒适的', '短评打分': 5}
{'短评内容': '这个酒店基本上还过的去，那种地段这个价位可以了。\r\n就是隔音差点，空气也不怎么好。', '短评打分': 5}
{'短评内容': '他们前台服务很差，我到了酒店以后还让我们等了50分钟才安排房间，而且前台态度也不好，楼道里还都是霉味，房间偏小，就是他的位置还可以。', '短评打分': 1}
{'短评内容': '浴室的淋浴水流太小和水温也够,其他方面都挺不错的,房间住着也蛮舒适的,而且价格也比较优惠', '短评打分': 5}
{'短评内容': '我这次住的是韩式房，感觉环境卫生，硬件设施都还不错，而且位置挺好的，交通便利，很有特色的酒店。', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也比较合适.', '短评打分': 5}
{'短评内容': '房间里空气流通不好,服务也很一般,卫生环境也不是很好,价格到时挺实惠', '短评打分': 5}
{'短评内容': '小偷酒店，还给警察塞红包，我住了一次就丢了2000块钱。贼鼠一窝。垃圾', '短评打分': 1}
{'短评内容': '跟老公第一个平安夜是在那过的\u3000定的圆床房\u3000\u3000比想象中的好\r\n就是房间小了点\u3000但是在市区\u3000小些也能理解\u3000下次去还住那\u3000\r\n', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺适合的.', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺适合的.', '短评打分': 5}
{'短评内容': '还行,就是没窗户的房间太憋屈了', '短评打分': 5}
{'短评内容': '一般房间的小玻璃写字台都放在走廊的窗户下，电源接口都在窗沿和桌面之间，拉窗帘非常非常不方便。卫生间干湿半分，其实就差一个浴帘而已。', '短评打分': 5}
{'短评内容': '酒店位置很好但是门面很小不是很好找,环境卫生都很好.硬件设施很一般啦.', '短评打分': 5}
{'短评内容': '酒店给感觉象办公楼改的、格局不好，房间的装修风格我不喜欢，不舒适，酒店的位置还算比较方便', '短评打分': 1}
{'短评内容': '酒店的位置很好附近交通也很方便,设施也很不错.', '短评打分': 5}
{'短评内容': '说是4星标准装修的。&lt;br /&gt;\n&lt;br /&gt;\n根本不符合要求，完全想地下室的旅馆。房间隔音差，走道的脚步声都非常清楚', '短评打分': 3}
{'短评内容': '目前还没有开通信用预授权，不太方便；卫生间干湿不完全分开，其实就是多一个浴帘即可；写字台用的电源、网口都在过道的窗户下面，拉窗帘极不方便；洗衣服务不好，不能按时送回。\r\n早餐还是不错的，其他都可以。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
