{'descr': '比较不错，性价比较高', 'star': 5}
{'descr': '虽然在老城区，但交通方便，设施不错，宽带有些小问题。\r\n工作人员在有客人共同搭乘电梯的情况下吸烟，很让人不快。', 'star': 5}
{'descr': '住宿不错，早餐也可以，并且星餐厅可以7分钟送餐了', 'star': 5}
{'descr': '设施方面还蛮好的，但早餐就真的太难吃了，而且网速太慢了，希望以后改改！', 'star': 1}
{'descr': '从酒店各方面来说，总体还是不错的！', 'star': 5}
{'descr': '以后希望点餐品种丰富些', 'star': 5}
{'descr': '房间太小了，而且天花板太低，而且没有暖气，大冬天的只能开空调，进去感觉很冷', 'star': 1}
{'descr': '房间还不错，来玩的还行！', 'star': 3}
{'descr': '地理位置较好，比较方便，中饭不好。', 'star': 3}
{'descr': '退房时间较长', 'star': 5}
{'descr': '入住了，住宿条件不错，房间灯光稍微暗一些了，标准间的两张床不一样大，挺奇怪的。', 'star': 3}
{'descr': '房间还是比较干净,床也比较软,住着很舒服!', 'star': 3}
{'descr': '入住第二次了，厨房可以点餐了，比上次有改进但品种太少，整套上发现一根毛发感觉不太好，让服务员换了。', 'star': 5}
{'descr': '交通方便，性价比高，服务尚可', 'star': 5}
{'descr': '价位好的就是不好的', 'star': 5}
{'descr': '入住效果还不错，不过结账有些乱！错误的多算了一次早餐费用，并且第一次结账没有按照预定的179每天结算，而是按照189收的，内部退房程序操作比较繁琐', 'star': 5}
{'descr': '硬件不错，软件还差劲', 'star': 5}
{'descr': '这次住宿还不错，正好赶上天津暴雪天气，打车遇到很多黑车不打表需要商量价格，酒店清洁保持不错，门前积雪清理还算及时。就是这次退房时没有人做查房，我的东西遗漏在酒店第二天想起打电话给酒店，还没有得到找到的回复。希望退房时查房服务可以跟得上！', 'star': 5}
{'descr': '卫生有待改善，有两个房间的床单都没更换！', 'star': 5}
{'descr': '房间的卫生和设施方面都很不错,住着很舒适,而且出行也很方便,是一家性价比很高的酒店,我很满意.', 'star': 3}
{'descr': '环境部错，经常住，比其他店的环境好多了', 'star': 5}
{'descr': '酒店地理位置还不错,交通蛮方便的,房间空间有点小,不过卫生环境还可以,没遇到什么不满意的地方,基本可以选择.', 'star': 3}
{'descr': '这家酒店就是位置有些偏僻了,酒店的内部环境还是不错的,房间打扫的挺干净的,服务也挺热情周到的,整体感觉性价比还是蛮高的.', 'star': 3}
{'descr': '这家酒店还不错，位置还好，这边出行还是很方便的，房间的卫生和设施还好，服务也比较到位，整体感觉这家酒店的性价比还是很高的', 'star': 3}
{'descr': '酒店的位置是挺好找的,内部环境我感觉还行,房间的卫生和设施都不错,服务态度也很好,价格也很适中,感觉还是比较不错的酒店.', 'star': 3}
{'descr': '房间大小不一，靠近马路的房间晚上很吵，窗户采光不好，很小的装饰性的窗户。另外入住的那天晚上停热水了，晚上没有水可以洗澡。', 'star': 3}
{'descr': '这次入住酒店比上次好一些了，服务人员没有变，但是相比之下前台没有那么繁忙，且上次服务不好的那个男生没有看到，感觉还不错，酒店的早餐没有去品尝，下次品尝后给大家回馈', 'star': 5}
{'descr': '前台服务太差劲，连帐都不会算，', 'star': 5}
{'descr': '酒店房间很大，比较不错！', 'star': 5}
{'descr': '性价比比较高的一家酒店', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '地点不错，离地铁很近，但床单貌似不是很干净，要求服务员换了', 'star': 3}
{'descr': '距离地铁很近，出行比较方便，但是房间太小了', 'star': 5}
{'descr': '性价比OK！', 'star': 5}
{'descr': '这个锦江之星还是可以的，位置算是比较方便的，硬件条件和环境也比较不错。', 'star': 3}
{'descr': '周围超市、饭馆什么都有 比较方便', 'star': 5}
{'descr': '酒店的环境硬件设施都还不错，卫生服务也很好，价格合理适中，房间的配置硬件设施也很达标，位置也比较方便，值得推荐入住。', 'star': 3}
{'descr': '酒店提供的早餐很好，种类很多很好吃。性价比比较高，交通方便。', 'star': 3}
{'descr': '位置不好，这边就是一间烂尾楼，很大灰尘', 'star': 5}
{'descr': '整体来说相当不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '挺靠近大胡同，距离市中心也不远，周围有麦当劳李先生过桥米线大士力，房间很舒适，单人间的床也很大，干净温馨', 'star': 5}
{'descr': '酒店服务很好,热情,周到,卫生条件也很干净,地理位置交通方便,性价比蛮高的,下次还会入住这家酒店.', 'star': 3}
{'descr': '房间挺干净的，就是小点', 'star': 5}
{'descr': '真的很不错，服务非常到位。', 'star': 5}
{'descr': '可以推荐给朋友的旅店', 'star': 5}
{'descr': '位置还不错，离火车站不远，附近的一条街上的茶点还不错。总体很满意，嘻嘻~', 'star': 5}
{'descr': '房间内设施比较人性化，有一张大床，一张小床，适合一家三口短途旅游住宿。但我们入住期间，本来确认可以提供的免费宽带上网却不能使用，询问前台员工得知因为3层设备故障不能使用，也拒绝为我们换房。另外，所有见到的员工都是板着脸，一点笑容都没有。以上这两点需要酒店能够改进。', 'star': 5}
{'descr': '这家酒店我住过几次了。卫生很好，酒店设施也很实用。就是服务需要改进。电视调台没有用过的很麻烦，也没有操作说明文档。建议制作一份电视操作说明书放到房间的书桌上，供来宾参考。', 'star': 5}
{'descr': '性价比很高的快捷酒店，价格便宜，卫生服务都很好，位置也好，出行很方便', 'star': 5}
{'descr': '入住手续办理很快，性价比还可以，价格比较低。白色的毛巾因为反复的洗涤很旧，颜色也早已不是白色，但是酒店秉着“环保”的原则不换，坚持给客户使用。入住第一天，发现房间一条毛巾有1/2的面积沾满黄色的未能洗掉的污渍，不由联想起：听说这个酒店前身是天津肛肠医院，难道酒店为了“环保”连医院的毛巾也拿来接着用了？！拍下照片，最为留念，长年出差住那么多酒店，这么叫人惊叹的毛巾第一回见到！\r\n', 'star': 1}
{'descr': '交通还可以，离地铁不太远。设施、卫生都还不错。', 'star': 5}
{'descr': '离市区很近,卫生等各个条件还不错, 周围的超市买东西也很方便', 'star': 5}
{'descr': '设施比较不错，服务和环境也很好，交通比较方便，价格也不贵', 'star': 5}
{'descr': '当时只住了一天,不过感觉房间蛮干净舒适的,人员服务也比较热情,价格也还能接受', 'star': 5}
{'descr': '酒店设施比较简单，环境也不是很好，位置比较偏，当时开车找很久才找到，下次不会在住了', 'star': 1}
{'descr': '酒店就是房间小了点,其他方面感觉都挺不错的,价格也比较适中', 'star': 5}
{'descr': '位置还比较好找，看见天津商场，就看见它了。设施挺新的，网速也还可以。尤其喜欢他家的标间，床是一大一下，大床正好适合带小孩子睡。前台入住和结账都很快，很满意。但是停车场不大，而且不是封闭的，只是在大门前的空地上，但是门口看车大爷的态度和责任心都很好，晚上去车里拿东西，他也要跟过去看一下。早餐到10：30，很人性，但由于我们决定去吃狗不理，无缘尝试。下次可以去吃，以前在别家锦江之星吃过，性价比很好。隔', 'star': 5}
{'descr': '酒店之前总是入住,对它的各个方面都挺满意的,服务态度也很好,性价比挺高的', 'star': 5}
{'descr': '经济实惠的酒店，晚上去的比较晚，住了几个小时，设施还成', 'star': 5}
{'descr': '坐落地点很方便，里面的设施还算不错，尤其标准间很温馨，能上网很方便，服务一般', 'star': 5}
{'descr': '很干净，很舒服', 'star': 5}
{'descr': '价格不错，但是位置和周围环境不是特别好', 'star': 5}
{'descr': '酒店离地铁很近，出行很方便。就是那里的卫生确实有待提高，卫生间地面很多痕迹，还有女人的头发（容易让人误会的）。服务还不错。不过比起其它的锦江之星和如家来讲，还不达标。', 'star': 1}
{'descr': '适合情侣', 'star': 3}
{'descr': '酒店的卫生不好毛巾很脏都没消毒,环境设施也很一般.', 'star': 1}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '离四方火车站远点,离海近,离栈桥不远,周围打车,坐车都很方便,服务还行,房间也还行,性价比还行.但记住一定要看海的房,还有,中间有建银大厦挡着,看海的视眼有些受阻.总体来说还是不错的选择.', 'star': 5}
