{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '+位置好,交通方便,性价比高', '短评打分': 5}
{'短评内容': '空调的温度调节好像没什么用啊，调不调都是那个温度。', '短评打分': 3}
{'短评内容': '补充一下，有线网络不好用，不知道是需要设置还是网线接触不良。晚上网管下班了，也没人解决问题。', '短评打分': 3}
{'短评内容': '房间设施什么的都很好，落地窗，床也舒服，房间比较大，就是淋浴稍微有点漏水，不过对我没影响。早饭很好，竟然还有果冻。前台有改进的空间，三个人坐在那里，只有一个人负责结账，搞得一堆人挤在那里等。', '短评打分': 5}
{'短评内容': '酒店有点陈旧，到了该装修的时候了。其他都还不错，反正就住一夜。', '短评打分': 5}
{'短评内容': '前台服务稍慢，性价比较高，空调不给力啊&#183;&#183;&#183;&#183;&#183;', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '服务挺不错的，周边环境好，交通也比较便利，性价比高。', '短评打分': 5}
{'短评内容': '价格再便宜点更好', '短评打分': 5}
{'短评内容': '住了好几次了，还不错，服务速度稍慢&#183;&#183;&#183;&#183;&#183;&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '这次酒店房间墙上的壁纸发现有破损，看起来比较难受。专修方便有点旧了，但是位置不错，周边的环境很好', '短评打分': 5}
{'短评内容': '+很好，不错', '短评打分': 5}
{'短评内容': '条件还可以的酒店条件还可以的酒店条件还可以的酒店条件还可以的酒店', '短评打分': 3}
{'短评内容': '设置略显陈旧，特别近卫生间的墙纸都是水渍；房间很宽敞，位置也好，靠近市民广场，晚饭后散散步不错。', '短评打分': 5}
{'短评内容': '酒店服务还是不错的，就是当晚住的时候一楼外面有异响，打电话给总台，能及时过来询问具体的情况，最终异响有所减轻。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '前台速度挺慢，其他还不错。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置和卫生还可以,服务一般,装修有点旧 房间比较舒适', '短评打分': 1}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '酒店地段不错，距离市府广场不远，晚上可以出去休闲一下！\r\n整体来说，酒店设施偏旧，有些地方有些发霉！\r\n', '短评打分': 5}
{'短评内容': '第二次入住，感觉还是很不错的。有兴趣的同志可以入住。', '短评打分': 5}
{'短评内容': '这是我去台州的首选酒店，性价比很高，而且酒店旁边有个广场，吃晚饭后散散步很不错。', '短评打分': 5}
{'短评内容': '位置较偏，附近交通、吃饭、娱乐都不太方便', '短评打分': 5}
{'短评内容': '很好很好很好的酒店，很好很好很好的酒店。很好很好很好的酒店。', '短评打分': 3}
{'短评内容': '总体一般吧，网络有问题，空调效果差。价格比以前好像提高了。', '短评打分': 5}
{'短评内容': '性价比很高，档次很高，早餐很好!', '短评打分': 5}
{'短评内容': '各方面都不错，空调也行，好像好多人都评价空调不好，来时还有点担心，现在放心了，都不错，就是电视换成液晶的就好啦！', '短评打分': 5}
{'短评内容': '设施旧了，隔音和空调制冷不行', '短评打分': 1}
{'短评内容': '早餐太早，空调制冷不太好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以，只是早餐太差了，空调制冷不行。', '短评打分': 3}
{'短评内容': '总体感觉不错, 值得推荐, 但早餐简单了点.', '短评打分': 5}
{'短评内容': '慕名住在这里，早餐越来越简……其他的都还好', '短评打分': 3}
{'短评内容': '准四星，性价比超高！位置不错！', '短评打分': 5}
{'短评内容': '性价比可以，就是早餐太差，空调制冷不好', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 5}
{'短评内容': '早餐太差就那么几样东西，空调制冷太差了。', '短评打分': 3}
{'短评内容': '性价比很高，就是早餐太差了。', '短评打分': 5}
{'短评内容': '条件非常好的酒店', '短评打分': 5}
{'短评内容': '位置有点偏，但性价比很高！', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '说实话，有点失望，没想象中好，不过还算可以，不错了。', '短评打分': 5}
{'短评内容': '空调制冷是真不行啊', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '其他的都不错，就是空调制冷效果不是很理想。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '一分价钱一分货，便宜。', '短评打分': 5}
{'短评内容': '不错的酒店，价格实惠。', '短评打分': 5}
{'短评内容': '非常好的酒店，性价比很高', '短评打分': 5}
{'短评内容': '这家酒店只能算一般的商务型酒店不能用国家旅游主管部门核发的宾馆星级去评定性价比明显很差有混水摸鱼之嫌！', '短评打分': 1}
{'短评内容': '位置比较偏，但适合住宿，下面就有一个很大的市民广场，办事就远了', '短评打分': 5}
{'短评内容': '就是位置不怎么好找，别的不错，网速太慢了', '短评打分': 5}
{'短评内容': '酒店环境服务还好，就是早餐太一般 ', '短评打分': 3}
{'短评内容': '酒店环境服务还好，就是早餐太一般 ', '短评打分': 5}
{'短评内容': '个人感觉还可以，只是前台服务员不够热情，态度一般，实在是美中不足', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '我住的酒店楼层是在三楼，住的那天晚上有异响，工地施工的声音还有水泵的声音。我随即打电话告诉总台，服务还不错，马上派人过来了解情况，之后声音是小了很多。总的来说还是不错，位置交通都是很方便，价格也适中。', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '酒点性价比不错。早餐两星标准', '短评打分': 3}
{'短评内容': '总体环境相当不错', '短评打分': 3}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '性价比很好，就是房间墙纸有点发黑，要更换一下，早餐很一般。', '短评打分': 5}
{'短评内容': '下次来台州还是会住这家酒店，位子不错，很静，旁边有个广场。', '短评打分': 5}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '环境不错，也很安静，但是电脑房的电脑实在是差了点，早餐补充的也慢，总体来说性价比还可以。', '短评打分': 5}
{'短评内容': '价格还比较实在，地理位置也不错，总体讲还是不错的', '短评打分': 5}
{'短评内容': '地理位置便利，性价比较高', '短评打分': 5}
{'短评内容': '安静，价格适中，总体感觉好，就是早餐品种太少，而且补充太慢。', '短评打分': 5}
{'短评内容': '一次订了两间房，性价比高。推荐。', '短评打分': 3}
{'短评内容': '第二次入住了，性价比高，位于广场，旁边有大商场，但还是很安静的。', '短评打分': 5}
{'短评内容': '不错的酒店,不过沙发上有破的洞洞,有点影响,早餐其实还是对得起这个价格的,不像其他人说的那么不好.不过就是ELONG的网上价格也没有优势,前台看到其他客人付的只要208', '短评打分': 5}
{'短评内容': '不错！缺少与海洋馆的无缝衔接！', '短评打分': 5}
{'短评内容': '地方还好 就是里面的设施还要改善一下 房间里的电脑桌会摇的', '短评打分': 5}
{'短评内容': '离目的地很近，很不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很便宜，很舒适', '短评打分': 5}
{'短评内容': '这家酒店的性价比不错。有破洞的毛巾破坏了一些对酒店的好印象。', '短评打分': 5}
{'短评内容': '酒店确实不错，地方蛮大的', '短评打分': 5}
{'短评内容': '酒店房间不错的,装修也高级,但就是早餐实在不怎么好', '短评打分': 5}
{'短评内容': '还好，就是装修旧了，卫生间墙壁和房间墙壁发霉了，墙纸都掉了', '短评打分': 5}
{'短评内容': '第一次住这家酒店，离我要去的地方比较近，还算方便，酒店的环境和设施也算不错的', '短评打分': 5}
{'短评内容': '住的非常舒服 而且性价比也很好 就是感觉有点偏 旁边有点冷清~~~', '短评打分': 5}
{'短评内容': '酒店性价比很高，卫生设施都不错，值得推荐。', '短评打分': 5}
{'短评内容': '总的来说房间都还可以，住的还蛮舒适的，就是前台服务不怎么样，速度又慢，而且在等待办理手续的时候这些前台只顾自己聊天', '短评打分': 5}
{'短评内容': '房间不错，但是早餐的质量不高！', '短评打分': 5}
{'短评内容': '反正就是好，性价比不错，酒店电脑不错，网速也快', '短评打分': 5}
{'短评内容': '性价比很好的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还成把，除了墙纸旧了点，其他还可以，对的住268的价钱了。只是不明白，名字叫国际酒店，可居然不是涉外的？！', '短评打分': 3}
{'短评内容': '墙纸旧了点，其他还好。就是不明白，明明叫国际酒店，却不是涉外的。', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '总体评介还是较好', '短评打分': 5}
{'短评内容': '算是性价比比较高的吧  218抵用了20元消费券  环境还是不错的 可能我没有遇上其他评价中所说的墙纸剥落之类的情况 服务态度也是不错的 呵呵  就我的情况来看  还是推荐的哦 ', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '位置可以 价格还算公道 就是房间颜色不喜欢', '短评打分': 5}
{'短评内容': '这个价格来说 还不错的', '短评打分': 5}
{'短评内容': '空调太差，如果去海洋公园玩的话，位置比较近。', '短评打分': 3}
{'短评内容': '空调太差，如果去海洋公园玩的话，位置比较近。', '短评打分': 5}
{'短评内容': '酒店的服务人员办事效率太慢了,五六个人都给我办理不了登记手续.房间里的卫生和设施方面还是蛮不错的,周边交通也蛮方便的,整体感觉性价比还是可以的.', '短评打分': 3}
{'短评内容': '酒店是栋高楼，外观还行，旁边是个广场和一个大购物中心，步行范围内有几家KTV，酒吧等，晚上适合去消遣。', '短评打分': 5}
{'短评内容': '酒店装修钱应该是花了，但是装修很烂，颜色乱搭配，根本谈不上格调、、、特别是前台背景，像什么呀、、乱七八糟的！', '短评打分': 5}
{'短评内容': '地毯有陈旧了，还有房间是配的电脑也挺旧的，酒店旁边大概50米左右有个新开的酒吧晚上有点吵闹，我用了40元消费券还是蛮优惠的', '短评打分': 3}
{'短评内容': '去年已经住过多次了，去台州就住这家酒店，性价比还不错，值得推荐！', '短评打分': 5}
{'短评内容': '因为是12月31日住的，旁边的酒吧在搞活动吧，声音有点吵，但总的来说还可以。', '短评打分': 5}
{'短评内容': '酒店内部装修有些老旧了,卫生,服务,设施这些都很一般,位置在市中心交通很方便.', '短评打分': 3}
{'短评内容': '酒店环境一般,因为是家老酒店,设施有些旧了,其他都没什么,位置也很方便,价格也还算合理.', '短评打分': 3}
{'短评内容': '酒店很新，设施很好，如果数字电视能开通更多的频道就完美了。', '短评打分': 5}
{'短评内容': '总体不错，卫生啊设备都挺好的，日用品挺到位的，就是床太低了，被子太酒店化了！', '短评打分': 5}
{'短评内容': '酒店的性价比确实不错。就是在同一城市里也很难找到这样价位的酒店。早餐应该说还是可以的，就是咖啡供应的不够，去得晚了就没有了。', '短评打分': 5}
{'短评内容': '冬天空调效果不好，卫生间排水不好', '短评打分': 3}
{'短评内容': '酒店前台服务很差，房间很破旧，早餐连咖啡也没有', '短评打分': 3}
{'短评内容': '冬天空调效果不好，外面走廊有点味道', '短评打分': 5}
{'短评内容': '装修陈旧，前台服务混乱，需要等待时间很长，早餐连咖啡都不提供，基本属于没东西可以吃', '短评打分': 3}
{'短评内容': '前台服务混乱，需要等待时间很长，早餐连咖啡都不提供，基本属于没东西可以吃', '短评打分': 1}
{'短评内容': '不错很好的选择', '短评打分': 5}
{'短评内容': '主要优点就是性价比和位置不错，其它都还算OK，只是前台的服务一直让我不敢苛求，当天晚上到，就见前台一个女接待，一边私人电话，一边在骂骂咧咧，还是满嘴脏话，对客人根本就无所谓，只顾她自己；另一个服务员则是说我想要的高楼层没有了，因为今天满房了，但我很生气地告诉她，我是提前几天就订的房，根本就是他们不负责责任，没有做提前处理，反正讲了也是白讲。这家酒店的前台服务一直是老大难，态度很差，前台服务很差，如', '短评打分': 5}
{'短评内容': '酒店设施还是很好的,200多一点的价格可以住到这样的酒店还是很划算的,早餐也还可以,房间也算大,周边还有一个玻璃艺术馆可以转转', '短评打分': 5}
{'短评内容': '酒店不错，就是位置有些偏，吃饭的时候不方便。硬件设施还好，总体感觉还可以。', '短评打分': 3}
{'短评内容': '酒店的价格很优惠,设施很齐全,性价比很好.', '短评打分': 5}
{'短评内容': '就在台州电视台对面 海洋世界旁边 说是旅游主题的商务酒店 进去有比较浓的清新剂味道  房间还可以 设施都很齐全 不过感觉有点老旧 比如卫生间的下水道较易堵塞 值得一提的是自助早餐  类型还蛮多的 味道也很本土 客房的叫餐服务速度比较慢  一般都要二三十分钟才能送到 价格也比较合理 值得推荐', '短评打分': 5}
{'短评内容': '不错,性价比高.希望下次去的时候空调暖气开了!!!', '短评打分': 3}
{'短评内容': '酒店的价格很优惠,设施很齐全,性价比很好.经常出差对各地酒店很了解,这家酒店各方面还是很满意的.', '短评打分': 3}
{'短评内容': '遇到个房间电视不好，中央空调还没开，好冷啊', '短评打分': 5}
{'短评内容': '多次入住该酒店,有时为了方便上网,选择了在商务楼层,因为有台式电脑配置,该酒店的前台服务一直让人感叹,太没有服务意识了,不过酒店的性价还是不错的.只是软件服务上请再上层楼.', '短评打分': 5}
{'短评内容': '酒店比较新，价格适中，适合商务人士。', '短评打分': 5}
{'短评内容': '   酒店是新的，在开发区，很安静，喜欢清静的就算找对来，旁边就是海洋世界，门票100，还有新世界商厦，和很大的公园，早餐很一般，没有什么东东的，\r\n 但是吃饭娱乐统统欠奉，因为不再市中心的，不过有个什么新百度酒吧就在楼下，离汽车站比较近的，10块，市中心有点远，\r\n旁边是台州市政府，和当地最高端的小区，香格里拉，据说超过10000，不过和上海比，还是太便宜离\r\n', '短评打分': 5}
{'短评内容': '房间很大，但是散发着一股清新剂的味道。', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '228的价格对于这样的房间来说,还是很划算的.以后可以再考虑住', '短评打分': 5}
{'短评内容': '还不错的 就是在新区 还是存在着不方便', '短评打分': 5}
{'短评内容': '酒店周边交通不太方便.酒店提供餐饮方面（中餐）没提供这点不太好,用餐是非常不方便的.其它各方面还可以', '短评打分': 3}
{'短评内容': '干净、性价比高', '短评打分': 5}
{'短评内容': '位置有些偏,其他方面都挺好的,价格也比较合适.挺满意的.', '短评打分': 3}
{'短评内容': '环境很干净，价格也不贵，而且位置在市中心，周围有个大超市，购物很便利，出门交通也很方便，算是在台州不错的酒店', '短评打分': 3}
{'短评内容': '酒店性价比较高，服务人员态度很热情，做事也很周到，设施比较完备，卫生也很干净，值得推荐的一家酒店，下次去台州还会选择入住。', '短评打分': 3}
{'短评内容': '10月3日晚入住的商务单人间,装修都不错.当时房间要比新港的商务单人间小很多.\n酒店边上就是个大型的KTV ,原以为会很吵, 可晚上一点也听不到吵闹声.非常满意.\n唯一另人失望的是早餐品种太少了,希望能改进下.', '短评打分': 5}
{'短评内容': '住的很舒服以后会再去的。', '短评打分': 5}
{'短评内容': '这么新的酒店居然吃免费早餐的时候，发现蟑螂就在面包上散步，后来去拿牛奶的时候也看见了散步的蟑螂。位置倒是不错的，其它设施其实也是可以的，楼下还有个百度酒吧，虽然不能和上海比，但是气氛好像还可以的，\r\n。', '短评打分': 5}
{'短评内容': '酒店的硬件条件，环境设施都是比较不错的，服务和他的地理位置也很方便，而且我订的时候有优惠，200多比较实惠。', '短评打分': 3}
{'短评内容': '还可以，房间面积很大，但是各方面设施相对于面积来说不是很配套，不过价格还可以，性价比还行', '短评打分': 5}
{'短评内容': '人员服务态度挺好的,但房间是房间的空调制冷不太理想,价格还是比较便宜的,位置也还可以.', '短评打分': 5}
{'短评内容': '酒店的整体不错的，酒店的服务卫生以及设施都很好的，酒店的位置以及周边的交通都很好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施舒适度都还不错，配置硬件也很达标，位置在台州也是比较好的地段，价格合理适中服务卫生也很好，很不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '依据网上的好评入住，但是不尽如人意：1、大堂无论如何不象四星，沙发可以用脏乱差形容2、大堂接待人员尚需培训提高，声音高、接待忙乱3、房间墙裙霉烂，墙壁粉刷脱落（七层特别厉害，我住的九层好点）4、空调效果不佳，不知是不是地热的原因。', '短评打分': 5}
{'短评内容': '房間很乾淨、旁邊就是海洋水族館，性價比很好，有機會去一定會再去住', '短评打分': 5}
{'短评内容': '价格合理', '短评打分': 5}
{'短评内容': '酒店位置非常好周边很便利,环境也很好,还是很满意这家酒店的.', '短评打分': 5}
{'短评内容': '酒店大堂服务比较慢,车位少,不太好停车', '短评打分': 5}
{'短评内容': '酒店还不错了,各方面感觉都挺好的,价格也比较合理', '短评打分': 5}
{'短评内容': '酒店感觉很不错，性价比还是蛮高的，房间干净整洁，服务也很周到', '短评打分': 5}
