{'短评内容': '套间不错，有家居用品，适合一家人住。', '短评打分': 4}
{'短评内容': '环境还是不错的，客户来访一般就会推荐外国专家大厦的住宿。客人反映也比较满意！只是楼时间长，应该增加些新意！', '短评打分': 5}
{'短评内容': '帮朋友预定的，反应设施有点久，其他还算勉强，够二十个字了吧', '短评打分': 5}
{'短评内容': '帮朋友预定的，反应一般，设施有点旧，怎么还不够二十个字啊', '短评打分': 5}
{'短评内容': '房间结构有些不合理：客厅嫌小，卫生间内设施有些陈旧，水温不太正常。', '短评打分': 5}
{'短评内容': '酒店整体不错，房间空间足够，设施齐全，前台和楼层服务也不错。家具稍微有些陈旧，不过尚可容忍。地理位置不错，交通方便，而且房间安静，可以说是闹中取静。', '短评打分': 5}
{'短评内容': '房间不错，但装修老了一点，早饭标准应提高。', '短评打分': 5}
{'短评内容': ' 酒店位置好，交通方便，房间还好，挺大，但卫生间有点小。', '短评打分': 3}
{'短评内容': '交通便利，服务满意，餐厅不如意，价格较贵', '短评打分': 5}
{'短评内容': '位置比较偏，在附近办事的话可以考虑住。\n套间还可以，有厨房和蛮大的客厅，虽然厨房用不上。', '短评打分': 5}
{'短评内容': '房间很大，也非常干净，整体外观也都挺不错，早餐也非常丰富。不过就是交通不太方便，出行要打的。', '短评打分': 5}
{'短评内容': '北京外国专家大厦位置不错，会所功能挺全的。', '短评打分': 5}
{'短评内容': '很喜欢这里。OKOKOKOKOKOKOKOKOKOKO!~', '短评打分': 5}
{'短评内容': '住的次数很多了，前台的好几位美女都认识了。每次送可乐的都是同一个服务员。', '短评打分': 5}
{'短评内容': 'fei chang  hao de ! hen  xi  huan  zao can !', '短评打分': 5}
{'短评内容': 'GOOD!  fei chang xi huan  na  li , li zhong  guan  cun  hen jin de. bi  jiao  fang bian /', '短评打分': 5}
{'短评内容': '很喜欢这里，早餐很好，还会给可乐。朋友很喜欢这里！ ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '第二次入住了，房间很大，值得推荐，性价比较高', '短评打分': 5}
{'短评内容': '房间是套间，挺大的，适合一家几口去住。条件只能说还凑合，内部装修旧。', '短评打分': 5}
{'短评内容': '只住过1次，感觉非常安静，而且价格也合理，非常不错', '短评打分': 5}
{'短评内容': '物美价廉，都是朋友点名让我帮助预定的，晚上过去看了下，环境确实不错，很安静', '短评打分': 5}
{'短评内容': '内部环境优雅舒适，这个房间 比较大，有种家的感觉，内部设施非常齐全。', '短评打分': 5}
{'短评内容': '内部环境倒是还可以，不过灯光太暗，交通也不是很方便，尤其打的不好打，但早餐非常好', '短评打分': 5}
{'短评内容': '房间大全，出入不很方便。', '短评打分': 3}
{'短评内容': '还不错。。大家都比较满意。。呵呵。。....', '短评打分': 5}
{'短评内容': '住的一室套，干净、舒服，有厨房很方便，来朋友可以小聚一把。位置也方便。有早餐。', '短评打分': 5}
{'短评内容': '一室一厅的套间，总体感觉还不错，很有家庭感。设施也很齐全。\r\n缺点是设施有些陈旧，地毯有些潮湿。服务员走廊上打扫卫生时候，应该尽量声音小一点。尤其不应该大声喧哗。\r\n卫生间感觉实在不太好，花洒很旧了，出水很小而且别扭。希望改进。', '短评打分': 5}
{'短评内容': '环境超差 条件是亚运商圈里最差的 服务也不好\r\n电梯里的地毯一种奇怪的味\r\n房间特小', '短评打分': 3}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': 'very nice place to live', '短评打分': 5}
{'短评内容': '很好很不错离我要去的地方很近，交通很便利。', '短评打分': 5}
{'短评内容': '内部环境舒适，优雅，适合旅游居住，唯一不足之处就是内部灯光太暗。', '短评打分': 3}
{'短评内容': '内部环境优雅，舒适，不过内部灯太少，晚上灯光太暗', '短评打分': 5}
{'短评内容': '非常好！ 房间很干净的，偶尔会有点潮。旁边有个贵州菜馆，很好！ ', '短评打分': 5}
{'短评内容': '酒店的设施及服务都很好,餐饮的供应及质量都不错,地理位置比较好,我定的是二室二厅的公寓式套房,非常舒适,值得推荐。', '短评打分': 5}
{'短评内容': '己入住', '短评打分': 5}
{'短评内容': '卫生条件好，环境也好，也种家的感觉，但唯一不足之处就是房间里面有呜呜响的声音。', '短评打分': 5}
{'短评内容': '还不错啊,离鸟巢水立方很近,就是很多出租车司机不知道在哪儿,带着我们绕', '短评打分': 3}
{'短评内容': '还不错，离鸟巢和水立方都比较近，就是好多出租车司机居然不知道这家酒店，打的把我带沟里去了，唉', '短评打分': 3}
{'短评内容': '还不错，位置好，在鸟巢水立方附近，就是北京好些出租车司机居然不知道这家酒店。', '短评打分': 5}
{'短评内容': '只是房间里的东西略显旧点，但靠近奥运场馆，参观鸟巢等比较方便。', '短评打分': 5}
{'短评内容': '位置很好，停车方便，一室套房挺舒适，商务或接待几个朋友不成问题，与周边酒店的套房比其性价比还是很高的，早餐就一般般了，地毯有些旧了，局部鼓包，走道的地毯还有些异味，服务员给喷了点香气。价钱是浮动的，前几天是400多，周末就涨到900多了。', '短评打分': 5}
{'短评内容': '比较靠近鸟巢步行到.但地点有些别扭,周围也无购物区.', '短评打分': 5}
{'短评内容': 'Very good.', '短评打分': 5}
{'短评内容': '设施及舒适程度都不错！', '短评打分': 5}
{'短评内容': '就是公寓改造的，设施很老很旧。不过唯独值得一赞的，一室一厅的套房很大，阳台也够大。', '短评打分': 1}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '听同事说，入住的比较舒服', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好的酒店 住的是公寓 很舒适 有家的感觉  阳台很大 凉衣服很好 推荐 ', '短评打分': 5}
{'短评内容': '非常喜欢', '短评打分': 5}
{'短评内容': '整体感觉硬件设备还算不错，服务也还好，可以选择入住', '短评打分': 5}
{'短评内容': '听朋友说还可以，就是房间有异味，希望能够改善一下', '短评打分': 5}
{'短评内容': '非常具有性价比的地段和价格', '短评打分': 5}
{'短评内容': '488元每天的房间，竟然有客厅、卧室、厨房，（洗衣机、微波炉、冰箱、免费网络等）设备齐全。入住当天特别热，但进入房间后，室内早就把空调开到合适温度，感觉非常爽心、温馨。在房间里和酒店门口外面10米远就能看见国家体育馆鸟巢。还有更令人舒适和方便的是：我们乘的士十余次，每个的士司机都清楚知道这个地方。显然是颇有名气的地方，一家小酒店。（有一点不方便的是：免费早餐每天只有1人次；酒店大堂内200平米的面', '短评打分': 5}
{'短评内容': '前面朋友说得太对了 这个酒店听着挺好，但确实条件太差，还不如如家水平，地毯味道比较不好，早餐也很少，我住了两天，后悔死了', '短评打分': 1}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': 'a nice place', '短评打分': 5}
{'短评内容': '非常安静，但是设施稍嫌陈旧', '短评打分': 5}
{'短评内容': '四星级酒店，各个方面都还不错，很好，性价比蛮高，下次还会入住。', '短评打分': 5}
{'短评内容': '设施略旧了些，还算干净。地点还不错，经过要求后前台很热心地换了间能看到鸟巢的房间。公寓式，有套间厨房和阳台，还有洗衣机。打车也很方便。', '短评打分': 5}
{'短评内容': '大堂和电梯有些异味，尤其刚从外面进来时比较明显，希望能喷一点清新剂或香料就好了。', '短评打分': 5}
{'短评内容': '朋友很喜欢这家', '短评打分': 3}
{'短评内容': '朋友超级喜欢这家酒店，也住了好多回。前台的英文不错。', '短评打分': 5}
{'短评内容': '不错的酒店,各方面都令人满意.符合4星的标准.', '短评打分': 5}
{'短评内容': '对于酒店的宽带，我要说几句。现在大多数的酒店宽带都是免费的，但是这个酒店居然是以分钟计费的！每天80块钱封顶，一分钟5毛？！贵的有点离谱了。希望以后会有所改善！', '短评打分': 3}
{'短评内容': '位置不错，就是设施陈旧一些。', '短评打分': 5}
{'短评内容': '去鸟巢 水立方很方便 早餐有点贵', '短评打分': 5}
{'短评内容': '酒店的设施实在太老旧了，不推荐！', '短评打分': 3}
{'短评内容': '步行可到鸟巢，去机场也方便，卫生很好', '短评打分': 5}
{'短评内容': '卫生、服务都不错，就是房内设施较老，还有就是网络还要收费，感觉不爽。', '短评打分': 5}
{'短评内容': '酒店的硬件设施有点偏高，所以价格也稍微贵了点，不过位置还算方便，服务也挺好的，下次再去还是可以考虑，但是他的硬件应该更新了。', '短评打分': 3}
{'短评内容': '整个房间感觉都不错，服务热情周到，价格也很便宜，位置也不错，交通很便利', '短评打分': 3}
{'短评内容': '酒店各方面条件都挺不错的,性价比还是比较好的,房间住着也蛮舒适的', '短评打分': 5}
{'短评内容': '酒店的服务还可以，地理位置也挺好的，交通很方便', '短评打分': 5}
{'短评内容': '对这家酒店非常满意,下次来北京还会选择这家酒店,性价比比较高', '短评打分': 5}
{'短评内容': '酒店台前服务比较差,爱答不理的,房间内的床太小睡着不舒服,味道很大,位置不好,坐车开着都不方便,这是我住过星级酒店服务最差的一家.要是以价格来说还可以推荐', '短评打分': 5}
{'短评内容': '酒店的服务很不错，环境也挺好的，很干净，地理位置也不错，交通很方便', '短评打分': 5}
{'短评内容': '觉得总体来说还是不错的,对酒店这种服务至上的理念还是挺满意的,整体条件也很不错,就是早餐种太单调了,可选择的太少,而且餐品供应太慢了', '短评打分': 5}
{'短评内容': '在现在全国酒店上网都免费的时候，北京外国专家大厦竟然还收0.5元/分钟的上网费，真惊了。', '短评打分': 5}
{'短评内容': '我本来预订的是标准间，入住当天因标准间满员，前台给我安排了一个套间，当然是按标准间价格，酒店的套间蛮舒服的，有一个10平米左右的大阳台，把冷空气和噪音都隔到外面去了，蛮安静的，对酒店的服务比较满意。', '短评打分': 5}
{'短评内容': '酒店环境卫生舒适程度都还不错,价格也不高.', '短评打分': 5}
{'短评内容': '交通方便，别的就没了', '短评打分': 3}
{'短评内容': '公寓房的套间极好。只是出入不方便，来人拜访都要登记，打电话和你核对，这有些过了吧？谁会愿意让你盯着？', '短评打分': 5}
{'短评内容': '酒店正式营业没有多长时间，设备都是新的，服务比大的酒店有所欠缺。最糟糕的就是临近四环路打开窗户就看见堵车，有点闷。', '短评打分': 3}
