{'短评内容': '位置离厦鼓码头很近', '短评打分': 4}
{'短评内容': '房件很舒适,但早餐有待提高\n', '短评打分': 3}
{'短评内容': '这个酒店说位置，我觉得嘛是在一个很繁华方便的区域里的一条不是很方便的路里咯，总的还可以，装修可以花点心思，其它还可以，比较新~~', '短评打分': 5}
{'短评内容': '床很舒服很软，交通还行，附近有个车站，自带车或者打车的朋友比较合适。比较安静，不会嘈杂', '短评打分': 5}
{'短评内容': '很干净，服务很好，是一家性价比很高的酒店，就是床比较软了一点', '短评打分': 5}
{'短评内容': '房间很不错。。我很喜欢！！什么都有。。值得一住，就是床真的太软了~&#183;呵呵。。不习惯啊 ', '短评打分': 3}
{'短评内容': '酒店真不错。很干净。。。就是上面说的床太软了。呵呵呵', '短评打分': 5}
{'短评内容': '位置蛮好的，出门就有公交车站，可以到很多地方，比如，轮渡，胡里山炮台，厦大，南普陀。就是酒店好小气，洗漱用品不是天天换的。', '短评打分': 5}
{'短评内容': '环境比较干净，服务也挺好，离轮渡也较近，就是房间的床铺太软，开始有点不习惯，第二天早上起床感觉还不错，总体都GOOD。', '短评打分': 5}
{'短评内容': '酒店服务不太好，开始到店说没有预定后来投诉了两次才按照预定价格入住。后来服务人员也有道歉。', '短评打分': 1}
{'短评内容': '很早就订了才给个二楼的房间！晕', '短评打分': 5}
{'短评内容': '已入住\n签名:stefanie琳琳', '短评打分': 5}
{'短评内容': ' 外观看着酒店有点破～可是里面装修的挺好的～房间挺大的，设施齐全。就是空调有点吵。赠送的早餐选择少，不好吃。  ', '短评打分': 5}
{'短评内容': '性价比可以，卫生很一般，毛巾非常旧，位置没车麻烦', '短评打分': 5}
{'短评内容': ',不错的酒店,很温馨,设计很合理', '短评打分': 5}
{'短评内容': '位置对开车住客好，就在海沧大桥下来，方便找。大家都关注的床是很好的，非常舒服，睡得很香。装修设施就一般，空调正对着床是个失误，正吹着人。以这个价钱，在厦门还算好吧。不过，提醒店家注意的是，毛巾不干净，有2条上都有大块的黄色印记，至少先挑拣一下再放到房间。', '短评打分': 5}
{'短评内容': '地点挺方便靠近主干道，好找，出入不怕交通堵塞。房间整洁舒服，前台服务良好。唯一是餐厅早餐较一般。', '短评打分': 3}
{'短评内容': '+很好', '短评打分': 5}
{'短评内容': '装修是新的,所处的地理位置交通便利,在市区.', '短评打分': 3}
{'短评内容': '两个月前住过,觉得性价比还是较高的.这次依旧选择入住.装修新,服务不错.', '短评打分': 5}
{'短评内容': '+', '短评打分': 3}
{'短评内容': '因为入住晚了所以只有一种房型可选，正常应该有好几种风格色调的可选，蛮新鲜。不过剩下可选的那种全白色的房，就有点太过为了房间设计者自己主观爱好意愿来设计，不考虑实际住客居住舒适方便了', '短评打分': 5}
{'短评内容': '不错、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': ' 酒店住的非常好', '短评打分': 5}
{'短评内容': '床不舒服~太软了~没有一个柜子摆东西。设备不是很好~不过格局蛮好的~', '短评打分': 1}
{'短评内容': '整体来说酒店还算可以，因为离公交车站比较近，外出游玩都比较方便；只是对外宣传说是准四星就有点给人期望过高了，其实就是好一点的经济型酒店，而且隔音的效果也比较差。总体来说还是可以的，如果要求要高一点的可能稍微会有点失望！', '短评打分': 5}
{'短评内容': '酒店设施较新,服务人员态度很亲切,早餐还可以', '短评打分': 5}
{'短评内容': '精品复式套房性价比挺高的，很有家的感觉，我爸妈都觉得挺满意的', '短评打分': 5}
{'短评内容': ' 酒店还算干净,但缺少衣橱', '短评打分': 5}
{'短评内容': '酒店位置一般，出门不够热闹。\r\n房间的设计还是不错的，但卫生间和洗浴室的设计比较勉强，卫生间不是单独意见，而是敞开式的。就靠一个们左右开来开去。\r\n房间墙壁上有霉斑，总的来说还可以，适合商住。', '短评打分': 5}
{'短评内容': 'GOODGOODGOODGOODGOOD', '短评打分': 3}
{'短评内容': '设施环境还不错的，酒店附近就有公交站台，交通还算便利，入住可以免费上网，如果预订的是豪华房间的话会有配备电脑的，还有免费2小时国内长途和2瓶2矿泉水，这挺好的呢，但是早餐品种不是很多。', '短评打分': 5}
{'短评内容': '设施环境还是挺好的，交通还算是便利，就是早餐有点简单，但是入住可以免费上网，打长途哦，这个不错', '短评打分': 5}
{'短评内容': '床太软  背疼~~~~~~床太软  背疼~~~~~~床太软  背疼~~~~~~', '短评打分': 5}
{'短评内容': '床是海绵垫，有点软。\r\n\r\n豪华双人房的电脑有点挫，与这酒店的配置不相当。\r\n\r\n', '短评打分': 5}
{'短评内容': '服务很热情', '短评打分': 5}
{'短评内容': '酒店卫生是最重要的，这家酒店还是不错的。房间没有配电吹风，但打电话给前台立刻给送来一个，还是很满意的，唯一不足就是窗户没有纱窗  想开窗就得担心有蚊虫飞进来，其他的还不错 总体来讲这次的入住很满意 如果有机会再去厦门还会选择这家酒店。', '短评打分': 5}
{'短评内容': '很好的酒店，房间很好，就是价格有点贵 总的来说不错', '短评打分': 3}
{'短评内容': '除了价格高点外都蛮好的蛮喜欢的，希望价格再便宜点就好了', '短评打分': 5}
{'短评内容': '早餐品种较少，新装修让人感觉很不错。夜班前台服务较差，早班就不错。', '短评打分': 5}
{'短评内容': '总体性价比不错，值得推荐', '短评打分': 5}
{'短评内容': '不错的酒店，很适合年轻人风格', '短评打分': 3}
{'短评内容': '床是泡绵的不是弹簧床...太软睡起来很不舒服，酒店位于大路边附近没什么商家，晚上请前台隔天morning call但....隔天询问前台回应&quot;同事忘记了&quot;,隔天会议差点迟到....', '短评打分': 1}
{'短评内容': '不错的酒店，各方面都好，不愧为是精品酒店', '短评打分': 5}
{'短评内容': '很一般的酒店，位置不是很好，房间还可以，很新', '短评打分': 5}
{'短评内容': '很不错的酒店，我们定的是豪华双床房，有电脑，速度还可以，上上开心什么还蛮快的，床太软了，免费2小时国内长途和2瓶矿泉水，服务很不错，交通也很方便，旁边就是车站，对面还有个菜场，服务态度很好，推荐！！！！！！！', '短评打分': 5}
{'短评内容': '总体上说还不错，就是早餐种类少，房间里没有冰箱', '短评打分': 5}
{'短评内容': '酒店位置不是很醒目，找了很久才找到，打电话问也说的不清楚，让的士司机载逛东渡。进入酒店感觉还是不错，整体讲还是OK的！', '短评打分': 5}
{'短评内容': '窗户不能打的很开，不是很好透气，感觉有点闷。床很软，感觉不舒服。', '短评打分': 5}
{'短评内容': '住的是套房，里面装修较新，服务也不错。离中山街打的13元，不错', '短评打分': 5}
{'短评内容': '酒店还是蛮不粗的，房间里比较干净  ，设施也比较齐全，服务人员态度也挺热情的，位置还可以，打车比较方便的，不太适合步行，大马路比较乱，价格方面还是蛮合适的，整体感觉还不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很好，五一期间入住的价格也是比较合理的，值得推荐。', '短评打分': 5}
{'短评内容': '服务态度一流，但是酒店的地理位置有点偏', '短评打分': 3}
{'短评内容': '酒店的配置硬件设施都还不错，卫生服务也很好，价格五一期间算是合理适中的，配置硬件也很达标，整体来讲算是比较不错的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '总体说还是可以的，但有几点希望能够改善：\r\n1、早餐种类太少；\r\n2、房间太过于节约，放衣服的柜子太小；\r\n3、有些设备没有，比如说吹风筒；\r\n4、床太软，有的人不一定习惯；\r\n', '短评打分': 5}
{'短评内容': '是新开的酒店，设施什么都很好，可惜位置不佳，比较偏远，不适合旅游的人居住', '短评打分': 1}
{'短评内容': '一般的经济型酒店，周边环境很不好，吵吵闹闹的而且过车有噪音，还不好打车，其他方面都一般化。设施也比较陈旧。', '短评打分': 1}
{'短评内容': '个人要求不同，我觉得这酒店不错，挺舒适、卫生条件不错。', '短评打分': 5}
{'短评内容': '服务员不是很热情&#183;&#183;其他的都还能接受', '短评打分': 5}
{'短评内容': '透明的淋浴空間,看起來很新鮮,但是空間小.\r\n房間很大,網路也OK.只是連線路的位置不佳.\r\n早餐狠普通.', '短评打分': 5}
{'短评内容': '没想象中的好，但是房间空间很大。蛮舒服的。电视机小了点。服务不错', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '套间是复式两层面积相加。配备所谓电脑，连上网本性能都比不上，聊胜于无，只能上网页，最重要的USB口都没有，做个下载机都不行。电视是IPTV有很多平时没有的台，但是我最常看的中央5台没有。位置不是最繁华热闹的地方，周边餐饮交通只是相对还算方便。', '短评打分': 5}
