{'短评内容': '还不错的酒店哦！很干净。交通也很方便。。。。。', '短评打分': 5}
{'短评内容': '房间设施很好的,一进去我都有点不敢相信,但想想毕竟是在常州.酒店服务有待提高.', '短评打分': 5}
{'短评内容': '非常不错的宾馆，环境也不错。非常不错的宾馆，环境也不错。', '短评打分': 5}
{'短评内容': '第二次入住了，感觉还是不错的，如果早餐还能改善点，那么绝对是超值的了', '短评打分': 5}
{'短评内容': '还不错，就是电视机旧了点，挺方便的，下次还是会去的！', '短评打分': 5}
{'短评内容': '太冷  房间开了一晚上的空调也没用   设施设备一般    但是床上用品比快捷酒店要好', '短评打分': 1}
{'短评内容': '環境及服務都不錯,地段很方便,後續有機會會再預訂', '短评打分': 5}
{'短评内容': '挺干净的，在高铁站边上，交通便利..........', '短评打分': 5}
{'短评内容': '就在火车站旁边,位置很好,冬天中央空调暖气供应不足', '短评打分': 5}
{'短评内容': '离火车站很近,价格不高,早餐人很多,上网第一天是坏的', '短评打分': 5}
{'短评内容': '总体不错 房间很大 位置也很方便 就在火车站边上  性价比极高 非常推荐', '短评打分': 5}
{'短评内容': '靠近火车站，既方便又吵闹，不过不住最东侧还能忍受', '短评打分': 5}
{'短评内容': ' 己入住 条件一般', '短评打分': 3}
{'短评内容': '家庭房洗涤用品只有俩套，和总台说了才拿来。家庭房早餐券（免费）只提供两份。房间不错，就是电视不好。', '短评打分': 5}
{'短评内容': '不能开发票的 顶顶顶顶顶顶顶顶顶顶顶顶顶顶', '短评打分': 1}
{'短评内容': '进房间的第一印象还是蛮干净的，虽然不是大床房，但两张床还是蛮宽的。晚上睡觉的时候拼在一起就更大了。足够一家三口酣睡。遇到的不满意是下水道堵住了，水从洗手间流到了房间，只好让工作人员把地拖干。第二天和同住的朋友一交流，同样的问题竟然六间房间中有三间，只是程度不同。希望酒店加强下水道的维护。', '短评打分': 5}
{'短评内容': '优点：挺不错的 干净  服务也蛮好  放假挺大的\n缺点：离车站远远不是200米的距离', '短评打分': 5}
{'短评内容': '房间一般性 只能说较符合这个价吧 特别是里面椅子的坐垫有点脏 让我不是太舒服', '短评打分': 1}
{'短评内容': '房间不错，就是电视很不好！如果这一点可以改进，那很不错的！', '短评打分': 5}
{'短评内容': '里面设施比较老旧。有些已经坏掉！中央空调声音比较大。总体来说对得起这个价格。值得入住！', '短评打分': 5}
{'短评内容': '九点还不错，很有感觉，离市区也近，夜晚旁边有个老爷爷卖的馄饨很好吃。', '短评打分': 5}
{'短评内容': '可能事高铁的缘故，夜里有点吵', '短评打分': 3}
{'短评内容': '空调不是太热，卫生间地太滑，差点摔跤', '短评打分': 3}
{'短评内容': '良贸国际不错，入店就有水果送，早餐也不错', '短评打分': 3}
{'短评内容': '服务还好，热水较大，就是没有热空调，感觉有点冷', '短评打分': 5}
{'短评内容': '房间条件还行，毗邻双站，交通也算便利，总体不错', '短评打分': 5}
{'短评内容': '房间可以，比较大，就是床小了点.还有就是灯比较暗', '短评打分': 5}
{'短评内容': '已经入住，很实惠。', '短评打分': 5}
{'短评内容': '酒店不错，价格也不贵，交通方便，离市中心也就不到2公里', '短评打分': 5}
{'短评内容': '厕所不通，门锁关不紧，冲凉门也移不动，太差了。', '短评打分': 5}
{'短评内容': '酒店不错，位置不错，就是没有早餐请改进！可以把早餐的钱也加到房费里好了。', '短评打分': 3}
{'短评内容': '房间够大,离火车站感觉步行稍远,坐车又太近.整体可以接受.', '短评打分': 5}
{'短评内容': '酒店不错，就是没有早餐，其他都很好，值得再来&gt;', '短评打分': 5}
{'短评内容': '酒店设施比较久，房间也小。不过前台服务不错，卫生也还行..', '短评打分': 5}
{'短评内容': '不错，会再来入住。买火车票汽车票很方便，散步去不远的大润发也可以的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离火车站近，楼下的饭店味道也不错，停车也方便。就是电脑不怎么样 ，太慢太差，其他都很好。', '短评打分': 3}
{'短评内容': '离火车站近，性价比高，设施也还行的。。。。', '短评打分': 5}
{'短评内容': '整体还可以,离车站也近,出行蛮方便,要是有免费早餐就更好了', '短评打分': 3}
{'短评内容': '还可以下次再订', '短评打分': 5}
{'短评内容': '房间很干净，酒店也很好找，性价比不错&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '地理位置较好,价格实惠,下次我还住这.', '短评打分': 5}
{'短评内容': '还行，比较宽敞。吃住方便。交通方便。设施比较旧。', '短评打分': 5}
{'短评内容': '总体来讲，还不错。位置还好，容易找到，打的比较方便', '短评打分': 5}
{'短评内容': '还不错，就在火车站旁边，楼下的菜味道也不错的。', '短评打分': 5}
{'短评内容': '我们去的那天刚好天有点热，空调是中央空调，可是我们晚上睡觉热醒了几次！', '短评打分': 5}
{'短评内容': '很干净，服务好，环境舒适且价格实惠，以后会经常来!值得推荐。', '短评打分': 5}
{'短评内容': '其它还好，就是空间小了些，另外打电话还要另外付费呢，不是好多酒店宽带电话都是免费用的吗？', '短评打分': 5}
{'短评内容': ' 性价比挺高的  离火车站也近  交通方便', '短评打分': 5}
{'短评内容': ' 酒店设施比较旧 空间也不是很大 不是很干净 大厅很豪华 有停车场 位置也还可以 ', '短评打分': 1}
{'短评内容': '哎，电脑房的电脑实在是太差了。其他都不错。交通很方便。', '短评打分': 5}
{'短评内容': '常州粤海酒店挺不错的地方，下火车只要走十分钟就到了，乘车很方便，里市区也很近，相隔不远的县直街有很多地方特色的小吃，值得一去。房间服务也不错，就是电视台少了一点，幸亏带了笔记本，要不就无聊死了。哈哈。总得来说还是不错的 \r\n', '短评打分': 3}
{'短评内容': '挺不错的地方，下火车只要走十分钟就到了，乘车很方便，里市区也很近，相隔不远的县直街有很多地方特色的小吃，值得一去。房间服务也不错，就是电视台少了一点，幸亏带了笔记本，要不就无聊死了。哈哈。总得来说还是不错的', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '价格很好的，酒店看起来也比较档次，但是后来发现还是有很多细节不是很满意，比如毛巾、浴巾都破的，地巾更是破烂该说。床不错……', '短评打分': 5}
{'短评内容': '粤海酒店不错的，位置挺好的，就是服务感觉有点冷清。', '短评打分': 3}
{'短评内容': '粤海酒店服务态度很好，里面设施也不错，离火车站超近的，就是隔音效果不太好，而且我出去玩还帮我寄存行李到很晚。下次去还会考虑。', '短评打分': 5}
{'短评内容': '常州粤海酒店的设施和位置都还可以，前台人员的服务态度有待加强！', '短评打分': 5}
{'短评内容': '各方面条件都不错(如果不算上他的电脑房)  相当推荐的一家  \r\n\r\n我在网上订的是电脑房1626房间  感觉相当好 可是用了电脑后  我也许下次不会再选择这家了   也不知道是电脑问题还是网速问题  反正定了也白定  基本玩不了  我连游戏都不玩噢  居然慢的我想死的心都有了', '短评打分': 5}
{'短评内容': '交通方便，环境优美，价格也不贵&#183;&#183;&#183;以后入股去常州还会考虑订这一家！~', '短评打分': 3}
{'短评内容': '感觉这儿交通方便,环境也不错!', '短评打分': 5}
{'短评内容': '不错不错的酒店，卫生还行，隔音效果较好，设施不错，位置极好，总的来说是个不错的酒店。', '短评打分': 3}
{'短评内容': '该酒店位于火车站附近，地理位置佳，在网上订价格比较实惠，就是早餐很早就没有东西吃了，餐厅也不补，房间还可以，就是淋喷头坏了也不更换，上网经常掉线，总体还好。', '短评打分': 5}
{'短评内容': '酒店环境还行，离市区路程也近。。总的来说还行', '短评打分': 5}
{'短评内容': '位置比较好，其他一般', '短评打分': 5}
{'短评内容': '住的豪华单人间，还不错，性价比挺高', '短评打分': 5}
{'短评内容': '虽然价格不高但是住的很不舒服，有去常州再也不住这', '短评打分': 1}
{'短评内容': '性价比可谓非常高，外面看不怎么样但是楼里面环境不错的，很对得起这个价钱。', '短评打分': 5}
{'短评内容': '大堂较好，房间很一般。空调不好。', '短评打分': 3}
{'短评内容': '重点就是离常州火车站太近了～～环境也不错', '短评打分': 5}
{'短评内容': '大厅比房间好', '短评打分': 1}
{'短评内容': '整体来说这家酒店还可以，位置不错，离车站蛮近的，出行还是很方便的。酒店的服务也还可以，夫人对粤海酒店的评价也是蛮好的，下次去还是会去再住的！', '短评打分': 5}
{'短评内容': '早餐太差，设施在很旧', '短评打分': 1}
{'短评内容': '一般，没有什么感觉', '短评打分': 1}
{'短评内容': '很不错的一家酒店，就是隔音稍微差了一点。值得推荐。', '短评打分': 5}
{'短评内容': '一般，有点陈旧，打车也不是很方便', '短评打分': 3}
{'短评内容': '特别差，后来只好搬到格林豪泰，虽然小可是干净，服务好。以后不会再住这里。', '短评打分': 3}
{'短评内容': '没有想到的差，结果还是转移到莫泰去住了。早餐也是非常差。永远不会去住。', '短评打分': 1}
{'短评内容': '还不错，会续住', '短评打分': 5}
{'短评内容': '性价比很好..订的是电脑房..房间很大，40平米非常舒服.硬件设施也很不错\r\n\r\n电视机，电脑不怎么好，不过200多的房间有这种设施真的很不错。', '短评打分': 5}
{'短评内容': '交通方便，性价比挺好，早饭还凑合。', '短评打分': 3}
{'短评内容': '紧靠火车站，交通很方便，虽然离马路近但是隔音还是不错的，另外用了20元消费券，性价比挺好。', '短评打分': 5}
{'短评内容': '设施陈旧，不喜欢', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好的，环境不错！！！', '短评打分': 3}
{'短评内容': '整体来说不错的酒店，地理位置不错就在火车站边上，卫生很好很干净，设施也不错很完善，地理位置交通方便，服务一般。价格很优惠', '短评打分': 3}
{'短评内容': '卫生服务方面做的都很到位,很热情,而且出行也很方便,但就是硬件设施有些陈旧了,不过性价比还是比较高的.', '短评打分': 3}
{'短评内容': '房间的卫生和设施都还是挺不错的,酒店的服务态度也还是挺好的,位置也很好找,性价比还是挺不错的.', '短评打分': 3}
{'短评内容': '非常好！！！', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '靠近车站，出行很方便，也是市区的中心位置，值得推荐，不错的！', '短评打分': 5}
{'短评内容': '酒店的早餐还不错，看房经理的服务业很诚恳。电脑房是个好主意，但是现有的电脑需要更新了，否则客人会感到电脑房是徒有虚名。', '短评打分': 3}
{'短评内容': '第2次住这家酒店，入住的是电脑房，室内有一台一体机 可以上网，但机器有点老了，内存容量太小，多开几个窗口就会内存不足并死机。建议尽早更换新机器。另外房间还可以，卫生也不错，就是晚上空调好像没有暖风，房间比较凉！', '短评打分': 5}
{'短评内容': '价格便宜，装修新。房间比较大，楼下餐厅用餐方便', '短评打分': 5}
{'短评内容': '网络太慢, 晚上想工作很麻烦', '短评打分': 5}
{'短评内容': '服务比较一般,房间也不是太好,设施很陈旧了毛巾什么的都是挺旧的,位置倒是挺好的离火车站很近,性价比挺一般的.', '短评打分': 3}
{'短评内容': '很不错的硬件设施', '短评打分': 5}
{'短评内容': '从常州车站看得见，步行数分钟可达，十分便利。其他方面也没有什么挑剔的地方。如果在常州找不到理想的酒店，则选择该酒店不会失败。', '短评打分': 5}
{'短评内容': '环境蛮好的，服务也不错，价格也算不贵，交通也是便利的，位置就在火车站附近', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，火车站右侧可以看到酒店的名字。服务态度也比较好。我住的是标间，房间的面积较一些快捷酒店大，住起来比较舒适。188元的房价还含双早餐，十分的经济，早餐的质量也不错。不足之处就是我住的那间屋子的卫生间里的下水道有问题，淋浴后大有沧海横流的意境，希望酒店能注意整改！', '短评打分': 5}
{'短评内容': '感觉不错，虽然酒店外观初让人看觉得很旧，但大厅和房间蛮干净的，隔音比较好，停车较方便，在大厅还可享受贵宾待遇（换取中华恐龙园的门票便宜10元），唯一的不足是早餐比较早就没东西可吃了，要早起哦~', '短评打分': 5}
{'短评内容': '总体感觉不错！~~~', '短评打分': 5}
{'短评内容': '位置挺方便的,卫生挺干净的,舒适也比较好,服务也挺周到的,总体感觉还是非常满意的.', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施舒适度都还不错，位置出行交通方便，价格合理优惠，服务卫生也很好很干净的酒店，性价比也很好值得推荐入住。', '短评打分': 5}
{'短评内容': '总体还好, 就是他们的早餐实在是不行, 连咖啡和面包都没有, 比汉庭的还差, 怎么也是星级酒店, 太差了', '短评打分': 5}
{'短评内容': '总体感觉不错，性价比可以，卫生条件也挺干净的', '短评打分': 5}
