{'descr': '这大冷天 屋里冷 要床被子告诉我没有  电吹风告诉我要押金！潘家园布丁我是上礼拜住的 屋里暖和 什么都有 还给免费升房间   这里真的太让人失望了  不会再来了', 'star': 1}
{'descr': ' 优点：很方便，离北京站很近，购物和吃东西也很方便，不足：隔音差，卫生间小没电话，应说明窗户是明窗还是暗窗，总体不错，希望以后更好！', 'star': 3}
{'descr': '一分钱一分货，99的不会好哪儿去。暖气还行，空间很小，地毯不干净。', 'star': 1}
{'descr': '垃圾！网是断的，马桶坏了，服务差，里面没什么人住！！！以后绝对不再去~', 'star': 1}
{'descr': '如果是经济出行还是非常不错的，别指望房间的条件好，但是位置太优越了。实在是非常方便。', 'star': 5}
{'descr': '不错，在北京二环附近找这样的地方，又靠近地铁 价格便宜 已经是个奇迹了，不过就是店员服务态度有点差', 'star': 5}
{'descr': '酒店位置好,交通方便,服务人员很热情周到,对我们也挺照顾的,很不错值得推荐.', 'star': 5}
{'descr': '   林剑   425号房间', 'star': 3}
{'descr': '房间条件还行,整体水平不错,因为位置好所以比较方便出行.', 'star': 5}
{'descr': '酒店位置不错,周边交通便利,而且室内装修环境和条件也不错,给我感觉挺好的.', 'star': 5}
{'descr': '这个单人间实在实在太小了，就一个床 床边一个小过道进卫生间，跟火车卧铺差不多。。 不过这个酒店地段好，就在新世界后面 1分钟就可以进新世界，逛街什么的方便了。超市就在新世界负一层。还有这个不能刷卡。。。 总体给个推荐吧，毕竟便宜！', 'star': 5}
{'descr': '非常可怕！早上被厕所的返臭熏醒。一天都头昏脑涨。。。。。无论开空调还是换气都没办法。', 'star': 1}
{'descr': '缺点：不能刷卡；服务不专业，入住时都还没打扫房间，乱七八糟一片，要自己去找服务员清扫；无电梯，行李多的就倒霉了；房间无电话；灯昏暗；是私人开的吧？细节处理的很不好，比如踢脚线，都起皮了也不处理，空调冷凝管用几块黄色胶带贴墙上（用透明的也好啊）非常不用心。能否站在顾客角度想想怎样让顾客住的舒心呢？这也是店家的事业吧？不能只当成赚钱工具吧？ \n优点：离地铁非常近，东面是新世纪百货，国瑞，搜秀。逛街方便', 'star': 1}
{'descr': '还不错，确实很迷你', 'star': 3}
{'descr': '有点小 没啥站的地方 洗手间一平米 外面也就几平米 有点憋', 'star': 5}
{'descr': '地址不错，就在崇文门附近，但房间太小，适合外地旅游过夜的，不适合商务出差。', 'star': 1}
{'descr': '这样的酒店不推荐也罢，房间太小，无手机信号。。。\n', 'star': 1}
{'descr': '环境很好,周边交通也很便利,给我感觉很不错.室内设施也比较新,蛮不错的酒店.', 'star': 5}
{'descr': '房间 像个鸡窝 服务态度不好 床单不干净 换了 好几床 都不干净 有一点好 就是离地铁站近 吃饭 逛街方便', 'star': 1}
{'descr': '入住当天,酒店给我们安排的房间还是蛮大的,空间很好,而且采光也不错.', 'star': 5}
{'descr': '周围地段很好，有新世界、吃的喝的都很方便，离地铁站不到十分钟。\n\n房间虽然真的很迷你，但是性价比很高了。\n\n唯一不是很满意的就是卫生间味儿太大了，每次出门回来都很郁闷。期待改进。', 'star': 5}
{'descr': '房间味道比较大，隔音也不是很好，地位位置不错', 'star': 1}
{'descr': '安全舒适、物超所值。\r\n安全舒适、物超所值。 ', 'star': 5}
{'descr': '地理位置真的是很好！离崇文门地铁站很近，而且附近挺繁华热闹的。只是隔音效果不好，而且卫生间的气味不太好。其他的都还不错。', 'star': 5}
{'descr': '真的很迷你，迷你的让你找不到！而且房间也很迷你！卫生间很差！要不是用信用卡担保的，绝不会入住！', 'star': 1}
{'descr': '酒店位置很好，北京站下车很快就能到宾馆，房间虽小，不过床还算比较大，住两人没问题，麻雀虽小，五脏俱全，以后到北京还会预定。', 'star': 5}
{'descr': '感觉遭透了…', 'star': 5}
{'descr': '地理位置很方便，出门百米就是地铁，周围都是吃的，挺方便的，价格也还蛮实惠。', 'star': 5}
{'descr': '该宾馆价格合理，地理位置优越靠近地铁站。', 'star': 5}
{'descr': '总的还行吧，就是卫生间的地砖掉了也不贴好，电视没有遥控器', 'star': 5}
{'descr': '位置不错，房间太小，服务态度很好，只是卫生条件一般了点。', 'star': 5}
{'descr': '房间 床都有点小，但是总体感觉性价比很高，毕竟位置这么好，价位却这么低，下次还会考虑', 'star': 5}
{'descr': '真的很迷你', 'star': 5}
{'descr': '比我之前住的那 138特价间 好多了~最起码 没什么小强~\r\n而且位置太好了！非常方便！价格有这么便宜！太好了！', 'star': 3}
{'descr': '很好！很合适！地理位置非常好！很方便！价格相当便宜！很合适~卫生条件相对不错！', 'star': 3}
{'descr': '崇文门  磁器口  附近 貌似没有比这个更合适的了~~相对比较干净卫生~周边太方便了！地铁~车站~超市~银行~肯德基~麦当劳~味千~汉堡王~还有别的小饭店~ 想到王府井十五分钟内 到西单二十分钟内 ~价格便宜~地理位置好~比较干净~这些就足够了！', 'star': 5}
{'descr': '有事不能到店。', 'star': 5}
{'descr': '还好了，就是房间确实很迷你，用具可以需要多少自己去拿。', 'star': 5}
{'descr': '感觉都很不错```卫生``听干净的``位置也好`房内设计简单是选择的好地方', 'star': 3}
{'descr': '位置方便，性比较好！可以徒步就逛北京市中心，吃饭方便，价格适中。', 'star': 5}
{'descr': '强烈推荐了~ 没问题 交通非常方便 四号线就在门前 走后海溜达着就到了', 'star': 5}
{'descr': '房间很迷你，应该有的都有，但被子有股味道，但这个价钱在崇文门也算可以的', 'star': 5}
{'descr': '位置太不好找了，很一般，没什么设施，都没有电梯（这个很伤脑筋），反正很不方便，房间也没有电话，再接再厉', 'star': 1}
