{'短评内容': '一般，还行', '短评打分': 3}
{'短评内容': '酒店服务还可以，比较热情，特别是在询问酒店地址时，总台的解答很耐心。但硬件设施过于陈旧，同时房间的味道很重，床上居然还有浓烈的烟味，搞的老婆埋怨了半天，差点破坏了出行的心情。', '短评打分': 1}
{'短评内容': '位置比较好，特别是到河南省博物馆可以走着去，20多分钟就能走到。周边吃饭很方便。这个酒店可以说是物美价廉。', '短评打分': 5}
{'短评内容': '总体位置不错\r\n性价比比较搞', '短评打分': 5}
{'短评内容': '酒店一般，环境也不是很好，挨着路边，晚上睡觉吵。', '短评打分': 3}
{'短评内容': '看到网上说的不错，到了酒店之后，觉的很一般。', '短评打分': 1}
{'短评内容': '非常一般', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '挺好的，出行比较方面，酒店满干净的', '短评打分': 5}
{'短评内容': '很一般的酒店房间的设施很陈旧,服务也一般,真没有感觉到有什么特别的地方,位置还行,价格还高了.很一般的一家酒店.', '短评打分': 3}
{'短评内容': '酒店里面服务比较好,卫生环境比较一般,地理位置还不错,感觉比较清静,住着蛮舒适的.', '短评打分': 3}
{'短评内容': '位置有点偏，出行不是很方便，房间卫生和设施还不错，服务一般，在性价比上这家酒店一般', '短评打分': 3}
{'短评内容': '酒店很一般,虽然是快捷酒店但是在卫生,环境,设施上要比如家,汉庭,要差一些,地理位置也是有些偏.', '短评打分': 3}
{'短评内容': '位置特别好,就在会展中心附近,酒店的环境也不错,没什么不满意的,物有所值!', '短评打分': 3}
{'短评内容': '还好了，比较温馨，交通不是很方便。', '短评打分': 5}
{'短评内容': '酒店位置很好在市中心,设施也是很齐全,就是我住的大床房房间小了一些其它还是很不错的,值得推荐的.', '短评打分': 3}
{'短评内容': '打车不太方便', '短评打分': 5}
{'短评内容': '整体感觉一般，价格和地段还行', '短评打分': 5}
{'短评内容': '酒店各方面还是不错的,服务员打扫卫生不太彻底,酒店位置不太好,酒店应该增加点优惠活动来弥补位置的缺陷.', '短评打分': 5}
{'短评内容': '酒店的总体感觉还不错。就是位置有点偏，交通不太方便，房间的价格是挺便宜的，服务也可以', '短评打分': 5}
{'短评内容': '不知道咋评成的十佳酒店,入住后感觉房间陈旧,厕所反味儿,很失望,而且不在繁华主路上,就是离河南博物院比较近,门口有32路直达火车站.在它旁边的主路上很多酒店看上去都不错,还有一家锦江之星,好象是新开的.免费早餐也很一般,连牛奶都没有,只有豆浆.以后我不会再住了.', '短评打分': 1}
{'短评内容': '卫生环境一般,服务还行,门前是一条单行线,出行不方便,价格也偏高', '短评打分': 5}
{'短评内容': '房间挺舒适的,供暖很及时,而且价格也蛮实惠的,只是觉得因为拖鞋不是一次,而是塑料的,所以不太卫生', '短评打分': 5}
{'短评内容': '酒店位置太偏了，离我办事的地方有些距离，而且房间的卫生和硬件设施方面也很一般；', '短评打分': 1}
{'短评内容': '很不錯的酒店也很人性化價格也不貴.', '短评打分': 5}
{'短评内容': '酒店各方面都不错,就是网络需改进,太慢了.', '短评打分': 3}
