{'短评内容': '房间宽敞，位置好，但是建议酒店定时开窗通风', '短评打分': 5}
{'短评内容': '10/1期间入住 b栋 入住后 发现整栋没有空调 虽说外面气温约在18度左右 但房间还是很闷 告知饭店人员 他们也没办法，因为是中央空调，而且说青岛的饭店都响应节能不开空调了。最后送来凉风扇 说是可以加湿降温，哄哄的声音很大。最后还是得开窗，实在很不舒服。因为这样也提醒我，接下来青岛住几天的酒店赶紧打电话去确认有没有空调，还好别家都有。空调就是要让客人能依据喜好去做调整，让人感到舒适，关掉空调，让', '短评打分': 1}
{'短评内容': '位置不错环境不错~卫生条件很好~服务态度热情', '短评打分': 3}
{'短评内容': '总体不错 位置不错 卫生收拾得比较干净~要是价位再低点就更好了~', '短评打分': 5}
{'短评内容': 'I stayed in the Building B.  Very good service, specially the hall manager Mr. Wen (or Tang). The breakfast is very nice  for either chinese tast or western tast. The shower-bath should be improved.  ', '短评打分': 5}
{'短评内容': '+服务热情', '短评打分': 5}
{'短评内容': 'C座不很理想。C与A、B座基本上是两个独立的酒店。外观类似居民楼，内部情况接近如家的感觉。但是靠着A、B座，卖到了接近四星的价位。', '短评打分': 1}
{'短评内容': '给客户定的B座，看起来挺好，尤其早餐好像特别客户的口味。', '短评打分': 5}
{'短评内容': '房间很干净，设施比较新，十一期间还算值得，距离奥帆中心很近。总体来说还算满意！', '短评打分': 5}
{'短评内容': '房间还好，就是没水果，超向是北，应该提前通知', '短评打分': 5}
{'短评内容': '  海景房很棒 对面即海滩 真的很近', '短评打分': 5}
{'短评内容': '非常超值的酒店，性价比很高。下次还会入住。。。', '短评打分': 5}
{'短评内容': '酒店各项设施都很好，房间很大，还有阳台，海景一览无余。非常不错，以后还会再来。', '短评打分': 5}
{'短评内容': '特价房，地理位置还可以，就是有点小，没有窗户', '短评打分': 5}
{'短评内容': '住的是B座海景房，离海很近，风景很好。', '短评打分': 5}
{'短评内容': '不错，早餐非常好。房间有些小，不过很安静', '短评打分': 3}
{'短评内容': '酒店很不错，很舒服，特别是早餐非常丰富。值的推荐', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好，靠近海边。不错！', '短评打分': 5}
{'短评内容': 'B区单人间-小而温馨，B区的整体布局也很有特点，卫生、服务、设施都很好，出门就是大海...再去青岛还会住海情', '短评打分': 5}
{'短评内容': '以前住过几次, 感觉很好, 这次是重新装修后第一次住, 还是老楼, 房间很小, 不过很干净. ', '短评打分': 3}
{'短评内容': '服务还行，住的是C栋的单人间，1.5米的床，房间小，装修普通，600元一天的房价吓人，性价比真是不高，第二天就换走了。', '短评打分': 1}
{'短评内容': '+海情以前住过，印象不错，老楼虽然旧一些但还算干净，单人间很小，窗户外面好像挡住了，海景房价格太高，不知道啤酒节过了会不会降下来', '短评打分': 5}
{'短评内容': '住的公寓，总体上还行吧，早餐很丰盛，房间格局不是太好', '短评打分': 1}
{'短评内容': '我住的是单人间，房间比较小，一个人住还行。早餐还挺像样的，四星级酒店的架式是摆出来了，交通方便，去海边近。不是旅游季节，房价要便宜些，性价比就更好了，房间还是陈旧了些。', '短评打分': 5}
{'短评内容': '海情位置很好 房间能看见海 酒店设施、服务也不错 值得推荐', '短评打分': 3}
{'短评内容': '地段好 前面可以看见海 设施也很好 够得上4星的标准', '短评打分': 5}
{'短评内容': '结账时发生一点小意外，有一瓶水（10元）估计是服务生忘了更换，让我买单。', '短评打分': 5}
{'短评内容': '离海边非常近，最舒服的莫过于在2楼餐厅一边吃早餐，一遍看大海。', '短评打分': 5}
{'短评内容': '酒店环境不错，值得入住，早饭如果改成双早就好了。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，强烈推荐', '短评打分': 5}
{'短评内容': '非常好。', '短评打分': 3}
{'短评内容': 'VERY GOOD! Perfect  breakfast. My girlfriend loves it .', '短评打分': 5}
{'短评内容': '很差的酒店，房间里还有虫子', '短评打分': 1}
{'短评内容': '刚才写了一大堆，怎么都没了？不想再一遍了。总之，这回我们一家四口住C座家庭套房，很舒服很有家的感觉。九楼，卧室拉开窗帘就是一望无际的大海。早餐丰富，泳池干净，离海边浴场、市中心、景点都不远，来回三十元左右打车费。这回很有全家度假的感觉！海情价位适中，旺季的青岛消费不便宜，但住的舒心！', '短评打分': 5}
{'短评内容': '第一次入住海情，总体感觉不错。酒店离海很近，庭院很大，车位充足，房间内干净卫生，服务人员的态度都很热情。（不过要说明，预订的B座单人间，又小有陈旧，而且有股很大的异味，因此换到C座）', '短评打分': 5}
{'短评内容': '床不够大 卫生挺好，位置很棒，离海近', '短评打分': 5}
{'短评内容': '公寓楼性价比不错，只是房间略小。', '短评打分': 5}
{'短评内容': '酒店的服务不错，服务员都很热情，办事速度也快，不错 不错\r\n唯一就是感觉房间有点小', '短评打分': 5}
{'短评内容': '服务不错。', '短评打分': 5}
{'短评内容': '酒店不错 推荐入住', '短评打分': 3}
{'短评内容': '非常方便的地理位置,离新城市中心非常近,门口公交可直达众多景点;\r\n酒店的条件还好,卫生打扫的也较干净,中央空调温度可调,非常舒服的\r\n一家酒店;早餐品种丰富而且水果和蔬菜的种类很多,每天都吃的好饱;', '短评打分': 5}
{'短评内容': '酒店位于海边 风景一流 \r\n服务员的服务态度较好\r\n就是交通有点问题 特别是高峰期 周边堵', '短评打分': 5}
{'短评内容': '不错的酒店，服务一流。位置还好，就是早晨贵了点。', '短评打分': 5}
{'短评内容': '客户反映早餐不错,房间内设施比较齐全.周围环境比较好.', '短评打分': 5}
{'短评内容': '住在B楼，也许没有A楼档次高，但是还是感觉到是一家星级酒店，服务规范热情，环境整洁干净，房间小了点但是设施比较全，应该说是一家不错的酒店，以后去青岛还会考虑住这家酒店', '短评打分': 5}
{'短评内容': '性价比不高，专修很差，就是早饭还勉强可以。', '短评打分': 1}
{'短评内容': '性价比很高的酒店，离海边很近，吃饭也很方便', '短评打分': 3}
{'短评内容': '这里的服務很值得推荐,很溫馨.但若去旅游,这里离好的沙滩还是有点远.', '短评打分': 5}
{'短评内容': '除了位置好，没有任何特点。服务差，设施差，晚上到了凌晨居然没有空调，一句话奇差无比。永远不会在入住了。', '短评打分': 1}
{'短评内容': '早餐非常好。', '短评打分': 3}
{'短评内容': '这是我在青岛住过的性价比最好的酒店，以后还会住。', '短评打分': 5}
{'短评内容': '住的C座公寓单人间350，虽然是小高层，但是感觉比如家等快捷酒店好很多，空间大，设施讲究，前面有人反映浴室排水不好的问题是因为没仔细看说明，墙上写的很清楚，要把地漏弹起来才会漏水。。。早餐也不错，不过是单早，各种西餐都有。二个人住也不是很挤，液晶电视也不错，还有个小沙发，小茶几，茶叶是免费的，矿泉水只有一瓶，兑着烧开的水喝正好。开始只给了一双拖鞋，打电话又要了一双，服务态度不错。', '短评打分': 5}
{'短评内容': '传说中的c座，带着家人一起入住感觉确实很温馨，早餐也很丰富，距离海边很近，下次去还住这里。', '短评打分': 5}
{'短评内容': 'B座房间有点小 \r\n', '短评打分': 5}
{'短评内容': '位置很不错，房间有点小', '短评打分': 5}
{'短评内容': '酒店还可以！', '短评打分': 5}
{'短评内容': 'C楼的早餐很丰盛，服务员会主动和你打招呼。晚上睡觉很安静。到海边很方便，过了马路就是了。房间没有电脑桌，用电脑不方便，（可能是因为单人间面积小的原因），还有就是周边的饭馆少。', '短评打分': 5}
{'短评内容': '住过几次这家酒店，感觉还是不错的，房间里卫生打扫的挺干净，设施方面也比较齐全，位置很好，周边交通很便利的，价格方面我觉得也比较合适。', '短评打分': 5}
{'短评内容': 'B座环境不是很好，房间面积太小，服务很好', '短评打分': 3}
{'短评内容': '公寓楼的价格还是比较合理，服务态度特别的好，环境也不错，下次还会来的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置很好面朝大海，很干净，服务态度很好，就是房间小一点，床铺小，但是早餐很好。', '短评打分': 5}
{'短评内容': '位置还行', '短评打分': 5}
{'短评内容': '帮客人订的，还不错。不过入住时不知道在哪一座（不同的楼座CHECK-IN服务是分开的）。几个楼座之间有距离，拖着行李箱不是很方便。。预订时可以说明一下。', '短评打分': 5}
{'短评内容': '这次入住A座价格已经上调了不少，上次住海景特大床好像才500多，这次就要860了，没敢住，就住了个园景的，不过就是一般150的大床了，价格720。入住后发现和隔壁房间竟然有一个门，虽然是锁死的，不过隔音还是很不好，给前台提出意见就升级到了一个海景特大床，还是很感谢她们负责任的态度的。下次回来来的。', '短评打分': 5}
{'短评内容': '不合格', '短评打分': 3}
{'短评内容': '很好。建议入住。我住的是A楼，公寓C楼的房间我去看了，也不错。C楼的服务生特别好，不知道从哪招聘的？', '短评打分': 5}
{'短评内容': '強差人意，性價比低', '短评打分': 1}
{'短评内容': '入住所谓5星的A座海景大床房，房间不太大，装修有些简约，但设备齐全，隔音也不错，还送瓶装水和水果。海景不错，因靠近车流不算少的东海路，若开窗会吵，不能充分享受阳台，有些可惜。早餐种类多。但2F咖啡厅性价比很低。\r\n服务态度普遍很好，发自内心且不做作，希望能持续下去。\r\n饭店虽不在闹区，但去哪儿打车都很方便。散步到奥帆中心约15分钟，到五四广场约20分钟。建议从饭店前面的海韵园沿着海滨散步至奥帆，风', '短评打分': 5}
{'短评内容': '外部环境不错，看海方便，但是布局非常局促。', '短评打分': 5}
{'短评内容': '酒店环境、设施都非常好,我给客户订的房间，客户很满意！', '短评打分': 5}
{'短评内容': '早餐质量很不错，服务人员待人客气，服务很周到。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间小，早餐不错！', '短评打分': 3}
{'短评内容': '位置，早餐都不错\r\n\r\n但是： \r\n卫生间的水盆的水漏应该在客人第一次进店告知如何使用\r\n洗澡间的地漏小堵，感觉卫生人员应该定期清理一下。\r\n有的网线接线口设计不合理，并连接有时出现故障。', '短评打分': 5}
{'短评内容': '服務一流,位置很好,早餐超贊,就是價格偏高...', '短评打分': 5}
{'短评内容': '环境不错,风景很美,但价格有点高.', '短评打分': 5}
{'短评内容': '单间很小，就是蜗居！\r\n早餐还不错！', '短评打分': 5}
{'短评内容': '都不错，尤其服务，不过因为C座不属星，大堂寒酸点，而且在3楼，给客人的第一印象略大折扣。不过其他都很好了。', '短评打分': 5}
{'短评内容': '完全四星级标准，五星级价格，Ｂ座确实能看到海景，但房间设备陈旧，价格太贵．', '短评打分': 3}
{'短评内容': '看到介绍和照片才选择的这家酒店,但是与图片相差太远,性价比不高.价格太贵,设施和设备都比较陈旧了,但早餐还可以,是每间房送了双份早餐的!', '短评打分': 1}
{'短评内容': '这个酒店的环境很好', '短评打分': 3}
{'短评内容': '我很喜欢这个酒店', '短评打分': 5}
{'短评内容': '我是住在C座行政海景房，房间很宽敞，看大海心情非常舒畅，服务也很好。也许是冬季的原因，使现在性价比非常好。就是床有点硬，', '短评打分': 5}
{'短评内容': '还不错,虽然房间比较小,但还是比较干净的,装饰很特别.下次还住这家酒店.', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 3}
{'短评内容': '酒店房间不大，但很温馨，布置合理。', '短评打分': 5}
{'短评内容': '总体说来还是不错的，青岛的房价都是很贵的，海情价格还是合适的。', '短评打分': 5}
{'短评内容': '提到酒店环境不知道这家酒店是卖房间还是卖大海。看不到大海的房间要比能看到海的房间便宜许多。就算是能看到大海,但是酒店楼层比较矮，看海的效果不是很好，再加上来个“自然灾害”下雾、下雨等）什么都看不见。&lt;br /&gt;\n  设施还算说的过去.我的客户住的单人间特别小,真能憋死人。NHK电视台信号特差。&lt;br /&gt;\n  价格较高！&lt;br /&gt;\n  服务还行，总台有个会说一', '短评打分': 5}
{'短评内容': '四星级的标准，超五星级的价位！怎么会让人接受呢？这样的你回头客怎么会再去你们酒店呢？&lt;br /&gt;\n  真可笑！现在竞争这么激烈还有人竟然做“一锤子”买卖。', '短评打分': 5}
{'短评内容': '总体来讲,和四星品质是一致的,最好时不时的给ELONG的用户提供一些特惠房.要不是和老总一起出去,我们是住不起的.呵呵.', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
