{'短评内容': '挺好的，干净，卫生', '短评打分': 5}
{'短评内容': '酒店的环境非常好,很温馨舒适,位置也是在南昌市中心交通便利,服务也很周到,性价比很高.', '短评打分': 3}
{'短评内容': '环境较好，隔音较差。', '短评打分': 5}
{'短评内容': '非常糟糕的酒店，里面非常的脏！！没法住！只去了一次，是看了网上的不错的评价去的，但是发现网上发表都是他们的托！！完全是受骗上当的感觉！', '短评打分': 3}
{'短评内容': '房间隔音效果一直没解决好（和原有装修有关系），包括隔壁房间和走道的声音。电脑配置不高游戏蛮多的。2楼餐厅不错，菜品可口。', '短评打分': 5}
{'短评内容': '酒店位置还是很不错的，出了火车站5-10分钟就可以到酒店，挺好找的，就是房间面积有点小，房间设施一般，总体而言还是不错，如果下次去南昌还选择入住这家酒店', '短评打分': 3}
{'短评内容': '我住的是豪华单间，就是窗户靠路边有点吵', '短评打分': 5}
{'短评内容': '房间太旧,地毯很脏,墙纸都发霉了,工作人员的态度还不错', '短评打分': 1}
{'短评内容': '服务差、房间破旧、早餐差', '短评打分': 1}
{'短评内容': '第二次入住了 不错 稍微有点噪音 还有就是对面小店里面没有鲫鱼 哎 没吃到红烧小鲫鱼', '短评打分': 5}
{'短评内容': '首先离火车站很近比较方便，前台服务态度很好，房间比我想象的要小，我睡的是吊床，第一次睡，很有感觉，下次还去住这里', '短评打分': 5}
{'短评内容': '在这个价位来说，他们的硬件条件我觉得还是不错的，而且位置交通也挺方便的，如果酒店对经常入住的客人能推出一些会员服务就更好了。', '短评打分': 3}
{'短评内容': '酒店在火车站旁边，环境还可以，就是设施比较一般，总的来说性价比还不错 ', '短评打分': 3}
{'短评内容': '在入住这个酒电前   在九江火车站边的福泰118 住了个单人房   180一天的价格  有电脑 有34寸电视  有长宽各两米的大床  环境服务很是优秀.  在南昌米兰假日酒店台面开房时  服务员的态度很是恶劣不耐烦  开了个单间  比九江福泰118 要小很多  又没有电脑   床还没家里的大... 价格还就比九江的便宜2块钱.性价比极低!!!!!\r\n希望大家千万别去这个酒店受骗上当!!!', '短评打分': 1}
{'短评内容': '酒店性价比还可以，房间比较干净，总的来说还不错 ', '短评打分': 5}
{'短评内容': '这里的房型，商务大床间，豪华标间，豪华单人间，我都住过，酒店的位置好找，离火车站只有不到5分钟路程，晚上睡觉也不吵，设施也很新，干净，前台服务态度好，综合来说，我真的很喜欢住这里，下次去南昌，还选这家', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是可以的，设施方面有点陈旧了，跟星级有点不匹配了；价格方面还算是比较合适的。', '短评打分': 5}
{'短评内容': '交通方便，离火车站很近，差旅人士住合适，就是酒店年数久了，房间的设施条件有点陈旧，早餐品种有点少希望改进', '短评打分': 5}
{'短评内容': '除了早餐不太好，其它方面都还可以了，价格还是比较合适的。', '短评打分': 5}
{'短评内容': '酒店的价格算是比较适中，内部的环境和设施都还是不错的，挺干净的，就是第一次去的话，不太好找。', '短评打分': 5}
{'短评内容': '环境挺好，设施条件挺齐全的，交通也很便利，价格对我来讲稍微高点，不过还是能接受，值得推荐', '短评打分': 5}
{'短评内容': '环境觉得很好，价格也比较的实惠，就是房间隔音效果不好，有点吵', '短评打分': 5}
{'短评内容': '离火车站很近.就是设施有点旧.', '短评打分': 5}
{'短评内容': '酒店大厅很好,房间小了一些,住起来不舒服,其它感觉一般,住着这次下次就不会在去的这种酒店.', '短评打分': 1}
{'短评内容': '到店是早上6：00，客人还没退房，又没有空余的房间，自己赶过去是比较累的，都没有办法休息，不太好！附近有一些购物广场，出行交通也还比较便利！', '短评打分': 5}
{'短评内容': '本人第二次入住该酒店，应该说没有第一次感觉好，主要在隔音效果不是很好，总体来说还是不错的，服务很好。', '短评打分': 5}
{'短评内容': '首先在南昌来说，他们的价格还是有点贵，我们订的是有电脑的房间，感觉环境设施还都不错，服务也可以，就是电脑差点，位置也还不错。', '短评打分': 5}
{'短评内容': '酒店环境挺好,住着很舒服,地理位置一般,交通不是很方便,价格还可以', '短评打分': 5}
{'短评内容': '房间稍微小了点,价格觉得也有点高,位置好,靠近火车站挺适合出差人仕入住的,但隔音差马路吵杂声房间都听得到.', '短评打分': 5}
{'短评内容': '酒店的卫生非常好靠近火车站交通挺方便的,服务卫生方面也挺不错的,价格也不贵', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是挺不错的,价格也比较合适,就是服务人员的服务态度很一般了.', '短评打分': 5}
{'短评内容': '按照它的价格来说还可以,酒店离火车站很近,交通很便利,房间住着也蛮舒适的', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺好的，也很干净，价格也很便宜，地理位置也不错，出行很方便', '短评打分': 5}
{'短评内容': '酒店的隔音效果不是很好,距离火车站,价格优惠.', '短评打分': 5}
{'短评内容': '酒店环境挺好的 ，挺舒适的，价格也是比较优惠', '短评打分': 5}
{'短评内容': '酒店就在火车站附近.环境硬件设施还不错,位置出行方便,价格优惠.', '短评打分': 5}
{'短评内容': '我是在凌晨两点入住，早上八点离开的，总体感觉还不错，其实当初准备下午六点结账，但是酒店没有半天的价位，这方面不可理解！希望酒店在这方面有所改进！酒店的早餐品种不多，价位偏高！', '短评打分': 5}
{'短评内容': '非常不错的酒店，房间稍微小了点，其他都很好', '短评打分': 5}
{'短评内容': '服务卫生方面还算可以,价格也能接受.位置不错交通挺方便的.', '短评打分': 5}
{'短评内容': '服务卫生方面还算可以,价格也能接受.位置不错交通挺方便的.', '短评打分': 5}
{'短评内容': '这家酒店最好的地方就是位置好,靠近火车站挺适合出差人仕入住的,价格方面也算比较实惠了,外表装修的挺不错的,里边的设施就老旧些了.', '短评打分': 5}
{'短评内容': '这家酒店最好的地方就是位置好,靠近火车站挺适合出差人仕入住的,价格方面也算比较实惠了,外表装修的挺不错的,里边的设施就老旧些了.', '短评打分': 5}
{'短评内容': '我是经常旅游住酒店，对酒店的要求高些，当时我住这家酒店的房间的窗户不是落地窗，不怎么喜欢，价格还可以', '短评打分': 1}
{'短评内容': '酒店的价格还是可以的，卫生服务方面也挺不错的，就是房间面积小设施老旧些了。', '短评打分': 5}
{'短评内容': '酒店的服务员挺好,因为我早到了,她们挺热情的给我安排房间服务挺周到的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '设施很陈旧，价格觉得也有点高，酒店的服务还算可以', '短评打分': 1}
{'短评内容': '4星级酒店没有中央空调，觉得不太好，其他还是比较不错', '短评打分': 5}
{'短评内容': '位置很不错，步行至火车站不超过10分钟。\r\n酒店感觉比较新，只是当时住的房间觉得小了点儿。\r\n不过感觉这个价格还可以！\r\n总的感觉还行，下次去南昌还会继续入住此酒店！', '短评打分': 5}
{'短评内容': '酒店交通位置不错，但只能算一个宾馆，房间比较小，酒店面积也小，但服务还不错，是一个适合短住的酒店。', '短评打分': 3}
