{'短评内容': '空调冷的就没用', '短评打分': 4}
{'短评内容': '方便,干净\n服务周到，\n就是，不能安排午餐；既然签约包贴，应该允许客人挂账', '短评打分': 5}
{'短评内容': '感觉上海的确是个寸土寸金的地方，酒店地方太狭窄了，一个人转身都有点困难，卫生条件也不太好呢～～', '短评打分': 1}
{'短评内容': '地点特好就在火车站旁，房间装修很新，简洁大方。房间还算干净但强烈建议更换新毛巾。', '短评打分': 3}
{'短评内容': '   地理位置很优越，就在火车站旁边，房间里面设施也可以，就是房间有点小，别的都还好', '短评打分': 5}
{'短评内容': '＋环境不错，住得很舒心，很划算', '短评打分': 3}
{'短评内容': '很不错的酒店，价廉物美才100元，太值了，离火车站很近，环境也不错，下次还要住，', '短评打分': 5}
{'短评内容': '仅靠火车站，交通很方便，值得推荐。下次还会住。', '短评打分': 5}
{'短评内容': '初次去位置有点难找，厕所光线充足。周日一百元的价格非常划算。', '短评打分': 5}
{'短评内容': '价格低廉            但是我在枕头附近发现一颗饭粒~！！！！！大家都懂的阿~', '短评打分': 5}
{'短评内容': '地理位置优越，交通便捷。就是回酒店路上太多招揽住宿的小贩了。', '短评打分': 5}
{'短评内容': ' 环境干净整洁，服务也不错，满意', '短评打分': 3}
{'短评内容': '酒店非常干净，给同事订的，她说很干净离车站也近，值得推荐。', '短评打分': 5}
{'短评内容': '还不错，较舒适，服务也不错，交通方便，好找。', '短评打分': 5}
{'短评内容': '环境和卫生还不错，床很舒适，交通方便，就是吹风机太少。', '短评打分': 5}
{'短评内容': '不错的店，服务很好呀！', '短评打分': 3}
{'短评内容': '环境优美，房间空间大，干净整洁。洗漱用品好。是出游人不错的住宿选择。', '短评打分': 5}
{'短评内容': '很舒适！出门就有地铁，出行很方便。房间也很干净。', '短评打分': 5}
{'短评内容': ' 房间很宽敞，床很柔软，舒适。虽然在火车站旁，但不吵，很安静。', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 3}
{'短评内容': '区域方便，干净卫生，值得入住，下回再去。', '短评打分': 5}
{'短评内容': '\n酒店位置方便，服务态度不错。值得推荐！', '短评打分': 3}
{'短评内容': '地方比较好找 离火车站很近 但不会吵 住宿的条件也不错  ', '短评打分': 5}
{'短评内容': '房间干净，上电梯还要刷卡，感觉很安全。靠车站特别近，很方便', '短评打分': 5}
{'短评内容': '车站很近，房间很新，感觉不错，隔音也可以。', '短评打分': 5}
{'短评内容': '房间虽然不大，但非常干净，木地板，感觉很温馨。卫生间也很干净，离火车站很近，但晚上一点儿也不觉得吵。楼下大厅有免费的咖啡、五谷茶等，服务员虽然普通话有时候听不太懂，但都挺客气有礼貌，总体服务满意。就是住的第一天，宽带网很不稳定，1分钟断一次，后来电话也打不通了，维修得很慢，第二天才好。', '短评打分': 5}
{'短评内容': '的确离上海火车站很近,总台小姐服务态度很好,房间很干净.', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '汉庭火车站店一如继往的好，前台服务热情，床也舒适，唯一一点靠近火车站那边有火车经过时有些吵。以后建议要求前台不住那一边。', '短评打分': 3}
{'短评内容': '房间比较小,地理位置还不错,总体来说还行!', '短评打分': 3}
{'短评内容': '房间比想中的小了点，其他都蛮好的。服务人员都很热情。。', '短评打分': 5}
{'短评内容': '服务良好，物有所值，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '可能是离火车站最近的一家酒店了，真的很近，出站往左边走几步就能看到', '短评打分': 5}
{'短评内容': '地理位置非常好，交通十分方便，价格适中。房间有点小，但还算干净。只是隔音效果有点差。', '短评打分': 5}
{'短评内容': '本店设施环境舒适，但近期无餐厅，有点不方便', '短评打分': 5}
{'短评内容': '地处火车站十分方便，而且晚上比较安静。由于乘坐国际航班晚点，过了预留房间的时间，还是住到了店，服务态度还是不错的。', '短评打分': 5}
{'短评内容': '距离车站非常近，交通异常便利。服务员态度友好，房间整洁卫生。下次有机会去上海仍会选择这家酒店。', '短评打分': 5}
{'短评内容': '地理位置好，很干净，虽离铁路很近，但基本不受影响。对一大早要去浦东上飞机的游客实在是很方便，机场大巴就在旁边，一小时就到浦东机场。', '短评打分': 5}
{'短评内容': '房间很小，价格也贵，但很整洁，适合商旅人士，', '短评打分': 1}
{'短评内容': '离火车站很近。设施算新的拉，就是隔音不好。经济性酒店嘛，我觉得这样也就ok拉。', '短评打分': 5}
{'短评内容': '房間新又干淨,離車站很近,可惜隔音不好,隔壁房的關門與電視聲都聽的清楚!', '短评打分': 3}
{'短评内容': '这家酒店非常的方便，离地铁口非常近，我为了赶早班的飞机要离机场5路近一些，现在汉庭在搞活动，送票的人因为这家店就在不夜城旅行社旁边半夜1点钟也送票了。对于赶路的人来说真是不错的。', '短评打分': 5}
{'短评内容': '卫生条件还可以，房间也挺大，设备相对来讲简单了一点，是新装修的。价格如果可以低点性价比会更高', '短评打分': 5}
{'短评内容': '离火车站超近。特价房一个人住挺不错的，比较实惠 也很干净', '短评打分': 5}
{'短评内容': '非常方便干净性价比高', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '靠火车站近，设施比较新,但是前台结账比较慢，电视也不行', '短评打分': 5}
{'短评内容': '缺点就是贵了一点，最大的优点就是位置好，坐一号地铁，上海火车站，长途汽车总站非常之近，还算比较新的，是汉庭今年才开的一家分店。总体来讲还不错的，如果价位在200多元，估计会爆棚，呵呵', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，就是有些噪乱.但是出行很方便.服务人员也蛮热情的.我很看好这家酒店,去火车站方便.', '短评打分': 5}
{'短评内容': '酒店邻近火车站和地铁入口,交通十分便利。\r\n工作人员服务态度很好，非常客气。\r\n房间卫生情况较好，非常干净。只是大床房间的面积略显狭小,但卫生间挺大的。\r\n', '短评打分': 5}
{'短评内容': '还可以，就是价钱有点高贵，可能是世博期间，性价比不高。', '短评打分': 3}
{'短评内容': '酒店还不错，就是在世博会期间信价比有点高的。', '短评打分': 5}
{'短评内容': '距离火车站地铁站都很近.便于赶火车.同时也方便到达上海各个旅游景点.而且周围小店也不少.用餐很方便.住着还算舒适.上网很方便的.', '短评打分': 5}
{'短评内容': '在这家酒店住主要是图个方便,而且每天可以喝免费奶茶，咖啡等..室内的硬件都不错，虽然小但是还比较温馨，前台服务人员态度很好.', '短评打分': 5}
{'短评内容': '酒店的性价比蛮高的,而且各方面服务都不错.尤其是卫浴的格局很合理.床很软.很舒服，打开窗帘，夜晚能看到窗外的美丽风景.我很喜欢这种格调.', '短评打分': 5}
{'短评内容': '酒店性价比挺高的,服务人员很热情，在办理入住和退房手续时的速度挺快的，房间隔音效果挺好的，布局也不错，卫生做得不错,像床上的用品看上去比较的整洁；离火车站挺近的，但不会感觉周围的环境嘈杂，交通挺方便的.我感觉还不错.', '短评打分': 5}
{'短评内容': '其他都好，就是离火车站太近的缘故，晚上睡觉的时候有时候火车回过来，有点吵', '短评打分': 5}
{'短评内容': '酒店地理位置还可以，出行挺方便的，乘地铁去世博中国馆半小时左右就可以到，服务很好，周到热情。', '短评打分': 5}
{'短评内容': '对酒店很满意，是在上海住过最方便的地方,吃的方便，行也方便。坐火车出行者的最佳选择', '短评打分': 5}
{'短评内容': '酒店环境还可以卫生条件都还不错，位置还行离火车站都很近，价格就还是比较一般。其他的都还行。', '短评打分': 5}
{'短评内容': '与黑翼天使同感，前台服务实在是不咋滴，连个“您好”都没他们说过！问他事情，爱理不理，鄙视！', '短评打分': 3}
{'短评内容': '交通比较便利，乘车出行比较方便，去世博中国馆乘地铁半小时就到。没停车场，让前台男生带个路找个地儿停车，爱理不理，订了3间房，那男生看也不看清楚单子，查也没差，就说只有1间房，还是细心得女生查找后给找到订单，水泵坏，吵了1晚上没睡好，前台女生解释较满意。女生赞1个，男生鄙视他！', '短评打分': 5}
{'短评内容': '服务员的态度很不好，而且我是提前到酒店的，居然说还没有房间就让我等，但是网上预订时候的到店时间到了的时候还要我等，服务员工作一点都不积极，也不热情！', '短评打分': 1}
