{'短评内容': '卫生 安静价格不贵 这个酒店的地理位置非常优越 服务员也很不错 床品 卫生间这些都还不错 物有所值 推荐', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店性价比高，预定一定要提前呀.当天订房价格不实惠,也没有免费的早餐.此外离火车站比较远.从唐山北站打车到酒店要40分钟70-80元的费用. ', '短评打分': 5}
{'短评内容': '酒店位置、环境、都不错，值得推荐。', '短评打分': 5}
{'短评内容': '价位和里面的设施都比较匹配,卫生间的洗浴的水龙头不是太好,下来的水的都不是很舒服,浴帘都挡不住流下来的水,这点我不是很满意,其他方面都还好,地理位置也不错,在中心位置,出行都挺方便,总体还是满意的', '短评打分': 3}
{'短评内容': '酒店各方面服务都挺不错的,位置很好很方便出行,不过当时就是有点堵车.卫生及设施也可以.基本上算是不错的一家酒店.', '短评打分': 3}
{'短评内容': '环境很好，都挺干净的~！正好赶上中秋节，酒店好送了小月饼和水果，感觉不错~！', '短评打分': 5}
{'短评内容': '很棒，如果早餐品种再丰富一点，就更完美了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '综合性价比较高，适合商务人士。', '短评打分': 5}
{'短评内容': '酒店所处位置十分方便,房间环境也不错,早餐也很好,还是旋转餐厅.', '短评打分': 3}
{'短评内容': '酒店位置不错，地处唐山市中心，旁边有电影院和KTV，还可以逛逛商场，南边有大南湖。出行方便', '短评打分': 5}
{'短评内容': '酒店硬件设施及装修很好.', '短评打分': 3}
{'短评内容': '酒店总体感觉不错,就是空调的操作方法有点特别,刚开始很不适应.', '短评打分': 5}
{'短评内容': '不怎么好', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置有点偏了，交通不方便的，酒店的价格还可以的。', '短评打分': 5}
{'短评内容': '可以用', '短评打分': 5}
{'短评内容': '环境较好', '短评打分': 5}
{'短评内容': '酒店位置很好,设施比较齐全,房间小了一些但是住着很舒适,卫生很好很干净总体感觉这家酒店很好.', '短评打分': 5}
{'短评内容': '满意、\r\n', '短评打分': 5}
{'短评内容': '地理位置和服务都不错，住宿环境比较舒适', '短评打分': 5}
{'短评内容': '酒店硬件不错，但餐厅的早餐时间太短，9点就结束了', '短评打分': 5}
{'短评内容': '价格我住的时候比较低了！环境好！', '短评打分': 5}
{'短评内容': '以前就住过这家酒店，在唐山感觉还可以，挺方便的，环境也不错，值得推荐 ', '短评打分': 5}
{'短评内容': '对散住客人态度一般,硬件没有什么太大问题,早餐也还算丰富,就是周围在动工有点杂乱,推荐入住', '短评打分': 5}
{'短评内容': '酒店的位于唐山市中心环境硬件设施都很好，位置出行也很方便，很干净配套硬件也很不错，价格我当时入住的价格也很合理，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '此酒店除了地理位置好之外，其他的都不好，说是商务套间，进去其实就是一间屋子，说是四星级，其实和普通的酒店没有太大区别，下次绝对不去住了。', '短评打分': 1}
{'短评内容': '性价比还是不错的酒店，基本上在市中心。早餐在顶楼旋转餐厅，可惜不转，估计是为了省电吧。电梯是观光的，不错。就是服务还需努力跟上，结账时让我等了20分钟。以后还会选择入住。', '短评打分': 5}
{'短评内容': '酒店还可以,也过几次,各方面条件感觉都挺好的,交通也蛮便利的,价格也比较优惠', '短评打分': 5}
{'短评内容': '酒店在市中心商业区比较的方便，设施比较完善，各方面我都非常满意', '短评打分': 5}
{'短评内容': '酒店服务很一般，前台人太少，就一个结账的小姐，要等很久才办完，其他的都还可以', '短评打分': 5}
{'短评内容': '房间的供暖不太好,太冷了,其他方面都还可以,很干净,价格也蛮合理的', '短评打分': 5}
{'短评内容': '酒店设施比较旧，服务员的态度相当冷淡，地理位置比较方便，早餐还可以。\r\n336元的价格，性价比略低，本人不推荐~~~', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;在唐山也是最好的酒店了吧，位置很好，设施一般，尤其是卫生间太土了，总台服务不标准。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '住了一次，还可以。就是价格偏高了些。跟贵阳的神奇酒店差远了，可价格却一样，不值啊！', '短评打分': 3}
{'短评内容': '总的感觉，房间卫生很差。卫生间内的脸盆都裂了，也不换换。房间带阳台但脏的要命，也是锁着的无法出去。没犹豫，第二天就退房，逃到贵宾楼去了。贵宾楼房间很小，但至少干净。', '短评打分': 3}
{'短评内容': '我住的商务大床间,感觉不错,还有水果送,电话是来电显示,适于商务人士.楼下有咖啡,牛排,环境也很幽雅.', '短评打分': 5}
{'短评内容': '我感觉还算可以，大堂有点小，前台太小，不过地段很好，主干道上，离几个大商场都比较近，几分钟可走到，女士们会偏爱。房间里虽然不大，但还是干净的。可以选择。', '短评打分': 5}
{'短评内容': '住过1次,还可以', '短评打分': 3}
