{'descr': '睡觉睡觉睡觉睡觉就三剑客之一。我的k', 'star': 5}
{'descr': '性价比很高的一家店 各个方面都很满意 环境卫生很好 晚上也很安静 ！', 'star': 5}
{'descr': '住的是99.8特价房，除了房间小点，环境卫生服务态度都很好，品质不错，下次还会来。就是床头灯不能亮请前台换，前台说的第二天才能办，不知道什么原因。退房时寄存包包，可以免费三天哦，不错。', 'star': 5}
{'descr': '帮朋友订的，据说是无可挑剔~应该是还可以吧', 'star': 5}
{'descr': '离地铁五号线不算近，正常速度大约走8-10分钟吧，到北京站不算远但是要倒地铁的。还算方便，离天坛公园要一站地多，可以走路去。酒店门口有露天公共厕所很不舒服。房间挺大的很干净，但是我住的时候外面好像有施工的吧，很早就叮叮当当的，休息的不大好。服务倒是很到位，前台的工作人员对景点路线都很熟悉，态度也好很热心。', 'star': 5}
{'descr': '位置挺好，周边还有小吃的  就是有点潮 ', 'star': 3}
{'descr': '交通很方便，出门走两分钟就有公交车站和地铁，工作人员的服务态度也很好，性价比也很好，就是房间隔音效果有待加强，如果下次去北京的话，还会入住这里的。', 'star': 5}
{'descr': '别的酒店改装的，服务态度一般，去住的时候告诉我们房间还没有退房，给我们了一个标间，正好碰上装修，那叫一个吵，不过看在便宜，也没有计较，不过确实不怎么样，我只能说99.8我以后也不会住这个店。', 'star': 3}
{'descr': '加盟店不好', 'star': 5}
{'descr': 'haoll有点潮， 呵呵 可以住\r\n个人感觉位置不错', 'star': 5}
{'descr': '还不错，服务生和宾馆负责人的态度不错，就是宾馆旁边有个厕所，不怎么好', 'star': 5}
{'descr': '性价比可以，适合旅游、学生。房间较小。比较简洁，还算干净。', 'star': 3}
{'descr': '性价比可以，适合旅游、学生。房间较小。比较简洁，还算干净。', 'star': 3}
{'descr': '酒店位置有点偏，开车找了半天才找到，不过整体不错，一楼的服务员很好，有求必应，谢谢了。以后有机会还会光临。', 'star': 5}
{'descr': '房间实际面积比网上介绍要小，下次会选择大些的房间，其他的还可以', 'star': 3}
{'descr': '比期望值高很多，离地铁只有300米，方便。周边饭店、超市具全。', 'star': 5}
{'descr': '房价太小了，我们一行4人定了2间大床房（其他房型显示客满，无法网上预订），到了之后发现没有窗户，房间有异味，提出能否调换标间，被告知刚调价，换标间需要每晚加40元，之前网上预订房价都是相同的，于是郁闷的凑合了几晚，其他倒还是可以', 'star': 5}
{'descr': '还行.就是有蚊子.', 'star': 5}
{'descr': '门口的厕所味道真的...一大败笔,其他还是不错的,重要是价格便宜交通还算方便,离天坛很近.', 'star': 5}
{'descr': '性价比不错', 'star': 5}
{'descr': '位置有点偏僻呀 不过去天坛倒是很方便', 'star': 5}
{'descr': '总体来说酒店还是不错的，豪华大床房的床挺舒服的，良好的服务，送矿泉水，离地铁站不远，但是第一次找不容易，要多走一会才找的到。住了4夜，可惜无早餐供应，也没有微波炉，买回来的夜宵不能加热，吃的凉的食物，导致肚子不舒服。还有门口的公厕，味道是比较大，出门的时候会有不舒服的感觉。以后选择这家酒店的可能性不大，没有格林豪泰其他店舒服，除非特价～～', 'star': 5}
{'descr': '第二次住&#183;&#183;还好', 'star': 3}
{'descr': '总之还不错', 'star': 5}
{'descr': '刚入住,到前台就问是否是地下室,因为在北京99块简直是不可能的事,确定不是,放心了,进房间还不错,只是窗户是靠过道的,应该叫暗窗,无所谓,个人认为非常值,只给定一天,我还想等明天的,后天的刚才看网上,没房了,好东西就是抢的快啊!!1', 'star': 5}
{'descr': '离地铁非常近，好找，出行方便，满意', 'star': 5}
{'descr': '可能是因为天热的原因，门口的厕所味道真的很难闻，房间的床很硬，隔音不好，服务还不错，性价比还不错，交通方便，去天坛也很近，附近的餐馆很便宜。', 'star': 5}
{'descr': '性价比不错，但是特价房很潮湿，不建议阴雨天气住', 'star': 5}
{'descr': '门口公厕味道重，一大败笔；', 'star': 5}
{'descr': '不错 ~很方便,虽然小点但是很温馨~', 'star': 5}
{'descr': '我住的房间靠走廊有个窗户，一个晚上，感觉性价比还是不错的。\r\n就是位置不太好找，尤其是对我这种比较容易迷路的人', 'star': 5}
{'descr': '住的是不是1008房间,面积小点,其它都还好.', 'star': 3}
{'descr': '临时住一晚上，还凑合吧', 'star': 1}
{'descr': '电视全是雪花而且没有几个台,房间隔音不是很好,楼道声音听得很清楚,正好赶上旁边在施工,一大早就敲敲砸砸的．', 'star': 1}
{'descr': '性价比超高，位置不错，设施齐全，服务也很好。可以入住', 'star': 5}
{'descr': '马桶竟然脱离地面了 这设备让我真吃惊。。 其他还好 房间干净整洁 但是比另外的一个格林豪泰同样价位房房间面积差很多。。 这里房间太小了', 'star': 5}
{'descr': '交通方便，邻近地铁和公交站。酒店设施和卫生条件都不错，性价比很高。', 'star': 5}
{'descr': '房间小的可怕。东西都米地方放置，，唉。要不是因为地理位置还可以，这个价钱，太不值了。', 'star': 1}
{'descr': '离地铁口较近，就是门口有点臭，一出门感觉不好', 'star': 5}
{'descr': '位置有点偏，但是条件还可，也挺干净。就是进门的时候那个厕所味太大了，也不知道前台那几个美眉是怎么忍受的？！', 'star': 5}
{'descr': '性价比很好，只是隔音不太好，但影响不大。', 'star': 5}
{'descr': '酒店房间比较小，不过价格也就这样，还凑合；交通比较方便，离地铁，公交站都比较近；前台很热情，但是住店一个礼拜期间出了件不愉快的事情，工作人员打扫房间都不定时，有一天一大早我们8点出门，到下午2点回来还没有打扫，问前台，解释是还没有打扫到我们那间房，跟他说了不用打扫了，结果在房间睡觉到四点，就敲门说打扫房间，严重影响我父母休息，而且接连两天都是这样，让父母很生气。', 'star': 1}
{'descr': '7/10入住的该酒店，在网上看到的照片真的很新，但实际上有点旧了．我订的是豪华大床房，但看不到豪华在哪里，而且门口那个厕所的味道实在是倒胃口．说了那么多缺点，优点也还是有的，就是价格便宜（我住的是１７９一晚），地点离地铁天坛东门站很近，步行只要６～７分钟，服务员的态度也挺不错，这点值得赞扬及加分的．', 'star': 1}
{'descr': '总的还行~就是房间不大！', 'star': 3}
{'descr': '离地铁近，交通便利，作为一家经济型酒店，性价比很好了。', 'star': 5}
{'descr': '性价比还行，服务员素质太低', 'star': 5}
{'descr': '屋子小，感觉还行吧~隔音不好。', 'star': 5}
{'descr': '房间不不大，但很干净，服务态度、整体感觉都不错，唯一不足的地方就是蚊子比较多，虽然用了蚊香器，但是蚊子还是好多。', 'star': 5}
{'descr': '住的是豪华大床房B，可是房间小得可怜，也就床是真够大。\r\n住着还蛮舒服的，就是房间面积过小，电视太小，一点都不“豪华”', 'star': 1}
{'descr': '住了这么多回酒店第一次使用这么薄的肥皂！比硬币还薄！！！我还以为是使用过的了......', 'star': 5}
{'descr': '性价比很好', 'star': 5}
{'descr': '整体还不错', 'star': 5}
{'descr': '质优价廉，在京城99.8能住大床房很不错了，很干净。位置不太好找，简单的说就是在红桥市场后面。', 'star': 5}
{'descr': '缺点：1、没有餐厅，不方便。\r\n2、房间的隔音效果非常不好，影响晚上的休息，我住的是2楼的09号房间。\r\n3、酒店外面的马路太脏，当然这不是酒店能解决的。', 'star': 1}
{'descr': '没有早餐，也不能刷预授权，只能刷消费，门口的确实有个公厕。对得起价钱，打车有的时段车没有。', 'star': 5}
{'descr': '在一个公厕边上，走过去都不知道这里有家酒店，夏天那个味道太明显了。卫生条件很不好，我感觉很不好 ，水也很小，相当烦躁。看在价位便宜也就算了，不过旁边就是红桥批发市场，可以逛逛。', 'star': 1}
{'descr': '酒店新装修的，很干净，就是房间面积小了点！', 'star': 5}
{'descr': '房间虽然不大，但是还是挺舒适的。前台服务很好，离天坛公园，地铁站，都不远，十分钟路程内，到最近的公交站五分钟不到。\r\n附近有几家餐厅不错，聚兴居的早餐非常好，又很便宜。良田府也不错。雨花村不推荐，菜比良田府贵，但是环境和口味都比不上他。\r\n\r\n房间的液晶电视有点小，能再大点就好了。\r\n另外，可能是人手不足的原因，房间的卫生基本上是下午才打扫的，我住了五个晚上，每四天上午才换的床单，前台说是三天换一', 'star': 5}
{'descr': '由于第一次到这个酒店，开始找不到路，有点不耐烦。但是最后到了酒店后，看了看酒店的房间与设施，就决定住下，一住就住了3天，感觉他们服务员的态度都很好，下次去北京的时候还会入住！', 'star': 5}
{'descr': '酒店设施比较完善，卫生条件很好，很安静，将通便利，性价比好，服务非常周到！缺陷就是门口边上有一个公共厕所，如果能搬走，那就更好了！', 'star': 5}
{'descr': '比较满意的啦，就是房间稍微小了一点\r\n  但是在北京来说，这个价位能有这样的设施已经不错了 \r\n 下次还会选择', 'star': 5}
{'descr': '位置有些隐蔽，但交通还算方便。服务态度非常好，但住的一晚半夜有大声喧哗的客人，房间隔音不好，酒店的服务人员无法有效解决此类投诉。性价比还算高的，以后会再考虑它。', 'star': 5}
{'descr': '很一般，白天没有热水，承诺给的矿泉水也不给，位置差，隔壁是公共厕所', 'star': 1}
{'descr': '设施太差。。。地理位置不错，性价比凑合', 'star': 3}
{'descr': '酒店位置交通便利。卫生干净。就是服务水平有待提高。', 'star': 3}
{'descr': '酒店房间内的环境还行，就是服务员素质太差，进来拿东西，连房间门都不敲 ，直接拿房间卡进门。。', 'star': 1}
{'descr': '总得来说，酒店位置还行，卫生不错，附赠的东西质量不错。就是有一件事我不满意。有一天晚上回来发现房间里有一张服务员留的纸条。要求我们注意卫生，我很生气。可惜的是我当时就把纸条撕了，要不非告到酒店前台去。服务员的素质有待提高。', 'star': 5}
{'descr': '位置不错，步行大概十分钟的路程到地铁5号线；房间也比较干净，虽说小了点。床单，被罩，毛巾什么的最起码是白的，呵呵。自助餐没吃过，不过出了门北边就是饭店，一般的话两个十元钱吃得很不错，而且出了门往左往右都有吃饭的地方。不过最后结账的时候闹了点不愉快，明明是服务员没有在房间里放电蚊香器，可是结账的时候查房的时候却说这个东西不见了，还好后来没有为难我们，希望酒店以后加强员工培训管理。总之，在这个地方，性', 'star': 5}
{'descr': '酒店位置比较好找..价格也很便宜，性价比很高，希望下次洗漱用品可以改善一下~其它都还ok..服务很好！', 'star': 5}
{'descr': '在崇文区，位置很好，交通工具挺多，外出挺方便。', 'star': 5}
{'descr': '酒店很干净，服务员打扫的挺勤的，还不错。', 'star': 5}
{'descr': '房间虽然有点小，但是特别干净，床单啦被罩啦很干净，我住的很安心。', 'star': 5}
{'descr': '位置还是不错的，离天坛东门很近，出行挺方便的。', 'star': 5}
{'descr': '房间很安静，一点都不喧闹，而且打扫的也很干净，比较满意。', 'star': 5}
{'descr': '还在改造，而且没有早餐提供。如果后期设施逐渐齐全后，还是不错的选择', 'star': 5}
{'descr': '位置不好找,卫生间设施等差,热水忽热忽冷.', 'star': 1}
