{'短评内容': '交通方便，环境很好，服务很好！', '短评打分': 5}
{'短评内容': '温馨、有家的感觉，以后来还会住，但希望可以预订特色房的类型·', '短评打分': 5}
{'短评内容': '位置稍偏一点，环境不错，性价比略低，第一次住，出行不是很方便', '短评打分': 5}
{'短评内容': '客房比较有特色，空间蛮大的，周边交通出行比较方便.整体来讲还是不错的.', '短评打分': 5}
{'短评内容': '整体条件还好，就是周边交通不是很方便.室内的设施还算齐备.住着感觉挺舒服的.', '短评打分': 5}
{'短评内容': '1淋雨花洒晚上很难调节到合适的水温，不是太热就是太冷；2房间的木地板已经吱吱呀呀的了。。需要检修；3早晨服务员在楼道里面声音太大，说话的，穿的硬底鞋的，还有车在墙上碰来碰去的声音，房间里面听得非常清楚，很影响休息。', '短评打分': 1}
{'短评内容': '成都鸣鹭酒店，极富民族特色，与众不同的感觉。', '短评打分': 5}
{'短评内容': '房间卫生设施不错，地理位置很好但不是好找标志不明显周围环境不是很理想，服务态度可以。住在里面都非常好装修非常有特色。性价比很高。', '短评打分': 3}
{'短评内容': '服务不错，窗户不好，很多关不严。冬天比较冷。', '短评打分': 5}
{'短评内容': '很有特色的酒店，服务员态度也很好，因为对房间不满意，还主动按照我的要求更换了房间，不足之处就是有地毯的房间地毯不太干净，其他都不错了！', '短评打分': 5}
{'短评内容': '客房比较有特色不过网速很慢.对于商务出差还是很不方便的，希望再改进，位置还好，交通便利.其它各方面都不错.', '短评打分': 5}
{'短评内容': '不同国家各种特色的风情酒店，有藏式、有泰式，有印度式的房间布置，有喜欢的朋友可以过去。', '短评打分': 5}
{'短评内容': '该酒店的房间很有特色，服务周道，整洁温馨，早餐也不错。', '短评打分': 5}
{'短评内容': '挺不错的酒店，服务很好，周到热情，房间质量很好，住着很舒服，酒店门口打车也很方便，早餐的服务能更好就完美了', '短评打分': 5}
{'短评内容': '酒店还可以，藏族风情的酒店，有喜欢的朋友可以去住', '短评打分': 5}
{'短评内容': '非常有特色，我住的藏式房间\n还有牛奶和水果\n很好\n下次还会再去', '短评打分': 5}
{'短评内容': '性价比蛮高的,价格适中,而且室内条件也还不错,整体条件很好.', '短评打分': 5}
{'短评内容': '成都鸣鹭酒店很有特色，服务很好！我们十分满意！', '短评打分': 3}
{'短评内容': '房间设计很有特点，早餐过简单，交通不是太方便。。。', '短评打分': 5}
{'短评内容': '酒店房间的风格非常多样化，当时住的是藏式房间，床蛮大的，舒适度很好，酒店周边环境不错。走10分钟左右有个家乐福，买东西方便，卫生条件很好', '短评打分': 5}
{'短评内容': '感觉日式的房间很好，房间大小适中，硬件设施齐全，布置的很好，装修的很有特色，干净整洁的环境，住着很舒服', '短评打分': 5}
{'短评内容': '酒店大堂装修的很好，感觉蛮清爽的，房间布置的太漂亮了，让我眼前一亮，舒适度很好，卫生干净整洁，性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '房间独特，高跟鞋吵人，13层早晨5点老有女士说话。服务员态度好，位置有点偏。', '短评打分': 3}
{'短评内容': '酒店位置还可以，虽然离市中心远了些，但是交通出行很方便，很有地域特色的一家酒店，很不同风格的房间，卫生和服务都特好，下次还会住的', '短评打分': 5}
{'短评内容': '房间装饰很有个性，服务态度很好，希望下次还能来住。', '短评打分': 5}
{'短评内容': '很有特色的一家酒店，每个房间都是不同风格的，房间硬件设施齐全，服务热情周到，卫生很好，住着很惬意', '短评打分': 5}
{'短评内容': '挺不错的酒店，性价比蛮高的，一些配套设施很齐全，房间装饰布置的很有特色，空间还可以，位置不错，周边出行很方便，距离景点也蛮近的', '短评打分': 5}
{'短评内容': '酒店装修的很有特色，当时入住的是风情房，独一无二，房间布置的很漂亮，卫生条件很好，干净整洁，服务热情周到，住宿环境非常好，很推荐', '短评打分': 5}
{'短评内容': '第二次入住，价格比上次高了一百来块，但住得还算舒服', '短评打分': 5}
{'短评内容': '酒店位置不错，去春熙路打车20分钟左右，感觉还可以，酒店周边环境不错，客房服务员态度很好，很热情，房间住着很舒服，各方面都觉得不错，下次还会住的', '短评打分': 5}
{'短评内容': '酒店很有情调，住着很温馨，服务质量很高，旁边还有一个健身中心，很不错。但是网速太慢，酒店要加紧改善啊', '短评打分': 5}
{'短评内容': '酒店周边环境很好，交通出行方便，房间布置的很漂亮，有一些小东西点缀的很精致，设计的很用心，客房服务员和清洁阿姨对我们都很热情，住宿环境很好', '短评打分': 5}
{'短评内容': '相当有特色的酒店，普通间一般都是藏式房间，还有风情房，还有其他风格的，房间硬件设施很齐全，服务很到位，酒店旁边有个万达广场，可以去看电影，性价比蛮高的', '短评打分': 5}
{'短评内容': '酒店硬件服务都挺好，就是难打车。', '短评打分': 3}
