{'短评内容': '晚上有夜宵', '短评打分': 5}
{'短评内容': '服务周到，非常满意！', '短评打分': 5}
{'短评内容': '设施有点陈旧了', '短评打分': 3}
{'短评内容': '酒店地段很好，条件和卫生也还可以，缺点是在商业区白天有大喇叭，有点吵', '短评打分': 5}
{'短评内容': '邻街的房间有点吵，因为地处繁华闹市。吃过酒店的龙抄手，物美价廉，不错。', '短评打分': 3}
{'短评内容': '位置还算是中心地区。设施一般吧，不是很现代的。还有今年早餐的价格提高了，69一餐呢，这个比较难以接受。礼宾倒是蛮热情的。', '短评打分': 5}
{'短评内容': '酒店的装修有点老，房间也不大。 总体来说一般吧。', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '房间的设施装修很陈旧了，服务一般。地理位置还行', '短评打分': 3}
{'短评内容': '性价比不错，位置好，早餐不错，就是人多。。。', '短评打分': 5}
{'短评内容': '酒店的位置还算是不错的，比较方便，硬件设施的配备，环境和服务都很好，非常满意。', '短评打分': 3}
{'短评内容': '酒店的硬件条件比较一般，服务还不错，位置比较方便，但是以他的条件来说，价格还是偏高的。', '短评打分': 3}
{'短评内容': '位置好，服务不错。白天对面商店噪音很大，晚上对面工地施工噪音更大。单人房面积奇小，压抑感强烈。', '短评打分': 1}
{'短评内容': '设施有点老，但服务和舒适度都还不错，在成都四星级酒店中属于中等水平．', '短评打分': 5}
{'短评内容': '楼下有个工地 夜间施工 很吵 酒店隔音非常不好 白天对面卖手机的放音乐声音很大 总之就是白天晚上都很吵', '短评打分': 1}
{'短评内容': '整体很一般的酒店，性价比不高，不值得推荐，仅住一次而已。', '短评打分': 1}
{'短评内容': '虽然标准间空间不大，但设施相对比较能够接受，楼内安静，舒适。服务员态度比较好', '短评打分': 5}
{'短评内容': '不错！！1', '短评打分': 5}
{'短评内容': '酒店设施少了一些但是还都不错,位置比较偏附近餐饮比较少.卫生和服务还都不错.性价比比较好对于四星级酒店来说还算可以的.', '短评打分': 5}
{'短评内容': '酒店各个方面都不错，而且位置特别方便，就是房间有点小', '短评打分': 5}
{'短评内容': '刚好窗户对面在施工，一晚上都没睡，建议加强隔音，不然沿路的房间太吵了', '短评打分': 5}
{'短评内容': '酒店位于卖手机的那条街距离市中心有些偏远.酒店的环境硬件设施都还不错,房间面积有些偏小.', '短评打分': 5}
{'短评内容': '出行方便,酒店环境卫生都还可以,房间很舒适,价格合理,服务亲切周到,值得一提的是酒店的早餐很好(物有所值),住的行政房,房间免费送了水果,还有电脑可以上网,如果有几人的小会,建议住行政房,有个小会议室可免费使用', '短评打分': 5}
{'短评内容': '酒店整体感觉一般，房间比较干净，相对与环境来说价格有点高，要是房间配上电脑的话这个价格就比较合理了', '短评打分': 5}
{'短评内容': '酒店整体来说还不错，从服务到卫生，再到他们的硬件设施，包括地理位置都挺不错的，价格也比较适中。', '短评打分': 5}
{'短评内容': '订了一高级单间，酒店在市中心交通还挺方便的，晚上可走到成都市中心最有名的天府广场,夜景和音乐喷泉挺棒.酒店房间舒适，可以免费宽带上网，自助早餐很丰富。之前听说这个酒店比较旧，但朋友住觉得还不错，于是选择了，但一进大堂给人感觉还可以啊。没有到成都之前就听说成都小吃很好了，在退房的时候向前台小姐咨询了一下，前台小姐很热情,形象挺好,按她的介绍去了附近的春熙路,品了龙抄手,感觉不错.总之在沃特酒店住了一', '短评打分': 5}
{'短评内容': '选择他只是因为交通方便，酒店比较旧，还算干净卫生，服务过得去', '短评打分': 5}
{'短评内容': '1.這輩子住過最爛的酒店,面對馬路的房間,完全沒有隔音,一整天吵得要死無法居住,有甚麼資格收這樣的價錢?\r\n2.兩年前就有人提過門童很爛,完全只會聊天,結果兩年之後還是這樣,是這家酒店請不起總經理來改善嗎?\r\n3.所有服務人員看到客人只會裝死,只有房務部的樓層服務員,才會跟客人打招呼\r\n4.第一次看到有酒店的餐廳服務人員,是在跟客人搶搭電梯的,簡直是荒唐嘛!\r\n5.寫了評鑑信之後,打電話來的大廳副', '短评打分': 1}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '房间挺宽敞', '短评打分': 5}
{'短评内容': 'Not worthing living in again.', '短评打分': 1}
{'短评内容': '21-23号。我住的是20楼的行政大床，之所以选择这家酒店是因为在预定的时候发现它提供电脑，因为本人是属于周末出行，不想携带笔记本，因此毫不犹豫的预定，坦白的说，这家酒店整体的服务水平一般，特别是门童，在我提着大包小包出入的时候，没有提供任何帮助，竟然在一边聊天。其次，入住手续办理的是十分迅速的，但是在退房时，就没有所谓的行政楼快速离店了，在我做完所有的手续后，还要等上5分钟。&lt;br /&g', '短评打分': 3}
{'短评内容': '隔音不好，晚上可以听到走廊上的人在说话，很吵。听说靠近手机街，一早手机店开门后就更吵了。另外餐厅忘记开早餐单浪费了我们的时间。酒店为我们叫得出租车居然肯了我的找零，郁闷无比！！', '短评打分': 5}
{'短评内容': '这次住了单人间,比高级单人间小了点,但设施还是很赞的。唯一不满意还是噪音太大了。要是房价便宜点就好了。', '短评打分': 5}
{'短评内容': '2005年10月18日至20日在14楼的豪华单人间住了两晚，感觉房子宽敞，服务到位。遗憾的是酒店大门口无停车的地方，很不方便。另外，门童好象接物比较被动。', '短评打分': 5}
{'短评内容': '服务和设施都不错，可是靠边的单人间实在太吵了，9点之后完全不能睡觉。建议加装双层玻璃或者隔音玻璃啊。', '短评打分': 5}
{'短评内容': '我是五一去的，房间还不错虽然比较小，酒店大堂比较差，又小又俗气，而且早晨9点以后就别想睡觉，因为楼下是手机卖场。&lt;br /&gt;\n&lt;br /&gt;\n不过总体来说还是比较另人满意的，下次去可能还会住这里', '短评打分': 3}
{'短评内容': '如果问这家酒店的服务或者设施的话，我可以告诉大家：很不错的，&lt;br /&gt;\n第一次去是和男朋友，在这个酒店的房间里喝酒的气氛和舒服，房内的布置还不错，所以在这里住的情侣应该会感觉比较好的。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '很喜欢这个酒店&lt;br /&gt;\n第一次去就很喜欢了&lt;br /&gt;\n虽然这里的设施，装修一般，但是总体感觉不错&lt;br /&gt;\n&lt;br /&gt;\n我已经忘记早餐是否另人满意了&lt;br /&gt;\n但是，我一直记得，酒店门口卖的小蛋糕，好可爱，又好好吃哦~&lt;br /&gt;\n&lt;br /&gt;\n不过缺点就是吵了点&lt;br /&gt;\n不过人气旺嘛。', '短评打分': 3}
{'短评内容': '这个酒店的服务态度特别的好,豪华单人间房间面积挺大的,住着特别舒服,,只有一点不好的就是真的很吵,但是总的来说真的是很不错的一个酒店,', '短评打分': 3}
{'短评内容': '房间内有宽带上网服务吗？', '短评打分': 3}
{'短评内容': '请问该酒店的商务单人间有电脑吗？', '短评打分': 3}
{'短评内容': '可以评为成都市最热闹的酒店了.', '短评打分': 3}
{'短评内容': '这个酒店不错，服务也可以，象个四星级酒店，房间还有电脑，传真机。但是该酒店处于闹市区，', '短评打分': 3}
{'短评内容': '谁能告诉我这酒店怎样？', '短评打分': 3}
