{'短评内容': '房间简单，设备还算比较齐全，不过住的房间浴室对着大门额。', '短评打分': 5}
{'短评内容': '酒店的人员服务蛮周到的,而且卫生环境也比较好,就是房间浴室的渗水不是很好,很慢,地理位置也不是很明显不是很好找,建议在路口加个指示牌.', '短评打分': 3}
{'短评内容': '酒店位置虽然难找了点，但是硬件设施还是不错的，相对这个价格，可以说性价比还是可以的，特别适合去杭州看演唱会的朋友！', '短评打分': 3}
{'短评内容': '位置有点偏，在小巷里，出行不太方便，房间的卫生和设施比较简单，性价比还是比较高的，服务也不错', '短评打分': 3}
{'短评内容': '还是建议解决下四楼的沐浴莲蓬没有水的问题', '短评打分': 3}
{'短评内容': '4楼洗澡的莲蓬基本没有水', '短评打分': 1}
{'短评内容': '般般', '短评打分': 5}
{'短评内容': '房间太小了,设施一般,位置很偏很不好找,交通不方便,卫生服务还可以.', '短评打分': 3}
{'短评内容': '1、地方位于小弄堂内，半天找不到影业路5号在什么位置；\r\n2、房间过于狭小，两个人住一间，东西只能放在有电视机的台子上；\r\n3、空调不制热（第二天退房的另一个人也如是说）；\r\n4、四周居民不知是谁居然在晚上往下扔花盆，砸到小车顶部。', '短评打分': 1}
{'短评内容': '挺一般的一家酒店,房间的卫生和设施都挺一般的,服务还行,位置挺偏的出行也不方便连当地的人都不知道这家酒店在那,性价比挺一般的.反正我是下次不会去这家酒店了.', '短评打分': 3}
{'短评内容': '总的来说，真的很差，房间很小，而且隔音效果不好，住在里面觉得很压抑', '短评打分': 1}
{'短评内容': '设施一般，房间较小隔音较差，但服务很好，有停车的地方。还是比较推荐的。', '短评打分': 5}
{'短评内容': '房间的隔音效果不好比较吵,位置很好,卫生服务很一般.总的来说还是很满意的酒店.', '短评打分': 3}
{'短评内容': '酒店的设施条件我觉得还可以，环境也还不错，地理位置在杭州也算比较方便的，挺不错的。', '短评打分': 3}
{'短评内容': '酒店服务还可以,就是不太好找,房间里面打扫的比较干净,当时住的大床间不错,第二天换到单人间,感觉墙面不太干净,可能有些旧了.', '短评打分': 3}
{'短评内容': '位置有点偏，不过出交通还是方便的，价格也便宜，服务态度很好', '短评打分': 3}
{'短评内容': '地理位置有些偏，不怎么好找。酒店环境没有我想象的好，床单好像都不是很干净的。', '短评打分': 3}
{'短评内容': '我觉得房间环境还可以，而且酒店的位置蛮方便的，就是卫生间淋浴的水流太小了', '短评打分': 3}
{'短评内容': '地方比较隐蔽，但是环境还可以，房间卫生状况也挺好', '短评打分': 5}
{'短评内容': '性价比还好，非常适合一个人住，一个人住的话还算不错的选择。如果是两个人，那么不推荐。因为厕所的门设计实在是失败的可以，隔音也不是很好，半夜脚步声不断。', '短评打分': 1}
{'短评内容': '房间环境不错，就是有点小。。。但是地理位置不怎么样，有点偏僻，找了好久才找到，但是这样的价格能入住也不错了，该满足了！！！', '短评打分': 5}
{'短评内容': '硬件设施比其它店要差一些,床单有些旧了,卫生服务一般,位置在一条小路里面不好找,但是走出去500米就是主干道,交通很便利.', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很好，价格合理适中。房间的配置硬件舒适度也很达标，就是酒店标示不太明显找了好久才找到，其它都还好，可以推荐入住。', '短评打分': 3}
{'短评内容': '客房太小 位置还好 交通比较方便', '短评打分': 5}
{'短评内容': '酒店挺干净的 就是那个卫生间的玻璃是透明的 有点不习惯', '短评打分': 5}
{'短评内容': '我住的是206房，传说中的商务大床房。\r\n缺点：不太好找，房间比较小，如果是两个人入住的话，稍显拥挤。晚上洗澡水不是很热，另外隔音比较差。\r\n优点：无论是房间还是公共区域都比较干净；周围比较安静，没有其它经济型酒店的吵杂；\r\n表扬：连住两天，第二天在没有吩咐整理房间的情况下，能整理好房间值得称道；退房的时候，主动询问要不要发票，服务到位！', '短评打分': 5}
{'短评内容': '除了酒店在巷子里，有点不太好找以外，别的都不错，环境、服务都蛮好的', '短评打分': 3}
{'短评内容': '经济型酒店。', '短评打分': 1}
{'短评内容': '酒店还不错，很干净，服务特别好，就是位置不太好找。', '短评打分': 5}
{'短评内容': '酒店其实还不错 没有别人说的那么糟糕 只是房间比较小 基本没有活动的空间 还有隔音效果比较差 可能是我们的房间就在逃生通道边上的缘故 早上89点老是听到打扫卫生的阿姨推着车子走来走去 还有聊天的声音', '短评打分': 5}
{'短评内容': '酒店的周边环境不好,内部条件不好但是这个价格酒店也就这样了,酒店在一条小巷子里很难找到.', '短评打分': 3}
{'短评内容': '交通虽然方便，离火车站和黄龙都不远，不过真找起来还是有些困难。\r\n房间很小，讲实话转身都超不方便的。\r\n', '短评打分': 1}
{'短评内容': '总体来说还是不错的~虽然一开始没找到地方，但是习惯了还是很方便的。不过，可能问题在于，我们房间的空调坏了似乎，制热不是很好。从经济型酒店角度来说，本来要求的就不能太多，因而其他虽然有些不足，但是还是能谅解的。希望生意会越来越好~非常适合来杭州看演唱会的朋友们哈~', '短评打分': 5}
{'短评内容': '服务，设施都还不错\r\n就是房间小了点', '短评打分': 5}
{'短评内容': '位置太偏，酒店卫生以及服务还可以', '短评打分': 1}
{'短评内容': '酒店的位置很不好找，在影业路里很偏，但是酒店内很安静。房间太小了，浴室和房间就一个玻璃门，而且也很小。如果想叫出租车很不方便。', '短评打分': 1}
{'短评内容': '总体来说，内饰不是很精致。有些细节的地方没有得到足够的重视，例如，缺少一些必备的物品，需电话提醒后才送到。', '短评打分': 5}
{'短评内容': '很安静，很舒适，感觉还蛮温馨的。很适合学生。下次看演唱会一类的，我想我还是会选择文三店。', '短评打分': 5}
{'短评内容': '这家酒店性价比还是不错的，服务也很热情，只是卫生方面确实做的不行，发现窗帘边和厕所墙上居然还有也许是上个旅客留下的吐的哈密瓜的籽，可见该酒店服务员打算卫生方面的随意。床单上面还有些点点的污渍。马桶坐在上面还有点摇晃，下面在漏着水。另外，房间肯定没有ELONG上面描述的有20平方米，还是比较小的。酒店周围小吃店比较多，晚上也比较安静。晚上也没有服务骚扰电话。比较适合学生朋友。', '短评打分': 5}
{'短评内容': '希望卫生上能提高', '短评打分': 5}
{'短评内容': '房间比较小，浴室是透明的，觉得比较别扭，一楼楼层比较矮，没有防盗窗，纱窗也没有，酒店是位于胡同里呢就觉得价格有点偏高，不过服务态度很热情', '短评打分': 3}
{'短评内容': '这个酒店的位置很好的，因为离西溪很近，离西湖也很近，离城站也很近，到哪里都方便，缺点是酒店的位置不是很好找，不过还好定这个酒店，门口的小吃很多~哈哈，性价比很高~\r\n', '短评打分': 5}
{'短评内容': '还行，就是难找了点。', '短评打分': 5}
{'短评内容': '感觉很一般 ', '短评打分': 1}
{'短评内容': '位置挺好哒~离黄龙还比较近~\r\n在小区里。。治安还是挺放心的说~\r\n也挺好找哒。。一路笔直走就成~\r\n要特别说明的是：服务人员超热心哒。。很温暖的感觉：）\r\n以后如果来杭州看演唱会的话还会选择这家酒店的说~\r\n', '短评打分': 5}
{'短评内容': '很不好的，水太小了', '短评打分': 1}
{'短评内容': '4楼水很小 简直是在滴水  希望能改进啊！', '短评打分': 5}
{'短评内容': '总的还不错  就是难找了点', '短评打分': 5}
{'短评内容': '离西溪湿地很近，去那里方便的，直接290路终点下，车站前50米就有租自行车的，随便跑收费的还是野的了。房间很小，卫浴也很简单。住的地方周围生活方便，多家超市，但从文三路走进去要近200米不大好找。杭州交通方便，所以去那里都还便捷，周围出租不好找。适合有能力自助的人们，需要安逸简单不在乎价格的就不合适了。', '短评打分': 5}
{'短评内容': '酒店设备还是不错的，就是洗澡的水小了点，地点有点里面，在菜场的边上，但是晚上睡觉时候几乎没听到什么吵闹声。酒店的早餐地方离酒点有点远，走来走去要10来分钟，总体来说还是不错的。', '短评打分': 5}
{'短评内容': '这家酒店简直是我有史以来住过的最糟糕的一家，酒店在一个小弄堂里非常偏僻难找，酒店周边都是些类似城乡结合地区才会出现的场景--一出大门就是许多的小贩且是那种拿块油布地上一摊，上面放些东西就叫卖了。房间房灯是那种小时家里用过长长的一根(目测大概1M不到的长度)日光灯.最夸张的是房里的蚊子多的来,我把蚊香器插上电源放在摆放电视的台子上,不用几分钟就看到5.6只蚊子跌落在台子上了...蚊香片的功效更是不超', '短评打分': 1}
{'短评内容': '一般而已', '短评打分': 5}
{'短评内容': '酒店的位置一般，门口经常会堵车，硬件条件和环境还算可以，但也不是非常好，在这个价位来说算是过的去。', '短评打分': 3}
{'短评内容': '位于居民区内,停车不方便;房间太小;卫生间全部透明.', '短评打分': 5}
{'短评内容': '少个吹风机', '短评打分': 5}
{'短评内容': '房间比较小,浴室的洗澡水也很小,设施还可以,卫生服务还都不错.', '短评打分': 3}
{'短评内容': '服务还可以，服务员很有礼貌，但是酒店本身硬件设施太差，位置也不太好，是在小巷子里，比较难找，房间里还有很重的油漆味道，相对这样的环境来看价格有点高，性价比不好', '短评打分': 3}
{'短评内容': '位置在居民区里面，很不好找啊，道路狭窄，房间很小，很拥挤，舒适度还好，家庭房要是也有电脑就好了。', '短评打分': 1}
{'短评内容': '酒店的卫生间全面是通明玻璃，没有帘子，两人住很别扭，价格还行，干净到挺干净的，就是位置有的偏，在小区里不好找，离景点也不近，我不推荐这家点，在杭州还有怡莱连锁的别的店', '短评打分': 3}
{'短评内容': '酒店的条件比较差。价格也不便宜，位置也不方便', '短评打分': 3}
{'短评内容': '酒店最大的问题是位置点偏，第一次去的话不好找，别的还可以，挺干净的', '短评打分': 3}
{'短评内容': '这那是个酒店啊,跟招待所差不多,下次再也不愿意去住了.', '短评打分': 1}
{'短评内容': '酒店虽然在市中心，但是在一条小巷子里，又没有明显标识牌，所以不好找，除了这但以外，酒店的服务还是不错的，硬件条件也非常好，我们还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的条件一般，服务和价格还可以，地段也算便利', '短评打分': 5}
{'短评内容': '酒店的服务还算可以，硬件条件我觉得非常不错，很到位，且舒服，交通还挺方便，感觉不错。', '短评打分': 5}
{'短评内容': '卫生不错，比较干净，房间一般跟这个价位的预期差不多，唯一一点不好就是喷头水很小很小很小小小。。不知道是不是住在四楼的原因，但是洗脸的地方水还是大的，希望可以完善入住前设施的检查。', '短评打分': 1}
{'短评内容': '整体感觉很一般的酒店,没有什么特别的对方；床上的床单看着不太干净；房间面积也比较小,住的不是很舒适；不过价格和位置还可以', '短评打分': 1}
{'短评内容': '位置比较好,房间里面也很干净,就是感觉装修不太合理,卫生间比较小,而且是透明的,感觉不太方便.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较一般，卫生服务都还不错，很干净的酒店。房间的配置硬件设施也很好，价格算是比较合理，整体来讲算是比较不错的酒店，可以考虑入住但要看去的位置。', '短评打分': 5}
{'短评内容': '位置很方便,酒店里面也很干净,就是房间面积有些小,相对酒店环境这个价格也算合适.', '短评打分': 5}
{'短评内容': '酒店卫生不太好,设施好可以,位置很不错,对于这种经济型酒店来说性价比还是不错的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,我去的时候正在修路,所以周边环境不是很好,交通不是很方便了,整体感觉价格还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是不太好找，不过找到以后，感觉他们的服务，环境和卫生，硬件设施都还是不错的。', '短评打分': 5}
{'短评内容': '服务和卫生条件很好，价格也合适，就是位置有点偏，当时周围也在修路，出行不是太便利，酒店提供的吹风机好象不是每个房间都有', '短评打分': 5}
{'短评内容': '酒店的整体都很差的,房间很脏很乱的,酒店的位置不好找价格又高,整体非常差', '短评打分': 1}
{'短评内容': '里面的环境太差了，而且也很脏，但服务还可以，地理位置离西湖也比较远', '短评打分': 1}
{'短评内容': '如果你是一家三口开着车来杭州来这家住的话，我还是劝你别了，家庭房太小，一张小床是架在空中的，进入到酒店的路很窄，被小摊包围了。', '短评打分': 1}
{'短评内容': '位置实在是不过找，而且周边环境不佳，像城中村一样。房间很小，床和写字桌和床头柜全部缩在一起，最让人受不了的是非常吵，隔壁房间的叫门声，电视声和打呼声让人整晚无法入睡。', '短评打分': 1}
{'短评内容': '酒店环境很舒适，卫生条件也很好，而且地理位置也挺理想的，就是价格有点贵', '短评打分': 5}
{'短评内容': '酒店环境很舒适，卫生条件也很好，而且地理位置也挺理想的，就是价格有点贵', '短评打分': 5}
{'短评内容': '酒店隔音效果非常差,周边噪音很严重,不值得推荐', '短评打分': 1}
{'短评内容': '酒店从价格上面来说都还可以,蛮干净的,交通位置也算可以,价格很便宜,所以要求也不需要太高', '短评打分': 5}
{'短评内容': '位置不够醒目，躲在深巷中，不好找', '短评打分': 5}
{'短评内容': '酒店房间有点小，位置在一个小区里面，因为当时我看过地图所以比较好找', '短评打分': 5}
{'短评内容': '比较难找，房间小。穿街走巷的，竟然有一个三层小楼，就是这家宾馆。', '短评打分': 5}
{'短评内容': '房间有点小,总体感觉还不错', '短评打分': 5}
{'短评内容': '很热情，很方便', '短评打分': 5}
{'短评内容': '酒店服务啊卫生方面还是不错的，价格也能接受，就是房间里需要粉刷一下了墙皮都脱落了，设施还可以的。', '短评打分': 5}
{'短评内容': '主要欣赏的是酒店的服务，我离店是不慎遗落雷朋太阳镜一副，价值2000余元，酒店人员联系确认后，直接快递到我北京的住所，万分感谢。', '短评打分': 5}
{'短评内容': '地理位置真不怎么样，找了好久啊~价格应该再低一点会比较符合！', '短评打分': 5}
{'短评内容': '交通不方便', '短评打分': 5}
{'短评内容': '9月的时候考试曾经在那里住过，因为对杭州不熟悉。找起来很费力，但去过一次，这次又选择这里。原因是172路公车直接可以到那里；价格很贫民，不是单位里公费出差的都想比较便宜又卫生、安全的，这个卫生和安全做的还是很好的。里面的装修和设施也比较新，电视还是比较高级的，重播的节目都有的，唯一就是房间偏小了点。还有白天的时候上面经常有飞机经过，但夜里还是很安静的。', '短评打分': 5}
{'短评内容': '在这里住了两天，定的家庭房,总体感觉很不错,是我们旅游住宿的不错选择,下次去的话还住这里.', '短评打分': 5}
{'短评内容': '住了三天啊 ,觉得位置不是很好,房间还是不错的啊.&lt;br /&gt;\n服务也不错的,态度很好,带了手提电脑,放在房间里,她们进来打扫卫生都可以的.&lt;br /&gt;\n宽带的网速比较不稳定.隔音也一般.&lt;br /&gt;\n房间有点小诶~虽然在民房地带,不过环境还是不错的,就是附近没什么好吃的店', '短评打分': 5}
{'短评内容': '先说优点：&lt;br /&gt;\n1、我订的是148的房间，价格上还是挺便宜的&lt;br /&gt;\n2、服务态度挺好，不管是普通工作人员，还是前台接待，态度挺好&lt;br /&gt;\n3、有网络电视，这个挺不错，这个级别的酒店应该很少有&lt;br /&gt;\n再说缺点：&lt;br /&gt;\n1、位置太偏，个人对杭州那一代还酸比较熟，但是一开始也没找到，在九莲新村，黄姑山路的尽头&lt', '短评打分': 3}
{'短评内容': '新开张的,酒店比较难找,在文三路黄姑山路对面的小弄堂(名字不是影业路),进去300-500米.&lt;br /&gt;\n门店很小,感觉是小作坊式的酒店.&lt;br /&gt;\n好在服务人员接待比较热情.&lt;br /&gt;\n门店前台有1台电脑可以供使用.&lt;br /&gt;\n房间是办公楼改建的,4层,没有电梯.&lt;br /&gt;\n房间不大,用的是一次性杯子,有宽带接口.&lt;br', '短评打分': 3}
