{'descr': '床换了新的，睡着很舒服，中央空调给力，房间好暖和。', 'star': 5}
{'descr': '房间隔音效果很差.环境不好,周边环境也不好,设施基本齐全,卫生服务还可以,位置很好交通便利.', 'star': 3}
{'descr': '酒店的环境硬件设施都还不错，出行交通方便。价格合理适中，值得推荐入住的酒店。', 'star': 3}
{'descr': '性价比不错。适合商旅人士。', 'star': 5}
{'descr': '酒店硬件设施还不错，就是地毯有些脏，服务员多点微笑就更好了！', 'star': 3}
{'descr': '前台服务需要改进！', 'star': 5}
{'descr': '酒店服务人员应该多些笑容会更好！', 'star': 5}
{'descr': '挺好，位置离轻轨车站很近。', 'star': 3}
{'descr': '酒店价格还是比较优惠,房间住着也蛮舒适的,就是因为当时客人比较多,所以前台办理入住时比较慢', 'star': 3}
{'descr': '房间卫生质量差', 'star': 5}
{'descr': '适合出差,相对不错~', 'star': 5}
{'descr': '总体感觉尚可，但餐饮服务不好，说8点下班，结果不到8点就没东西吃了...', 'star': 1}
{'descr': '现在酒店的四周正在拆迁，整个大楼宛若一座孤岛，屹立在一片废墟之中，感觉有些凄惨和寂寥。周围有一个小超市，饭馆也没有像样的。地理位置虽然不错，但周围的地理规划将会影响该酒店的入住率。', 'star': 1}
{'descr': '卫生服务方面都很好,很热情,位置也可以,离我办事的地方很近,但就是房间的隔音效果不太好,其它的都不错.', 'star': 3}
{'descr': '内部环境还可以，但外部的环境不好，主要是所处在的位置不好，价格方面也一般，感觉不如北京的同星级的酒店条件', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '周边吃饭较方便，但是买东西不方便，酒店不还早餐，但是有餐厅', 'star': 3}
{'descr': '设施较新，还不错，就是位置有点偏', 'star': 3}
{'descr': '酒店的位置不是特别的好，但是对我们来说还算是方便，价格比较合适，内部的条件设施，环境服务都很不错。', 'star': 3}
{'descr': '卫生服务方面做的都很到位,而且硬件设施也都很齐全,住着很舒适,就是位置离市中心不是太近,但离我办事的地方还是很方便的.', 'star': 3}
{'descr': '电梯不怎么好，还有浴室的喷头坏了一个！周围买吃的不方便', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '施工，隔音不好，别的还好。', 'star': 5}
{'descr': '周围在施工，不是很安静，设施和舒适度还不错。服务员的态度不好，有待提高！', 'star': 5}
{'descr': '性价比不错的酒店,服务很好,热情周到,地理位置交通方便,基础设施很完善,就是水质有些差,卫生条件也很干净.', 'star': 3}
{'descr': '卫生还可以，设施也不错，就是服务跟不上，人多结账时候忙不过来，耽误不少时间', 'star': 5}
{'descr': '可以接受，就是房间小了些，还算物有所值', 'star': 5}
{'descr': '位置很有点偏', 'star': 5}
{'descr': '位置有点偏僻,其他都不错!装潢比较考究!房间稍微有点小!', 'star': 5}
{'descr': '以前出差到上海，基本都住的莫泰，而且自己城市也有莫泰，因此对莫泰的印象还是不错的。但这次十一假期住在洞庭路店，感觉非常不好。首先是服务差，前台人员态度冷淡，对什么问题都爱答不理，第二、房内设施的管理差，酒店说明书的夹子里什么都没有，说明酒店管理存在问题。第三、房间隔音差，隔壁半夜进来人住，开个电视、说的话这边听的清清楚楚，第二天一早不到5点又打开，可能是头次来天津比较兴奋？谁知道。\r\n至于说位置，', 'star': 1}
{'descr': '那点电梯感觉不怎么好，还有那个洗浴的喷头是坏的！', 'star': 5}
{'descr': '交通一般，地段还是比较偏僻的，但宾馆服务不错。房间大小适中、合适商旅。', 'star': 1}
{'descr': '很是一般，位置比较偏，和同价位的比，差很多。', 'star': 1}
{'descr': '在一个偏僻的角落，周围全拆光了，晚上找个吃饭的地差点累死，最后泡面吃了', 'star': 1}
{'descr': '凑合吧，还行', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '酒店的位置比较偏僻，楼层内的味道很不好。', 'star': 1}
{'descr': '没有独立空调.中央空调出的是暖风.我比较胖,脱光了还出汗.', 'star': 5}
{'descr': '该酒店的电梯太慢了！！ 我住13楼 拿个包要半小时，前台工作人员素质有待改进，速度太慢，业务不熟练！周边没有什么吃的，不方便。环境尚可', 'star': 1}
{'descr': '天津的总体物价低，所以这个酒店性价比不错，周边交通方便', 'star': 5}
{'descr': '我住的是大床房,在这里交通是不方便,不远处有轻铁站,可以游玩的地点基本都不在轻铁站附近,所以也相当没有什么用,周边的公共汽车站也比较远,所以交通也不方便,吃的也不方便.我住了两天,服务在清洁时把我自备的牙膏、装牙刷的盒子还有另外一个盒子的盖子都给我丢掉，而湿漉漉的毛巾却不跟我换，最后只给我一个“那是新来的不知道”！最后让我觉得很不爽！', 'star': 1}
{'descr': '酒店性价比还是不错的,整体的住宿也都比较理想,不过酒店就是位于开发区,所以离市区比较远.', 'star': 3}
{'descr': '这个酒店位置还不错，出门交通挺方便，里面的环境和卫生，硬件条件我感觉在这个价格来说都是不错的。', 'star': 3}
{'descr': '卫生很干净,很容易找到.且服务很好,当时我的退房卡丢失,服务人员很快帮忙寻找..\r\n    建议入住', 'star': 5}
{'descr': '酒店的卫生条件比较一般,其他方面都还是可以的,服务比较到位,价格也适中.', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通都很好的，性价比不错的酒店', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通都很好的，性价比不错的酒店', 'star': 5}
{'descr': '房间里的卫生间卫生不太好,地理位置也稍微有点偏,其他方面都还可以,服务也很到位.', 'star': 5}
{'descr': '位置离当时办事地方比较近,而且价格也很合适,房间里面环境也不错,很满意.', 'star': 5}
{'descr': '如果市内也有268就好了！', 'star': 5}
{'descr': '酒店的环境配置硬件设施都很不错，位置出行还算是比较方便的。就是门脸太小了，在附近找了半天才找到。卫生还不错，挺干净的酒店，服务一般，整体来讲还是可以考虑入住的酒店。', 'star': 5}
{'descr': '酒店的环境还不错,服务也挺周到的,价格也比较适中,还是比较满意的.', 'star': 5}
{'descr': '房间条件、设施都挺好的，位置是有点偏，出行交通还算可以', 'star': 5}
{'descr': '酒店的环境硬件设施舒适度都还不错，位置出行交通方便，因为出去的话都打车出租还是比较方便的。价格合理适中。在连锁型酒店里是值得推荐的。', 'star': 5}
{'descr': '房间挺干净的，服务也不错，酒店新装修的，挺新的，就是价格稍微有点高', 'star': 5}
{'descr': '感觉不是很好，卫生还可以，服务不太好，主要酒店周边的环境不好，感觉很脏很乱', 'star': 1}
{'descr': '住过几次大床房，很干净。\r\n服务员态度一般，陌路人的感觉，不软不硬的，不过有问必答。\r\n房间的隔音非常差，好像是石膏板作的隔断，隔壁说话能听得清。', 'star': 5}
{'descr': '房间挺干净，服务也不错，就是电视收的台太少了，而且不是大路上，有点不太好找', 'star': 5}
{'descr': '酒店的位置有点偏，而且相对于他的房间来说，电视小了一点，其他的卫生条件，和价格都是比较合适的，服务一般吧。', 'star': 5}
{'descr': '酒店的离外滩有点远，交通还可以，里面的卫生条件和硬件设施都还可以，价格适中。', 'star': 5}
{'descr': '酒店的前台服务太差了，你主动问她都爱答不理的，态度非常差，非常不专业，对酒店的环境硬件设施都还是比较满意的，包括服务卫生也很达标，价格合理适中，酒店的位置出行交通方便。', 'star': 5}
{'descr': '酒店挺一般的，卫生还可以，服务不太好，而且酒店周边的环境不好，好象要拆迁似的，特别旧，觉得性价比不高 ', 'star': 1}
{'descr': '酒店的服务卫生方面还是不错的,价格也蛮合适的.', 'star': 5}
{'descr': '酒店还不错，提点意见\r\n15元的自助早餐太简单了，基本没几样\r\n酒店是中央空调，那么闷的天气居然没有空调', 'star': 5}
{'descr': '前台人员跟欠了他们八百块钱一样不会笑，也不会主动招呼客人，头一次见莫泰的酒店这么差的前台。其他的都还好了。位置紧邻泰达城轨 离洋货市场外滩都是起步价', 'star': 5}
{'descr': '酒店位置不好,去过的可能还可以没去过就不太好找,服务不太好,其它都还不错的,设施齐全,卫生干净,舒适度也还不错.', 'star': 5}
{'descr': '人员服务态度不好,不过房间蛮干净的,价格也很实惠,就是建议改进一个人员服务的质量', 'star': 5}
{'descr': '这次去住了十几天在莫泰，感觉他们从服务，到硬件设施，酒店的环境都是很不错的，我主要就是去哪里办事，这里也比较方便。', 'star': 5}
{'descr': '位置有点偏，不太找，价格还比较优惠，服务和环境方面也还可以，住得还算舒适', 'star': 5}
{'descr': '他的服务设施都比较一般，位置还不错，交通便利，价格可以接受。', 'star': 5}
