{'短评内容': '非常好，服务周到', '短评打分': 5}
{'短评内容': '不错吧 有机会还住汉庭', '短评打分': 5}
{'短评内容': '酒店不错,早餐也不错,原意再次入住!', '短评打分': 5}
{'短评内容': '位于沈阳北部较繁华区域（北行），楼下就是街头市场及华联等，购物与吃饭方便。不过，相对的，晚上睡眠会受到一定影响。房间卫生还不错，只是房型都较小。总体说性价比还不错。', '短评打分': 5}
{'短评内容': '酒店外环境很脏乱！', '短评打分': 5}
{'短评内容': '可能是酒店方没有收到延时入住的通知，原定的大床房被换成标准间\r\n前台服务总是很忙\r\n', '短评打分': 5}
{'短评内容': '不错，环境干净，服务态度非常好~！交通方便，确实值得推荐', '短评打分': 5}
{'短评内容': '酒店位置很难找，价格合理，卫生也可以。酒店旁边有二人转小剧场，很吵、没车位。', '短评打分': 1}
{'短评内容': '房有烟味没停车环境杂', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错,干净舒适；尤其是价格和位置很好；如果有机会也会再次考虑入住的；', '短评打分': 3}
{'短评内容': '总体来说 作为一个经济型酒店各方面还不错，但就是环境有点吵，另外客房的电视太小了，还有就是客房有些提示没有，例如电话收费问题。', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以,不过当时正在修道,所以感觉比较乱,内部环境还可以,住宿条件也都跟其他店差不多.', '短评打分': 5}
{'短评内容': '汉庭这个价格在沈阳应该是最优惠的，而且他本身的位置条件就挺不错的，比较方便，里面的设施和为条件也挺好的，下次如果还去沈阳，我还会住这里。', '短评打分': 5}
{'短评内容': '人员服务态度很好,而且环境也比较理想,住着挺舒适的,性价比还是蛮不错的.', '短评打分': 5}
{'短评内容': '各方面条件环境都挺好的,卫生服务也比较达标；价格也适中；就是位置有点偏,不是很好找；但酒店还是值得推荐的；', '短评打分': 5}
{'短评内容': '酒店还算是比较不错的，他们房间干净整洁，设施简单但是用的上的基本上都有，如果到那个附近的话，我觉得汉庭还是不错的。', '短评打分': 5}
{'短评内容': '酒店条件不是太好,不太干净,位置还可以,设施一般,也就比旅店强一些,也就随便住住还行.', '短评打分': 5}
{'短评内容': '卫生，服务，设施，舒适，性价比都可以，就是舒适度有点问题，酒店处于沈阳北行附近，房间临一条小巷，噪音比较大！！！', '短评打分': 5}
{'短评内容': '住在低楼层比较不好，因为外面的车比较多。但是总提来说是性价比比较好的一个地方', '短评打分': 5}
{'短评内容': '交通很便利，性价比很高的快捷酒店。', '短评打分': 5}
{'短评内容': '酒店的环境服务，和他的硬件配备，在这个价格上来说还是挺好的，离火车站比较近，一路车就到挺方便的。', '短评打分': 5}
{'短评内容': '房间里的卫生弄的挺干净的,设施条件也还可以了,位置有点偏不太好找,价格还是蛮合适的.', '短评打分': 5}
{'短评内容': '整体说 还是不错的', '短评打分': 5}
{'短评内容': '酒店周围环境不错,而且价格也蛮实惠的,而且交通也位置也比较理想,还是是比较满意的', '短评打分': 5}
{'短评内容': '酒店的经济实惠，各方面都很不错', '短评打分': 5}
{'短评内容': '酒店作为经济型酒店感觉已经很不错了,价格很便宜,而且酒店很靠近北站,一般打车起步价够了,就是酒店晚上会有些吵', '短评打分': 5}
{'短评内容': '酒店的附近环境不好有吵闹，因为在闹市区，购物比较方便，交通也便利，价格嘛也不高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店在闹市区，交通很方便，不过也比较吵，当天住的价格很优惠，而且酒店内干净，整体的装修风格也很不错，挺舒服的。', '短评打分': 5}
{'短评内容': '外面的环境比较吵，有个商铺的广告从早晨7点多就开始响了一直到晚上8点才停，酒店的价格非常优惠，设施也不错', '短评打分': 5}
{'短评内容': '酒店的环境设施都很好,卫生舒适度也很不错,当时酒店有特价活动价格相当便宜.', '短评打分': 5}
{'短评内容': '酒店的位置不错,很方便.卫生也不错.就是毛巾太旧了.颜色有点黑.\r\n服务员都能够主动问候客人.\r\n新春100元房很划算.\r\n', '短评打分': 5}
{'短评内容': '和同等酒店比他的环境服务挺好的，但是房间也比较小，这个位置对我来说也挺方便，优惠的价格比较合适。', '短评打分': 5}
{'短评内容': '酒店价格稍微有点高，但是他其他方面都很不错，服务员见面都会先问好，很有礼貌，也很干净，而且他的床也很舒服，给我感觉很不错。', '短评打分': 5}
{'短评内容': '他的床不是很舒服，而且价格稍微贵了一点，他的环境服务倒是还可以。', '短评打分': 5}
{'短评内容': '这个酒店真是难找，在垃圾堆后面。给了我们一间第一层最差的房间，隔壁就是机房，隔音也好差,吵死了。有宽带但网络不理想，时常掉网。服务也只能说是一般，下次一定不再去了。', '短评打分': 1}
{'短评内容': '酒店的服务卫生都很好设施环境也很不错.', '短评打分': 5}
{'短评内容': '干净卫生，服务热情周到，房间很舒适', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '隔音不好,好象几乎所有的经济型酒店都有这样的不足!别的都还可以;另外,空调的室外挂机有的噪音太大,影响睡眠.', '短评打分': 3}
{'短评内容': '我去辽大考试，早就选定了位于北行的汉庭快捷酒店了。虽然从各种渠道了解，这里的服务不错，但还是眼见为实。先说地点，北行的中心地带，南北有北京华联、千盛百货、国美电器等大商场，楼下就是北行商场和大众购物的市场一条街，还有不少餐馆酒店等，门前公交线路N多，吃喝购物出行挺方便的。酒店大堂并不大，但第一眼的感觉就是很“精神”，门口有两台电脑可以上网，免费供客人使用，还有20页的免费打印服务（朋友给我emai', '短评打分': 5}
