{'短评内容': '酒店还可以吧。标准的快捷酒店。京东服务很好。', '短评打分': 5}
{'短评内容': '相对于它的价格：\n1.房间很小（特别是卫生间），很旧、很简陋，不配星级。\n2.服务还算好，晚上酒吧很吵人。\n3.有早餐，对杂食者来说 管饱，加一份要15元，那简直是不拿人民币当钱哪！\n4.好处有：离世界之窗、欢乐谷很近，步行几百米。对世界之窗的游客来说不仅可以专享门票打折优惠，还可以一票24小时内2次入园。', '短评打分': 5}
{'短评内容': '靠近景点 房间小 洗手间有异味 世界之窗门票能打折 早餐不错', '短评打分': 5}
{'短评内容': '世界之窗城市客栈干净舒适、餐厅饭菜口味不错；我父亲84了，每天去世界之窗遛弯；离地铁很近，去罗湖香港太方便了。值得推荐。', '短评打分': 3}
{'短评内容': '还不错，就是没热空调', '短评打分': 3}
{'短评内容': ' 不错 很好 以后还来住 ', '短评打分': 3}
{'短评内容': '不错，全家住不错。。。。。。\n下次考虑。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '洗手间的排气不是很好，我在里面晕倒了，希望加排风。', '短评打分': 1}
{'短评内容': '酒店设施干净卫生、交通便捷，离世界之窗和欢乐谷近。', '短评打分': 5}
{'短评内容': '位置不错,但设施太老啦!早餐太差!反正不好!', '短评打分': 1}
{'短评内容': '整洁、服务周到。建议到世界之窗附近的可在此住宿', '短评打分': 5}
{'短评内容': '去世界之窗玩超级方便，在酒店购票可2次入园\n只是临马路的房间有点吵\n房间也不错', '短评打分': 5}
{'短评内容': '白天晚会都是很吵，设施一般，性价很差，这样价格附近有很多好的，早餐更差，不管你喜欢不喜欢的都是统一固定一份，很小点小菜萝卜没有了，再要点是不给的，说什么规定了，很垃圾的酒店，一般都是2点退房，这里是12点很不方便，总不会住这样酒店了', '短评打分': 1}
{'短评内容': '周围环境不错，很浪漫休闲适合情侣，度假的感觉。房间里面比较小，床还是挺好睡的 ，只是靠近酒吧那边，隔音很差，歌手唱歌到23点多，不过这点还是可以接受的。洗手间装修工程有问题，下水超级慢，淋浴间的门不合适很大的空隙，一冲凉地上很深的水，本来第二天想换间房继续住的，服务员说所有的房间都有下水的问题，开始就没装修好她们也没办法。只好辛苦搬行李换酒店了，不过下次想轻松下的时候，还是会考虑那里的', '短评打分': 5}
{'短评内容': '酒店很好。', '短评打分': 3}
{'短评内容': '感觉还不错，附近交通方便，旅游景点都在那', '短评打分': 5}
{'短评内容': '这个价格有这个环境算可以的了。挺干净的。不过比较小。离欢乐谷和世界之窗很近。', '短评打分': 5}
{'短评内容': '+感觉还可以', '短评打分': 5}
{'短评内容': '房间环境很好，出门就有几家酒吧，喜欢泡吧的不错选择，离欢乐谷、世界之窗也很近，步行不几分钟就可以。交通便利，正对地铁1号线', '短评打分': 5}
{'短评内容': '三楼的窗户根本关不严，晚上噪音很大，另外，毛巾有点旧！', '短评打分': 5}
{'短评内容': '酒店很干净，不过房间很小，晚上酒吧有点吵，但是位置确实很好，周围很有氛围，到周边吃饭、景点都很近', '短评打分': 3}
{'短评内容': '房间小，价格也有点高，楼下是酒吧晚上会有点吵，房间里面有个阳台和外面是联通的，用推拉玻璃门隔开的，不知道安不安全，总之不住一楼是最好的', '短评打分': 5}
{'短评内容': '该酒店最大的优点就是距离世界之窗很近，并且购买门票可以打折，还赠送夜场门票，是去深圳游玩世界之窗的首选', '短评打分': 5}
{'短评内容': '酒店就在世界之窗边上，旅游购物都很方便，离地铁站很近，交通方便，下次还会入住。', '短评打分': 5}
{'短评内容': ' 还不错 早餐差点 ', '短评打分': 5}
{'短评内容': ' 酒店一般般 床单上有头发', '短评打分': 5}
{'短评内容': '位置还是不错的，但是有酒吧比较吵，而且价格比较贵，其他地方可以住更好的', '短评打分': 5}
{'短评内容': '选择世界之窗  住这里还是可以的。就是隔壁但是设施旧，卫生一般，可能自己要求太高了 呵呵', '短评打分': 3}
{'短评内容': '酒店确实跟世界之窗很近 ，就隔壁。在世界之窗玩 说实话住在这里还是蛮方便的。可以两次入园，还有晚上的门票赠送如果自己邮票可以相当于三次入园了，绝对够玩了。但房间设施显得有点旧，专修较早吧。', '短评打分': 5}
{'短评内容': '环境很好，建筑有特色，附近有酒吧街，只是早餐品种少', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '1.来世界之窗玩，这个酒店的位置大概是最理想的，离大门口步行3分钟。停车直接使用世界之窗的停车场，而且入住的话免费停车（离店前记得索要听车票）.\r\n2.我这次住的房间在一楼（楼下），但是晚上并不吵，房间的布局还可以。主要问题是太窄，尤其是卫生间本来就不大，却还用玻璃隔开了冲凉间，转身都困难了。\r\n3.酒店对面马路有商业区，超市、商场应有尽有，过马路从地铁的地下通道过去很方便。', '短评打分': 5}
{'短评内容': 'Good accommodation for visiting Window of the World.', '短评打分': 5}
{'短评内容': '位置和服务都不错，就是早餐太差了！！', '短评打分': 5}
{'短评内容': '性价比很好的酒店，位置很好就在我单位对面所以总是入住这家，下次还会继续住的', '短评打分': 5}
{'短评内容': '还不错的！\r\n就是房子设施差了点，但出去玩的话还是不错的', '短评打分': 5}
{'短评内容': '位置不错挺方便出行的,硬件和软件条件也很好,我个人还是比较喜欢这家酒店.', '短评打分': 5}
{'短评内容': '房间比较小,空调声音又比较大.不过性价比还是可以的,价格比较便宜嘛.如果是自己出行还是可以选择入住的.', '短评打分': 5}
{'短评内容': '可以，不错，推介', '短评打分': 5}
{'短评内容': '房间很干净，硬件设施比较完善，服务一般，性价比还好，下次如果在附近出行还会考虑入住。', '短评打分': 5}
{'短评内容': '酒店的客房比较小,显得很拥挤.不过服务比较到位,而且位置很好很方便出行.我个人比较看好这家酒店.', '短评打分': 5}
{'短评内容': '应该不错，我订给女儿的，听好说可以接受。', '短评打分': 5}
{'短评内容': '性价比还可以，服务一般，感觉就是个经济型的客栈，都很一般化。', '短评打分': 5}
{'短评内容': '距离世界之窗近，除此之外，不划算', '短评打分': 1}
{'短评内容': '带我们家宝贝在世界之窗逛的晚了，就近住了这家客栈，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '客栈的位置很优越，交通便利，楼下就是个酒吧街，晚上不愁找不到玩的地方啦！', '短评打分': 5}
{'短评内容': '客房装修不错，看着很舒服，卫生间打扫的也很干净，床上也很整洁。', '短评打分': 5}
{'短评内容': '位置很便利，离地铁站很近，出行非常方便。', '短评打分': 5}
{'短评内容': '简洁大方的客房，住着蛮舒服的，服务一般，建议提高一下。', '短评打分': 5}
