{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '我感觉这家酒店布置的挺温馨的,感觉挺舒适的,就是隔音效果不是很好,周边环境一般了,位置有些偏了,不太好找,价格方面还是比较合适的.', '短评打分': 3}
{'短评内容': '酒店的位置比较偏僻,当时找了很长时间,房间的采光也不是很理想,感觉有些暗,灯光也不是很亮,性价比一般.', '短评打分': 3}
{'短评内容': '酒店就是地理位置不是很明显,感觉挺难找的,内部环境还是可以的,但是条件比较一般,性价比也很一般.', '短评打分': 3}
{'短评内容': '房间很温馨，就是内置窗户，有点遗憾..', '短评打分': 5}
{'短评内容': '地理位置有点偏，房间干净，隔音效果不好。', '短评打分': 3}
{'短评内容': '我住的是199元的商务标准间，总的来说，性价比不是很高，马马虎虎吧，房间比较小，但还算干净的，位置也还算好的，只是这个标准间要199元，还是有些贵了的。', '短评打分': 5}
{'短评内容': '地方太难找了，我在街上找了一个半小时', '短评打分': 1}
{'短评内容': '房间小了一些不过卫生还是挺干净设施也不错,位置有些偏了找的时候不是很好找但是出行挺方便,服务态度挺好的,总体感觉还是挺满意的.', '短评打分': 3}
{'短评内容': '酒店的整体感觉很好，但是房间里面的设施坏了没有人及时修理。交通方便。', '短评打分': 3}
{'短评内容': '周边的出行不是很方便,位置有点偏.其它各方面都不错,这家酒店服务很好.', '短评打分': 3}
{'短评内容': '也许是我期望值过高吧\r\n对这里有点失望\r\n位置不是很好\r\n距离景区还是有一段距离的\r\n其他的还说的过去', '短评打分': 1}
{'短评内容': '还行，房间小而且不隔音', '短评打分': 5}
{'短评内容': '位置是有点偏，不过还算方便，我住的是大床房B，进去感觉很小，应该是酒店布局不太合理', '短评打分': 5}
{'短评内容': '酒店房间小了一些但是很干净,配套设施差了一些,位置还可以就是开车进出不方便道比较窄.', '短评打分': 3}
{'短评内容': '酒店环境一般，位置是最大的优点，外出方便，价格比较适中，总的来说还行', '短评打分': 3}
{'短评内容': '服务一般', '短评打分': 1}
{'短评内容': '环境还可以，设施一般，上次订了三间房，有一件的电话是坏的，酒店的位置有点偏，离黄龙比较近，不过去西湖就不太方便了，服务还是挺好的', '短评打分': 5}
{'短评内容': '房间面积太小', '短评打分': 5}
{'短评内容': '综合来说酒店还可以，按这个价格来说环境还行，就是隔音效果太差了', '短评打分': 5}
{'短评内容': '酒店的很干净的，给人感觉很舒服的，卫生服务和设施都非常好的，位置还可以的，性价比不错的酒店的', '短评打分': 5}
{'短评内容': '性价比很好 但是窗在楼道里 隐私不保险 也会被人吵到', '短评打分': 5}
{'短评内容': '总体很一般！', '短评打分': 1}
{'短评内容': '周边出行方便，价格也便宜，就是当时订的双床的，他们说有客人不愿意退房，需要延住，我们就只有住大床间了，这一块不是太好', '短评打分': 5}
{'短评内容': '位置有些偏,酒店里面比较安静,整洁,对于酒店的环境,价格很合适.', '短评打分': 5}
{'短评内容': '在杭州这样的旅游城市来说，他们的价格算是还可以的，而且房间也挺干净，设施相对不错，所处的位置交通也算是方便，走几步就能到交通主干道，还可以，就是他这里不能提供餐饮，但听说他们好像在增加，增加了就比较方便。', '短评打分': 5}
{'短评内容': '在杭州这样的旅游城市来说，他们的价格算是还可以的，而且房间也挺干净，设施相对不错，所处的位置交通也算是方便，走几步就能到交通主干道，还可以，就是他这里不能提供餐饮，但听说他们好像在增加，增加了就比较方便。', '短评打分': 5}
{'短评内容': '酒店的浴室设计很好，位置离西湖有点远，服务和卫生条件都很', '短评打分': 5}
{'短评内容': '我住的是大床房B间，因为之前住过MOTEL168，相比之下感觉这个就稍差些，没有网线，房间小。离我要去的地方很近，但性价比不好；公司附近有一个布丁酒店，才九十块一晚，非常适合背包族。地理位置好一些。', '短评打分': 1}
{'短评内容': '整体来说还是不错，比较干净。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行也很方便,价格比较合理,就是当时的房型没有靠窗子.值得推荐的酒店类型.', '短评打分': 5}
{'短评内容': '这家酒店还是比较实惠的，干净整洁，服务也很周到，就是卫生间有点味道', '短评打分': 5}
{'短评内容': '酒店其实很一般，服务还不错，但是房间窗户是向楼道的，跟没有一样，室内空气流通不好，有味道，而且酒店还不好找，就是价格便宜，所以还算可以了。', '短评打分': 5}
{'短评内容': '房内破损的设施未及时进行处理,现在最基本的电茶壶也没有,只用老式的饮水机,空间太压抑.还有降价的空间.', '短评打分': 5}
{'短评内容': '价格便宜，性价比高，酒店的服务周到，环境也很不错', '短评打分': 5}
{'短评内容': '酒店环境很好,很安静,但是酒店的制度感觉比较严格,就是房间住几个人就要出示几个身份证,而且停车场太小,不过酒店本身条件还是不错的', '短评打分': 5}
{'短评内容': '被子、枕头上有污渍', '短评打分': 5}
{'短评内容': '房间小了点,而且早餐是限时的,其他方面还可以,价格挺合适的,而且位置也还不错', '短评打分': 5}
{'短评内容': '我觉的这个酒店的服务设施没有7天好，主要是觉得卫生方面，和房间的隔音不行，不过他的位置还是不错的，交通挺方便。', '短评打分': 1}
{'短评内容': '酒店人员服务很好,很热情,而且地理位置也还算可以,交通蛮方便的', '短评打分': 5}
{'短评内容': '房间的设施比较陈旧，位置也有点偏，在弄堂里不好找，酒店的价格还是比较优惠的', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '酒店的设施环境都很好,位于市中心但是不是在主路上第一次去可能找起来不是很方便,其它的对酒店还是都很满意的.', '短评打分': 5}
{'短评内容': '酒店的布置感觉挺精致挺温馨的,服务卫生也挺好的.价格挺实惠的.', '短评打分': 5}
{'短评内容': '服务很好，价格优惠，就是酒店在巷子里不好，我当时找了半天才找到', '短评打分': 1}
{'短评内容': '5-6层的水压不够，洗澡有困难，其他方面还是很不错的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '对那一带比较熟，所以觉得位置还可以，我住的是临走廊的那一间大床间，隔音效果确实不好，不过本人属于睡觉雷打不动型，所以觉得一切OK。就是前台女服务员有点臭脸，另外房间里没有梳妆镜是最困扰的事情，洗手台镜前灯也不够亮。', '短评打分': 3}
{'短评内容': '实在不敢恭维，“差”就一个字，房间小，房间根本没有办法走动，房内没有网线，上网还有自己准备网线。隔音太差，热水不足，洗脸池的水根本下不去，早上脸都没有办法洗。地方太偏，在九莲新村的小区内。', '短评打分': 3}
{'短评内容': '说实话,装饰什么还可以,就是隔音真的太差了,在我们隔壁房间的女人半夜2点叫床把我吵醒了那声音和杀猪一样!~4点多又来了一次我真受不了!~连他们小声说话的声音都听的见!~地方也不好找~晚上肚子饿了也没有地方吃东西!~满不方便的!~服务态度还可以!~下次肯定不住了!`再住那肯定要少活几年!', '短评打分': 1}
{'短评内容': '我是06年5.1期间定的大房间，超爱超爱它洗手间外的粉红色纱帘，很浪漫的感觉哦，洗手间的门是透明玻璃的，然后用纱隔起来，很qute啊。床也超大，房间干净整洁，很有时尚感，下次如果还去的话我会带上我男朋友，呵呵。。不过就是杭州的交通我特别不喜欢，打个车根本就拦不到，等公车又半天等不到，人也多，到处修路，不喜欢！！', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;位置比较偏僻在杭州的西区周围没有小店交通也一般房间的大小可以接受毕竟经济型&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;洗澡间设计比较有特色整个毛玻璃&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;里面洗外面可以欣赏呵呵&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '蛮干净的.人多早餐时基本没有位子', '短评打分': 5}
{'短评内容': '大床b的房间的窗户是向着走廊的，隔音是不好，但比较安静，可能是那天住的人不多，还挻干净的，扫地的阿姨都很礼貌，如有他们店的vip卡，148元就够了，还可以送二份早餐，和延迟退房', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;门和墙壁太不隔音了，因此性价比没有体现出来。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;地方偏，隔音不好，其他还好。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '不错，装修很新，服务态度也好。就是房间墙太薄，不隔音哦，呵呵~~~', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;还不错，房间干净的，就是后半夜和早上没有热水```哈哈~~&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;新开的， 很干净，服务态度不错。价格也比较便宜，性价比高。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;春节时候跟我朋友过去住的，总的来说那里的住宿条件还不错，因为是刚开不久，所以里面的硬件还很新很干净。那里的服务人员态度也不错。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;唯一的缺点就是隔音效果稍微差了点，连摇床声都能听到。&amp;lt;/P&amp;gt;', '短评打分': 5}
