{'短评内容': '挺干净的，就是有点设施陈旧', '短评打分': 4}
{'短评内容': '没落4星', '短评打分': 1}
{'短评内容': '距离建设部比较近，所以去那里公干的比较方便了', '短评打分': 5}
{'短评内容': '我住得是3号楼，卫生还算干净，但设施不行，房间小 电视是个21的普通彩色电视，这些设施和320多元的房价相比不靠边。如果价格在200元以内还是可以接受。附件没有超市，最近的超市要一站多的路。', '短评打分': 1}
{'短评内容': '很满意！', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': 'verygood', '短评打分': 5}
{'短评内容': '离建设部的酒店比较少,这个算不错', '短评打分': 5}
{'短评内容': '还可以 但是房间就是小了点 别的都很好 隔音不是很好~~~~最的来说不错！！！！', '短评打分': 5}
{'短评内容': '挨着角的房间噪音很大', '短评打分': 1}
{'短评内容': '装修后环境不错,卫生也可以,就是结帐太慢', '短评打分': 3}
{'短评内容': '酒店环境还不错,但是酒店里面有些服务人员工作做的并不是很规范,卫生条件挺好的,价格也还算优惠.', '短评打分': 3}
{'短评内容': '卫生不错很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '酒店位置很好，房间内的装修设施只能算三星级，但是性价比很高，唯一最让人恼火的是宽带收费高，居然要1元1分钟，60元封顶', '短评打分': 5}
{'短评内容': '主楼不错，以前主过辅楼，挺破的。\r\n商务出差，房间设施、卫生、出入方便都不错。\r\n房间内只提供免费的袋泡绿茶、红茶，其余一概收费，有些过分，与其四星似乎不相称；倒是早餐价格不算便宜，但服务跟不上，每次去总是缺这少那的，要分几次才能拿到想吃的东西，品种数量不如附近的国谊宾馆', '短评打分': 5}
{'短评内容': '我觉得酒店环境还可以，位置也比较方便，有一点觉得不太好，就是上网还需要收费，价格有点高', '短评打分': 3}
{'短评内容': '商务酒点,适合差旅', '短评打分': 5}
{'短评内容': '酒店还可以，环境不错。就是服务需要改进一下！', '短评打分': 3}
{'短评内容': '酒店还可以，环境不错。就是服务需要改进一下！', '短评打分': 3}
{'短评内容': '酒店的服务态度不是很好，设施条件还是不错，位置比较方便，价格适中。', '短评打分': 3}
{'短评内容': '酒店旧了一点，但是还是可以，主要是交通方便', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还好，价格合理适中。卫生服务也比较达标，出行交通也很方便。位置还是比较不错的值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '单人房间很小，位置很好。', '短评打分': 5}
{'短评内容': '位置不错，出行很方便，房间的卫生和设施还可以，酒店前台的服务还算比较好，我觉得这家酒店性价比还是比较高的', '短评打分': 3}
{'短评内容': '环境还可以，结帐有点慢。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店重新装修后整个服务也有了提高，不错', '短评打分': 5}
{'短评内容': '这家酒店位置挺符合我的要求的,出行很方便.服务卫生方面也都还可以了,价格方面我觉得也比较合适的.', '短评打分': 3}
{'短评内容': '性价比很好的一家酒店', '短评打分': 5}
{'短评内容': '挺不错的酒店,卫生挺干净的,当时去住的时候感觉打完折还是挺便宜的,我挺满意的,性价比还是很高的一家酒店.', '短评打分': 3}
{'短评内容': '西城区的酒店，位置不错，其他还算可以', '短评打分': 5}
{'短评内容': '酒店的性价比还是可以的，值得推荐', '短评打分': 5}
{'短评内容': '条件还可，房间干净的，就是太小了，上次住的标间，600多，价位有点高', '短评打分': 1}
{'短评内容': '服务极其恶劣，大清早一帮人在大堂大声喧哗，办理手续磨磨蹭蹭，好像是别人向她８００万似的，卫生条件更是让人恶心，马桶好像几年没刷，毛巾白色的快变成黑的了，．．．．．．．总之最后别来入住他们家！', '短评打分': 1}
{'短评内容': '客房的服务很好，酒店的位置也比较方便，就是餐厅的餐饮价格有点贵', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '房间太小了，床也太小，价格高', '短评打分': 1}
{'短评内容': '酒店的位置很好很方便,环境价位也不错.就是房间面积有点小.我以后过去北京还会考虑入住这家酒店.', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，离我办事地很近，对我来说非常方便。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '餐厅价格比较贵；主楼的房间还是不错的，满干净；电视频道比较少；票务中心的服务态度很差，我去订票的时候跟我说“把烟掐了！”，连个请字都没有，这就是奥运期间的服务态度吗？&lt;br /&gt;\n其他的地方还是比较满意的。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '硬件太差！空调关掉还响。服务一般，餐饮太差太贵！', '短评打分': 3}
{'短评内容': '2号楼简直就是地狱！服务态度及差！这样下去迟早要关门&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '2004年10月31日入住3号楼，天啊，太差啦，开始订房时小姐已经对我说只是2星的房间，开始我想是4星的酒店，应该不会太差吧，哪知道啊，住进去就想走，本来订了一周的房也不想再多住一天，明天发誓要搬走。。。。', '短评打分': 1}
{'短评内容': '去2号楼住过，感觉不怎么样，房子过于老旧。服务态度很冷淡。即使是主楼的服务小姐，也比较呆。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '二号楼太差了，服务员态度不好，不耐心！三号楼还不错。', '短评打分': 3}
{'短评内容': '新大都设施较全，地理位置也很好，很容易找到，美中不足是：&lt;br /&gt;\n  一、2号楼设施很破旧，空气也不好，没有服务员带入客房；&lt;br /&gt;\n  二、服务台工作面积小，如有三、五位客人定房需要等待一些时间；&lt;br /&gt;\n  三、停车场停车需另收费用，过夜价格更高。', '短评打分': 3}
{'短评内容': '我住过那里，好象以前是国务院招待所吧，还不错，不过我住的主楼的标准间。特别是宾馆门口那条小道很有意思，柳条耷在路边', '短评打分': 3}
{'短评内容': '酒店的介绍太过于简单，顾客很难做出选择', '短评打分': 3}
