{'短评内容': '中央空调噪音有点大，别的 还是可以的，离车站也近', '短评打分': 5}
{'短评内容': '性价比高 房间新 干净 还带早餐 确实比较不错', '短评打分': 5}
{'短评内容': '住宿条件不错，价廉物美。交通也比较方便，下次还会住的。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，房间很大。早餐也不错，值得催荐。很实惠。 \n', '短评打分': 5}
{'短评内容': '很新，很干净，就是南边有点吵，早饭也可以！！！物有所值', '短评打分': 5}
{'短评内容': '现在酒店经常会有会议，大堂显得乱七八糟的。服务还好。', '短评打分': 5}
{'短评内容': '很不错的酒店，环境优雅，设施齐全，服务一流，交通便利（距离火车站步行2分钟）！', '短评打分': 5}
{'短评内容': '卫生可以，服务态度也还好，只是不太人性化，各方面提醒不到位。', '短评打分': 3}
{'短评内容': '还好，面对火车站站前广场，很舒服。有果盘赠送，虽然还是那样少的东西。', '短评打分': 5}
{'短评内容': '性价比高。便宜，干净，配置全。不足之处：餐厅服务不行。', '短评打分': 5}
{'短评内容': '服务挺好的', '短评打分': 3}
{'短评内容': '还不错，比较经济实惠的酒店。现在有好多会议住宿活动。这两天一直在住。', '短评打分': 5}
{'短评内容': '三维大酒店卫生服务很好', '短评打分': 3}
{'短评内容': '行，继续住着。早餐还行。蚊子不少。值得一住。', '短评打分': 5}
{'短评内容': '不错，一直住这儿。除了蚊子比较多外，其他都OK。', '短评打分': 5}
{'短评内容': ' 住宿还满意', '短评打分': 3}
{'短评内容': '不错吧，一次比一次好。早餐也还不错，比以前强了很多。', '短评打分': 5}
{'短评内容': '酒店位置交通便利，但是不好停车，新酒店，有装修气味，不太安静。', '短评打分': 5}
{'短评内容': '房间不错，收拾的很干净，还有我很喜欢那里的自主早餐，就是宽带不给力，那里只能用XP系统的机器上网，问过值班经理后，说是电信公司的原因，唉……', '短评打分': 5}
{'短评内容': '返完现后标准间只有123元，物超所值，房间比较宽敞，设施也很新，早餐比较丰盛，前台服务态度很好，总之很不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，床很舒服，还送了一盘水果，美中不足的是房间有点味道，卫生间有点小。', '短评打分': 3}
{'短评内容': '房间还可以！环境占较大的优势，交通比较方便，适合出行旅游居住！', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，房间很大。早餐也不错，值得催荐。很实惠。', '短评打分': 5}
{'短评内容': '还不错，还是八层舒服。有果盘赠送。现在越来越好了。', '短评打分': 5}
{'短评内容': '超棒的酒店 148元的价格 性价比超高 超高 房价超大 空气又好，床很舒服 和女朋友去过最好的一家了', '短评打分': 5}
{'短评内容': '有点比较干净 工作人员态度也很好 值得推荐 不过有一点说一下 就是因为酒店在火车站对面 外地的朋友一定注意千万不要再火车站旁边 也就是长途汽车站那一面的小饭馆吃饭 这帮孙子特黑 他们没有菜单 菜单在墙上画着 画的下面用几乎看不见的数字写着价格 一碗面刚开始说是几块钱 但是等你吃完后就和你要好几十 专门黑外地人这帮孙子也看人下菜的 和我要我没给 扔了十块钱 畜生啊 也希望酒店能提醒客人啊 酒店不错 ', '短评打分': 5}
{'短评内容': '酒店很好，很新，很干净，就是早餐差劲，连鸡蛋都没有，省钱省到家了，不过146的价格真的很超值啊', '短评打分': 5}
{'短评内容': '还好，看着酒店越来越热闹了。房间的隔音不好。服务员又换了一批。', '短评打分': 5}
{'短评内容': '一夜换三个房间的痛苦经历，在昨夜诞生了。唉。要么房门打不开，下去换卡，然后继续打不开，然后再由工作人员开门……接着上网，上不去，换一根不行，再换一根，还不行，最后原来是房间的端口不行，换房间……下楼办手续，原来该房间早被定出去了，然后接着换房间……还好，换了房间后一切归于平静。\n希望服务跟得上啊。不然，再新的东西也会有坏的时候。', '短评打分': 5}
{'短评内容': '整体不错！！！！！！！！！！！！！！！！！！！！！！！！！！应该是新酒店所以装修味道有点，在一个电视节目差劲好少哦！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '早餐品种有点少，但还算不错。像牛奶、煎蛋什么的经常断……尤其是煎蛋的那位大姨，经常找不到人。不知搞什么。', '短评打分': 5}
{'短评内容': '酒店新开不久，设备很新，房间很大，很干净，服务很好，早餐品种很多超出预想，距车站很近，这次订购超值！', '短评打分': 5}
{'短评内容': '超级性价比。房间较干净整洁。离火车站很近。推荐。', '短评打分': 3}
{'短评内容': ':新酒店，设施一般，但，很干净，隔音也好。商务房有电脑。价格不高。位置好，出潍坊站后，穿过站前广场即是。早餐也可以。不推荐吃正餐。服务不错。', '短评打分': 3}
{'短评内容': '这家酒店离火车站很近,就在火车站广场对面,外出打车很方便.不足之处是早餐品种较少,入住的商务套房楼上洗澡下水的声音听的非常清楚,影响休息.还有就是管理上真的有待加强.', '短评打分': 5}
{'短评内容': '出差来的，住了不止一次了。感觉还可以，但是依然没有解决房间内蚊子多的顽疾，酒店内人员貌似做了调整。白班服务还好，夜班以男生为主，服务一般。', '短评打分': 5}
{'短评内容': '不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 不错的 ', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '比较新，干净，安静。主要是便宜，还有免费早餐，还提供潍坊著名的青萝卜，饱了口\n\n福，性价比高。\n\n洗澡毛巾不是全棉的，吸水不行，小遗憾。\n\n另外，免费牙膏无纺布袋很实用，可以放些发票之类，比信封好用，我非常喜欢。', '短评打分': 5}
{'短评内容': '酒店不错 有自助早餐  靠窗的位子不错\n就是装修的味道有点大 晚上很安静 \n晚上有送水果  还不错\n希望以后能提供手提袋 ', '短评打分': 5}
{'短评内容': '酒店比较干净感觉不错', '短评打分': 3}
{'短评内容': '三维大酒店绝对物超所值，面积大，环境好，服务更好，干净卫生。晚上还送水果，下次来潍坊还住这里。', '短评打分': 3}
{'短评内容': '本人爱短评\n   1.点餐点八个 送七个 点披萨 菜单有 服务员说没有\n   2.宽带爱断 断两次 而且爱断两天 维修不积极 本人搞网络 酒店不能上网 只能去网吧 增加了本人工作的巨大风险 \n   3.空调有动静 没冷风 被子厚 大半夜跑到大厅去凉快 看了一下 酒店员工也热 就差去酒店旁边广场凉快  \n   4.大厅卖的东西能调一下价格 至少那笔和火机可以免费 那些东西真不值几个钱 就不要让你的上', '短评打分': 1}
{'短评内容': '酒店还是不错的，很新。离火车站真够近的，出来就能看见。略微有点装修的味道，不过问题不大。早餐还成，对的起经济酒店的要求了。', '短评打分': 5}
{'短评内容': '挺好的，房间够大，也干净，服务人员很热情，总的来说很满意，就是电梯因为刚刚装修完的原因胶味有点刺鼻，早餐也比较丰富，最后感谢服务人员送的小果盘，很温馨~~~', '短评打分': 5}
{'短评内容': '挺好的，但是洗澡的地方有点堵水不是很影响生活所以还是觉得很好的 啊', '短评打分': 5}
{'短评内容': '酒店很干净。', '短评打分': 3}
{'短评内容': '靠近火车站，出行方便。酒店干净，整洁，是新开的酒店。房间够大。但就是我定房时特别要求能上网。（因为工作需要）。但给我的房间恰恰国内上网，其它房间基本满房。第二天上午才给调了一个房间。', '短评打分': 5}
{'短评内容': '唉，没有送果盘，网络一直不通，入往时也不如实告知，后来听说线路问题。总之，感觉不比以前。早餐下的很快，食物没了也不再补充。\n希望抓紧改进吧！', '短评打分': 5}
{'短评内容': '还好啦，只是最后的那位前台小姑娘服务的实在是太不敢恭维了。续房费续完了跑一边玩，最后结帐工作程序极不熟练，还需要领班指导。希望加强员工培训！\n还有，房间内不配灭蚊药，蚊子太多了！！强烈建议房间内灭蚊！！', '短评打分': 5}
{'短评内容': 'zaocanbucuo!danshifangjianjiaquanqeizhong', '短评打分': 5}
{'短评内容': 'xinkaiyede jiudian! jiaquanweizhong', '短评打分': 5}
{'短评内容': '性价比非常高。房间很大，很干净。床也和舒适，很舒服。\n比较幸运，我用的win7也上网了，两次。网速比较慢，有待提高。\n', '短评打分': 5}
{'短评内容': '性价比非常高。房间很大，很干净。床也和舒适，很舒服。\n比较幸运，我用的win7也上网了，两次。网速比较慢，有待提高。', '短评打分': 5}
{'短评内容': '很不错，这两天一直住在这里，只是蚊子有点多，希望每间配个电蚊香比较好些。', '短评打分': 5}
{'短评内容': '酒店很不错，除了门脸有点小，好像整体楼还没完全装饰完成，但整体不错，值得推荐。服务很好，通风良好，第一晚入住有水果赠送（虽然水果品种有待改进），房间很大，约20平左右。卫生间稍显小了一点，但不影响我入住的总体感觉。楼屋屋内很干净、轻爽。上网除WIN7外都OK。楼内有餐厅，早上有早餐。早餐很赞！\n下次，还会入住这里，并且推荐！', '短评打分': 5}
{'短评内容': ' 酒店的硬件设施是比较不错的，早餐也很好。房间面积也比较大。缺点：洗澡间热水上水速度将慢。', '短评打分': 5}
{'短评内容': '位置交通非常便利，外部内部环境很好，比较干净卫生，服务态度不错。', '短评打分': 5}
{'短评内容': '酒店很新，位置在潍坊市中心，服务也不错，交通方便，早餐也不错', '短评打分': 5}
{'短评内容': '性价比很高哈，浴室不过小点，有线电视一直没看清楚', '短评打分': 5}
{'短评内容': '这个酒店好很干净舒适，住的很舒服，早餐也很好下次一定会再入住，起码四星级的标准', '短评打分': 5}
{'短评内容': '室内卫生整洁，实至名归， 值得前往。希望外围赶紧整修完毕，环境会更好。', '短评打分': 5}
{'短评内容': '这是我住过性价比最好的酒店，服务非常好，', '短评打分': 5}
{'短评内容': '酒店就在火车站对面，十分方便。是标准的三星，房间很干净，舒适，送的早餐也很丰盛。', '短评打分': 5}
{'短评内容': '超级棒\n以后来潍坊还要住这\n很新的酒店\n房间超大\n装修也不错\n相对于超大的房间卫生间显得小了些', '短评打分': 3}
{'短评内容': '酒店是新装修的，前台服务，房间基本设备等都很不错，总之物有所值，下次有需要还会继续选择这个酒店的。', '短评打分': 5}
{'短评内容': '除了离火车站近点意外，没啥好的，连网都没有的，竟是骗人的，说什么WIN7，和VISTA不能上网，靠，现在还有谁用老系统吗？', '短评打分': 1}
{'短评内容': '酒店地址不明，非常难找。家具油漆味太浓，住了一晚上嗓子疼。', '短评打分': 1}
{'短评内容': '很不错的酒店，设施很新，干净。虽然就在火车站对面，但是晚上并没有听见火车的声音，很安静。', '短评打分': 5}
{'短评内容': '坑爹啊！\n晚上20:30的时候去吃饭，告诉我餐厅关门？？\n上不了网，告诉因为我的电脑是win7系统？？', '短评打分': 1}
{'短评内容': '硬件设施不错，离火车站挺近，总体来说性价比不错，下次还会再住！', '短评打分': 5}
{'短评内容': '房间较干净，离火车站较进。比较卫生，但是房间厕所下水道声音较大。', '短评打分': 5}
{'短评内容': '服务还是那么好,定的大床房临时调换的标准间,很快就换好了\n环境好,唯一就是感觉中间空调的制冷效果一般,温度再低点就好了\n退房的时间如果能延后一下会更好\n房卡上的时间与实际的时间不符,差了一个小时', '短评打分': 5}
{'短评内容': '    综合起来说还是相当不错的。设施很新，早餐非常给力。应该说性价比很高的。\n     但是有一点不吐不快。入住后一进房间，发现中央空调噪音非常大，如果睡觉比较轻的人肯定受不了，就要求工作人员前来查看，后来服务人员把什么阀给关掉了，声音小了很多，但是制冷效果也大大下降。希望酒店能查找一下原因。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店还不错。就是沐浴设施和隔音需要改进。阳面房间有些热，酒店帮忙调了房间。', '短评打分': 5}
{'短评内容': '离火车站很进相当不错，价格便宜房间舒适早餐也很好。', '短评打分': 5}
{'短评内容': ' 新设施。吃饭方便。交通更方便。经济实惠', '短评打分': 3}
{'短评内容': '不错的地方，去过两次，感觉都不错，下次肯定光临呦。', '短评打分': 3}
{'短评内容': '比较新的酒店，但入住后发现房间里有些问题，有的灯不亮。没有正式的书桌，只有一张台，也没有台灯。网络上不了网，说是网络公司不支持Win7和Vista，还是头一次听说酒店网络不支持某个操作系统。插座只有一个，插了电脑就不能给手机充电了。电煮水壶旁没有插座，要放到地上或拿到插电脑的插座上用。浴室灯的开关在浴室里，用起来很不方便。 酒店前台办理入住和退房太慢，需要改进。有一点不错的是早餐，还比较丰富。这次', '短评打分': 5}
{'短评内容': '酒店设施很新，早餐也可，就是刚装修有异味', '短评打分': 5}
{'短评内容': '超级好,一级棒,住了一天半,感觉相当好\n装修风格和采光度都不错\n唯一的缺点是窗户不能完全打开\n早餐超赞\n服务也比较不错\n值得推荐!', '短评打分': 5}
{'短评内容': '为什么退房时没有报销发票', '短评打分': 3}
{'短评内容': '首先提一点，没发票~！选择此酒店的朋友先考虑这一点啊~\n别的都挺不错的，新开的酒店，离火车站也非常的近，还不吵。房间大小也合适，餐厅可以送餐，味道也非常的好。本来我是对这酒店非常的满意的，不过。。这退房的时候告诉我没发票了，让我很是恼火~！不过酒店答应说是过几天给邮过来，希望可以履行承诺。', '短评打分': 5}
{'短评内容': '不能这么坑人啊！第一次网上订房就有这么深刻的被骗的感觉，网上给的照片也太假了，装修没图片那么好也就罢了，但最起码你房间大小别骗人啊，说好30平方米的，一进房间发现，可能也就20，隔音效果就更让人上火了，感觉好像床跟前就是人，隔壁的声音一清二楚，啥心情也木有了，唯一让我感觉不错的就是那免费的早餐，那味道绝对一流，这个必须要赞一赞！', '短评打分': 1}
{'短评内容': '汽车站及火车站都在旁边，新楼使用不久，洗浴有大小两种莲蓬头供选用，自助早餐品种较丰富', '短评打分': 5}
{'短评内容': '內部清潔尚可，地點離車站相當近，交通非常方便。', '短评打分': 5}
{'短评内容': '位置很方便，不过酒店时间不长，工作人员有些业务不熟。服务还是不错的。', '短评打分': 5}
{'短评内容': '还不错,服务挺好,但离火车站太近有点吵.', '短评打分': 3}
{'短评内容': ' 干净舒适，房间隔音不好。', '短评打分': 3}
{'短评内容': '    在火车站正对面，放假很大很新，室内外有地毯，射灯照射的很温馨。我住宾馆不敢用浴缸，都是用淋浴的，双标间的是淋浴，大淋浴头很舒服。总的来说就是超值。', '短评打分': 5}
