{'descr': '酒店就在地铁口，很方便。周边购物和餐饮业很好。', 'star': 5}
{'descr': '不晓得为什么，来过几次，这里前台的态度实在太冷淡，问什么不知道什么~~ \n房间的墙面上有霉斑。', 'star': 1}
{'descr': '地理位置不错，旁边就是2号线。房间还算比较干净的，卫生间很明亮宽敞。', 'star': 5}
{'descr': '离机场比较近 特别适合夜间下飞机的朋友 特别推荐', 'star': 5}
{'descr': '去去上海虹桥交通枢纽和赶飞机的人来说很方便，服务也不错。', 'star': 5}
{'descr': '在地铁线上，有噪声可以忍受，因为酒店的地点是自己选的，明天一早要赶飞机，但不能忍受的是酒店的服务，前台的服务冷冰冰，给了一个取电卡（用于刷电梯的），近在咫尺，就不告诉一下，还得我摁了几次电梯没反应。这里的网速慢的像老牛。为了交通方便，可推荐，但这服务和设施不敢恭维', 'star': 5}
{'descr': '偶是11月13号晚上入住的。酒店交通方便就不说了，对面是个大商场，出门左拐是小吃一条街，早点、正餐、水果、瓜果都是居民价，能感受到上海市民的日常生活，对惧怕上海地面交通的外地人来说的确是个不错的选择。可能员工少吧，退房不能快速清理出来，入住要等等的。', 'star': 5}
{'descr': '非常方便！酒店在地铁2号线北新泾站口上（15米），不用拉着行李箱走好远，距虹桥机场、虹桥火车站很近，乘地铁2号线去市中心可到多个景点、购物中心，在上海算价廉物美了！就是在客人入住、退房的高峰期，前台工作人员安排不足，10人等了半个小时才入住，前台岗位管理、工作效率有待提高。客房服务规范。', 'star': 5}
{'descr': '总体感觉不错，吊顶有点问题，满干净的。。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '位置离地铁超近，出了地铁口竟然连30米都不到。周围设施也很方便，就是环境稍微有点吵。', 'star': 5}
{'descr': '很方便，就在地铁出口边，很方便，要去虹桥火车站很方便', 'star': 5}
{'descr': '酒店设施很好，很温馨，但是离路太近，晚上吵', 'star': 1}
{'descr': '非常满意', 'star': 3}
{'descr': '性价比非常高交通方便值得推荐', 'star': 3}
{'descr': '就在地铁2号线上方，交通非常之方便，房间很干净，性价比非常高', 'star': 5}
{'descr': '酒店地理位置不错，出行方便，吃饭购物也方便，不错的。', 'star': 3}
{'descr': '离2号地铁线非常近 非常方便去虹桥机场 而且环境也不错 也不吵 价格也非常合适', 'star': 5}
{'descr': '酒店位置不错，紧挨2号地铁口，出行非常方便，房间卫生也很好，很满意的。只是房价有点高哟。', 'star': 3}
{'descr': '还可以呀，在世博期间能找到这样的酒店，还算不错，就在地铁口出口旁边，偶尔会感觉到地铁的经过声，不过晚上收车后，应该是没有了～还可以接受吧', 'star': 5}
{'descr': '隔音太差。 地铁加上不文明的“叫早”喧哗， 早上不能睡眠。\r\n提前退房。\r\n\r\n最多200元', 'star': 3}
{'descr': '酒店地理位置不错，出去玩或者返程到机场，都是不错的选择。我订了两间商务大床房房，各三天。挺不错，服务员定时更换被套浴巾，安全卫生。', 'star': 5}
{'descr': ' 一般。最多200元一晚。', 'star': 5}
{'descr': '酒店不错。', 'star': 5}
{'descr': '推荐,就是价格比以前高一点！我以前住220元，现在298元（特价房）！', 'star': 5}
{'descr': '位置非常好，交通便利，房间隔音差了，早上基本不能睡懒觉', 'star': 5}
{'descr': '位置好，入住方便。不过没带身份证的访客不许入内，感觉有点过分。', 'star': 5}
{'descr': '前台服务主动为客人着想进行提示；上电梯需房卡，外人不易进入酒店，很安全；房间宽敞，设施全；位置在地铁口，有免费停车场，交通十分方便；酒店门口有24小时营业的餐饮服务（肯德基、麦当劳、面包房、盼达餐厅等）。商务、旅游首选。', 'star': 5}
{'descr': '  热水不太好,忽热忽冷!', 'star': 5}
{'descr': '地铁优势不用说，房间质量还算可以，就是天花有点要掉的样子～刷卡进电梯虽然有点不方便，但是住得心安！周边吃的也很多，值得推荐！～', 'star': 5}
{'descr': '这次是第二次入住，感觉非常不错，酒店服务周到、客人有需求会尽量满足，上楼时大堂保安很热情地帮客人刷卡，酒店地理位置非常好，就是北新泾4号出口10米处，酒店周围有很多餐饮店，旁边是85度C和肯德基（24小时营业），对面有一家火锅店和麦当劳，侧面的巷子里面有各式各样的小吃，有一品锅贴、桂林米粉、重庆蒋记麻辣烫、大众小吃等等，总之非常的方便！这次唯一不足的是没有预订到标间，我们一家三口（小孩10岁）挤得', 'star': 5}
{'descr': '酒店位置很好，交通很方便，地铁2号线北新泾站4号出口出来就是了；酒店周边很多餐馆，很好的解决了早餐问题。不过因为是地铁上盖酒店，地铁通过时还是有噪音；洗手间的水有时忽冷忽热，天冷洗澡就不好了。', 'star': 5}
{'descr': '交通非常便利，就在2号地铁上面。安全卫生，就是房间走道里有很浓的饭菜味道。推荐，下次还会去的。', 'star': 3}
{'descr': '   很干净', 'star': 5}
{'descr': '紧挨地铁，还算方便，离浦东机场较远，虹桥机场近些。', 'star': 3}
{'descr': '紧挨地铁，交通方便。离购物中心也挺近的。', 'star': 5}
{'descr': '一般 世博涨价比较厉害\r\n一般 世博涨价比较厉害', 'star': 5}
{'descr': '交通相当方便,地铁2号线也要就是店酒,周边娱乐饮食应有尽有.服务也热情,就是洗澡的水有点忽冷忽热,但在可接受范围,环境舒适,干净.', 'star': 5}
{'descr': '方便，有地铁，床够大，舒服，附近有很多餐馆', 'star': 5}
{'descr': '离地铁很近，出行方便，房间干净，比较满意', 'star': 5}
{'descr': '交通和长途免费掩盖所有的缺点。所以可以推荐', 'star': 5}
{'descr': '交通很方便，地铁出口一出来，就看到了。周围吃东西也很方便。\r\n不过地铁真的很吵。\r\n房间不是特别干净，墙壁，卫生间很一般。\r\n', 'star': 5}
{'descr': '方便', 'star': 5}
{'descr': '酒店在松虹路地铁站楼上,周边吃饭购物都很方便,下次还住那儿.', 'star': 5}
{'descr': '位置真是太棒了，离地铁2号线100米都不到，不亏是建在地铁上的酒店。其他的也还可以，就是房卡太难用了，每次都要刷好多次才能刷成功。', 'star': 5}
{'descr': '位置紧贴2#地铁，相当好，相当方便！！！就是房间有些小，不够安静！', 'star': 3}
{'descr': '酒店隔音有待加强', 'star': 5}
{'descr': '房间比较干净', 'star': 5}
{'descr': '不错，坐地铁到车站，机场都很方便，酒店内也很安全。周围吃饭，买东西也方便。', 'star': 3}
{'descr': '一般，不过有电脑。', 'star': 5}
{'descr': '酒店不错，干净，房间的配置还可以，交通非常方便就在地铁2号线出口的旁边，无奈的是世博期间房间比较贵', 'star': 5}
{'descr': '离地铁站近，电视模糊，没IPTV，洗澡水时冷时热', 'star': 5}
{'descr': '订的家庭房，反映不错，下楼就是地铁二号线出行方便，但在马路边上晚上吵了些', 'star': 5}
{'descr': '靠马路的比较吵！ 交通太方便了 出地铁口就是了！', 'star': 5}
{'descr': '离机场，火车站都近，很好。周围也很方便。', 'star': 5}
{'descr': '一般 ', 'star': 5}
{'descr': '地铁上的酒店,睡在床上确实有点像睡在火车卧铺上,能听到地铁的声音,感受到地铁的震动. 但坐地铁确实方便.\r\n可恶的是,预订了3天房间,告诉我不能续房,说后面被预订了,于是我3天后提着行李走人,另找住处. 可恶的世博!', 'star': 3}
{'descr': '交通方便，服务很好，就是热水不好，忽冷忽热的', 'star': 5}
{'descr': '还不错，就是房间小了点！', 'star': 5}
{'descr': '柜台的服务有耐心态度好，所在的地理位置又在地铁站楼上,非常方便', 'star': 5}
{'descr': '我信用卡担保的订单，由于酒店的失误全给取消了，怪不得找不到我预订呢，不过酒店服务不错，安排了套房给我住。很满意了。', 'star': 5}
{'descr': '作为经济性酒店而言,是不错的,就赶上了世博会,房价大幅上涨,而且房间紧张.', 'star': 5}
{'descr': '位置在地铁站上，有点吵', 'star': 5}
{'descr': '选择这家酒店的原因是因为它正好在地铁2号线的北新泾站 非常便捷 另外就是从酒店出来以后可以吃到很多小吃 所以不愁没东西来解决吃饭问题 套房里面的卫生条件也都不错 只不过隔音确实有点差 会听到外头的声音 总的来说还是满意的 推荐。', 'star': 5}
{'descr': '配套设施很不好', 'star': 5}
{'descr': '不错不错', 'star': 3}
{'descr': '总体还可以，房间蛮大，洗澡水有时候会一下子变冷水，这个需要改进', 'star': 5}
{'descr': '房间还挺大的，而且地理位置好，非常方便，性价比还是高的', 'star': 5}
{'descr': '晚上有点吵，但安保还是不错的，交通也方便', 'star': 5}
{'descr': '交通非常便利，真的如酒店自己的标语一样:地铁上的酒店', 'star': 5}
{'descr': '离开天山西路的公司非常近，且周边餐饮的地方也多，很方便。', 'star': 5}
{'descr': '位置方便，地铁口上面。但是其他方面就都无法恭维。通过Elong订竟然是没有早餐的，要成为其会员才行。这是显然的差别待遇。床很硬，服务人员态度就不提了。', 'star': 1}
{'descr': '地理位置稍远，但是离地铁站很近，很方便，别的都不错，就是洗澡水时冷时热。。。', 'star': 5}
{'descr': '性价比还好的酒店', 'star': 5}
{'descr': '位置虽然一般但是非常方便，就在2号地铁上面。旁边和对面就有24小时营业的肯德基和麦当劳，还有一家龙虾店味道也不错。房间住的很舒服，清净也很卫生。进电梯要刷卡这点感觉很安全，不过有一天早晨还是在门缝处发现一张特殊服务的小名片~~~⊙﹏⊙b汗~~电梯到房间的过程中，必须要呼吸着一股弄弄的饭菜油烟味，不知味道从何而来。总体还是非常满意的，下次还会去的。', 'star': 5}
{'descr': '地铁方便，价位便宜，属于低价，还算值吧！', 'star': 3}
{'descr': '有点吵，以便宜标准，只能这样了', 'star': 1}
{'descr': '很不错的酒店，交通方便', 'star': 5}
{'descr': '一出地铁站就看到酒店很方便房间挺大也很干净设备齐全', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '位置很好，交通很方便。设施也不错，性价比比较高。', 'star': 5}
{'descr': '酒店管理较好，闲杂人员无法进入住宿区域。在地铁站旁，出行非常方便。缺点是房间太小，空气不十分好。', 'star': 5}
{'descr': '东西不错！', 'star': 5}
{'descr': '交通非常便利，房间的窗帘偏小点，两边拉不到位，导致天亮后就有光线照射进房间，影响了睡眠，不能睡懒觉了。不知道其他几个房间怎么样？总体感觉还是可以的，可以考虑下次入住。', 'star': 3}
{'descr': '类似于连锁酒店，特别的是地理位置优越，就在地铁2号线&quot;北新泾&quot;站附近，入地铁站只需1分钟，交通极其便利。', 'star': 5}
{'descr': '还是不错的，特别是在地铁边，很方便！最喜欢这个', 'star': 5}
{'descr': '就是在地铁上面有点吵，其他还蛮好的，房间很大', 'star': 5}
{'descr': '紧挨着2号地铁北新泾站，出行非常方便，很干净，酒店门口就有麦当劳，肯德基，都是24小时的。美中不足的是有噪音，不知道是地铁的换气扇还是别的饭店的换气扇。离虹桥机场2站地，坐飞机也很方便。', 'star': 5}
{'descr': '就在地铁二号线北新泾的上方，交通非常便利.早餐种类也多，味道也不错.说实在的，这个价位真没想到会有这么好吃丰盛的早餐.值得推荐的', 'star': 5}
{'descr': '现在还有酒店离店时间是12:00的？', 'star': 5}
{'descr': '性价比不错,位置很好就在地铁站上边.', 'star': 5}
{'descr': '在捷運樓上，非常方便，前台因為作業慢，也表現了他們的誠意。令半夜checkin的我們，感到相當的溫暖。', 'star': 5}
{'descr': '交通方便，环境很好，关键是特别安全，有专职人员管理电梯，无身份证者一律不得入内。', 'star': 5}
{'descr': '最好是电话免费，哈哈哈', 'star': 5}
{'descr': '交通方便，性价比还可以', 'star': 3}
{'descr': '不错，很好。唯一的缺点是吵了点。', 'star': 3}
{'descr': '我住的房间采光还是不错的，房间很整洁，就是设施还不够齐全，挂衣服就两个衣架，没有吹风机，隔音也不怎么好。总的来说性价比还可以。', 'star': 5}
{'descr': '1、交通极好，2号航站楼15分钟即可到达酒店\r\n2、吃饭极其方便，各色餐馆遍布方圆150米\r\n3、房间比较高，空间很好\r\n4、上电梯刷卡，安全性很好\r\n5、缺点：还是有点吵', 'star': 5}
{'descr': '特价房不怎么样，不得不换了房间。其它房间还不错。', 'star': 5}
{'descr': '好，停车不方便', 'star': 5}
{'descr': '交通非常方便 但我这次住的特价房感觉没有电梯上来的左手边的那个大 而且外面讲话的声音很响 听得很清楚的 不太好。还有这次的网不稳定的 上了一会就打不开网页了', 'star': 5}
{'descr': '特价房没有窗户。有点闷。晚上地铁的声音很吵。睡眠质量很差。别的还行。', 'star': 5}
{'descr': '洗澡的热水都是不错，原来住别的房型，这次住的特价房间的，感觉空间比其他的小，位置离地铁站很近，就在旁边，交通相当的便利', 'star': 3}
{'descr': '服务员在办理入住退房时办理手续比较慢,其它各方面都还满意,性价比不错,位置非常好公交地铁很便利.', 'star': 3}
{'descr': '酒店的位置非常好，交通特别的方便，硬件条件我觉得也是很不错的，服务挺好的，这个价格来说性价比很不错。', 'star': 3}
{'descr': '当时住的特价房,所以房间面比较小,不是很舒适,其他方面都还可以吧,不过感觉没有以前好了.', 'star': 3}
{'descr': '酒店的位置还是蛮不错的,交通比较便利的.房间里的卫生打扫的也蛮干净的,设施方面也比较齐全,整体感觉还是可以的.', 'star': 3}
{'descr': '酒店的优势就位置了，交通很方便，条件嘛一般，不过以后去上海还会选择着家酒店', 'star': 3}
{'descr': '酒店性价比还不错，位置也方便，离地铁很近，我还是比较满意', 'star': 5}
{'descr': '已经帮同事订过2次了，反应都挺不错的。', 'star': 5}
{'descr': '酒店的环境硬件设施都还可以,位置出行也很方便,价格合理,值得推荐.', 'star': 5}
{'descr': '经济型酒店来说他们家的空调声音算小的。\r\n不过早上一大早就很吵，因为天山路太热闹了。总的来说还可以。\r\n晚上路边就有小吃，哈哈', 'star': 5}
{'descr': '除了位置好，交通方便，楼下尚有几处可以一吃的饭店，其它就无甚闪光点了，缺点还是有不少的，比如空调的制热要20分钟后才能真正开始工作，然后房间内的空气就相当不好；一次性牙刷是一刷就能掉毛的那种。。。', 'star': 5}
{'descr': '整天比较其他经济型酒店的话，宜嘉很占优势。卫生还有装修，像如家家家都简易装修就太垃圾了。这家酒店在天山西路北新泾地铁站，交通方便。而且也很安静。房间大小正好。只是开门就是床觉得有点，~~~嘿嘿。不过自己住很舒适。唯一不好的就是空调声音有点大。', 'star': 5}
{'descr': '我觉得各方面都比较好', 'star': 5}
