{'短评内容': '房间不是很大，感觉特别紧凑！卫生什么的还是比较好的！', '短评打分': 5}
{'短评内容': '高档且不贵，设施相当齐全，环境也特别美好，唯一觉得房间小了点，只不过上海房价太贵。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '设施有点旧了，其他都还不错，最重要的是离复旦大学很近', '短评打分': 5}
{'短评内容': '帮朋友订的，还不错，这个质量对得起价格..', '短评打分': 5}
{'短评内容': '还不错…', '短评打分': 3}
{'短评内容': '十该酒店服务员热情细致很有素质.环境雅静适合入住!', '短评打分': 3}
{'短评内容': '高级大床房太小，一个人住都嫌挤。隔音效果太差，隔壁嘿咻声音都很清楚，还让不让人活了。', '短评打分': 5}
{'短评内容': '老实说房内的某些装修开始有裂逢，但房间挺安静的，服务态度不错，都弥补了', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度很好。下次来上海，有可能的话继续选择住这里。 ', '短评打分': 5}
{'短评内容': '还可以 就是一楼比较潮湿 房间隔音不是很好 但是位置还是不错的 ', '短评打分': 5}
{'短评内容': '基本设施齐全。卫生也符合标准。总之挑不出大毛病，所以这两晚住得还算舒心，价廉物美了。', '短评打分': 5}
{'短评内容': '房间比较小，而且住的最边上一间，没有阳台。还是所谓高级大床房，不符实！', '短评打分': 1}
{'短评内容': '房间有些脏 ', '短评打分': 3}
{'短评内容': '前台服务周到，客房设施简洁实用，感觉较好。如果再提供一些打折或优惠的物品（如书等），并记在房费中，则更好。', '短评打分': 5}
{'短评内容': '经常住   就不多说了  还挺好的  干净卫生', '短评打分': 5}
{'短评内容': '经常来住啊 基本比较便宜的了   不多说了  还挺好', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，服务态度好。每次去复旦学习，都是住这家。', '短评打分': 5}
{'短评内容': '环境优雅，安全卫生，住宿条件很不错，性价比很高啊！', '短评打分': 5}
{'短评内容': '有阳台的汉庭，比其他几家更有特色！\n每次都住北楼，北楼要比南楼的房间更好！', '短评打分': 5}
{'短评内容': '还行。过中午12点要加钱（大堂服务员讲）希望融通一下。', '短评打分': 5}
{'短评内容': '酒店很干净，床很大，离复旦很近，很实惠的价格！推荐哦！', '短评打分': 5}
{'短评内容': '已入住,环境干净', '短评打分': 3}
{'短评内容': '离学校不算太远，就是在小路里，不太好找。房间在后面的8号楼，和前台的楼是分开的。', '短评打分': 5}
{'短评内容': '服务很满意', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '早上想洗澡，可是水凉的根本没法洗。\n别的还差强人意吧。', '短评打分': 1}
{'短评内容': '房间空调基本就是摆设，完全没效果。也没有其他汉庭有的iptv，楼里还有很多进出的学生样的人，总之嘈杂', '短评打分': 1}
{'短评内容': '感觉很不错，干净安静', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '环境很好很安静，还可以上网。真不多，值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '住的是周日百元房~有小阳台，房间干净，安静，床很舒服，应该是一米八的大床~就是和隔壁的房间的隔音不是很好，门外敲门什么的听的比较清楚~总的来说，很满意！', '短评打分': 5}
{'短评内容': '订的是特价大床房，免费升级成了高级大床房，不错。就是电吹风有点少，每次都很难借到。店家推荐的饮食外送很给力。', '短评打分': 5}
{'短评内容': '酒店不错,周围安静,还有停车位,就是1楼有点冷,过道是非常冷', '短评打分': 5}
{'短评内容': '房内设施很齐全，装修典雅，非常安静。129的特价大床房很值。', '短评打分': 5}
{'短评内容': '位置，服务，房间等都不错。离复旦很近。推荐。', '短评打分': 5}
{'短评内容': '住的是周日百元房~有小阳台，房间干净，安静，床很舒服，应该是一米八的大床~就是和隔壁的房间的隔音不是很好，门外敲门什么的听的比较清楚~总的来说，很满意！', '短评打分': 5}
{'短评内容': '还不错的酒店，就是交通有点不方便，值得入住', '短评打分': 5}
{'短评内容': '订的特价房，房间很小，但很干净，一个人住还可以', '短评打分': 5}
{'短评内容': '    房间太小了。不过环境还不错。挺干净。坐公车到五角场有两站路。位置也还算可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还可以，对得起这个价钱.交通还算方便，就这些了。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '特价房的，窗子漏风，空调制热不给力，外面0度。。。哎。。', '短评打分': 1}
{'短评内容': '很好,我非常喜欢,欢迎大家入住,旅途开心,才是最重要!!!', '短评打分': 5}
{'短评内容': '酒店服务很好 上网便捷 出行交通方便 性价比不错', '短评打分': 3}
{'短评内容': '很好,到复旦上课比较方便,同时离上海五角场比较进,可以去逛逛呀!', '短评打分': 5}
{'短评内容': '服务很亲切。但特价单人间太小。浴巾陈旧。整体印象是服务好，硬件需改进。', '短评打分': 5}
{'短评内容': '还可以，卫生偏简陋，服务还可以，不错，跟复旦很近', '短评打分': 5}
{'短评内容': '总体状况一般，住的大床房，有阳台，空间不大', '短评打分': 5}
{'短评内容': '环境不错 在五角场附近算性价比比较高了  卫生环境挺好的', '短评打分': 5}
{'短评内容': '房间非常干净~~复旦附近交通还算方便！就是离轨交稍远了点！', '短评打分': 5}
{'短评内容': '地方不错，很安静，卫生也可以，还有小量台，就是房间小了些，周日百元房大床房仅100元，很合算', '短评打分': 5}
{'短评内容': '供水系统有较大声响，影响休息。要及时检查及时维修。', '短评打分': 1}
{'短评内容': '地址叙述不清楚，夜间服务不理想，还好门口有出租车！', '短评打分': 1}
{'短评内容': '房间太小,价格太贵,没有什么优势.不推荐', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '+电梯坏的', '短评打分': 5}
{'短评内容': '住得还可以，性价比还不错，以后有机会还会去。', '短评打分': 5}
{'短评内容': '房间比较小，是不是因为在上海。房价特别贵，是不是因为是世博？', '短评打分': 5}
{'短评内容': '房间很小，设施陈旧的！郁闷，我还是发现了只小蟑螂！而且房间不隔音！阳台的地面还粘糊糊的，不知道怎么回事！就一点好，夜晚比较安静！还是挺失望的！', '短评打分': 3}
{'短评内容': '淋浴间有点脏，有明显污垢。\r\n衣架提供了四个，两个不完整。\r\n隔音效果差，8号楼四楼的房间都是两房共用一门口位置，\r\n房间只隔薄薄的墙。貌似是小区改的。\r\n插座不足，接近性也不佳。\r\n\r\n离五角场根大柏树站都挺远的，建议坐几站公交。\r\n附近有123路到人民广场跟外滩，这还是不错的。\r\n', '短评打分': 1}
{'短评内容': '不错，在这个时间、这个地点性价比还是高的。', '短评打分': 5}
{'短评内容': '总体来说还是不错的，只是房间较少，世博期间，价格略贵', '短评打分': 5}
{'短评内容': '位置离复旦比较近，但去其他地方不是很方便，卫生一般，房间小', '短评打分': 1}
{'短评内容': '+酒店周围安静，适合休息，就是空间稍微小。不过在上海没办法。', '短评打分': 5}
{'短评内容': '各个方面都不错，就是隔音效果不是很好，离地铁也远了一些', '短评打分': 5}
{'短评内容': '住的很舒适而且特别安全，服务很好。只是离地铁站有点远，需要打的。', '短评打分': 1}
{'短评内容': '好大的一家汉庭~住的很舒服房间很大~交通也便利走一段就有轨道交通了', '短评打分': 5}
{'短评内容': '卫生还行，阳台比较好，就是房间小了一点，总体感觉不错。', '短评打分': 5}
{'短评内容': '还不错,就是离地铁稍远一点', '短评打分': 5}
{'短评内容': '设施旧，电视小，节目也少。家庭房卫生很小。其他不错', '短评打分': 5}
{'短评内容': '位置较好，很安静\r\n里面装修一般，卫生间是开放式的', '短评打分': 3}
{'短评内容': '地段不错，房子外面看上去不错，也很安静。\r\n缺点就是里面装修一般，卫生间是开放式，房间较小，而且里面的东西也不太好使，蚊香插头根本插不进去，后来找前台去修了下才能用了。\r\n', '短评打分': 5}
{'短评内容': '服务很好,谢谢。', '短评打分': 5}
{'短评内容': '房间挺干净，就是有点小，不过在世博期间算是很好了', '短评打分': 5}
{'短评内容': '酒店内环境稍差。', '短评打分': 5}
{'短评内容': '设施有些旧,卫生间的透明玻璃很怪异.....', '短评打分': 1}
{'短评内容': '卫生、设施等各方面条件都还不错，家庭房很实惠。', '短评打分': 5}
{'短评内容': '不错,性价比还可以\r\n交通\\环境\\卫生等方面还算合格', '短评打分': 3}
{'短评内容': '卫生，环境整体感觉还可以。。。。。。。。', '短评打分': 5}
{'短评内容': '住的还算比较舒服，性价比在世博期间还算不错', '短评打分': 5}
{'短评内容': '住过不少经济连锁酒店，这是我最不满意的一次，设施简单一些倒无所谓，主要是觉得不干净，墙角，卫生间的角落里很多灰尘，浴室里的瓷盆上都是污渍。。。', '短评打分': 1}
{'短评内容': '房间空间比较狭小，设施一般般。窗户上没有纱窗，这点感觉比较糟糕~~', '短评打分': 1}
{'短评内容': '还行，真的还行，门口有很多的士，还有老外入住', '短评打分': 3}
{'短评内容': '总体还行，性价比高，支持免费无线宽带是个亮点', '短评打分': 5}
{'短评内容': '比较方便,服务还行,我原银行卡担保的款还回没有?', '短评打分': 3}
{'短评内容': '快捷酒店卫生，服务就那样了，如果有朋友在复旦的话，位置还可以。但是看世博就远了', '短评打分': 1}
{'短评内容': '+酒店还行，还算干净，建议抽水马桶要天天清洁，有污垢。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还不错在大学附近很方便。环境很舒适，价格合理。周围商业繁华。', '短评打分': 5}
{'短评内容': '＋已入住，比较实慧', '短评打分': 5}
{'短评内容': '酒店附近很安静，交通还算便利，50M就有个公交站，可以到五角场附近再转车。风格有点像学校的宿舍，有个小阳台，但房间很小，大床房都小的可怜，而且卫生间湿度大，有些设施都有锈斑了。256元的大床房，我觉得还是贵了点。', '短评打分': 5}
{'短评内容': '应该说是性价比挺高的，世博会啊，没办法。', '短评打分': 5}
{'短评内容': '世博期间这个酒店就算可以了，就是地理位置离世博远了点', '短评打分': 3}
{'短评内容': '很喜欢，感觉很不错～', '短评打分': 5}
{'短评内容': '房间小点，其它都还可以，离复旦大学蛮近。', '短评打分': 5}
{'短评内容': '此店比我预想中要干净，位置也属闹中取静，十分满意！', '短评打分': 5}
{'短评内容': '服务一般，交通不方便', '短评打分': 5}
{'短评内容': '是给朋友订的，，反应还不错的                                                      ', '短评打分': 5}
{'短评内容': '酒店很干净、整洁，设备齐全，而且服务员服务态度很好，效率很好，值得推荐', '短评打分': 5}
{'短评内容': '环境比较安静，交通方便。就是第一次去的时候不太好找，最好在主干线上设立标志。', '短评打分': 5}
{'短评内容': '房间超小，卫生还好。说是免费宽带，但网速之慢，根本上不了网。原准备住七天，实在没辙，中途逃离。', '短评打分': 1}
{'短评内容': '大柏树区块的酒店中,汉庭快捷位置算不错, 不在大马路旁,小区比较安静,周边有餐饮便利店.离地铁站稍远.\n前台服务一般.大堂小,有电脑上网,不收费的,但人多.\n房间是新楼的一楼,没住到有阳台的房,貌似旧楼,新楼都有阳台.\n地面有浸水过的斑(可能是莓斑),洗浴间小,够用,冲水马桶不能冲水,整晚一直在淌,第二晚客房也没修,热水水温不够,水量小.\n床够大,软硬度合适.有中英文电视节目.空调较吵,温度打不下', '短评打分': 3}
{'短评内容': '大概是世博会期间加上周末，成了“皇帝的女儿”，服务态度太一般了。房间设施好几样都坏了，如：电视机无信号、座便器放完水后就卡住、房间顶灯不亮、有蚊香器无蚊香片......住了感觉后悔，以后不会去住了！', '短评打分': 1}
{'短评内容': '为了临近复旦，这家应该是首选了！', '短评打分': 3}
{'短评内容': '为了临近复旦，这家应该是首选了！', '短评打分': 3}
{'短评内容': '交通稍有不便，环境尚可~', '短评打分': 5}
{'短评内容': '帮朋友预订的，说不错', '短评打分': 5}
{'短评内容': '非因要近復旦，大概不會選他。要近復旦，大概應該選他。', '短评打分': 5}
{'短评内容': '就是离地铁站有点远，其他都还不错', '短评打分': 5}
{'短评内容': '房间有点小，位置还好，总体来说对的起这个价位', '短评打分': 1}
{'短评内容': '入住是新楼的房,一楼没有阳台.初看房间算是干净,但地面明显渍水斑,房间不算大,但算够用.设施一般,冲水马桶没法冲水一直在流.热水温不够热,最多算是温热.前台服务一般.酒店位置在大柏树算还好,不在大马路边,比较安静.', '短评打分': 5}
{'短评内容': '还行吧，快捷酒店不都那样。', '短评打分': 5}
{'短评内容': '设施普通~ 离复旦有一点距离~ 要搭一站车~', '短评打分': 1}
{'短评内容': '前台服务态度蛮好的 `下次还会来``不过有点小遗憾``就是阳台不能用``', '短评打分': 5}
{'短评内容': '交通方便，靠近地铁，起步价都可以到了。房间也蛮干净的。总体来说还不错', '短评打分': 5}
{'短评内容': '虽然有些小缺点，但总体来讲不错！', '短评打分': 3}
{'短评内容': '总体还好，虽说不是世博周边的，但是周边看来，综合环境、交通之类的因素性价比较高~', '短评打分': 3}
{'短评内容': '总体还好，虽说不是世博周边的，但是周边看来，综合环境、交通之类的因素性价比较高~', '短评打分': 5}
{'短评内容': '真MINI', '短评打分': 3}
{'短评内容': '设备较陈旧，但地理位置好，离复旦近，较为方便。', '短评打分': 5}
{'短评内容': '太小了 床都贴在墙上了 没法走路 电视很古老 卫生间在一进门的地方 而且十分小 上厕所的地方都没法转身', '短评打分': 1}
{'短评内容': '房间设施一般，房间电话到现在还没通', '短评打分': 1}
{'短评内容': '门卡打不开门，让我去前台重新刷，还是不行；卫生间、洗澡间、卧室都是在一起，异味很大；走廊上也很吵', '短评打分': 5}
{'短评内容': '居然有阳台，住过的经济型酒店很少有这么大的阳台，如果秋天入住，一定会特别舒服。地理位置很好，到复旦可以步行，打车到五角场商业圈就是起步价而已。下次还会选择。', '短评打分': 5}
{'短评内容': '离复旦很近，比较安静。但在快捷酒店中该酒店房价偏高。', '短评打分': 5}
{'短评内容': '环境不错，而且交通便利', '短评打分': 5}
{'短评内容': '很干净，服务也很好，房间小点.', '短评打分': 3}
{'短评内容': '房间小但很洁净，会再来！', '短评打分': 5}
{'短评内容': '房间太小了，汉庭快捷也去过，没去过这么小的', '短评打分': 1}
{'短评内容': '交通比较方便，淋浴房的门不容易关紧，发生漏水，其它还好吧。', '短评打分': 5}
{'短评内容': '第一次在汉庭住有阳台的房间。。这家店感觉很好~和其他店的设计上好像都有点点不同，是不是靠近大学的原因啊。总之没其他店这么呆板，觉得挺时尚的', '短评打分': 5}
{'短评内容': '服务还不错，也很方便。', '短评打分': 5}
{'短评内容': '房间有点旧，还是边上那幢楼好', '短评打分': 5}
{'短评内容': '不错  就是房间有点小  ', '短评打分': 5}
{'短评内容': '新春百元房一楼房间有点偏小，二楼的房间还尚可。', '短评打分': 5}
{'短评内容': '100元的大床房好小哦，但是100元的标准间太值了。服务员态度非常好，非常热情亲切', '短评打分': 5}
{'短评内容': '这个酒店比较适合去复旦考试的同学住. 首先离复旦近, 而且房间里面有书桌,台灯, 挺不错. 地处的环境也很安静.', '短评打分': 5}
{'短评内容': '性价比不错，干净安静', '短评打分': 3}
{'短评内容': '性价比不错，干净安静', '短评打分': 5}
{'短评内容': '经济型酒店中的中高端，感受到的价值要比锦江和如家高。\r\n就是新楼的阳台是不能上去的……-_-!', '短评打分': 5}
{'短评内容': '位置蛮好，下次还考虑入住。', '短评打分': 5}
{'短评内容': '酒店的条件挺一般的，服务环境都没什么特别的，而且房间小，很多该有的东西都没有。', '短评打分': 3}
{'短评内容': '性价比尚可，交通不是很方便；门口的足疗很有特色，才20元！', '短评打分': 5}
{'短评内容': '里面的硬件设施不是很好,电视质量很差,颜色都变了,空调很响,开灯还得起床开床头还没有灯很麻烦.房间倒是很干净.价格也算比较适中,离我办事的地方也挺近的,都还行,如果硬件设施在好一些那就更好了.', '短评打分': 3}
{'短评内容': '酒店的硬件条件还算可以，经济型酒店，简洁舒适，环境也还不错，位置对我这次出门来说算是比较方便的。', '短评打分': 3}
{'短评内容': '酒店的住宿条件方面还是可以,就是价格方面感觉还是有些偏高,还是建议多比较一下了.', '短评打分': 3}
{'短评内容': '不错  下次还是想到这里，环境好  服务不错', '短评打分': 5}
{'短评内容': '酒店新楼的房间还不错，老楼房间里太旧了', '短评打分': 5}
{'短评内容': '一共两栋楼，比交安静，不错。房间不大但很干净，很不错。', '短评打分': 3}
{'短评内容': '一共两栋楼，比交安静，不错。房间不大但很干净，很不错。', '短评打分': 3}
{'短评内容': '位置还行，离五角场很近。。离曲阳路的家乐福打车也就起步价。。\r\n性价比也还行吧。。在商务酒店来说，这个位置和这个服务。挺不错的。还要继续努力啊！\r\n床也很大，1米8的哦。。很舒服。。房间里的设施也还挺好的。。最美中不足的就是，房间里很小，没有衣橱', '短评打分': 5}
{'短评内容': '非常实惠', '短评打分': 1}
{'短评内容': '对汉庭酒店本身就都是很满意的,性价比挺好的,房间住着也很舒适,而且学校也很近,挺方便的.', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离复旦大学比较近，价格要比如家便宜一点，\r\n房间小了点，关了门还能听到隔壁的电视机。', '短评打分': 5}
{'短评内容': '酒店整体感觉还是不错的,房间也蛮干净舒适的,价格也不贵,就是退房的时间办理时间有些长了', '短评打分': 5}
{'短评内容': '房间小了点，隔音不是很好。  总体来说不错感觉温馨，舒适，服务员态度非常好。', '短评打分': 5}
{'短评内容': '酒店不是市中心,而且位置不太好找,其他方面都还不错,价格也很便宜', '短评打分': 5}
{'短评内容': '酒店价格很便宜,服务也不错,挺适合学生入住,但是房间的暖气太冷了,卫生一般', '短评打分': 5}
{'短评内容': '酒店位置不好找，做的士去找都有点困难，房间太紧凑了点，不过还是比较干净，价格也不错！', '短评打分': 5}
{'短评内容': '酒店的服务卫生都很好距离上海复旦大学打车10分钟车程,对酒店的条件比较满意.', '短评打分': 5}
{'短评内容': '新装修的，洗手间马桶是坏的，出行也不方便', '短评打分': 1}
{'短评内容': '我住了一个礼拜，别的都很好，就是打扫卫生不及时。有次我出去在总台打个招呼了要把房间整理一下，中午回来一看动都没动，问服务员说没接到通知。而且服务员打扫卫生是不给换床单和被套的。', '短评打分': 5}
{'短评内容': '很不错的一家酒店！ &amp;lt;BR&amp;gt;优点：这个价钱对于上海来说，我想再也找不到第二家。房间不大，但是够用，干净，而且用品齐全。床单非常的干净，对于爱干净的我很适合。环境不错，四周是住宅小区，很安静。附近有很多便利店和小饭馆，价钱很便宜，能满足基本需要。虽然离市中心远了点，但附近步行5、6分钟有123路公车可以直到外滩（车程约25分钟）和人民广场（车程约35分钟），打出租到汶水东', '短评打分': 3}
{'短评内容': '我很喜欢这个酒店，每次进去就让我有回家的感觉，可能是由于其外部结构的问题，呵呵。不太喜欢的就是里面的杯子了，都是纸的。感觉不是很好。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我们在贵酒店住了三天,感觉都还不错,唯一不好的就是离市区太远了,每天车费都得花好多,差不加起来都可以住三星级酒店了,有天晚上从徐家汇打出租车回来,居然司机都不太清楚路线,最后坐到酒店花了91元钱,好贵哟!&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '尽管房间小，但很经济实惠，干净。个人认为物超所值。 不过不太好找，因为松花江路有好几段，一定要记住是在复旦大学对过马路国权路上。晚上睡觉一定要将饮水机关掉，否则吵死。还有蚊子。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;房间非常整洁，设备齐全，这个房价还能有宽带，虽然不断掉线，整晚挂机养死了我的qq宠物好几次，据宾馆的工程师说不断用手使劲推一下wall jack会比较好，但是免费的还要求太高就不应该了。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;大床间比较超值，不但床宽到可以横过来睡，还附送和房间一样宽的观景阳台，如果您可以坚持', '短评打分': 5}
{'短评内容': '不错的酒店，很干净，性价比很高！', '短评打分': 5}
{'短评内容': '空调实在是个问题，开了一晚上，还是和室外温度一样', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;环境不错，在闹中取静，服务还是比较亲切的，设施上有些地方考虑的不周详，比如我订的是复式的房间，在卧室竟然没有床头灯，害的我把洗手间的灯开了一晚上，房间里用的是挂式空调，对着床吹，开了热，不开冷，把我郁闷坏了....&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;但是它绝对是工薪的最佳的选择，总的来说还是不错的，所以我', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;非常经济实惠！干净，安静！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;但空调实在是真的不敢恭维！几乎象个摆设，哈哈！&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;隔音如前人评述不怎样，纸杯不喜欢，我喜欢酒店能提供烧开水的，较卫生，但他们不用这个&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;态度挺好&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;第二次住了,有一段小插曲,我訂大床房,結果給我單身房,我去換了房間,服務態度也不錯,一下子就幫我換了,以後到上海,我應該都住這了.安靜又舒適.&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;缺點:&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;1.房間暖氣不夠暖(晚上好', '短评打分': 5}
{'短评内容': '住这里真的挺好的，没必要住什么锦江，MOTEL什么的，又贵又不见得好。楼下有家大秦富贵，有个菜叫洋芋叉叉，挺好吃的。', '短评打分': 5}
{'短评内容': '隔音太差，服务更差，还特别爱狡辩，简直无法礼遇。', '短评打分': 3}
{'短评内容': '虽然位置偏了点,离捷运打的约13元 &amp;lt;BR&amp;gt;是一家蛮安静的酒店, &amp;lt;BR&amp;gt;服务跟设备还不错,如果不挑剔的话 &amp;lt;BR&amp;gt;就是浴室小了些,2人站进去刚刚好. &amp;lt;BR&amp;gt;还不错. &amp;lt;BR&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;住的豪华大床房，1.8米的大床可以睡三个人了，除了房间隔音不好，其他的都还不错，价格合理，下次有机会还会住。&amp;lt;/P&amp;gt;', '短评打分': 5}
