{'短评内容': '被单子稍微有点脏，不过还可以接受 电梯真像80年代的， 其他都还好 感觉价格贵了点', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;喳一眼看到，门面太小，大堂太小，周围环境一般，心凉了半截，房间还算干净（大床房）但比较小，离南京路很近，步行大概十分钟，对周围环境不是很高的人可以考虑，毕竟是上海，离南京路又那么近。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;很好，可以再住&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '交通不太便利，有点偏，但是设施还可以，服务也不错，总体来说挺满意。', '短评打分': 5}
{'短评内容': '价格划算，房间干净，地段在北京东路科技京城的后面，打车到那下车走进来也算方便', '短评打分': 5}
{'短评内容': '价格划算，房间干净，地段在北京东路科技京城的后面，打车到那下车走进来也算方便', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;又在这里的单人间住了一次。地段确实比较偏僻，离南京路要横越大约三条街。服务一般，环境有点差，在垃圾站旁边。设施什么的倒是不赖。价格挺划算的。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '该酒店位置、性价比、房间卫生都不错，只是前台，特别是楼层服务员的态度有待改进。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;是一家性价比高的酒店.单人间和标间我都住过.感觉单人间有点狭小,不过是大床.标间就很宽敞的.喜欢这里的木地板,感觉象家里一样.卫生间干净,交通很方便的,打车告诉司机到北京路科技京城,要是行李不多自己过马路,然后走到后面的厦门路就能看到他们的灯箱了.&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;还有在附近,去南京路的', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;是一家挺不错的酒店,房间很干净,服务员的态度也很好.值得推荐. 美中不足的是,交通不是很方便,因为旁边的浙江中路是单行道,所以打的比较麻烦一点. 毕竟地段不错, 离北京路和南京路步行街都很近, 走过去十分钟就到了. 下次去上海还要住这儿. 呵呵`````&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;地段比较偏僻，单人间小了点，其他一切都好啦。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '我是10月4日预订的标间，5号入住的时候没有了标间，看我只带了女儿，服务员问我是否可以换单人间，考虑到女儿睡相差，还是要两个床位的，服务员给了家庭房，仍按标间费用收取，我很满意。酒店离南京路步行街很近，交通也方便，环境也比较安静。只是房间隔音差些，总的来说还满意。', '短评打分': 3}
{'短评内容': '我住的是家庭套房，很大很宽敞，我们都很满意。设备新，房间干净，周围也很安静。离南京路很近，火车站也不远，打的10元就可以了。下次来的话还住这里。', '短评打分': 5}
{'短评内容': '我住的是三人间,宽敞干净,设施齐全,地理位置闹中取静,交通便利,离南京路很近．但在房间的清扫及物品的更换方面有待提高．总之，整体感觉还不错．', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;通过Elong订的210块的标准间我比较满意，我住的是406隔音还行，房间也比较干净，订房和退房时服务员态度也不错，比我之前住过的天津路和西藏路的宾馆好，在200－300这个价位的宾馆来说，梦溪这家是非常值得入住的。我为家里亲戚来上海旅游安排过四次住宿，这次是最满意的一次。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我和女朋友住了1天,房间蛮干净的,房间设施蛮好的,就是阁音差了点,饭店偏僻了点.其他都不错.总体不错.', '短评打分': 5}
{'短评内容': '我和男朋友上周末住了两天，开的标间。整体感觉还可以，但位置有点偏，走到南京路要有一段距离的，最不方便的是附近没有饮食业，晚上想随便吃点都没地方，跑到旁边的良友金伴买了便当，郁闷。房间环境一般，房间设施也就是那样，还算安静吧。不过他们的窗帘我注意到了里面有一层是防紫外线的。这点很好。值得一提的是，他们的空调很好，没有噪音，呵呵，这是我男朋友补充的，我没注意到。也就是二星级了，对于那样一个算是靠近繁华', '短评打分': 3}
