{'短评内容': '周边环境不错，内窗相当于无窗，隔音差～', '短评打分': 4}
{'短评内容': '感觉就是，住在里面，没有窗，很压抑，还有就是，那床垫实在软的可以，睡醒后腰都痛，坐在床上，能明显感觉床垫在下榻！', '短评打分': 5}
{'短评内容': '位置不错，因而有些吵，房间比较小。第二晚换到旋宫酒店桑拿房，舒适好多。建议还是多花一点钱选择性价比更高的酒店。', '短评打分': 1}
{'短评内容': '地理位置不错，房间面积和环境都挺好，因为住的是无窗房，空气流通性不好，入住感觉有些闷，其他的一切都还不错，值得推荐。', '短评打分': 5}
{'短评内容': '空气不好,噪音有点大', '短评打分': 1}
{'短评内容': '就是没有窗户', '短评打分': 5}
{'短评内容': '性价比高~虽然无窗 小遗憾 但是 自己选的 不错啦 ', '短评打分': 5}
{'短评内容': '隔音效果太差，有一些不自觉的旅客深夜还在大声喧哗，影响休息。', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '总体不错 有家的感觉。。', '短评打分': 5}
{'短评内容': '蛮不错的，位置非常好，很好找。一个人住太浪费了，555~', '短评打分': 5}
{'短评内容': '很舒服~设施齐全~虽然没有窗户，但是很安静~喜欢', '短评打分': 5}
{'短评内容': '感觉非常好，是个很具性价比的酒店，值得推荐。给点小小建议就是没有风筒，这个就是有点小遗憾。其他都很好。下次会再来。', '短评打分': 5}
{'短评内容': '订了一个大床房，没想到，所谓的大床原来是由两张单人床拼在一起的&#183;&#183;&#183;唉&#183;&#183;&#183;睡在中间怪怪的难受&#183;&#183;&#183;&#183;之所以会推荐朋友入住，主要还是地理位置不错&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '房间很不错', '短评打分': 5}
{'短评内容': '不错下次还去住', '短评打分': 5}
{'短评内容': '位置和价钱都不错，房间也大，就是感觉比较密闭，有窗户的也一样', '短评打分': 5}
{'短评内容': '没有窗子的房间其实挺安静的\r\n房间的大床很舒服玩\r\n美的空调很强劲，很喜欢\r\n', '短评打分': 5}
{'短评内容': '隔音一般般~不过价格还可以！！', '短评打分': 5}
{'短评内容': '房间的指示不明显，很容易迷路~！', '短评打分': 3}
{'短评内容': '离市区中心很近', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '有窗户跟没窗户分别不大。环境卫生还可以，厕所水管的水声太大了。', '短评打分': 5}
{'短评内容': '适合商务居住', '短评打分': 3}
{'短评内容': '房间不错，但一定要订有窗户的', '短评打分': 5}
{'短评内容': '里面的服务员能力要提高，安全要做得更好&#183;&#183;', '短评打分': 5}
{'短评内容': '该酒店相关配置以及性价比都很不错！\r\n但是有一点我很不满意。\r\n我每次都是预定151的商务房间，但是一次去住的是1217那种大房间的，另一次去住的竟然是1001那种小房间的。\r\n同样是商务房间，差别太大。\r\n而且前台告诉我你虽然预定的商务房间，但是不敢保证你是大的那种还是小的那种。\r\n要等你到了后才知道。\r\n\r\n如果这样，我还有预定的必要吗？', '短评打分': 5}
{'短评内容': '我住的房间通风感觉不好，有烟味，感觉很压抑，只有洗手间有抽风机，希望能改善，价格和地段都很好', '短评打分': 3}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '地理位置非常好,离市中心很近,出行很方便,卫生服务方面也都不错,但就是房间的窗户太小了,采光效果不太好,还有就是隔音效果不太好,其它的都不错.', '短评打分': 3}
{'短评内容': '房间实在是太小了！其他的都还不错！', '短评打分': 5}
{'短评内容': '房间小了一些,设施齐全,环境很好,和其他如家差不多,很温馨舒适,性价比比较好.', '短评打分': 3}
{'短评内容': '酒店的硬件条件是很不错的，环境还可以，位置算是挺方便的，总的来说还是比较不错的。', '短评打分': 3}
{'短评内容': '酒店整体来说还算是可以的，环境设施，服务和卫生都不错，地理位置也算方便，挺好的。', '短评打分': 3}
{'短评内容': '酒店里面的潮气很重，通风不好，房间味道不好，前台服务不好。性价比很一般的酒店。', '短评打分': 3}
{'短评内容': '隔音太差了...我住的时候是周末,很多情侣开房ML,走廊很多人走动,脚步声清晰听见,是在开着电视的情况下.并且能听到隔壁房的人ML声音,悲剧', '短评打分': 5}
{'短评内容': '地理位置非常好,位于市中心,出行都很方便,而且卫生服务上做的也都很到位,住着很舒适,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '卫生间气味很大空气不是很好,当时也和前台的服务人员说了但是他们也没有说给我一个什么解决,不过服务态度还行,性价比比较高的,房间里面的其他方面我都挺满意的,感觉还不错.', '短评打分': 3}
{'短评内容': '如果真的大床房的房间面积都这么小，那就请把网上的房间资料更改掉吧！！！不要这么忽悠老百姓啊！我不知道这算不算商业欺诈？？？', '短评打分': 3}
{'短评内容': '秋天不靠窗的内廊的大床房潮气比较重，靠窗的房间就比较好。房间内非一次性的用品如浴巾等有些旧了，入住时叫服务员换了新的。酒店服务还是比较好，维持如家的一贯标准。酒店胜在位置好而且够便宜，交通购物都非常方便，是性价比较高的经济型酒店。建议入住时尽可能选择有窗户的房间。', '短评打分': 5}
{'短评内容': '房间空气质量不好，有一股很浓重的潮湿发霉的气味', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '    第一次住经济型酒店，我订的是151元的大床房，带窗户，窗户正对着床，躺在床上从窗户看出去很舒服，感觉蓝天白云就在眼前。房间里很干净整洁，酒店位置很好，旁边就是祖庙汽车站，交通很便利。之前听说经济型酒店比较吵，可能我的房间在走廊最里面，感觉还是比较安静，听不到吵闹声。房间的配套很齐全，房间、浴室里带有很多温馨提示，感觉很贴心，服务很周到。以后订酒店还会选择如家。\r\n    缺点：1、房间太小', '短评打分': 5}
{'短评内容': '经济型酒店一般都是这样，卫生，硬件设施和服务都没什么特别的，都还算可以，位置也比较方便。', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都不错的，酒店的位置以及交通都很方便的，酒店的价格高了。', '短评打分': 3}
{'短评内容': '房间空间太小了,大部分房间窗户又都在里面,闷的慌', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是不错的,卫生服务方面还是不错的,设施方面也比较齐全,周边环境也还可以.', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及周边的交通都很好的，价格还可以的。', '短评打分': 5}
{'短评内容': '这家店还是挺发的，环境也不错，蛮舒适的，而且价格也比较优惠，还是比较满意的。', '短评打分': 5}
{'短评内容': '酒店的位置不是很好的,服务卫生以及设施都还可以的,价格方面还可以的,可以接受 的', '短评打分': 5}
{'短评内容': '酒店各方面都还好,比较满意', '短评打分': 5}
{'短评内容': '环境很差，设施很简陋，地理位置还不错', '短评打分': 5}
{'短评内容': '酒店满干净的,住着挺舒服,环境比较好', '短评打分': 5}
{'短评内容': '我住的是商务大床房，商务设备齐全，只是没有电冰箱！！', '短评打分': 3}
{'短评内容': '无冰箱啊。139元的房间\r\n', '短评打分': 5}
