{'descr': '旁边施工，晚上没法休息，卫生成问题', 'star': 2}
{'descr': '环境舒适，就是位置稍微有点偏，不过楼下就有便利店也很方便。性价比很高，床巨大很舒服。这个价位比同价位甚至一些星级酒店还要舒适。早餐也不错，至少不糊弄', 'star': 5}
{'descr': '第二次住这里 发现一个细节 当你和工作人员同入电梯时 他会先送你到你要去的那一层 然后再折返回自己去的一层    谢谢了 手续办理也很快  感觉很好', 'star': 5}
{'descr': '不错,设施比较新，紧挨道边，属于经济型的，距离北站较近', 'star': 5}
{'descr': '每次都住这里，性价比很高，很满意，以后还会住这里', 'star': 5}
{'descr': '看了别人的评论 还以为早餐会不好 可是去了一看 早餐很好 在电梯里遇到一个工作人员 主动向我询问有什么意见 据他说早餐时后来改进的  大床间的感觉特别的好', 'star': 5}
{'descr': '酒店非常舒适，每次出差都住在这里，床很大很柔软，装修风格也好。性价比极高的快捷酒店。', 'star': 5}
{'descr': '非常不错的一个酒店，早餐很丰盛。房间装修很好。喜欢这个酒店。下次还住。', 'star': 5}
{'descr': '网络啊，网络，太差了。。。\n\n慢到受不了', 'star': 5}
{'descr': '一般都会选择这里，虽然有点偏僻，但是酒店装修很喜欢，所以忍了', 'star': 5}
{'descr': '网络太慢了，简直是无法忍受\n\n是不是可以改善一下', 'star': 5}
{'descr': '涨价了，呵呵。。。\n\n网络还是不好，早点没尝试', 'star': 5}
{'descr': '酒店环境很好的。', 'star': 3}
{'descr': '酒店装修很有特色。但是我不太喜欢这样的风格，主色调是黑色，还有就是卫生间是透明的玻璃，有点不好意思。', 'star': 5}
{'descr': '希望石家庄有更多连锁酒店，便于就近入住，另加午晚就餐服务，其他方面都不错', 'star': 3}
{'descr': '地理位置方便，装修时尚，早餐也不错，房间舒适，总体还是不错的；就是空调暖气有时候正常，有时候没有暖气的；浴室的水压比较小。', 'star': 5}
{'descr': '酒店很好，性价比很高，是个不错的选择。唯一不足是空间稍显拥挤', 'star': 5}
{'descr': '宾馆的情调不错，整洁，温馨，但唯一欠缺的就是没有中餐和晚餐', 'star': 3}
{'descr': '酒店装修很好，位置不错，周边餐馆很多，出行方便，酒店设施齐全，早餐在快捷酒店来说还算是不错的，不足的是面积一般，网速不稳定。', 'star': 5}
{'descr': '环境不错 干净 卫生  挺舒适的  早餐也挺丰富的', 'star': 5}
{'descr': '装修很时尚，早餐不错，交通方便，洗澡水温很好', 'star': 5}
{'descr': '酒店不错，装修典雅时尚，位置可以，周边餐馆很多。就是网速不理想，不太稳定。', 'star': 3}
{'descr': '酒店不错，装修典雅时尚，就是网速不稳定，时好时慢。', 'star': 5}
{'descr': '酒店位置不错。离石家庄站和石家庄北站都很近，办事方便。酒店性价比高，值得入住，就是网络不算稳定，时慢时快，建议酒店改善一下。', 'star': 5}
{'descr': '性价比高，有无线网络 。房间隔音不好，早餐有待提高。', 'star': 5}
{'descr': '装修时尚，服务很好，浴室水温很好，周围交通方便，对面就是超市，购物方便', 'star': 3}
{'descr': '大床很舒服。。卫生也做得不错。楼道的门铃经常被别人当了电灯开关按，有点郁闷；  餐厅品种虽然不多，但足够早餐，感觉服务人员少了点，忙不过来，不知道是食客吃得太多，还是什么，很多东西“吃完了”。。。。在这里也顺便提醒一下食客，要“量力而为”，不要以为“免费”的东西就装得多多的，后面的食客都没了，自己又吃不完，走了剩一大堆，注意自己的素质！！！！', 'star': 5}
{'descr': '住的顶楼热水供不上来！！！希望酒店尽快解决次问题！\r\n酒店服务很好，早餐也不错！！！设施很齐全，环境很好！！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '酒店服务很好，环境也很好，值得推荐', 'star': 5}
{'descr': '十一前入住的时尚大床房，房间干净时尚，特别是大床非常舒服，感觉性价比相当高，停车也挺方便，只是从高速到中华北大街在修路，要是修好了，到酒店会更方便，以后去石家庄，还会首选这家酒店', 'star': 5}
{'descr': '酒店很时尚，风格也很特别，在中华大街上，打车到火车站不堵车的情况下大概5-6分钟吧，交通挺便利的.对面有小肥羊，楼下有国大超市和好利来，下次还会入住', 'star': 3}
{'descr': '非常好.值得推荐', 'star': 5}
{'descr': '非常的不错  原以为早餐会不好  结果 早餐很棒  我想应该是已经改进过了\r\n  房间没有图片上看的那么大  但是没有什么影响  总的来说 很棒', 'star': 5}
{'descr': '位置很方便，就在中华大街上，酒店里的装潢也很现代，装饰也很新。美中不足就是早餐很简单，而且用餐的环境也一般，赶上人多的时候就很吵。', 'star': 5}
{'descr': '性价比高，坐公交方便，服务态度好，下次还会住在这里', 'star': 5}
{'descr': '装修很时尚，交通很便捷，周围超市和饭店很多，很方便', 'star': 3}
{'descr': '房间装修很好很时尚，床很舒服，周围就有超市，在石家庄主干道，很方便，下回还会入住', 'star': 5}
{'descr': '宾馆装修的十分有风格，对得起时尚二字，性价比很合适，同等价位算是最好的啦~下次还是会住的。', 'star': 3}
{'descr': '酒店设施非常好，主要是装修上非常有格调啊，房间比照片上漂亮，水晶灯很漂亮呢，还有双早，很不错哦，下次还会住的。', 'star': 5}
{'descr': '新酒店，性价比较高！但早餐卫生和品种有待提高和丰富！', 'star': 5}
{'descr': '酒店装修风格很喜欢，比较精致，价格也比较合适，是个不错的选择', 'star': 5}
{'descr': '网速太慢了，希望可以改进一下，打开网页都要半天。。。', 'star': 3}
{'descr': '网速太慢了，其他都很好.。。。\r\n装修很喜欢', 'star': 3}
{'descr': '喜欢这酒店的装修，因为偏离市中心嘛，所以觉得价格有点高', 'star': 5}
{'descr': '酒店环境还可以，房间也还不错，位置还行吧，价格的话还是比较适中。', 'star': 5}
{'descr': '新开业时间好像不是很长，性价比高，很新，房间隔音不是很好，细节服务有待提高！', 'star': 3}
{'descr': '一楼大厅有一位戴眼镜的（好像是经理）服务态度超好。还冒雨拿来永和送餐单子送到房间。很周到！', 'star': 3}
{'descr': '在试营业期间，无线网络信号不稳定，服务态度好。早餐有待提高和改进。', 'star': 5}
{'descr': '酒店的条件还不错,综合性价比还是蛮高的,而且硬件和软件条件也很好,住起来很舒服.', 'star': 5}
{'descr': '该酒店很新，也很舒适，性价比很不错，值得向大家推荐。', 'star': 5}
{'descr': '室内无线上网不是很方便,但是后来给我换成了有线上网还不错,卫生和设施条件还可以,综合性价比还是蛮高的.', 'star': 5}
{'descr': '综合比较还算不错，毕竟刚刚开业，但酒店隔音做的不是太好，夜里隔壁房间的打鼾声清楚无比。', 'star': 5}
{'descr': '可能是刚开张，问题不少，但是服务态度很好，都给一一解决。床非常舒服，交通也方便，房间也很大。', 'star': 5}
{'descr': '更正之前的点评，评错酒店了，给大家造成困惑。值得推荐的是酒店的硬件，我住的行政大床房基本达到4星以上标准，非常时尚，细节做的到位，还有办公用具。特别喜欢这家酒店的装饰风格，但是地下层的餐厅若不改善，会失分很多（太脏太臭，还不提供杯子，让人用碗喝牛奶！）', 'star': 3}
{'descr': '总体来说不错，就是我住的没有电脑，早餐的样式比较少。。', 'star': 5}
{'descr': '可能由于是新开业的酒店，人气比较低，但是酒店的硬件真的很不错！唯一的瑕疵就是酒店是电信网！！！', 'star': 5}
